MetricName,Eigengene1,Eigengene2,Eigengene3,Eigengene4,Eigengene5
Phase,-0.117969565,-0.63487256,0.073222674,-0.26674417,-0.2315282
Error,-0.008845232,-0.121700235,-0.17191026,0.12114685,0.0062930607
Magnitude,0.03895947,0.0003811401,-0.21819107,-0.114366606,-0.054436747
ProjectionX,-0.9411949,0.2991605,0.0599429,0.11665742,-0.004809921
ProjectionY,0.3692918,0.8380269,-0.07220684,0.21771751,0.3437911
Inner_Error,0.04342978,-0.10171839,0.012534527,0.06999865,0.19422898
Circular_Error,-0.13671036,-0.25797954,0.0045683747,-0.11308104,-0.075497836
Modified_Inner_Error,0.055011265,-0.08198656,0.013058405,0.08022948,0.1976813
Modified_Error,0.009235653,-0.09168619,-0.17378113,0.13542114,0.014814192
Out_of_Plane_Error,-0.14255159,-0.26191935,-0.0005898633,-0.110715784,-0.06969879
Out_of_Plane_Reconstruction_Error,-0.13962361,-0.26333743,0.0030646354,-0.11104669,-0.060386367
Input_Magnitude,-0.12633128,-0.29002404,-0.1661768,0.0051654284,-0.09518181
Dense_Input_Magnitude,-0.031033628,-0.24891151,-0.116830416,-0.01188053,0.04309658
Decoding_Dense_Output_Magnitude,-0.33323738,-0.7621465,0.043940414,-0.23525152,-0.30813304
Model_Output_Magnitude,-0.3787047,-0.6158263,0.15976751,-0.23127802,-0.14163734
Modified_Decoding_Dense_Output_Magnitude,-0.121222496,-0.34590867,-0.17202471,-0.21017659,-0.18144566
Modified_Model_Output_Magnitude,-0.18809062,-0.35590217,-0.09023079,-0.22940493,-0.11827549
