MetricName,Eigengene1,Eigengene2,Eigengene3,Eigengene4,Eigengene5
Phase,-0.110154495,-0.65315247,0.07787063,-0.22699355,-0.2761014
Error,-0.04862077,-0.13208614,-0.14760925,0.16704589,0.01899749
Magnitude,0.012515624,-0.007557758,-0.20757008,-0.040569793,-0.03564093
ProjectionX,-0.93021446,0.303321,0.039847605,0.108254075,-0.010893739
ProjectionY,0.3729837,0.84246993,-0.1035151,0.23833077,0.38449913
Inner_Error,-0.030656645,-0.08866137,-0.036200754,0.15143485,0.1365953
Circular_Error,-0.14164807,-0.23826969,-0.02610335,-0.059681956,-0.1319279
Modified_Inner_Error,-0.022567524,-0.07671649,-0.033604875,0.15409534,0.14329302
Modified_Error,-0.025966313,-0.102036506,-0.1441591,0.1738396,0.03706028
Out_of_Plane_Error,-0.14733799,-0.23952189,-0.030084234,-0.053734288,-0.12665614
Out_of_Plane_Reconstruction_Error,-0.1431203,-0.24136779,-0.027956562,-0.050802674,-0.11953018
Input_Magnitude,-0.10315445,-0.3338262,-0.14711805,0.056951374,-0.09593952
Dense_Input_Magnitude,-0.08086208,-0.23246427,-0.11815922,0.09396319,0.026015237
Decoding_Dense_Output_Magnitude,-0.36326548,-0.77384466,0.061262712,-0.2161762,-0.3540735
Model_Output_Magnitude,-0.2199496,-0.69954836,0.15175499,-0.20907,-0.18691021
Modified_Decoding_Dense_Output_Magnitude,-0.16221416,-0.36981463,-0.15170595,-0.1357793,-0.1925229
Modified_Model_Output_Magnitude,-0.11976602,-0.4078485,-0.08309276,-0.14775112,-0.13129067
