Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,TNF-alpha Signaling via NF-kB,1.6123530327646125e-10,3.8582234366955763,86.9958251174717,"['CDKN1A', 'CEBPB', 'BTG1', 'CSF1', 'CEBPD', 'TNC', 'IRS2', 'SAT1', 'ICAM1', 'SOCS3', 'ZFP36', 'NFIL3', 'DNAJB4', 'NAMPT', 'CCL2', 'HES1', 'CCN1', 'JUNB', 'EGR3', 'GADD45B', 'GADD45A', 'IL18', 'TAP1', 'FOS', 'SOD2', 'PNRC1', 'KLF2', 'FOSL2', 'VEGFA', 'NFKB2', 'EFNA1', 'SPSB1', 'KLF6', 'BCL6', 'TNIP2', 'ID2', 'TRIP10', 'ACKR3', 'TRIB1', 'CD44']",8.061765163823062e-09,0,0,40
2,Interferon Gamma Response,2.3394984898541474e-08,3.3551755285760216,58.95293081822062,"['IFITM3', 'LGALS3BP', 'CDKN1A', 'IFITM2', 'BTG1', 'C1R', 'MVP', 'NLRC5', 'NOD1', 'IFI35', 'ICAM1', 'SOCS3', 'MT2A', 'APOL6', 'NAMPT', 'PIM1', 'CD38', 'CCL2', 'METTL7B', 'IFNAR2', 'SP110', 'TAP1', 'ARID5B', 'NMI', 'SOD2', 'PML', 'PSMB9', 'BST2', 'PLSCR1', 'IL7', 'IRF7', 'SERPING1', 'TXNIP', 'FAS', 'MYD88', 'PFKP']",4.926929211478285e-07,0,0,36
3,Epithelial Mesenchymal Transition,2.9561575268869712e-08,3.250267094017094,56.34919952112497,"['LAMA2', 'TNC', 'PLOD3', 'TNFRSF11B', 'PLOD1', 'FGF2', 'SAT1', 'GJA1', 'NT5E', 'LGALS1', 'FLNA', 'CD59', 'SLIT3', 'TIMP1', 'CCN1', 'COLGALT1', 'PDLIM4', 'GADD45B', 'DST', 'GADD45A', 'BDNF', 'BGN', 'EMP3', 'VEGFA', 'ACTA2', 'TGFBR3', 'SFRP4', 'BMP1', 'FAP', 'COL5A1', 'ID2', 'COL6A2', 'ADAM12', 'FAS', 'VIM', 'SCG2', 'CD44']",4.926929211478285e-07,0,0,37
4,Hypoxia,6.73130981799097e-07,2.7897153351698805,39.64555380320531,"['CDKN1A', 'LXN', 'BTG1', 'SLC2A1', 'CXCR4', 'PYGM', 'IRS2', 'ETS1', 'NDRG1', 'HK2', 'MT2A', 'ZFP36', 'NFIL3', 'PIM1', 'HMOX1', 'CCN1', 'ANXA2', 'HSPA5', 'PGAM2', 'BGN', 'FOS', 'CP', 'GCK', 'PNRC1', 'FOSL2', 'VEGFA', 'EFNA1', 'KLF7', 'KLF6', 'PPP1R3C', 'COL5A1', 'MYH9', 'ACKR3', 'ANGPTL4', 'INHA', 'PFKP', 'MT1E']",8.414137272488713e-06,0,0,37
5,Myogenesis,1.304961989675266e-06,2.8421537298560287,38.509297680670585,"['CDKN1A', 'LAMA2', 'HSPB8', 'HSPB2', 'PYGM', 'ATP2A1', 'AEBP1', 'FGF2', 'CLU', 'COX7A1', 'CNN3', 'SYNGR2', 'MYH11', 'SVIL', 'NQO1', 'GADD45B', 'GPX3', 'IFRD1', 'PGAM2', 'SOD3', 'SMTN', 'PTP4A3', 'MRAS', 'PPP1R3C', 'TNNT1', 'COL6A2', 'ADAM12', 'TCAP', 'PLXNB2', 'MYH9', 'KIFC3', 'AGRN', 'CRYAB', 'PVALB']",1.304961989675266e-05,0,0,34
6,IL-6/JAK/STAT3 Signaling,5.18008044615613e-06,4.826016260162602,58.735947700665285,"['CSF1', 'IL1R1', 'OSMR', 'IL17RB', 'TNFRSF1A', 'SOCS3', 'IL7', 'IL3RA', 'PIM1', 'CD38', 'HMOX1', 'FAS', 'CD9', 'CD44', 'MYD88', 'IL13RA1']",4.316733705130109e-05,0,0,16
7,Interferon Alpha Response,7.574899812615812e-06,3.59190414870388,42.35095804326424,"['IFITM3', 'LGALS3BP', 'IFITM2', 'CSF1', 'SP110', 'TAP1', 'GMPR', 'IFI35', 'NMI', 'TENT5A', 'TMEM140', 'PARP9', 'PSMB9', 'BST2', 'PROCR', 'PLSCR1', 'IL7', 'TRIM5', 'IRF7', 'TXNIP', 'GBP2']",5.410642723297009e-05,0,0,21
8,Inflammatory Response,5.750904347448266e-05,2.855747114738749,27.88228212996228,"['CDKN1A', 'CALCRL', 'FZD5', 'CSF1', 'IL1R1', 'RGS16', 'HPN', 'IL18', 'NMI', 'TACR1', 'EMP3', 'OSMR', 'ICAM1', 'BST2', 'KLF6', 'IRAK2', 'NAMPT', 'KCNMB2', 'CLEC5A', 'IRF7', 'CCL2', 'TIMP1', 'SLC28A2']",0.0003594315217155166,0,0,23
9,Apoptosis,7.68138479144288e-05,2.591639187320498,24.553515229332113,"['IFITM3', 'CDKN1A', 'HSPB1', 'CLU', 'SAT1', 'LGALS3', 'AIFM3', 'HMOX1', 'TSPO', 'CD38', 'TIMP1', 'EGR3', 'GADD45B', 'GADD45A', 'GPX3', 'HGF', 'IL18', 'BGN', 'TAP1', 'SOD2', 'TGFBR3', 'DNAJA1', 'PDCD4', 'TXNIP', 'FAS', 'CD44']",0.00042674359952460443,0,0,26
10,Coagulation,0.00034836125488010974,2.855428727258561,22.735695999556604,"['CPB2', 'F10', 'S100A1', 'C1R', 'PROS1', 'CFI', 'HPN', 'F11', 'CLU', 'KLF7', 'BMP1', 'CSRP1', 'DCT', 'MMP15', 'APOC1', 'SERPING1', 'CD9', 'TIMP1']",0.0017418062744005488,0,0,18
