Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Complement and coagulation cascades,1.54707995391551e-07,10.300464354001639,161.52906376665135,"['PROCR', 'CPB2', 'F10', 'SERPIND1', 'C1R', 'PROS1', 'CFI', 'F11', 'SERPING1', 'CD59', 'CLU', 'F5']",4.2389990737284974e-05,0,0,12
2,Cytokine-cytokine receptor interaction,1.799949296613303e-05,3.674217731421121,40.14144219628396,"['IFNAR2', 'CSF1', 'IL1R1', 'IL18', 'CXCL17', 'CXCR4', 'IFNLR1', 'TNFRSF11B', 'IL1RAP', 'OSMR', 'IL17RB', 'TNFRSF1A', 'IL7', 'IL3RA', 'ACKR4', 'ACKR3', 'IL12RB2', 'IL13RA1']",0.002465930536360225,0,0,18
3,Mineral absorption,0.0011221816675709368,3.7428435114503817,25.42319183156639,"['MT2A', 'MT1A', 'MT1M', 'MT1F', 'ATP2B4', 'MT1G', 'HMOX1', 'MT1X', 'SLC30A1', 'MT1E']",0.09798990869229186,0,0,10
4,"Neomycin, kanamycin and gentamicin biosynthesis",0.001752999610892298,35.78104265402843,227.08177143101915,"['HKDC1', 'GCK', 'HK2']",0.09798990869229186,0,0,3
5,Retinol metabolism,0.002413955000103603,5.515209125475285,33.237346011632795,"['LRAT', 'HSD17B6', 'BCO1', 'CYP3A5', 'RPE65', 'CYP3A7']",0.09798990869229186,0,0,6
6,Viral protein interaction with cytokine and cytokine receptor,0.002413955000103603,5.515209125475285,33.237346011632795,"['CSF1', 'IL18', 'ACKR4', 'CXCR4', 'ACKR3', 'TNFRSF1A']",0.09798990869229186,0,0,6
7,Protein digestion and absorption,0.0025033918279052663,3.0641478421181225,18.354578755855545,"['CPB2', 'COL27A1', 'CELA2B', 'COL24A1', 'MEP1B', 'KCNJ13', 'SLC1A1', 'COL10A1', 'SLC3A1', 'COL6A6', 'SLC38A2']",0.09798990869229186,0,0,11
8,Type II diabetes mellitus,0.0037527978021366605,3.68,20.55373338272405,"['SOCS3', 'IRS1', 'HKDC1', 'PIK3CD', 'PIK3R3', 'IRS2', 'HK2', 'GCK']",0.11783347243983455,0,0,8
9,MAPK signaling pathway,0.0038704425253960257,1.8093878558084966,10.050039354411464,"['CSF1', 'HSPB1', 'IL1RAP', 'FGF2', 'IGF1R', 'RASGRP3', 'MKNK2', 'FLNA', 'FLNB', 'MAP3K6', 'ANGPT2', 'IL1R1', 'GADD45A', 'BDNF', 'EGF', 'HGF', 'HSPA2', 'VEGFA', 'NFKB2', 'TNFRSF1A', 'EFNA1', 'MRAS', 'TAB2', 'PTPN7', 'FGFR3', 'MAP3K14', 'HSPA1B', 'EPHA2', 'HSPA1A']",0.11783347243983455,0,0,29
10,Signaling pathways regulating pluripotency of stem cells,0.004651930886278681,2.25792028903692,12.126099725369425,"['FZD1', 'SMAD1', 'FZD5', 'FZD7', 'WNT7B', 'ESRRB', 'FZD9', 'PIK3R3', 'SMAD9', 'PIK3CD', 'KLF4', 'FGF2', 'IGF1R', 'ID2', 'HESX1', 'FGFR3']",0.12746290628403587,0,0,16
11,JAK-STAT signaling pathway,0.0059473682355978535,2.4336124401913874,12.471792780471471,"['IFNAR2', 'EGF', 'PIK3R3', 'PIK3CD', 'IFNLR1', 'OSMR', 'GFAP', 'SOCS3', 'IL7', 'IL3RA', 'PIM1', 'IL13RA1', 'IL12RB2']",0.14814353605034652,0,0,13
12,Osteoclast differentiation,0.007403906750780011,2.3594896331738435,11.5750603191698,"['IFNAR2', 'SPI1', 'CSF1', 'IL1R1', 'PIK3R3', 'NFATC2', 'PIK3CD', 'TNFRSF11B', 'NFKB2', 'TNFRSF1A', 'SOCS3', 'TAB2', 'MAP3K14']",0.1690558708094769,0,0,13
13,Arachidonic acid metabolism,0.008576492944288173,3.9816223067173637,18.947466303205935,"['GPX2', 'GPX3', 'CYP4F3', 'ALOX12', 'PLA2G5', 'CBR3']",0.17473037110246062,0,0,6
14,Amoebiasis,0.008927829180417695,2.6588210347752335,12.545865093310987,"['LAMA5', 'GNA14', 'ARG2', 'IL1R1', 'LAMB2', 'ACTN1', 'PIK3R3', 'HSPB1', 'PIK3CD', 'LAMB1']",0.17473037110246062,0,0,10
15,HIF-1 signaling pathway,0.01482324638789625,2.132044307530969,8.979229599916573,"['EGLN3', 'ANGPT2', 'EGF', 'PIK3R3', 'PIK3CD', 'ENO4', 'HK2', 'IGF1R', 'VEGFA', 'HKDC1', 'MKNK2', 'HMOX1', 'PFKP']",0.26004774329849456,0,0,13
16,Breast cancer,0.015262369270496474,1.9964844998402045,8.350026905131909,"['FZD1', 'NOTCH3', 'FZD5', 'GADD45A', 'EGF', 'FZD7', 'WNT7B', 'FZD9', 'PIK3R3', 'PIK3CD', 'FGF2', 'IGF1R', 'NFKB2', 'HES1', 'HES5']",0.26004774329849456,0,0,15
17,Steroid hormone biosynthesis,0.01613434903676791,3.9787907565685345,16.419692788761672,"['HSD11B1', 'HSD17B6', 'CYP3A5', 'HSD17B8', 'CYP3A7']",0.26004774329849456,0,0,5
