Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,TNF-alpha Signaling via NF-kB,6.339276015333931e-08,6.548418972332016,108.53294712744658,"['CEBPD', 'GADD45A', 'IL18', 'TNC', 'IRS2', 'KLF2', 'ICAM1', 'EFNA1', 'SOCS3', 'ZFP36', 'KLF6', 'BCL6', 'TRIP10', 'HES1', 'TRIB1']",2.662495926440251e-06,0,0,15
2,Inflammatory Response,0.00011121462125953677,5.307016375981894,48.31533553144261,"['KLF6', 'IL1R1', 'HPN', 'KCNMB2', 'IL18', 'EMP3', 'OSMR', 'SLC28A2', 'ICAM1']",0.002335507046450272,0,0,9
3,Interferon Gamma Response,0.000311195072112434,4.141660415103776,33.44428309012286,"['IFITM3', 'SOCS3', 'PLSCR1', 'IFITM2', 'APOL6', 'C1R', 'SERPING1', 'NOD1', 'IFI44L', 'ICAM1']",0.004356731009574076,0,0,10
4,IL-6/JAK/STAT3 Signaling,0.00200097198571872,6.182416767133451,38.41829342831941,"['SOCS3', 'IL1R1', 'HMOX1', 'OSMR', 'IL13RA1']",0.01809545849352584,0,0,5
5,Apoptosis,0.0021542212492292666,3.744530698659139,22.992639169341537,"['IFITM3', 'LGALS3', 'GADD45A', 'HGF', 'IL18', 'BGN', 'HMOX1', 'HSPB1']",0.01809545849352584,0,0,8
6,Interferon Alpha Response,0.003296531139700714,4.481140547822182,25.60920080768214,"['IFITM3', 'PLSCR1', 'IFITM2', 'TENT5A', 'TMEM140', 'IFI44L']",0.02115294380136489,0,0,6
7,Coagulation,0.003525490633560815,4.415864586790574,24.93963592117879,"['C1R', 'PROS1', 'CFI', 'HPN', 'F11', 'SERPING1']",0.02115294380136489,0,0,6
8,Hypoxia,0.01283923199048522,2.7126153846153844,11.814117601379655,"['EFNA1', 'ZFP36', 'KLF6', 'BGN', 'HMOX1', 'IRS2', 'CP', 'HK2']",0.0674059679500474,0,0,8
9,Xenobiotic Metabolism,0.016602813375279392,2.7975080701119257,11.464700344118262,"['NQO1', 'TPST1', 'IL1R1', 'PROS1', 'F11', 'HMOX1', 'EPHA2']",0.07747979575130383,0,0,7
10,Epithelial Mesenchymal Transition,0.02132760062234716,2.6499685480642765,10.196425069971779,"['ACTA2', 'GADD45A', 'BDNF', 'BGN', 'TNC', 'TNFRSF11B', 'EMP3']",0.08957592261385806,0,0,7
11,Apical Surface,0.028656097475323175,4.872671941570299,17.30962636226498,"['CD160', 'HSPB1', 'GHRL']",0.10941419036032486,0,0,3
12,Complement,0.04055699101863862,2.4875484920535604,7.972710101416571,"['LGALS3', 'PLSCR1', 'C1R', 'SERPING1', 'CP', 'HSPA1A']",0.14194946856523516,0,0,6
13,Myogenesis,0.15090780362267375,1.8234418912216894,3.4482857982266184,"['NQO1', 'SMTN', 'PTP4A3', 'CRYAB', 'SOD3']",0.4875482886270998,0,0,5
14,KRAS Signaling Up,0.20639119007880027,1.7469038208168644,2.756582662718716,"['ST6GAL1', 'HKDC1', 'PDCD1LG2', 'TRIB1']",0.594203260397058,0,0,4
15,Glycolysis,0.2210129273148764,1.5800990027979052,2.3852133016674353,"['TPST1', 'CHST6', 'IRS2', 'HK2', 'IL13RA1']",0.594203260397058,0,0,5
16,Estrogen Response Late,0.2568466110034162,1.580410403245049,2.148214273620477,"['ZFP36', 'TMPRSS3', 'PDZK1', 'OVOL2']",0.594203260397058,0,0,4
17,Allograft Rejection,0.27062964401672124,1.6898452406190376,2.2086345227238904,"['IGSF6', 'IL18', 'ICAM1']",0.594203260397058,0,0,3
18,KRAS Signaling Dn,0.2759671766919589,1.670943396226415,2.1512950842572884,"['CYP39A1', 'EGF', 'IFI44L']",0.594203260397058,0,0,3
19,Myc Targets V2,0.27954605290639034,1.9641751437417072,2.503514521961691,"['MAP3K6', 'HK2']",0.594203260397058,0,0,2
20,IL-2/STAT5 Signaling,0.28295393352240855,1.5084301663249031,1.9043496024667808,"['IFITM3', 'PLSCR1', 'KLF6', 'HK2']",0.594203260397058,0,0,4
21,Estrogen Response Early,0.3183283707242252,1.4219858156028369,1.627707086781011,"['TMPRSS3', 'HES1', 'PDZK1', 'OVOL2']",0.6366567414484504,0,0,4
22,Cholesterol Homeostasis,0.3732446780613375,1.5636748120300752,1.5410345224204072,"['LGALS3', 'PLSCR1']",0.7125580217534625,0,0,2
23,p53 Pathway,0.41195353518899047,1.2356902356902357,1.095865354478981,"['GADD45A', 'HMOX1', 'NUPR1', 'EPHA2']",0.7413639946668084,0,0,4
24,Notch Signaling,0.43784503685383247,1.78517924023542,1.4743620903530579,['HES1'],0.7413639946668084,0,0,1
25,UV Response Up,0.4412880920635764,1.2399501013566194,1.014350290127069,"['DNAJB1', 'HMOX1', 'ICAM1']",0.7413639946668084,0,0,3
26,Bile Acid Metabolism,0.48747987119386715,1.2339181286549707,0.8865779235256923,"['CYP39A1', 'HSD3B7']",0.7874674842362469,0,0,2
27,Reactive Oxygen Species Pathway,0.5911018073701128,1.1346612189308818,0.5965674404319783,['NQO1'],0.9194917003535087,0,0,1
28,Fatty Acid Metabolism,0.720175894707405,0.790547798066595,0.2595050609795866,"['HSP90AA1', 'ACSM3']",0.9392601344685825,0,0,2
29,UV Response Dn,0.7241642578012164,0.784263809129122,0.2531109779162089,"['RBPMS', 'BDNF']",0.9392601344685825,0,0,2
30,Spermatogenesis,0.7564302027215299,0.711824505082932,0.19870226103252847,['MEP1B'],0.9392601344685825,0,0,1
31,G2-M Checkpoint,0.7849164859631476,0.6907894736842105,0.1672939814971839,"['EGF', 'CDC7']",0.9392601344685825,0,0,2
32,Apical Junction,0.7880964499908801,0.6859735545760954,0.16335417395436247,"['TNFRSF11B', 'ICAM1']",0.9392601344685825,0,0,2
33,Androgen Response,0.8157981484283656,0.5925628678437668,0.12063887979000514,['SLC38A2'],0.9392601344685825,0,0,1
34,Pperoxisome,0.8194394895010809,0.5855474774179334,0.11660283403924353,['HSD3B7'],0.9392601344685825,0,0,1
35,heme Metabolism,0.8258170671313495,0.6289140572951366,0.12036282907736233,"['BCAM', 'TMCC2']",0.9392601344685825,0,0,2
36,PI3K/AKT/mTOR  Signaling,0.829938793056848,0.5654579502894109,0.10540324163812359,['NOD1'],0.9392601344685825,0,0,1
37,Unfolded Protein Response,0.868841733002633,0.49219416323654835,0.06919969174369052,['BAG3'],0.9392601344685825,0,0,1
38,Adipogenesis,0.8701505229212947,0.560596406269912,0.07797283136210285,"['BCL6', 'GADD45A']",0.9392601344685825,0,0,2
39,mTORC1 Signaling,0.8721701248636837,0.5574047478246177,0.07623668034162813,"['NUPR1', 'HK2']",0.9392601344685825,0,0,2
40,DNA Repair,0.9374646193794908,0.35922488194105195,0.023197399797955244,['BCAM'],0.9677531706314307,0,0,1
41,E2F Targets,0.9498438693765718,0.332428424201292,0.017105987470188357,['GINS3'],0.9677531706314307,0,0,1
42,Mitotic Spindle,0.9677531706314307,0.2891780011827321,0.009478738186478429,['ARHGAP29'],0.9677531706314307,0,0,1
