Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,TNF-alpha Signaling via NF-kB,2.9530595284942247e-14,17.84640985106914,555.9754441370875,"['CDKN1A', 'CEBPD', 'GADD45B', 'GADD45A', 'TNC', 'IRS2', 'KLF2', 'FOSL2', 'ICAM1', 'EFNA1', 'SOCS3', 'ZFP36', 'NFIL3', 'NAMPT', 'CCL2', 'CD44']",1.1221626208278054e-12,0,0,16
2,Hypoxia,1.0709226466477524e-07,9.444102169169554,151.57382689766757,"['EFNA1', 'ZFP36', 'CDKN1A', 'NFIL3', 'ANXA2', 'PGAM2', 'HMOX1', 'IRS2', 'ADM', 'CP', 'FOSL2']",2.0347530286307294e-06,0,0,11
3,Interferon Gamma Response,2.1818659668428796e-07,10.100241181790775,154.91664266685996,"['IFITM3', 'SOCS3', 'CDKN1A', 'PLSCR1', 'IFITM2', 'APOL6', 'C1R', 'NAMPT', 'CCL2', 'ICAM1']",2.763696891334314e-06,0,0,10
4,Apoptosis,7.206815554905205e-06,9.033583031731336,106.96198970247104,"['IFITM3', 'CDKN1A', 'GADD45B', 'GADD45A', 'HGF', 'HSPB1', 'HMOX1', 'CD44']",6.846474777159944e-05,0,0,8
5,Inflammatory Response,1.808972416516507e-05,9.606945863125638,104.90944844513974,"['CDKN1A', 'IL1R1', 'RGS16', 'NAMPT', 'CCL2', 'ADM', 'ICAM1']",0.00013748190365525453,0,0,7
6,p53 Pathway,0.0005624307924982699,5.349456832475701,40.03128254423943,"['CDKN1A', 'GADD45A', 'RGS16', 'HMOX1', 'NUPR1', 'EPHA2', 'S100A10']",0.0034476810397553867,0,0,7
7,IL-6/JAK/STAT3 Signaling,0.000635099138902308,11.363674673409186,83.6562984693884,"['SOCS3', 'IL1R1', 'HMOX1', 'CD44']",0.0034476810397553867,0,0,4
8,IL-2/STAT5 Signaling,0.0011550314408569878,5.526717557251908,37.38066003689281,"['IFITM3', 'PLSCR1', 'NFIL3', 'GADD45B', 'RGS16', 'CD44']",0.005471623650757115,0,0,6
9,Epithelial Mesenchymal Transition,0.0013395757986986564,5.361361361361362,35.46756219140115,"['ACTA2', 'OXTR', 'GADD45B', 'GADD45A', 'TNC', 'CD44']",0.005471623650757115,0,0,6
10,Myogenesis,0.0014399009607255567,5.282304202012231,34.56307220047635,"['NQO1', 'SMTN', 'CDKN1A', 'GADD45B', 'PGAM2', 'CRYAB']",0.005471623650757115,0,0,6
11,Interferon Alpha Response,0.0037261942065612203,6.804045512010114,38.05072561736323,"['IFITM3', 'PLSCR1', 'IFITM2', 'GBP2']",0.01287230725902967,0,0,4
12,Xenobiotic Metabolism,0.005911938775429065,4.6359357696567,23.78597325671012,"['NQO1', 'IL1R1', 'F11', 'HMOX1', 'EPHA2']",0.018721139455525372,0,0,5
13,Cholesterol Homeostasis,0.019021362766491082,5.6232247284878865,22.28029926845551,"['PLSCR1', 'NFIL3', 'FABP5']",0.0556009065482047,0,0,3
14,Complement,0.02432718819367174,3.8255780759349127,14.216462894379395,"['PLSCR1', 'C1R', 'CP', 'HSPA1A']",0.0660309393828233,0,0,4
15,Estrogen Response Late,0.026206956575630377,3.7343739112256986,13.599582942600758,"['SERPINA3', 'ZFP36', 'FABP5', 'CD44']",0.06639095665826361,0,0,4
16,Allograft Rejection,0.04454102087138137,3.972797161442933,12.360741380862544,"['CCL2', 'GBP2', 'ICAM1']",0.10578492456953076,0,0,3
17,mTORC1 Signaling,0.06916150016310381,2.684835076427997,7.172029277409313,"['CDKN1A', 'NFIL3', 'NAMPT', 'NUPR1']",0.15459629448223206,0,0,4
18,KRAS Signaling Up,0.08252192527953495,3.0419691470054446,7.588773844180428,"['SERPINA3', 'HKDC1', 'RGS16']",0.17421295336790713,0,0,3
19,UV Response Up,0.09070650345516013,2.9151805132666375,6.996801190320676,"['DNAJB1', 'HMOX1', 'ICAM1']",0.18141300691032025,0,0,3
20,Coagulation,0.1354659635837324,3.2047647409172124,6.406436439935937,"['C1R', 'F11']",0.25000043206715244,0,0,2
21,E2F Targets,0.13815813351079476,2.3949158610812744,4.74039192897602,"['CDKN1A', 'GINS3', 'LMNB1']",0.25000043206715244,0,0,3
22,Androgen Response,0.16522042640193846,2.8165531691985333,5.071132944961564,"['ADAMTS1', 'ELL2']",0.2752048105115329,0,0,2
23,Glycolysis,0.16657133267803306,2.1843739784243215,3.915122588168671,"['PGAM2', 'IRS2', 'CD44']",0.2752048105115329,0,0,3
24,KRAS Signaling Dn,0.18976976564276912,2.56741519350215,4.266899509645276,"['CYP39A1', 'EGF']",0.3004687956010511,0,0,2
25,Apical Surface,0.2541365998783536,3.524555903866249,4.828230490182083,['HSPB1'],0.38628763181509745,0,0,1
26,Fatty Acid Metabolism,0.3004644671059785,1.8494133885438233,2.2237823323822514,"['ACSM3', 'S100A10']",0.4391403750010455,0,0,2
27,Reactive Oxygen Species Pathway,0.3217459617928965,2.6412617554858935,2.995172297898212,['NQO1'],0.4528276499307432,0,0,1
28,G2-M Checkpoint,0.3569952722928765,1.616062801932367,1.6645975961568122,"['EGF', 'LMNB1']",0.4718478987083954,0,0,2
29,Apical Junction,0.36009444901430177,1.6047976011994003,1.639122494434945,"['DSC1', 'ICAM1']",0.4718478987083954,0,0,2
30,Mitotic Spindle,0.43551584106130536,1.3662404092071612,1.135651966724524,"['ARHGEF3', 'LMNB1']",0.5516533986776534,0,0,2
31,Spermatogenesis,0.4583496635653147,1.6570197044334976,1.2926790645494293,['MEP1B'],0.5618479746929664,0,0,1
32,Bile Acid Metabolism,0.5118249088261341,1.4132674516400336,0.9465679390693024,['CYP39A1'],0.6077920792310342,0,0,1
33,PI3K/AKT/mTOR  Signaling,0.5365649553073768,1.3163205329153604,0.819498583332377,['CDKN1A'],0.6178626758084945,0,0,1
34,Unfolded Protein Response,0.5859846246155052,1.1457835438716286,0.6123774523211213,['CCL2'],0.6549239922173293,0,0,1
35,UV Response Dn,0.6725435349219614,0.902276400862069,0.3579226121845398,['ANXA2'],0.730190123629558,0,0,1
36,Estrogen Response Early,0.7150990299695339,0.8010656130268199,0.2686247304770297,['CD44'],0.7548267538567303,0,0,1
37,heme Metabolism,0.749995598612878,0.7246801127738017,0.208481729516791,['ELL2'],0.7702657499267396,0,0,1
38,Adipogenesis,0.7881746028157791,0.6464064316156528,0.15386776638181207,['GADD45A'],0.7881746028157791,0,0,1
