Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-669e,0.03826077570130628,1.6462585034013606,5.37228482891301,"['GADD45B', 'MTMR11', 'EGF', 'IRS2', 'MMD2', 'SLC5A3', 'ELL2', 'SLC39A14', 'CP', 'MOB3B', 'FOSL2', 'LMNB1', 'EFNA1', 'DNAJB1', 'HELB', 'NAMPT', 'ARHGEF3', 'PRKCQ', 'CD44']",0.9999362410660033,0,0,19
2,mmu-miR-551b,0.04026252242548721,2.7768274365821095,8.920097762421253,"['SOCS3', 'ZFP36', 'NUAK2', 'KLF2', 'ICAM1']",0.9999362410660033,0,0,5
3,hsa-miR-3944-3p,0.06457558916619222,2.202369035702369,6.03431236133824,"['EFNA1', 'ANXA2', 'CRISPLD1', 'IER5L', 'IRS2', 'SLC39A14']",0.9999362410660033,0,0,6
4,hsa-miR-551a,0.14804294634701984,2.010589214129037,3.840733815255764,"['SOCS3', 'ZFP36', 'ARHGEF3', 'SLC5A3']",0.9999362410660033,0,0,4
5,hsa-miR-551b,0.14804294634701984,2.010589214129037,3.840733815255764,"['SOCS3', 'ZFP36', 'ARHGEF3', 'SLC5A3']",0.9999362410660033,0,0,4
6,mmu-miR-5126,0.17076485034622443,2.1572489505973524,3.8128680848780028,"['CEBPD', 'GADD45B', 'HES5']",0.9999362410660033,0,0,3
7,hsa-miR-4782-3p,0.1866273852392533,1.3454229676975191,2.258482481893385,"['OXTR', 'GADD45B', 'EGF', 'HGF', 'SLC5A3', 'ELL2', 'MOB3B', 'APOL6', 'UBASH3B', 'ADAMTS1', 'GNRHR', 'ARSF', 'HES5', 'PDZRN4']",0.9999362410660033,0,0,14
8,hsa-miR-219-5p,0.1866273852392533,1.3454229676975191,2.258482481893385,"['OXTR', 'GADD45B', 'EGF', 'HGF', 'SLC5A3', 'ELL2', 'MOB3B', 'APOL6', 'UBASH3B', 'ADAMTS1', 'GNRHR', 'ARSF', 'HES5', 'PDZRN4']",0.9999362410660033,0,0,14
9,mmu-miR-2137,0.19598521132647267,2.511827956989247,4.093566399175584,"['IER5L', 'IRS2']",0.9999362410660033,0,0,2
10,mmu-miR-344,0.2066188677905759,1.3866576199960603,2.186591837552443,"['CYP39A1', 'DNAJB1', 'ZFP36', 'CLMP', 'EGF', 'ADAMTS1', 'GINS3', 'GNRHR', 'PRKCQ', 'SLC5A3']",0.9999362410660033,0,0,10
11,mmu-miR-344c,0.2066188677905759,1.3866576199960603,2.186591837552443,"['CYP39A1', 'DNAJB1', 'ZFP36', 'CLMP', 'EGF', 'ADAMTS1', 'GINS3', 'GNRHR', 'PRKCQ', 'SLC5A3']",0.9999362410660033,0,0,10
12,mmu-miR-744,0.2126043391055147,1.476044885347211,2.285393364653671,"['CDKN1A', 'IFITM2', 'RGS16', 'IER5L', 'MOB3B', 'FOSL2', 'EPHA2']",0.9999362410660033,0,0,7
13,hsa-miR-508-3p,0.22620527041497773,1.2891548129750885,1.9160868043752874,"['OXTR', 'EGF', 'HGF', 'SLC5A3', 'ELL2', 'MOB3B', 'DNAJB1', 'SOCS3', 'APOL6', 'UBASH3B', 'ADAMTS1', 'GNRHR', 'ARSF', 'HES5']",0.9999362410660033,0,0,14
14,mmu-miR-688,0.23013789949715463,1.4883110959060326,2.186442984712349,"['SMTN', 'CEBPD', 'IL1R1', 'ADM', 'HES5', 'FOSL2']",0.9999362410660033,0,0,6
15,mmu-miR-1901,0.27186524127657663,1.9930137495354887,2.5957983105390814,"['DNAJB1', 'CEBPD']",0.9999362410660033,0,0,2
16,hsa-miR-4444,0.2755979659395621,1.5291804037249117,1.9708262385230044,"['APOL6', 'MEP1B', 'HES5', 'MOB3B']",0.9999362410660033,0,0,4
17,hsa-miR-451,0.29092394098870045,1.489318527704188,1.838851782191264,"['OXTR', 'NAMPT', 'ARHGEF3', 'SLC39A14']",0.9999362410660033,0,0,4
18,mmu-miR-3094,0.31456031745456087,1.1815788439624346,1.3665897891844396,"['SFTA3', 'ANXA2', 'MTMR11', 'MMD2', 'ELL2', 'KLF2', 'FOSL2', 'ICAM1', 'SOCS3', 'ZFP36', 'SCN11A', 'NAMPT', 'GNRHR', 'CHI3L1', 'EPHA2']",0.9999362410660033,0,0,15
19,mmu-miR-3102-3p.2,0.32009557202282374,1.176274901178036,1.3399366920207143,"['FYB2', 'BTBD18', 'EGF', 'IRS2', 'MMD2', 'SLC5A3', 'ELL2', 'SLC39A14', 'CYP39A1', 'SOCS3', 'CLMP', 'PLN', 'CRISPLD1', 'NAMPT', 'CD44']",0.9999362410660033,0,0,15
20,mmu-miR-701,0.32259188949716106,1.7511605099705787,1.9812056586298799,"['EGF', 'FOSL2']",0.9999362410660033,0,0,2
21,mmu-miR-2183,0.3267020137329663,1.2030585713783775,1.3458698004299587,"['CYP39A1', 'RNF125', 'IL1R1', 'NAMPT', 'ARHGEF3', 'PRKCQ', 'SLC5A3', 'CP', 'MOB3B', 'CD44', 'EPHA2']",0.9999362410660033,0,0,11
22,hsa-miR-4445,0.3328877727099901,1.170651596386997,1.287658065049974,"['OXTR', 'MTMR11', 'EGF', 'HGF', 'SLC5A3', 'ELL2', 'MOB3B', 'ZFP36', 'APOL6', 'UBASH3B', 'ADAMTS1', 'GNRHR', 'ARSF', 'HES5']",0.9999362410660033,0,0,14
23,hsa-miR-4449,0.33781362555779026,1.2824744305548692,1.3918194050722013,"['SOCS3', 'NAMPT', 'IER5L', 'ADM', 'KLF2', 'ICAM1']",0.9999362410660033,0,0,6
24,hsa-miR-566,0.37150433174585656,1.2076809453471196,1.195839337484515,"['NQO1', 'SOCS3', 'NUAK2', 'BTBD17', 'ARHGEF3', 'PRKCQ', 'ADM']",0.9999362410660033,0,0,7
25,mmu-miR-878-5p,0.3790182197301529,1.1675915649278579,1.1327634783426892,"['CYP39A1', 'OXTR', 'ADAMTS1', 'NAMPT', 'SLC5A3', 'SLC39A14', 'MOB3B', 'CD44', 'PDZRN4']",0.9999362410660033,0,0,9
26,mmu-miR-505-3p,0.3812078594387709,1.1319702602230484,1.0916839930886464,"['SERPINA3', 'RGS16', 'IRS2', 'SLC5A3', 'MOB3B', 'FOSL2', 'LMNB1', 'HKDC1', 'NAMPT', 'ARHGEF3', 'HMOX1', 'C6ORF118', 'CD44']",0.9999362410660033,0,0,13
27,hsa-miR-3655,0.3909733810041577,1.1361007400493366,1.0669301560395115,"['OXTR', 'BTBD17', 'GADD45B', 'IL1R1', 'HGF', 'GNRHR', 'ARHGEF3', 'IRS2', 'YBX3', 'CP', 'MOB3B']",0.9999362410660033,0,0,11
28,mmu-miR-3960,0.3938028440757843,1.49041248606466,1.3889226848802982,"['GADD45B', 'IRS2']",0.9999362410660033,0,0,2
29,hsa-miR-584,0.3989289892140138,1.1112618724559022,1.0212183785717415,"['GADD45A', 'F11', 'SLC5A3', 'ELL2', 'PSG8', 'PLSCR1', 'PLN', 'RNF125', 'APOL6', 'UBASH3B', 'CRISPLD1', 'NAMPT', 'PRKCQ', 'GBP2']",0.9999362410660033,0,0,14
30,mmu-miR-431,0.4029131963490392,1.1126464128843339,1.0114335682853177,"['GADD45B', 'EGF', 'IRS2', 'MMD2', 'ELL2', 'MOB3B', 'FOSL2', 'LMNB1', 'HELB', 'NAMPT', 'ARHGEF3', 'PRKCQ', 'DSC1']",0.9999362410660033,0,0,13
31,mmu-miR-500,0.4055844229949527,1.1220235643074894,1.0125434976757315,"['HS3ST3B1', 'FYB2', 'PLN', 'GADD45B', 'CRISPLD1', 'ADAMTS1', 'IL1R1', 'IER5L', 'IGFN1', 'SLC5A3', 'HES5']",0.9999362410660033,0,0,11
32,mmu-miR-501-3p,0.4055844229949527,1.1220235643074894,1.0125434976757315,"['HS3ST3B1', 'FYB2', 'PLN', 'GADD45B', 'CRISPLD1', 'ADAMTS1', 'IL1R1', 'IER5L', 'IGFN1', 'SLC5A3', 'HES5']",0.9999362410660033,0,0,11
33,hsa-miR-192,0.4080986919044191,1.1081327498176514,0.9931598125576009,"['SFTA3', 'IL1R1', 'IRS2', 'SLC5A3', 'ELL2', 'PLN', 'RNF125', 'APOL6', 'UBASH3B', 'SCN11A', 'PRKCQ', 'GBP2', 'DSC1']",0.9999362410660033,0,0,13
34,hsa-miR-215,0.4080986919044191,1.1081327498176514,0.9931598125576009,"['SFTA3', 'IL1R1', 'IRS2', 'SLC5A3', 'ELL2', 'PLN', 'RNF125', 'APOL6', 'UBASH3B', 'SCN11A', 'PRKCQ', 'GBP2', 'DSC1']",0.9999362410660033,0,0,13
35,hsa-miR-671-3p,0.42076151425337277,1.282217492260062,1.1100016815737646,"['EFNA1', 'IL1R1', 'KLF2']",0.9999362410660033,0,0,3
36,hsa-miR-921,0.42297686046858696,1.0912802830959079,0.938978811226134,"['HS3ST3B1', 'NEK5', 'MTMR11', 'IER5L', 'ADM', 'PSG8', 'CLMP', 'PLN', 'RNF125', 'APOL6', 'UBASH3B', 'ADAMTS1', 'NAMPT', 'PRKCQ']",0.9999362410660033,0,0,14
37,mmu-miR-5119,0.4239808250389209,1.090461602233204,0.9356891687899449,"['SFTA3', 'FYB2', 'BTBD18', 'EGF', 'GADD45A', 'RGS16', 'IGFN1', 'SLC5A3', 'SLC39A14', 'CP', 'UBASH3B', 'ADAMTS1', 'PRKCQ', 'S100A10']",0.9999362410660033,0,0,14
38,hsa-miR-4790-5p,0.42901295686763113,1.2081369957476151,1.02240787002903,"['OXTR', 'APOL6', 'UBASH3B', 'HKDC1']",0.9999362410660033,0,0,4
39,hsa-miR-4783-5p,0.43551584106130536,1.3662404092071612,1.135651966724524,"['IER5L', 'HES5']",0.9999362410660033,0,0,2
40,mmu-miR-139-3p,0.43603447156612124,1.0807219548553328,0.8970359406347845,"['SERPINA3', 'CDKN1A', 'OXTR', 'MTMR11', 'HILPDA', 'IRS2', 'SLC5A3', 'FOSL2', 'DNAJB1', 'ZFP36', 'PRKCQ', 'DSC1', 'HES5', 'EPHA2']",0.9999362410660033,0,0,14
41,mmu-miR-1951,0.4375087332870022,1.1055731364275667,0.913931553964709,"['ACSM3', 'UBASH3B', 'ANXA2', 'NAMPT', 'CCL2', 'PRKCQ', 'DSC1', 'CD44', 'FOSL2']",0.9999362410660033,0,0,9
42,mmu-miR-5111,0.44124914379720465,1.2403071736280202,1.014751870568539,"['SOCS3', 'CLMP', 'SLC5A3']",0.9999362410660033,0,0,3
43,mmu-miR-1897-3p,0.44372790518143757,1.09933543196922,0.89325811304286,"['SOCS3', 'PLSCR1', 'UBASH3B', 'GADD45B', 'CRISPLD1', 'HGF', 'NAMPT', 'SLC39A14', 'CD44']",0.9999362410660033,0,0,9
44,hsa-miR-1249,0.4481814535878803,1.176655091296068,0.9443328956995469,"['SOCS3', 'IL1R1', 'HES5', 'CD44']",0.9999362410660033,0,0,4
45,mmu-miR-666-5p,0.4481814535878803,1.176655091296068,0.9443328956995469,"['CDKN1A', 'ADM', 'MOB3B', 'CD44']",0.9999362410660033,0,0,4
46,hsa-miR-4704-5p,0.4561263274621608,1.0648284958748961,0.8358749014845963,"['CDKN1A', 'RGS16', 'SLC5A3', 'SLC39A14', 'MOB3B', 'LMNB1', 'RNF125', 'APOL6', 'UBASH3B', 'SCN11A', 'NAMPT', 'CCL2', 'DSC1', 'CD44']",0.9999362410660033,0,0,14
47,mmu-miR-496,0.46510985373594843,1.0726109597544573,0.8210640144703182,"['NQO1', 'SOCS3', 'CLMP', 'UBASH3B', 'EGF', 'HGF', 'NAMPT', 'ARHGEF3', 'DSC1', 'CD44']",0.9999362410660033,0,0,10
48,hsa-miR-639,0.4746824297244376,1.1351667135469632,0.8458232384674453,"['SOCS3', 'CDKN1A', 'IL1R1', 'IGFN1']",0.9999362410660033,0,0,4
49,mmu-miR-1964-3p,0.4791678010268632,1.168050158954433,0.8593396736263449,"['ADAMTS1', 'IER5L', 'IRS2']",0.9999362410660033,0,0,3
50,mmu-miR-678,0.48217099457107426,1.1238295228095738,0.8197847135822686,"['GADD45B', 'RGS16', 'ARHGEF3', 'ADM']",0.9999362410660033,0,0,4
51,hsa-miR-554,0.4857781142342445,1.0585950692333672,0.7643091486026846,"['CLMP', 'RNF125', 'NAMPT', 'GNRHR', 'IRS2', 'IGFN1', 'DSC1', 'SLC5A3', 'MOB3B']",0.9999362410660033,0,0,9
52,hsa-miR-652,0.4900988622095957,1.1483411499044642,0.8189373650348307,"['ARHGEF3', 'HES5', 'FOSL2']",0.9999362410660033,0,0,3
53,hsa-miR-3177-5p,0.49318691823891503,1.0385409497591191,0.7341103590738061,"['NQO1', 'OXTR', 'IRS2', 'SLC5A3', 'CP', 'ICAM1', 'DNAJB1', 'NUAK2', 'APOL6', 'UBASH3B', 'CHI3L1', 'C6ORF118', 'DSC1']",0.9999362410660033,0,0,13
54,mmu-miR-1963,0.5007104362842909,1.0964246113935439,0.75842685415708,"['ARHGEF3', 'CHI3L1', 'MOB3B', 'ICAM1']",0.9999362410660033,0,0,4
55,mmu-miR-493,0.5011105522191693,1.0305430979251886,0.7120316371575657,"['IFITM2', 'IL1R1', 'GINS3', 'HGF', 'RGS16', 'SLC39A14', 'MOB3B', 'FOSL2', 'ICAM1', 'NUAK2', 'MEP1B', 'FABP5', 'GNRHR', 'CD44']",0.9999362410660033,0,0,14
56,hsa-miR-1250,0.5025492856903996,1.0937552178994825,0.7525709246389288,"['SERPINA3', 'OXTR', 'HILPDA', 'IER5L']",0.9999362410660033,0,0,4
57,hsa-miR-4671-5p,0.5043852792187605,1.0910983862571577,0.7467639493353928,"['EGF', 'MOB3B', 'FOSL2', 'EPHA2']",0.9999362410660033,0,0,4
58,hsa-miR-4746-5p,0.5062183899298016,1.0884540280028252,0.7410054635536993,"['NQO1', 'IER5L', 'ADM', 'EPHA2']",0.9999362410660033,0,0,4
59,mmu-miR-293,0.5073572778782744,1.118124894229142,0.7586922795325014,"['OXTR', 'UBASH3B', 'RGS16']",0.9999362410660033,0,0,3
60,hsa-miR-486-5p,0.5085914070438529,1.0266519073569482,0.6941299511001128,"['MTMR11', 'TNC', 'SLC5A3', 'ELL2', 'ICAM1', 'EFNA1', 'PSG8', 'DNAJB1', 'SOCS3', 'RNF125', 'APOL6', 'UBASH3B', 'GNRHR']",0.9999362410660033,0,0,13
61,hsa-miR-1181,0.5118249088261341,1.4132674516400336,0.9465679390693024,['RBP2'],0.9999362410660033,0,0,1
62,mmu-miR-3073-3p,0.5144821959437971,1.0239427729854829,0.6805065600303486,"['DNAJB1', 'RNF125', 'NUAK2', 'ACSM3', 'CRISPLD1', 'IL1R1', 'NAMPT', 'GNRHR', 'PRKCQ', 'NUPR1', 'MOB3B', 'FOSL2']",0.9999362410660033,0,0,12
63,hsa-miR-4774-5p,0.5147251610656378,1.0219640434192674,0.6787089971896613,"['NQO1', 'EGF', 'RGS16', 'IRS2', 'SLC5A3', 'ELL2', 'MOB3B', 'RNF125', 'APOL6', 'UBASH3B', 'CRISPLD1', 'ARSF', 'S100A10']",0.9999362410660033,0,0,13
64,hsa-miR-3200-3p,0.5153525693115517,1.0253798630823177,0.6797284250054396,"['OXTR', 'APOL6', 'EGF', 'NAMPT', 'ARHGEF3', 'IRS2', 'ELL2', 'SLC39A14', 'CP', 'MOB3B', 'ICAM1']",0.9999362410660033,0,0,11
65,mmu-miR-1249,0.515874695626954,1.10359231411863,0.7304582407677012,"['GADD45B', 'IER5L', 'IRS2']",0.9999362410660033,0,0,3
66,hsa-miR-1277,0.5179920308166404,1.100016655562958,0.7235859194543971,"['SFTA3', 'CRISPLD1', 'SLC5A3']",0.9999362410660033,0,0,3
67,mmu-miR-5123,0.5213384090426197,1.0295616717635065,0.6706110802068309,"['FYB2', 'EGF', 'GNRHR', 'DSC1', 'SLC5A3', 'MOB3B', 'CD44', 'PDZRN4']",0.9999362410660033,0,0,8
68,hsa-miR-4258,0.5226130814433545,1.0283375250740767,0.6673025085076298,"['RNF125', 'CEBPD', 'GADD45B', 'HILPDA', 'IRS2', 'HES5', 'KLF2', 'FOSL2']",0.9999362410660033,0,0,8
