"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"POU1F1 (human)",0.00169198424483483,1.6073956565829,10.2581633226344,"['PHF3', 'CAB39L', 'RIMS1', 'PSMD6', 'PPP2R1B', 'HEPH', 'LRRTM4', 'SESN1', 'UPP2', 'CPNE3', 'DLGAP1', 'VPS36', 'SCAPER', 'EYS', 'NCOA1', 'DFFA', 'PPP1R12A', 'EIF1AY', 'FBXW7', 'ARRDC3', 'ATRX', 'ETV1', 'MYRIP', 'ARMC8', 'TANC2', 'PARP8', 'ALDH1A1', 'COL21A1', 'ZMYND11', 'C21ORF62', 'CREB5', 'SEMA3D', 'WDR63', 'PGBD1', 'RANBP3L', 'RBBP6', 'ARSG', 'PNPT1', 'PLEKHA1', 'LARP7', 'KCNJ16', 'OXR1', 'MLH3', 'OTOGL', 'IGSF11', 'PEX5L', 'EIF3M', 'DLC1', 'VPS45', 'CDO1', 'GLIPR1L2', 'PCDHB7']",0.254814926793596,0,0,52,"POU1F1",0.254814926793596,NA,NA,NA,NA,NA,NA,NA
"MXI1 (human)",0.0033132928092257,4.69480519480519,26.8064586899821,"['LGALS3BP', 'CSRP1', 'ODC1', 'EPC1', 'VPS36', 'LPIN2']",0.254814926793596,0,0,6,"MXI1",0.254814926793596,0.000364923506512903,0.0367432067431366,NA,NA,NA,0.0716237210114905,0.0395186534868657
"CBEPB (human)",0.00449885131972535,1.37982360295431,7.45647454651468,"['SCARB2', 'BTG1', 'RORA', 'CIB1', 'PTPRK', 'PHEX', 'RIMS1', 'SERP1', 'CSRP1', 'HEPH', 'LRRTM4', 'IQUB', 'CAPN2', 'KIF13B', 'ME2', 'MACROD2', 'VPS36', 'SCAPER', 'EYS', 'TMEM8B', 'AGTPBP1', 'SMARCC2', 'CDKL5', 'FBXW7', 'ATRX', 'HAUS3', 'ETV1', 'NPNT', 'GPCPD1', 'RAD23B', 'ZFX', 'TOPORS', 'HLA-E', 'DNAJC2', 'MRAS', 'ZNF718', 'TFDP2', 'PPA2', 'DNAJC7', 'POLR1A', 'KIAA2026', 'PEAK1', 'ALDH1A1', 'PLIN2', 'ASTN2', 'MFGE8', 'CREB5', 'CAPS2', 'SP140', 'NRF1', 'KLHL13', 'MFF', 'NR2C2', 'LPP', 'PHF21A', 'PBLD', 'ACVR1C', 'SLC25A28', 'SCFD2', 'ZNF626', 'SLC17A5', 'ZNF625', 'MAP4K5', 'ARGLU1', 'SASH1', 'IP6K2', 'GDF10', 'STARD13', 'PNPT1', 'FAM78B', 'NEBL', 'FBXL17', 'PDE4DIP', 'LARP7', 'TMEM192', 'KCNJ16', 'SGCZ', 'OXR1', 'IGSF11', 'RNF145', 'PPP2R2B', 'NFIB', 'EIF3L', 'IMPDH2', 'DLC1', 'EIF3E', 'NAA15', 'GLIPR1L1', 'ZNF532', 'ZNF135', 'PCDHB7']",0.254814926793596,0,0,91,"CBEPB",0.254814926793596,NA,NA,NA,NA,NA,NA,NA
"ZBTB16 (human)",0.00497680666366248,1.45844576517902,7.73408951000077,"['SCARB2', 'GLDC', 'CAB39L', 'AVIL', 'ATF7IP2', 'PTPN21', 'AFF3', 'DUSP15', 'YARS2', 'CPT2', 'HEPH', 'RARS', 'CDC27', 'PLCE1', 'UPP2', 'ZNF644', 'TEAD1', 'NCOA1', 'SMARCC2', 'PPP1R12A', 'RPL23', 'ETV1', 'ACYP1', 'CGRRF1', 'TOPORS', 'BACE1', 'RRAGD', 'CNKSR3', 'L2HGDH', 'MAPT', 'ZMYND11', 'CGGBP1', 'C21ORF62', 'GRAMD1C', 'WDR26', 'WDR63', 'MFF', 'NR2C2', 'AGPAT3', 'PGBD1', 'RANBP3L', 'ACVR1C', 'RIC8B', 'OXCT1', 'ZIM2', 'IP6K2', 'SPECC1', 'FZD3', 'KCNJ10', 'LARP7', 'BTBD7', 'OXR1', 'TTLL7', 'LETM1', 'ASXL1', 'MOV10', 'KBTBD4', 'EIF3M', 'MFAP3', 'TBXAS1', 'NDUFAF2', 'CSPG5', 'GLIPR1L1']",0.254814926793596,0,0,63,"ZBTB16",0.254814926793596,7.0260235539919e-08,0.000792877242219907,0.821502538772188,0.820243956707262,-0.0839020690041576,0.487003444932323,0.475967890054807
"En1 (mouse)",0.00547771389070787,1.67877423026164,8.74149063063856,"['LGALS3BP', 'RNASEH2C', 'PDS5B', 'TM7SF2', 'PGBD1', 'PPP3CB', 'ACVR1C', 'PPP4R1', 'RASSF3', 'ADAMTSL3', 'AMZ2', 'CTNNA2', 'NUDT16', 'RREB1', 'TEAD1', 'SCAPER', 'TMEM14C', 'FAM78B', 'ABCC8', 'PRSS35', 'CGRRF1', 'PRDX6', 'OXR1', 'DGKZ', 'PTBP2', 'PUM2', 'PEX5L', 'EIF3M', 'PCDHB16', 'LCOR', 'PIGM', 'ASTN2', 'RHOQ']",0.254814926793596,0,0,33,"En1",0.254814926793596,NA,NA,NA,NA,NA,NA,NA
"FOS (human)",0.00673123328234991,1.48766964735751,7.43983129562663,"['PHF3', 'LMBR1L', 'GLDC', 'DOCK7', 'RORA', 'PTPRK', 'RIMS1', 'PPP4R1', 'RASSF3', 'HEPH', 'ZNF605', 'CDC27', 'CAPN2', 'UPP2', 'SEC62', 'SCAPER', 'ZNF564', 'ZNF441', 'AGTPBP1', 'RPL23', 'ACYP1', 'HLA-E', 'EML3', 'DNAJC2', 'IVD', 'CGGBP1', 'ITIH4', 'LMAN2L', 'SDSL', 'NR2C1', 'PCDH17', 'C7ORF50', 'RIC8B', 'ADAP2', 'ARSG', 'CDH26', 'ZNF621', 'IP6K2', 'CA12', 'SPAG9', 'VASP', 'DNAH12', 'WWOX', 'NEBL', 'SLC6A9', 'DCHS2', 'EIF3L', 'DLC1', 'COL9A2', 'NAA15', 'DEGS2', 'GLIPR1L2']",0.254814926793596,0,0,52,"FOS",0.254814926793596,0.0729099078546496,0.139151542446992,0.807644988311858,0.80514788787339,0.570511131647323,0.768760260556309,0.504606043093491
"POU2F2 (human)",0.00722732175794582,1.33642001710864,6.58839932946631,"['C8ORF48', 'SERPINE3', 'WDR89', 'IPO5', 'RIMS1', 'PSMD6', 'PPP4R2', 'ZNF844', 'MACROD2', 'EYS', 'KPNA1', 'RPS12', 'ZNF441', 'DDX17', 'SMARCC2', 'PAQR4', 'FBXW7', 'RPL23', 'ARRDC3', 'MTUS1', 'ACYP1', 'RNF40', 'CGGBP1', 'LMAN2L', 'SP140', 'SLC41A2', 'METTL2A', 'KLHL13', 'DTX4', 'AAAS', 'SDSL', 'RHOBTB2', 'RAP1A', 'ADAP2', 'KCNMB3', 'ZNF821', 'CDH26', 'SPECC1', 'FZD3', 'FAM78B', 'NEBL', 'FZD9', 'A2ML1', 'BBIP1', 'PUM2', 'IGSF11', 'FAM160A2', 'SLC6A9', 'COL5A1', 'COL9A2', 'ALK', 'INTS12', 'PYGB', 'CELF6', 'AFF3', 'DUSP15', 'B3GNTL1', 'LRRTM4', 'RARS', 'ZNF644', 'ZNF763', 'CBR1', 'PPP1R12A', 'AMPD2', 'ELOVL6', 'ETV1', 'GPCPD1', 'PTBP2', 'TOPORS', 'TFDP2', 'IVD', 'ALDH1A1', 'LCOR', 'MAPT', 'MFGE8', 'TAGLN', 'AHCY', 'SEMA3D', 'COL11A1', 'C17ORF58', 'NR2C1', 'ZNF69', 'AGPAT3', 'RAD54B', 'ACVR1C', 'ZNF625', 'CTNNA2', 'ATP6V0E2', 'MTA2', 'ZIM2', 'RNF24', 'PDE4DIP', 'KCNJ16', 'OXR1', 'CLCN4', 'DLC1', 'ASXL2', 'TTC3', 'EIF3E']",0.254814926793596,0,0,99,"POU2F2",0.254814926793596,0.083672345449571,0.283662671842033,0.945344048821831,0.945853529247949,-0.334075020758237,0.885073033606957,0.862448242839641
"MEF2A (human)",0.00738817441698699,1.33345091122869,6.54440986927013,"['SERPINE3', 'RORA', 'WDR89', 'RIMS1', 'PSMD6', 'CDC27', 'TRIM26', 'CPNE3', 'EPHB2', 'VPS36', 'SCAPER', 'DDX17', 'MTUS1', 'NPNT', 'CGRRF1', 'TANC2', 'HLA-E', 'SPATA13', 'TRIM13', 'SREK1', 'SIK2', 'LMAN2L', 'SLC41A2', 'AK4', 'NRF1', 'KLHL13', 'SLC5A3', 'PHF21A', 'C7ORF50', 'KCNMB3', 'ARSG', 'RREB1', 'ZBED5', 'ANKRD29', 'STARD13', 'PNPT1', 'ARHGAP29', 'SCCPDH', 'COL9A2', 'GLIPR1L1', 'PCDHB7', 'PHF3', 'INTS12', 'BTG1', 'CAB39L', 'ATF7IP2', 'HMGB2', 'CELF6', 'AFF3', 'PPP3CB', 'CSRP1', 'HEPH', 'UPP2', 'NCOA1', 'DFFA', 'PPP1R12A', 'AP3B1', 'C6ORF62', 'ETV1', 'MRPL48', 'MRPS6', 'ZFX', 'PARP8', 'ENAH', 'DNAJC2', 'TFDP2', 'POLR1A', 'IVD', 'CNKSR3', 'CRY2', 'EFHC1', 'CAPS2', 'ARHGEF6', 'AHCY', 'SEMA3D', 'SLC43A3', 'COL11A1', 'STYXL1', 'ACVR1C', 'SNX27', 'SLC17A5', 'ANO10', 'FLNA', 'ATP6V0E2', 'SASH1', 'ANGPT2', 'PLEKHA1', 'TXNRD1', 'PDE4DIP', 'KIAA0232', 'PCDHB12', 'OTOGL', 'PPP2R2B', 'NFIB', 'DLC1', 'TTC3', 'VPS45', 'EIF3D', 'PLCD1', 'TNRC6A']",0.254814926793596,0,0,100,"MEF2A",0.254814926793596,0.169079369418907,0.311379353533872,NA,NA,NA,0.321837467550038,0.701344151952995
"IRF2 (mouse)",0.00775717994253901,1.50532766363724,7.3145924748691,"['SCARB2', 'PHF3', 'CAB39L', 'SLC44A2', 'SP140', 'PTPN21', 'RORA', 'NRF1', 'PCDH19', 'PHEX', 'RHOBTB2', 'PPP3CB', 'MED13', 'LRRTM4', 'SESN1', 'EFCAB2', 'KIF13B', 'PLCE1', 'DLGAP1', 'RREB1', 'GDF10', 'SPAG9', 'DDX17', 'DFFA', 'STARD13', 'GPR35', 'FBXW7', 'TXNRD1', 'GSR', 'SFTPD', 'VPS33B', 'RFX3', 'ADAM10', 'BTBD7', 'PCDHB12', 'MRPL48', 'SGCZ', 'C1QL2', 'KBTBD4', 'NUDT7', 'NASP', 'TFDP2', 'PPA2', 'H2AFY2', 'POLR1A', 'PABPC1L', 'GLIPR1L2']",0.254814926793596,0,0,47,"IRF2",0.254814926793596,0.00601833995341788,0.0597845347026681,NA,NA,NA,0.944583641267782,0.70540994870733
"HINFP (human)",0.00798792873961116,1.3125037884951,6.33916201478658,"['C8ORF48', 'ARID4A', 'HNRNPR', 'TM7SF2', 'ACTG1', 'SESN1', 'PPP4R4', 'CAPN2', 'CPNE3', 'PDE8A', 'ZNF564', 'KPNA1', 'TMEM8B', 'CDKL5', 'NUP210', 'FBXW7', 'SWAP70', 'MTUS1', 'HSPG2', 'DKK3', 'FLYWCH2', 'SLC41A2', 'AK4', 'NRF1', 'LPP', 'SLC5A3', 'RHOBTB2', 'C6ORF99', 'KCNMB3', 'ZNF821', 'RREB1', 'ZBED5', 'IP6K2', 'VASP', 'TMEM184B', 'BBIP1', 'PUM2', 'SP3', 'TBXAS1', 'CSPG5', 'AMOTL2', 'CALR', 'ALK', 'INTS12', 'ANKRD33B', 'BTG1', 'ATF7IP2', 'HMGB2', 'CELF6', 'AP2A1', 'PTPRK', 'AFF3', 'PHEX', 'PPP3CB', 'HEPH', 'LRRTM4', 'MDK', 'DLGAP1', 'TEAD1', 'ZNF641', 'DGCR2', 'NCOA1', 'CBR1', 'ZNF362', 'ABCC8', 'MSL2', 'AMPD2', 'ZFX', 'PARP8', 'ENAH', 'SETBP1', 'TBC1D5', 'PEAK1', 'PPDPF', 'LCOR', 'AKNAD1', 'EFHC2', 'ZMYND11', 'CREB5', 'ODC1', 'TRAK1', 'AGPAT3', 'RANBP3L', 'SNX27', 'PTCHD1', 'BAHD1', 'CTNNA1', 'CTNNA2', 'MTA2', 'SASH1', 'ZIM2', 'JAZF1', 'SPAG9', 'WWOX', 'KCNJ10', 'TXNRD1', 'PDE4DIP', 'KIAA0232', 'FAH', 'COLQ', 'TTLL7', 'ASXL1', 'RNF145', 'KBTBD4', 'CLCN4', 'NFIB', 'TTC3', 'C16ORF89', 'PNPLA6', 'PLCD1', 'PFKP']",0.254814926793596,0,0,111,"HINFP",0.254814926793596,0.223180366058188,0.545942987519788,NA,NA,NA,0.838163560331607,0.940070251880981
