Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,NF1 human,0.005828098581588177,10.917922948073702,56.17341750775713,"['DDB1', 'MSH2', 'SP3']",0.6004517901545685,0,0,3
2,RELA mouse,0.03048394002822545,2.7344276094276094,9.544670758576613,"['FTH1', 'PSME2', 'NRF1', 'GLI1', 'PPM1D', 'PHEX']",0.6004517901545685,0,0,6
3,SRF human,0.030908469325026985,5.03633552377271,17.50995384772945,"['TAGLN', 'SAMD4A', 'KPNA1']",0.6004517901545685,0,0,3
4,KLF4 human,0.03633660346758795,4.676238334529792,15.501401272897048,"['TAGLN', 'ODC1', 'PFKP']",0.6004517901545685,0,0,3
5,NKX2-5 mouse,0.045336364247070306,7.26644370122631,22.479803224403273,"['ADORA1', 'CALR']",0.6004517901545685,0,0,2
6,REL human,0.045336364247070306,7.26644370122631,22.479803224403273,"['CSRP1', 'EPHB2']",0.6004517901545685,0,0,2
7,MYCN human,0.0661131612992623,2.8168434726131197,7.651638229464149,"['DDB1', 'MCM5', 'DKK3', 'HLA-E']",0.6004517901545685,0,0,4
8,MEF2C mouse,0.0816659070011155,4.843180973615756,12.132743026770731,"['CAPN2', 'CALR']",0.6004517901545685,0,0,2
9,HIF1A mouse,0.0816659070011155,4.843180973615756,12.132743026770731,"['BACE1', 'MDK']",0.6004517901545685,0,0,2
10,FOXA1 mouse,0.08603204178719616,21.77128547579299,53.40573556924136,['SFTPD'],0.6004517901545685,0,0,1
11,PITX3 mouse,0.08603204178719616,21.77128547579299,53.40573556924136,['ALDH1A1'],0.6004517901545685,0,0,1
12,GATA3 mouse,0.08603204178719616,21.77128547579299,53.40573556924136,['DLC1'],0.6004517901545685,0,0,1
13,MAFA mouse,0.08603204178719616,21.77128547579299,53.40573556924136,['NRF1'],0.6004517901545685,0,0,1
14,FOXO1 human,0.09523272793270923,4.358528428093646,10.248781542692424,"['ANGPT2', 'KLF2']",0.6004517901545685,0,0,2
15,MYB human,0.12404099020649449,3.6315496098104796,7.579564080190396,"['SP3', 'CDO1']",0.6004517901545685,0,0,2
