Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-6807-3p,0.0021801935141401094,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
2,hsa-miR-1253,0.0029069294583715763,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
3,hsa-miR-217,0.0029069294583715763,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
4,hsa-miR-944,0.003633666252973508,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
5,hsa-miR-1205,0.003633666252973508,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
6,hsa-miR-4418,0.004360403693666591,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
7,hsa-miR-509-5p,0.004360403693666591,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
8,hsa-miR-509-3-5p,0.004360403693666591,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
9,hsa-miR-6835-3p,0.004360403693666591,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
10,hsa-miR-6743-5p,0.005087141649838639,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
11,hsa-miR-4688,0.005087141649838639,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
12,hsa-miR-8087,0.005087141649838639,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
13,hsa-miR-5010-5p,0.005813880031962282,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
14,hsa-miR-4525,0.005813880031962282,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
15,hsa-miR-4447,0.006540618774093245,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
16,hsa-miR-194-3p,0.006540618774093245,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
17,hsa-miR-4472,0.006540618774093245,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
18,hsa-miR-330-3p,0.007267357827928336,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
19,hsa-miR-6836-5p,0.007994097153394886,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
20,hsa-miR-1296-3p,0.007994097153394886,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
21,hsa-miR-6870-5p,0.007994097153394886,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
22,hsa-miR-7111-5p,0.007994097153394886,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
23,hsa-miR-449a,0.007994097153394886,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
24,hsa-miR-34c-5p,0.007994097153394886,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
25,hsa-miR-625-5p,0.007994097153394886,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
26,hsa-miR-449b-5p,0.007994097153394886,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
27,hsa-miR-7109-5p,0.007994097153394886,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
28,hsa-miR-6132,0.007994097153394886,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
29,hsa-miR-4723-5p,0.007994097153394886,inf,inf,['SLC4A2'],0.013782926126542906,0,0,1
30,hsa-miR-4665-5p,0.008720836721494974,inf,inf,['SLC4A2'],0.01389349486259782,0,0,1
31,hsa-miR-1275,0.008720836721494974,inf,inf,['SLC4A2'],0.01389349486259782,0,0,1
32,hsa-miR-5703,0.009447576506566517,inf,inf,['SLC4A2'],0.01389349486259782,0,0,1
33,hsa-miR-4516,0.009447576506566517,inf,inf,['SLC4A2'],0.01389349486259782,0,0,1
34,hsa-miR-4434,0.009447576506566517,inf,inf,['SLC4A2'],0.01389349486259782,0,0,1
35,hsa-miR-1909-3p,0.011627796964753719,inf,inf,['SLC4A2'],0.015839150557993894,0,0,1
36,hsa-miR-6722-3p,0.011627796964753719,inf,inf,['SLC4A2'],0.015839150557993894,0,0,1
37,hsa-miR-486-3p,0.012354537435235236,inf,inf,['SLC4A2'],0.015839150557993894,0,0,1
38,hsa-miR-4784,0.012354537435235236,inf,inf,['SLC4A2'],0.015839150557993894,0,0,1
39,hsa-miR-3150b-3p,0.012354537435235236,inf,inf,['SLC4A2'],0.015839150557993894,0,0,1
40,hsa-miR-6825-5p,0.013808018781412974,inf,inf,['SLC4A2'],0.017260023476766216,0,0,1
41,hsa-miR-3926,0.015261500607062549,inf,inf,['SLC4A2'],0.01861158610617384,0,0,1
42,hsa-miR-5698,0.016714982855693002,inf,inf,['SLC4A2'],0.01989878911392024,0,0,1
43,hsa-miR-765,0.020348690023861738,inf,inf,['SLC4A2'],0.023661267469606673,0,0,1
44,hsa-miR-7106-5p,0.026162625093989894,inf,inf,['SLC4A2'],0.02973025578862488,0,0,1
45,hsa-miR-455-3p,0.030523078610119145,inf,inf,['SLC4A2'],0.03317725935882516,0,0,1
46,hsa-miR-615-3p,0.030523078610119145,inf,inf,['SLC4A2'],0.03317725935882516,0,0,1
47,hsa-miR-484,0.032703305948350525,inf,inf,['SLC4A2'],0.034790751008883535,0,0,1
48,hsa-miR-34a-5p,0.03633701890445343,inf,inf,['SLC4A2'],0.03785106135880566,0,0,1
49,hsa-miR-92a-3p,0.04651141914071701,inf,inf,['SLC4A2'],0.04746063177624185,0,0,1
50,hsa-miR-16-5p,0.06468000129787799,inf,inf,['SLC4A2'],0.06468000129787799,0,0,1
