pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_RIBOSOME,0.0717928207179282,0.869689501638072,0.0518915766779433,0.641240275939963,1.37234322590042,10,FAU|RPL22L1|RPL9|RPS12|RPL26|RPS27A|RPS13|RPL32
HALLMARK_KRAS_SIGNALING_UP,0.1004899510049,0.869689501638072,0.0431731179875694,0.54123204517147,1.25317631205759,22,PTPRR|PDCD1LG2|ENG|SOX9|HKDC1
KEGG_FOCAL_ADHESION,0.107289271072893,0.869689501638072,0.0416238362763518,0.560273139212349,1.2680154485494,17,LAMB1|HGF|COL6A6|LAMA5|IGF1R|PIK3CD|LAMB2|FLNB|PIK3R3
HALLMARK_COAGULATION,0.128087191280872,0.869689501638072,0.0376471513771701,0.540477276162686,1.23495211176168,19,APOC1|S100A1|F11|CLU|F10|CSRP1|KLF7|CD9
KEGG_CALCIUM_SIGNALING_PATHWAY,0.181681831816818,0.869689501638072,0.0306216638324598,0.535343467927663,1.20356625935138,16,TACR1|EDNRA|ADCY2|RYR2|CACNA1A|PLCE1|CD38|ATP2B4|OXTR|HTR2B
HALLMARK_COMPLEMENT,0.209079092090791,0.869689501638072,0.0280625306368806,0.498355146981386,1.15746275245634,23,APOC1|HSPA5|CLU|AKAP10|F10|CSRP1|MT3|F5
KEGG_PURINE_METABOLISM,0.211378862113789,0.869689501638072,0.0278688129775025,0.557309121078011,1.20457578327753,11,ADCY2|GMPR|PDE5A|GUCY2C
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,0.214578542145785,0.869689501638072,0.0276040313626087,0.510370983236267,1.16616137500626,19,TNFRSF11B|HGF|IL18|CSF1|IL17RB|IL12RB2|IFNLR1
KEGG_TIGHT_JUNCTION,0.224977502249775,0.869689501638072,0.0267793201296367,0.562231086901552,1.20325259103378,10,CLDN4|MRAS|MYH15|CLDN20|PRKCQ
KEGG_MAPK_SIGNALING_PATHWAY,0.237876212378762,0.869689501638072,0.0258253711709875,0.478774117561639,1.1313453555556,28,PTPRR|CACNA2D3|FGFR3|BDNF|NFATC2|MRAS|CACNA1A|HSPA2|FGF2|FLNB|PLA2G5
HALLMARK_UV_RESPONSE_DN,0.249075092490751,0.869689501638072,0.0250518829285888,0.498866414255324,1.1398742536331,19,BDNF|GRK5|RUNX1|IGF1R|TGFBR3|CACNA1A|DLC1|PIK3CD|ATP2B4|PIK3R3|RND3
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.261773822617738,0.869689501638072,0.0242290712683194,0.540221569446101,1.16764250852421,11,C1QB|SERPIND1|F11|F10|F5
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,0.265673432656734,0.869689501638072,0.0239869540071094,0.497341942100243,1.13129703171302,18,GRIA4|TACR1|EDNRA|GNRHR|HTR1E|CHRNA4|S1PR3|OXTR|HTR2B
KEGG_ENDOCYTOSIS,0.284271572842716,0.869689501638072,0.0228933469010914,0.532267863294918,1.15045125603136,11,FGFR3|GRK5|ARF6|IGF1R|HSPA2
KEGG_PATHWAYS_IN_CANCER,0.2996700329967,0.869689501638072,0.0220561449257195,0.454212980051112,1.09225035035263,34,HHIP|LAMB1|HGF|GSTP1|FGFR3|LAMA5|RUNX1|IGF1R|CCNE2|GLI2|PIK3CD|LAMB2|FGF2|FZD1|PIK3R3|FZD7
KEGG_ECM_RECEPTOR_INTERACTION,0.311168883111689,0.869689501638072,0.021466283908486,0.523117389136209,1.13067329231211,11,LAMB1|COL6A6|LAMA5|LAMB2
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.314568543145685,0.869689501638072,0.0212972026848555,0.522332466605951,1.12897674970059,11,MYD88|ADCY2|PIK3R3|SLC2A1|CAB39L|CXCR4
KEGG_INSULIN_SIGNALING_PATHWAY,0.342265773422658,0.89369396393694,0.0200004094091654,0.489924871306094,1.09604617970333,15,INPP5D|GCK|SLC2A4|SOCS3|PIK3CD|PYGM|PIK3R3
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.369163083691631,0.896670332966703,0.0188600355573247,0.504849768847715,1.09118940054471,11,FGFR3|MRAS|PIK3CD|FGF2|PIK3R3|MYH9
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.381561843815618,0.896670332966703,0.0183678279613653,0.478878713392888,1.07133402506441,15,MYD88|CSF1|IL17RB|SOCS3|CD9|CD38|HMOX1
KEGG_AXON_GUIDANCE,0.467253274672533,0.998900109989001,0.0154053345290688,0.455090487321701,1.02314044778106,16,PLXNB2|SLIT3|NFATC2
HALLMARK_APICAL_JUNCTION,0.475552444755525,0.998900109989001,0.0151508965817747,0.455355044270474,1.01870753234219,15,TNFRSF11B|CLDN4|CALB2|PIK3R3|MYH9
HALLMARK_MITOTIC_SPINDLE,0.493950604939506,0.998900109989001,0.0146029418004328,0.466889138348965,1.00914075915824,11,ARHGAP29|PIF1|ARF6|FLNB|MYH9|KPTN
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.514648535146485,0.998900109989001,0.0140106272237008,0.420850141607404,0.994470744403087,28,SLC1A1|EGR3|IL17RB|CALB2|IGF1R|WFS1|DHCR7|DLC1|MUC1|SYBU|TUBB2B|FLNB
HALLMARK_XENOBIOTIC_METABOLISM,0.562843715628437,0.998900109989001,0.0127147381958266,0.420864965559372,0.970133294731634,21,ARG2|F11|PDK4|F10|EPHX1|ITIH4|HMOX1|TMBIM6|EPHA2|MT2A|PROS1|PYCR1
HALLMARK_INFLAMMATORY_RESPONSE,0.590940905909409,0.998900109989001,0.0120033660980581,0.409489595522084,0.958092015312919,25,KCNMB2|TACR1|IL18|CSF1|KLF6|BST2|EMP3|IRAK2|HPN|CCL2|CLEC5A
HALLMARK_UV_RESPONSE_UP,0.613838616138386,0.998900109989001,0.011442968055168,0.415128868801889,0.939523567950538,17,TYRO3|HSPA2|EPHX1|HMOX1|BTG1|TMBIM6|JUNB
HALLMARK_ESTROGEN_RESPONSE_LATE,0.65013498650135,0.998900109989001,0.010583489146812,0.39467631489152,0.929500770469197,27,EGR3|PDCD4|FGFR3|IL17RB|WFS1|CD9|DHCR7|ZFP36|ATP2B4|FLNB
HALLMARK_APOPTOSIS,0.677232276772323,0.998900109989001,0.00995992199736249,0.389072902273831,0.916304193555707,27,HGF|IL18|EGR3|PDCD4|CLU|TGFBR3|CD38|TXNIP|HMOX1|IFITM3|LGALS3|EMP1|CD44|TSPO|SAT1|AIFM3|GADD45B
