pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_CHOLESTEROL_HOMEOSTASIS,2.080868623126e-06,0.000466114571580224,0.627256739718528,0.643420396957902,1.56402485214911,66,TM7SF2|NSDHL|MVD|FASN|FDPS|HMGCS1|ACAT2|MVK|SQLE|HMGCR|FADS2|GLDC|CYP51A1|ACTG1|PCYT2|FABP5|LGMN|DHCR7|EBP|LDLR|LSS|FDFT1|CD9|SREBF2|FBXO6|ANXA5|IDI1|GUSB|ACSS2|SCD
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,0.000175713452177056,0.0196799066438303,0.518848077743792,0.805127941393073,1.72126390351893,13,MVD|FDPS|HMGCS1|ACAT2|MVK|HMGCR|PDSS2|IDI1
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.000618225182155339,0.046160813600932,0.477270815362862,0.616323942700178,1.45758413545816,42,NCK2|TUBB3|TUBB4B|ACTG1|TLR4|ROCK1|TUBB2A|TUBB|ARPC2|RHOA|TUBA1A|TUBB4A|ACTB|TUBA1B|WAS|TUBA4A|PRKCA|ROCK2|TUBA1C|TUBB2B
KEGG_STEROID_BIOSYNTHESIS,0.000984846115224339,0.055151382452563,0.45505986738723,0.756575983798085,1.62962645317541,14,TM7SF2|NSDHL|DHCR24|SQLE|MSMO1|CYP51A1|DHCR7|EBP|LSS|FDFT1
KEGG_PROSTATE_CANCER,0.0014082274302396,0.0630885888747342,0.45505986738723,0.55899098127968,1.36176192581669,69,CREB5|NFKB1|PDGFRB|TCF7L1|EGFR|PIK3CA|CREBBP|SOS2|NFKBIA|BRAF|ARAF|CREB1|BCL2|CREB3L4|GSTP1|TCF7L2|HSP90B1|HRAS|CCNE2|IKBKB|EGF|FOXO1|AR|TP53|PIK3R1|AKT2|GSK3B|MDM2|SOS1|CDKN1A
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.0033996600339966,0.126920641269206,0.248832632022043,0.580456427915151,1.37942047231519,45,NFKB1|DHX58|TBK1|NFKBIA|MAPK10|NLRX1|IRF7|TRIM25|MAPK12|MAP3K1|MAP3K7|PIN1|IKBKB|RIGI|TRAF2|IRF3|OTUD5|MAPK11|DDX3Y
HALLMARK_GLYCOLYSIS,0.0045995400459954,0.147185281471853,0.213387923018053,0.482026750273014,1.21836329667218,165,NSDHL|XYLT2|PFKP|MXI1|KIF2A|VCAN|RARS1|AK4|EGFR|GPC1|NOL3|GALK1|AKR1A1|RRAGD|PLOD2|PGM2|SAP30|TALDO1|DPYSL4|PYGB|AK3|SDC2|PSMC4|COG2|NASP|GMPPB|MIF|GPC4|LHPP|ZNF292|STMN1|PHKA2|ALG1|NDUFV3|PPP2CB|MDH2|PPIA|ME1|GUSB|ME2|IRS2|G6PD|HSPA5|TPBG|HDLBP|PGAM2|VEGFA|DDIT4|PKP2|GLRX|COL5A1|HOMER1|HS2ST1|SLC25A10|MED24|B4GALT2|B3GAT3|GYS2
KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.005999400059994,0.167983201679832,0.186472629239996,0.504690682852834,1.25725655429465,109,NFKB1|VAV3|ADCY8|GNG12|SHC3|CCR10|GRK3|PIK3CA|RAP1A|PTK2B|ROCK1|SOS2|PARD3|GNG3|NFKBIA|BRAF|ARRB1|STAT2|CRK|RHOA|SHC1|HRAS|GNG10|IKBKB|JAK3|JAK2|FOXO3|WAS|PTK2|ELMO1|ROCK2|PIK3R1|AKT2|TIAM2|CCL2|GNG7|GNG4|GSK3B|SOS1|GNB2|STAT1
HALLMARK_UV_RESPONSE_DN,0.0108989101089891,0.271261762712618,0.137749272114041,0.485601917739436,1.21764677544774,129,NFKB1|NFIB|PDGFRB|DYRK1A|NOTCH2|PTPN21|ATP2B4|DDAH1|MGLL|KCNMA1|PHF3|GJA1|DLC1|INSIG1|PDLIM5|SDC2|CAP2|PTPRM|LDLR|SLC22A18|COL5A2|IRS1|PIAS3|NIPBL|CDC42BPA|NR1D2|SYNE1|PRKCA|CELF2|CACNA1A|WDR37|COL11A1|PRKCE|TJP1|ACVR2A|RND3|INPP4B|LAMC1|PLPP3|NRP1|FHL2|CDK13|SIPA1L1|FZD2|ATRX|MGMT|MAGI2|NR3C1|PEX14|ADD3|FYN|AKT3|ATXN1|RUNX1|BCKDHB|DUSP1|MT1E|CDON|F3
KEGG_GAP_JUNCTION,0.0121987801219878,0.272845442728454,0.130086070372915,0.524135829618097,1.27768362952535,70,PDGFRB|ADCY8|TUBB3|TUBB4B|EGFR|CSNK1D|SOS2|GJA1|TUBB2A|TUBB|MAP3K2|GUCY1B1|HRAS|EGF|TUBA1A|TUBB4A|TUBA1B|TUBA4A|PRKCA|GNAS|GNAQ|TUBA1C|TUBB2B|TJP1|PRKG1|SRC
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.0133986601339866,0.272845442728454,0.124026527381656,0.492787340022926,1.22702525406512,108,NFKB1|RPS6KA2|SHC3|GAB1|PIK3CA|RAP1A|SH2B3|FRS2|SOS2|NFKBIA|BRAF|MAPK10|ZNF274|MAPK12|BCL2|MAP3K1|CRK|RHOA|BEX3|IRS1|SH2B1|SHC1|HRAS|RPS6KA3|IKBKB|YWHAH|MAPK11|ARHGDIA|FOXO3|CAMK2B|IRS2|CAMK2G|TP53|PIK3R1|YWHAG|AKT2|GSK3B|SOS1|MAPKAPK2|CALM3|IRAK4
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.0198980101989801,0.371429523714295,0.101377203467264,0.53391369034477,1.28202163832451,53,INPP5D|NFKB1|VAV3|CHP1|NFATC2|PIK3CA|SOS2|NFKBIA|HRAS|CD72|IKBKB|NFATC1|PIK3R1|AKT2|GSK3B|RAC3|NFAT5|SOS1
KEGG_RIBOSOME,0.0228977102289771,0.37702896377029,0.0943434935405217,0.498407255804497,1.22771586443058,85,RPL28|RPL41|RPL37A|RPS27|RPS26|RPL36|RPS17|RPS13|RPS15|RPL23|RPL39|RPL23A|RPL22L1|RPL29|RPL13A|UBA52|RPS11|FAU|RPL35|RPS8|RPL32|RPL19|RPL8|RPLP2|RPS28|RPS6|RPLP0|RPL10A|RPS12|RPL37|RPS10|RPL26|RPL13|RPL17|RPL21|RPS25|RPL27A|RPL10|RPL24|RPL36AL|RPS21|RPS20|RPL18A|RPS27A|RPL7|RPS15A|RPL36A|RPS9|RPS19|RPS18|RPL4
HALLMARK_KRAS_SIGNALING_UP,0.0243975602439756,0.37702896377029,0.0913212902305258,0.47811778806633,1.19538499148767,119,MTMR10|TSPAN7|WDR33|BTBD3|PTBP2|PDCD1LG2|ANKH|HSD11B1|EVI5|ETV1|ENG|WNT7A|CPE|CROT|KIF5C|RABGAP1L|MAP3K1|CAB39L|CCSER2|ETV5|IL33|ATG10|SDCCAG8|TNNT2|TOR1AIP2|GPRC5B|USP12|HDAC9|TMEM176B|GPNMB|PCSK1N|SPON1|SCN1B|USH1C|TMEM158|FBXO4|PRRX1|GLRX|NRP1|AKT2|ID2|ETS1
