pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_RIBOSOME,1.81295383644317e-25,3.2089282905044e-23,1.31101476274061,-0.781390044841026,-3.09107926146417,82,RPS15A|RPL22L1|RPS8|RPS27|RPS12|RPS6|RPL23A|RPL7|RPL14|RPL10A|RPL21|RPS20|RPL31|RPS24|RPL17|RPS4X|FAU|RPL11|RPLP1|RPL27A|RPS25|RPL19|RPL6|RPL41|RPS27A|RPS7|RPL32|RPL35A|RPL26|RPL10|RPS11|RPL37A|RPL9|RPS13|RPL22|RPL24|RPS3|RPS10|RPL18|RPL36A|RPS23|RPL23|RPL36AL|RPLP2|RPS3A|RPS29|RPL27|RPL35|RPL30|RPL7A|RPL34|RPL18A|RPL39|RPS19|RPL13A|RPS15|RPS18|RPS28|RPS26|RPL29|RPL3|RPL38|RPLP0|RPL37|RPS16|RPS9|RPL15|RPL13|RPL8|RPL36|RPS21|UBA52|RPS2
KEGG_OXIDATIVE_PHOSPHORYLATION,3.71584151491996e-09,3.28851974070416e-07,0.774939030136436,-0.616161137178242,-2.36800872409256,68,NDUFAB1|NDUFA7|NDUFB9|NDUFS6|NDUFB1|UQCR10|COX7A1|ATP5MG|ATP5MC1|NDUFB8|NDUFS5|COX5B|NDUFA2|NDUFB5|ATP5MC2|COX7B|ATP5MC3|COX7A2|ATP5PD|NDUFA4|COX4I1|NDUFB10|ATP5MF|ATP5PB|UQCRB|COX8A|NDUFB3|NDUFA6|ATP6V1G1|SDHD|COX7C|UQCRFS1|NDUFA1|NDUFC2|ATP5PO|COX6C|CYC1|ATP5F1B|NDUFB7|NDUFA11|UQCRH|COX6A1|UQCRQ|NDUFB2|NDUFS7|ATP6V1G2|ATP5F1E
HALLMARK_OXIDATIVE_PHOSPHORYLATION,4.91053386569279e-08,2.89721498075875e-06,0.719512826338911,-0.523208925643169,-2.16492608619752,107,MRPL35|MRPL34|POR|ALAS1|NDUFAB1|ECH1|NDUFA7|NDUFS6|NDUFB1|UQCR10|SURF1|TIMM8B|ATP5MG|ATP5MC1|IDH2|NDUFB8|COX5B|NDUFA2|NDUFB5|ATP5MC2|HSPA9|COX7B|ATP5MC3|COX7A2|ATP5PD|NDUFA4|COX4I1|SLC25A11|OXA1L|ATP5MF|ATP5PB|UQCRB|COX8A|TOMM22|NDUFB3|NDUFA6|ATP6V1G1|SDHD|COX7C|UQCRFS1|LDHA|NDUFA1|PHB2|NDUFC2|ATP5PO|COX6C|CYC1|ATP5F1B|NDUFB7|ISCU|UQCRH|BAX|COX6A1|ECHS1|UQCRQ|NDUFB2|NDUFS7|MDH1|HTRA2|ATP5F1E|SLC25A3
KEGG_PARKINSONS_DISEASE,6.60253086705122e-08,2.92161990867016e-06,0.704975715167238,-0.583398056013746,-2.24988462431676,70,UBA7|NDUFAB1|NDUFA7|NDUFB9|NDUFS6|NDUFB1|UQCR10|COX7A1|ATP5MC1|NDUFB8|NDUFS5|COX5B|NDUFA2|NDUFB5|ATP5MC2|COX7B|ATP5MC3|COX7A2|ATP5PD|NDUFA4|COX4I1|NDUFB10|PPID|ATP5PB|SNCAIP|UQCRB|COX8A|NDUFB3|NDUFA6|SDHD|COX7C|UQCRFS1|NDUFA1|NDUFC2|ATP5PO|COX6C|CYC1|ATP5F1B|NDUFB7|UBB|CASP3|UQCRH|COX6A1|UQCRQ|PARK7|NDUFB2|NDUFS7|HTRA2
HALLMARK_MYC_TARGETS_V1,5.3434629635779e-07,1.89158588910657e-05,0.659444398037935,-0.545130583646134,-2.15527099494271,81,PABPC1|MRPS18B|PRDX4|RANBP1|NME1|RPS6|CCT2|NDUFAB1|CCNA2|RPL14|NOP16|SNRPD1|PCNA|RPL6|EIF4A1|MRPL9|EEF1B2|RPL22|RPS3|RPS10|RPL18|SNRPG|RPL34|RRP9|RPLP0|PHB1|LSM7|PSMD8|PSMD3|RPS2|HNRNPA1|LDHA|NHP2|CDK4|RPS5|PHB2|SF3A1|CYC1|CCT4|NCBP2
KEGG_ALZHEIMERS_DISEASE,1.43999472661513e-05,0.000424798444351464,0.593325476396405,-0.50547509994729,-1.99848596696853,81,NDUFAB1|NDUFA7|NDUFB9|NDUFS6|NDUFB1|UQCR10|COX7A1|ATP5MC1|NDUFB8|NDUFS5|COX5B|NDUFA2|NDUFB5|ATP5MC2|COX7B|ATP5MC3|COX7A2|ATP5PD|NDUFA4|COX4I1|NDUFB10|ATP5PB|UQCRB|COX8A|NDUFB3|NDUFA6|APOE|SDHD|COX7C|UQCRFS1|NDUFA1|NDUFC2|MAPK3|ATP5PO|COX6C|CYC1|ATP5F1B|NDUFB7|CASP3|GRIN2C|UQCRH|GAPDH|COX6A1|FADD|UQCRQ|NDUFB2|NDUFS7|PSEN2|ATP5F1E|CACNA1D
KEGG_HUNTINGTONS_DISEASE,0.000384361218291058,0.00971884794821674,0.49849310876659,-0.453351861222703,-1.80688016076029,85,NDUFAB1|NDUFA7|NDUFB9|NDUFS6|NDUFB1|BBC3|UQCR10|POLR2J3|POLR2K|COX7A1|ATP5MC1|NDUFB8|NDUFS5|COX5B|NDUFA2|NDUFB5|ATP5MC2|COX7B|ATP5MC3|COX7A2|ATP5PD|NDUFA4|SOD2|AP2S1|COX4I1|NDUFB10|PPID|POLR2J|ATP5PB|UQCRB|COX8A|GRM5|NDUFB3|NDUFA6|SDHD|COX7C|UQCRFS1|NDUFA1|NDUFC2|ATP5PO|COX6C|CYC1|ATP5F1B|NDUFB7|CASP3|POLR2L|POLR2I|UQCRH|HAP1|BAX|COX6A1|UQCRQ|NDUFB2|NDUFS7
HALLMARK_MTORC1_SIGNALING,0.000795797908527813,0.0176070287261779,0.477270815362862,-0.450790270709281,-1.76123596674116,76,NHERF1|PHGDH|SLC2A3|MAP2K3|DHCR7|PNP|G6PD|SDF2L1|LGMN|TUBG1|PNO1|ATP5MC1|CYP51A1|DDIT3|SC5D|FDXR|RRP9|HSP90B1|TM7SF2|HSPA9|DHCR24|RDH11|CD9|ALDOA|INSIG1|CDKN1A|ENO1|LDHA|SLC2A1|CALR|HSPA5|PRDX1|HMGCR|NFIL3|GAPDH|SCD|PPIA
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.00198748972580959,0.039087297940922,0.431707695803346,-0.552296545768092,-1.85104678701695,34,CACNA2D2|CACNA2D3|ATP1B2|UQCR10|COX7A1|COX5B|COX7B|ATP1B3|COX7A2|COX4I1|RYR2|UQCRB|COX8A|COX7C|UQCRFS1|COX6C|CYC1|UQCRH|COX6A1|UQCRQ|CACNA1D|ATP1A4
HALLMARK_ADIPOGENESIS,0.00600844430009743,0.106349464111725,0.238352921646911,-0.411576615144319,-1.60802835545056,76,POR|NDUFAB1|ECH1|DHCR7|CRAT|UQCR10|DDT|ACADS|RAB34|COX7B|ATP1B3|ARL4A|ALDOA|DHRS7|LAMA4|CHCHD10|SPARCL1|COX8A|SULT1A1|SNCG|APOE|PREB|DNAJB9|ARAF|ATP5PO|IFNGR1|CYC1|NDUFB7|JAGN1|MYLK|SLC25A10|COX6A1|ECHS1|UQCRQ|APLP2|CCNG2
