pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_RIBOSOME,1.95996895050264e-08,4.39033044912592e-06,0.73376198835648,0.675562993394999,1.56765142838609,85,RPL39|RPL23A|RPS12|RPS24|RPL23|RPL41|RPS20|RPL37|RPS25|RPLP0|RPL29|RPL37A|RPS13|RPL35|RPL36AL|RPS27|RPS8|RPL32|RPL12|RPL24|RPL36A|RPL31|RPL36|RPL13|RPS15|RPS11|RPL10A|RPS6|RPS17|MRPL13|RPS15A|UBA52|RPL28|RPL26|RPL15|RPL21|RPL13A|RPLP2|RPL6|RPL27|RPL22|RPL19|RPL27A|RPL35A|RPS18|RPL34|RPS4X|RPL9|RPS28|RPL11|FAU|RPL17|RPL18|RPS27A|RPL26L1|RPL7A|RPS29|RPS2|RPL38|RPL8|RPL10|RPL22L1|RPS23|RPS19|RPS7|RPS10|RPLP1|RPS3A|RPL3|RPL30|RPS27L|RPS26|RPS3
HALLMARK_GLYCOLYSIS,0.003999600039996,0.447955204479552,0.229089382980959,0.5130180126405,1.21785741284443,165,AK4|NOL3|PFKP|VCAN|PYGB|NASP|RRAGD|COL5A1|ME2|RARS1|MED24|PDK3|KIF2A|CAPN5|PLOD2|RBCK1|MXI1|SLC37A4|HSPA5|HOMER1|IRS2|G6PD|NDUFV3|PHKA2|PPFIA4|ZNF292|CYB5A|PGM2|ME1|TALDO1|GPC4|TXN|SRD5A3|DDIT4|CHST12|PGK1|LHPP|B4GALT7|B3GAT3|ALDH7A1|CHST2|SAP30|NT5E|AGRN|FKBP4|XYLT2|CHPF|VLDLR|GMPPA|CLN6|EGLN3|HS2ST1|CHST6|GNE|EXT1|HAX1|PLOD1|SOD1|EFNA3|UGP2|PKP2|FAM162A|GPC1|SOX9|PC|B3GAT1|SDC2|QSOX1|PGLS
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.0075992400759924,0.567409925674099,0.165406383146814,0.554612014057276,1.27971437513884,75,RNF31|MOV10|PSME2|SLC25A28|LGALS3BP|DHX58|PNPT1|TRIM26|TRIM25|UBA7|LAP3|PARP12|BST2|PSMB8|ELF1|STAT2|TRIM14|TXNIP|DDX60|PSMA3|CD47|HERC6|PARP14|IFI35|GMPR|IFITM3|RSAD2|SAMD9L|TRAFD1|IFI44L|EIF2AK2|WARS1|TAP1|SP110|ISG15|MVB12A|LPAR6|IFI44|PSME1|MX1
KEGG_PENTOSE_PHOSPHATE_PATHWAY,0.0171982801719828,0.936567212843933,0.109215847765851,0.665218357614107,1.41076282335308,20,PFKP|G6PD|TKT|GPI|PGM1|RPIA|PGM2|TALDO1|PGD
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.0543945605439456,0.936567212843933,0.0601783862400583,0.557688715039475,1.24475836555722,40,HSPA2|CALR|PSME2|HLA-E|PDIA3|CTSL|LGMN|HSPA5|CANX|HLA-B|RFXAP|CREB1|RFX5|CTSB|HLA-A
HALLMARK_UV_RESPONSE_DN,0.05999400059994,0.936567212843933,0.0571289261785879,0.48560514002836,1.14474112532789,129,PHF3|DLC1|ATRX|PDGFRB|NFIB|COL11A1|PTPN21|NOTCH2|IRS1|DUSP1|CACNA1A|DYRK1A|SIPA1L1|COL5A2|ZMIZ1|NFKB1|RUNX1|ATP2B4|PIK3R3|CDK13|TGFBR3|MGLL|SCAF8|RND3|EFEMP1|MRPS31|GJA1|ERBB2|AKT3|TOGARAM1|F3|MGMT|ARHGEF9|MT1E|BMPR1A|LTBP1|NRP1|VLDLR|FHL2|MAPK14|LAMC1|ACVR2A|ABCC1|MTA1|ATP2C1|SYNE1|SCHIP1|SDC2|NR3C1
KEGG_ARGININE_AND_PROLINE_METABOLISM,0.0640935906409359,0.936567212843933,0.0551495524088585,0.550826796116532,1.23090229251335,41,ODC1|PYCR2|LAP3|MAOA|AMD1|ACY1|ALDH2|GLUD1|SRM|SMS|ALDH7A1|OAT|ASL|ALDH4A1|SAT1
HALLMARK_XENOBIOTIC_METABOLISM,0.0657934206579342,0.936567212843933,0.0543824704977098,0.481806757155009,1.13765279478418,136,ITIH4|MARCHF6|PTGDS|GSR|FAH|CBR1|ENTPD5|CYFIP2|CDO1|LPIN2|AHCY|SLC35B1|F10|SLC46A3|CYP27A1|F11|MAOA|AP4B1|HPRT1|SLC6A12|CROT|TGFB2|ALDH2|NINJ1|CYB5A|SLC6A6|ABHD6|ACOX1|DCXR|MPP2|PGD|PPARD|KARS1|HES6|CAT|MAN1A1|UGDH|ACP2|HMOX1|DHRS7|ATOH8|CSAD|CA2|ESR1|NFS1|COMT|ASL|PMM1|ADH5|NQO1|PC|TKFC|ALAS1|POR|TTPA|TNFRSF1A|DHRS1|LONP1|AKR1C3|ATP2A2|PTGES3|ETFDH|PGRMC1|NDRG2
HALLMARK_HYPOXIA,0.0721927807219278,0.936567212843933,0.0517363831268346,0.47455400221543,1.12539797984113,158,AK4|PFKP|RORA|PLIN2|RRAGD|COL5A1|CA12|PDK3|BTG1|AMPD3|DUSP1|MXI1|SLC37A4|HSPA5|RBPJ|IRS2|NEDD4L|WSB1|CSRP2|GPI|PPFIA4|ZNF292|PGM1|SLC6A6|PDK1|PGM2|HEXA|GPC4|CCNG2|PFKFB3|DDIT4|PGK1|CDKN1A|CDKN1C|CHST2|GCK|F3|SAP30|MT1E|BNIP3L|VLDLR|HMOX1|MAFF|EXT1|FOXO3|SLC25A1|SCARB1|CP|EFNA3|UGP2|FAM162A|KDM3A|SRPX|GPC1|NCAN|SDC4|SDC2|NR3C1
KEGG_ADHERENS_JUNCTION,0.0791920807919208,0.936567212843933,0.0492089872849763,0.515634386061759,1.18018663456325,63,IQGAP1|NECTIN3|CTNNA1|ACTG1|CTNNA2|ACTN2|PTPRJ|SSX2IP|FER|PARD3|EP300|SMAD2|WASF3|TGFBR1|PTPRF|CREBBP|TCF7L2|ERBB2|CTNNB1
