pathway,pval,padj,log2err,ES,NES,size,leadingEdge
midbrain_DEG_BHQ1_positiveL2FC,6.97370309378302e-08,1.67368874250792e-06,0.704975715167238,0.520429927236296,1.44721792689897,192,RPL22L1|MRPL34|CHCHD2|MRPS36|ELOB|RPS27|ATP5IF1|NDUFB5|RPL9|COX6C|NME1|SELENOK|TIMM8B|RPL17|COX7A2|NDUFAB1|RPL10|FAM181B|RPS13|GNG5|RPLP2|LYSMD2|COX5B|CD81|RPL32|RPL26|RPS25|ATP5MK|RPL14|SPCS1|RPS11|PRDX5|UQCR10|TMEM59|RPS19|RPL11|COX4I1|RPL7A|UBA52|ATP1B2|RNF181|RPL39|UBL5|RPS23|RPS20|RPL36A|RPL34|SGK1|B2M|RPL31|NDUFA4|RPS15|WBP2|COX8A|RPL30|NDUFC1|NDUFA12|RPL22|ATP5MF|NDUFA2|ATP5PD|FAIM|HINT1|GSTP1|RPL13A|ALDOC|SOD1|CHCHD10|ATP5ME|RPL38|RPS3|DBI|UQCRB|NDUFB2|ATP5MC3|CST3|MRPL43|SMIM29|RPL13|NDUFB3|NDUFB11|AURKAIP1|PSMB6|COX6A1|RPS29|RPS26|TOMM7|ATP5MG|SYT2|RPL37|COX7C|NDUFA1
midbrain_DEG_BHQ1,4.73530652238197e-06,5.68236782685837e-05,0.610526878385931,0.470040758199834,1.32356969562459,297,ARID4A|RPL22L1|MRPL34|CHCHD2|MRPS36|ELOB|BSN|RPS27|ATP5IF1|NDUFB5|RPL9|COX6C|ABCA5|NME1|SELENOK|TMEM178B|TIMM8B|RPL17|FRMPD4|COX7A2|NDUFAB1|RPL10|FAM181B|RPS13|GNG5|RPLP2|LYSMD2|COX5B|CD81|SORBS2|RPL32|RPL26|ZDBF2|RPS25|ATP5MK|RPL14|SPCS1|RPS11|TIMP3|PRDX5|UQCR10|DPP10|TMEM59|RPS19|PSMD3|RPL11|COX4I1|RPL7A|UBA52|ERC1|HLF|ATP1B2|RNF181|RPL39|PPM1E|UBL5|RAB3C|RPS23|RPS20|MTCL3|RPL36A|RPL34|SGK1|B2M|RPL31|NDUFA4|C14orf132|RPS15|TIAM1|WBP2|COX8A|RPL30|NDUFC1|NDUFA12|RPL22|ZNF490|ATP5MF|NDUFA2|ATP5PD|FAIM|RGS7BP|CPNE7|HINT1|GSTP1|RPL13A|ALDOC|SOD1|CHCHD10|ATP5ME|RPL38|RPS3|CACNA2D3|FCHO2|PPP1R9A|DBI|UQCRB|NDUFB2|ATP5MC3|TRO|CST3|MRPL43|GABRA4|SMIM29|ZNF804A|KIAA1549|FBXL16|RPL13|NDUFB3|NDUFB11|AURKAIP1|ENC1|PSMB6|COX6A1|RPS29|RPS26|TOMM7|PPP4R4|ATP5MG|SYT2|RPL37|COX7C|NDUFA1
midbrain_DEG_BHQ05,0.00011676544730752,0.000934123578460163,0.538434096309916,0.476688375993762,1.32657811170918,197,ARID4A|RPL22L1|MRPL34|CHCHD2|ELOB|BSN|NDUFB5|RPL9|COX6C|SELENOK|TIMM8B|RPL17|COX7A2|RPL10|FAM181B|GNG5|RPLP2|COX5B|CD81|RPL26|ZDBF2|RPS25|TIMP3|UQCR10|TMEM59|RPS19|RPL7A|ERC1|HLF|ATP1B2|RNF181|PPM1E|UBL5|RAB3C|RPS23|RPS20|MTCL3|RPL36A|RPL34|B2M|RPL31|NDUFA4|RPS15|TIAM1|WBP2|COX8A|RPL30|NDUFC1|NDUFA12|RPL22|ATP5MF|NDUFA2|ATP5PD|RGS7BP|CPNE7|HINT1|RPL13A|ALDOC|CHCHD10|ATP5ME|RPS3|CACNA2D3|PPP1R9A|DBI|NDUFB2|ATP5MC3|TRO|CST3|MRPL43|GABRA4|SMIM29|ZNF804A|KIAA1549|RPL13|NDUFB3|NDUFB11|AURKAIP1|COX6A1|RPS29|RPS26|TOMM7|PPP4R4|ATP5MG|RPL37|COX7C|NDUFA1|ATP5PF|RPS28|CALB1|FABP7|SAP18|BHLHE41|H2AZ1|SHANK2|RPS21|APOE|ATP5MJ|RIMS2|RPS17|COX7B|PDS5B|UQCRH|DBNDD2|NSD3|CLPP|PCNT|FAM162A|PLXNC1|MIF|PCLO|NNAT|KCNK1|HIGD2A|AMD1|ATP5PB|SMDT1|ARHGEF28|FKBP8
sleep_No_Change_wake_No Change,0.114788521147885,0.653077549387918,0.0400712187355577,0.410116735319389,1.12370070375193,132,S100A1|BSN|NDUFB7|ATP5IF1|NDUFA7|FAU|RNH1|ROM1|ATOX1|CD81|RPL35|RPS7|UQCR10|RNF5|RPS19|FAM210B|RPL11|BTF3|NTRK2|CSRP1|U2AF1L4|SH3RF1|CEP76|PHGDH|ECE2|NDUFA12|PELI1|UQCR11|RTN4|BAG1|PPP1R9A|SCAND1|TOP3B|SLC38A9|GABRA4|LSM7|XKR6|RPS18|BRINP1|MYH9|MICOS13|IER5L|SCN4B|PFDN5|CLU|CKMT1B|GM2A|PNPLA6|ITM2C|CHMP1A|SSR4|PMM1
sleep_UP_wake_UP,0.154884511548845,0.653077549387918,0.0337044940604929,0.42499044691162,1.13264269819577,75,ST6GALNAC3|DDA1|ZNF239|DCXR|IQGAP1|SORBS2|APOD|MFSD2A|SH3BGRL3|RPL7A|RPL6|PATZ1|SGK1|VARS2|MED12L|PHGDH|IGF1R|NUBP2
sleep_No_Change_wake_UP,0.170782921707829,0.653077549387918,0.0317935593641976,0.409143919640873,1.10845948116272,103,AGBL3|ACKR3|ARID4A|DDA1|KLF2|RBM41|FAM174C|ERC1|RAB3C|NEDD8|RRM2B|TSPAN31|MRPL51|EMP1|GRIA1|STOX2|PTPRU|PELI1|SPRED2|IGF1R|HINT1|WWOX|DIO2|SLC25A42|TMC7|RBMX|ENC1|PTPRK|TAFA1|CALB1|PSMD11|CZIB|HLA-E|VASN|SLC38A2|ARK2C|CHRDL1|DLG2|NAV2|RNF19A|PDZRN3
Up_SD_4OR7,0.19048095190481,0.653077549387918,0.0297446208212851,0.397238100391796,1.08841384543773,132,AGBL3|ACKR3|ARID4A|DDA1|KLF2|RBM41|BDNF|FAM174C|ERC1|TRIB1|RAB3C|ZMYND8|NEDD8|RRM2B|TSPAN31|MRPL51|EMP1|CBLN2|GRIA1|STOX2|PTPRU|PELI1|SPRED2|IGF1R|CPNE7|HINT1|FOXP1|WWOX|DIO2|GPT2|SLC25A42|TMC7|SIDT1|RBMX|ENC1|IRS2|PTPRK|TAFA1|CALB1|DNAJB5|PSMD11|CZIB|HLA-E|VASN|SLC38A2|HSP90B1|ARK2C|CHRDL1|DLG2|NAV2|RNF19A|PDZRN3
AD_GWAS_genes,0.3001699830017,0.9005099490051,0.0220298987934322,0.45813158794797,1.1093767179529,22,INPP5D|IL34|WDR12|ADAMTS1|COX7C|GRN|CLU|SORT1|SEC61G
midbrain_DEG_BHQ1_negativeL2FC,0.456654334566543,0.997400259974003,0.015737355899145,0.373170206339345,1.01209483284007,105,ARID4A|BSN|ABCA5|TMEM178B|FRMPD4|SORBS2|ZDBF2|TIMP3|DPP10|PSMD3|ERC1|HLF|PPM1E|RAB3C|MTCL3|C14orf132|TIAM1|ZNF490|RGS7BP|CPNE7|CACNA2D3|FCHO2|PPP1R9A|TRO|GABRA4|ZNF804A|KIAA1549|FBXL16|ENC1|PPP4R4|CALB1|BHLHE41|SHANK2|CDH8|RIMS2|UNC79|PDS5B|NSD3|PCNT|PLXNC1|LRCH2|PCLO|NNAT|MEGF9|ARHGEF28|YWHAZ|TEF|CMTM4|NEDD4L|CC2D2A|KCNN3|ENAH|PDE10A|SPRN|NHSL2|NUFIP2
sleep_DOWN_wake_UP,0.605639436056394,0.997400259974003,0.0116418305372953,0.37789644055655,0.954407434823893,35,BDNF|TRIB1|ZMYND8|CBLN2|SPRED2|CPNE7|FOXP1|DIO2|GPT2|SIDT1|IRS2|DNAJB5|HSP90B1|ARK2C
