GENE_SYMBOLS,refseq_ids
MMD2,NM_001100600
STRIP2,NM_001134336
STARD4-AS1,NR_040093
ST6GAL2,NM_001142351
DIPK1C,NM_001044369
MEF2C-AS2,NR_146284
CCDC192,NM_001317938
FAM167A-AS1,NM_054017
GINS3,NM_001126129
HKDC1,NM_025130
VWCE,NM_152718
RGS17,NM_012419
TRIB1,NM_001282985
ARSF,NM_001201538
IRS2,NM_003749
CCDC196,NM_001004331
ID2-AS1,NR_110153
IL18,NM_001243211
Z99496.2,NA
FUT2,NM_000511
HES5,NM_001010926
PTCSC3,NR_049735
F11,NM_000128
CELF2-AS2,NR_046108
USP3-AS1,NR_034080
NEK5,NM_001365552
HAAO,NM_012205
NTM-AS1,NM_207432
ADGRG2,NM_001079858
PTCHD1,NM_173495
LRRC7,NM_001330635
FSIP2,NM_173651
KLF6,NM_001008490
SRD5A3-AS1,NR_037969
BCL2L14,NM_001370268
WASF3-AS1,NA
PSG8,NM_001130167
TNFRSF11B,NM_002546
SLC22A6,NM_004790
LMO7-AS1,NR_120410
PDZK1,NM_001201325
C12orf42,NM_001099336
TSPOAP1-AS1,NR_038410
MORC2-AS1,NM_153044
TMEM140,NM_018295
DIO2-AS1,NR_038355
A2ML1-AS1,NA
PHKA1-AS1,NR_110391
TH2LCRR,NR_132124
AF274853.1,NA
COL10A1,NM_000493
SMC1B,NM_001291501
OIP5,NM_001317860
MEP1B,NM_001308171
BDNF,NM_001143805
WWC3-AS1,NA
LSAMP-AS1,NR_109998
PRSS51,XM_047422509
DPP10-AS3,NR_132105
SYCP3,NM_001177948
APCDD1L-DT,NR_034147
GPC5-AS1,NR_046520
PLN,NM_002667
COL27A1,NM_032161
MTCP1,NM_001018025
CLMP,NM_024769
AP4B1-AS1,NR_037864
PCYT1B-AS1,NR_046638
ST7-AS2,NR_002331
RMDN2-AS1,NR_102712
Z98884.1,NA
RASGEF1A,NM_001282862
PKD1L1,NM_138295
RNF212B,NM_001282322
ARHGAP29,NM_001328664
BCAM,NM_001013257
TENT5A,NM_017633
HES4,NM_001142467
MEI4,NM_001282136
SLC24A1,NM_001254740
SEMA5A,NM_003966
EYS,NM_001142800
OVOL2,NM_001303461
ACSM3,NM_005622
TUSC7,NR_015391
EVI2B,NM_006495
STX19,NM_001001850
PLET1,NM_001145024
IGFN1,NM_001164586
LRRC9,NM_001355272
CEACAM1,NM_001024912
RBP2,NM_004164
ESRRB,NM_001379180
GK-AS1,NR_046603
SLC14A2,NM_001242692
BCL6,NM_001130845
NUPR1,NM_001042483
RSPO3,NM_032784
FXYD3,NM_001136007
SLC38A4,NM_001143824
PNPLA3,NM_025225
EDRF1-AS1,NR_120633
CNTNAP3C,XM_011545672
BTBD18,NM_001145101
CXCL17,NM_198477
CYP3A7,NM_000765
GHRL,NM_001134941
LARS2-AS1,NR_048543
NEAT1,NR_002802
OCIAD1-AS1,NR_146806
ZMYM4-AS1,NR_046659
TTC21B-AS1,NR_038983
IGSF6,NM_005849
BTBD11,NA
ZNF451-AS1,NR_110742
PCDH9-AS4,NR_046637
CLIP1-AS1,NR_045382
MOB3B,NM_024761
C6orf118,NM_144980
TARID,NR_109982
LHFPL1,NM_178175
DNAJC9-AS1,NR_038373
PIGM,NM_145167
ADAMTS9,NM_001318781
CCNB3,NM_033031
FAM222A-AS1,NM_032897
HTR2B,NM_000867
PDCD1LG2,NM_025239
MACROD2-AS1,NR_037841
KCND3,NM_001378969
ART4,NM_001354646
ACKR4,NM_016557
CDH23,NM_001171930
NUAK2,NM_030952
GPR82,NM_080817
AF123462.1,NA
TMCC2,NM_001242925
AF279873.4,NA
SOX5-AS1,NR_120472
KCNMB2,NM_001278911
RGPD1,NM_001024457
HSD3B7,NM_001142777
SYNPO2L,NM_001114133
APOBEC2,NM_006789
FSD2,NM_001007122
KCNMA1-AS3,NR_126365
BAG3,NM_004281
DEC1,NA
RBPMS,NM_001008710
GRID1-AS1,NR_038986
ALG13-AS1,NA
SERPINE3,NM_001101320
CNTFR-AS1,NR_024369
EDNRA,NM_001166055
HPN,NM_001375441
C1QTNF7,NM_001135170
PRKCQ,NM_001242413
TMPRSS3,NM_001256317
RNF125,NM_017831
CHL1-AS1,NR_110739
KLF2,NM_006075
HMGA2,NM_001015886
TRIP10,NM_001288962
C1R,NM_001354346
DGAT2L6,NM_198512
ST6GAL1,NM_001353916
FBXW10,NM_001267585
SFTA3,NM_001101341
PXDC1,NM_183373
FOXP1-IT1,NA
TNC,NM_001410991
SMTN,NM_001207017
CELA2B,NM_015849
MIR155HG,NR_001458
EMP3,NM_001313905
CD160,NM_007053
HES1,NM_005524
CNTNAP3B,NM_001201380
TSBP1,NM_001286474
