Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Cytosolic Large Ribosomal Subunit (GO:0022625),7.115928432009618e-31,58.77984566500227,4080.367697979573,"['RPL4', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPLP1', 'RPL12', 'RPL11', 'RPL10A', 'RPL8', 'RPL9', 'RPL6', 'RPL7', 'RPL7A', 'RPL18A', 'RPL36AL', 'RPL36', 'RPL14', 'RPL35', 'RPLP2', 'RPL13', 'RPL38', 'RPL37', 'RPL15', 'RPL18', 'RPL39', 'RPL17', 'RPL19', 'RPL39L', 'RPL41', 'RPL21', 'RPL22', 'RPL13A', 'RPL35A', 'RPL23A', 'RPL27A', 'RPL37A', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL28', 'UBA52', 'RPL26L1']",1.3804901158098659e-28,0,0,44
2,Large Ribosomal Subunit (GO:0015934),7.115928432009618e-31,58.77984566500227,4080.367697979573,"['RPL4', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPLP1', 'RPL12', 'RPL11', 'RPL10A', 'RPL8', 'RPL9', 'RPL6', 'RPL7', 'RPL7A', 'RPL18A', 'RPL36AL', 'RPL36', 'RPL14', 'RPL35', 'RPLP2', 'RPL13', 'RPL38', 'RPL37', 'RPL15', 'RPL18', 'RPL39', 'RPL17', 'RPL19', 'RPL39L', 'RPL41', 'RPL21', 'RPL22', 'RPL13A', 'RPL35A', 'RPL23A', 'RPL27A', 'RPL37A', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL28', 'UBA52', 'RPL26L1']",1.3804901158098659e-28,0,0,44
3,Cytosolic Small Ribosomal Subunit (GO:0022627),1.5871841077726915e-22,43.86585365853659,2201.842602831823,"['MRPS12', 'RPS15', 'RPS4X', 'RPS14', 'RPS17', 'RPS15A', 'RPS16', 'RPS19', 'RPS18', 'RPS3', 'RPS2', 'RPS11', 'RPS27A', 'RPS10', 'RPS13', 'RPS9', 'RPS7', 'RPS8', 'RPS5', 'RPS6', 'RPS3A', 'RPSA', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPS20', 'FAU', 'RPS21', 'UBA52', 'RPS24', 'RPS23']",2.052758112719348e-20,0,0,33
4,Ribosome (GO:0005840),5.161643755364251e-22,14.934603174603174,732.0287886539029,"['RPL30', 'RPL32', 'MRPS12', 'RPL11', 'RPL10A', 'RPL8', 'RPL9', 'RPL6', 'RPS4X', 'RPL7A', 'RPS17', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL36', 'RPS3', 'RPL38', 'RPL15', 'RPS11', 'RPL18', 'RPL39', 'RPS10', 'RPL17', 'RPS13', 'RPL19', 'BTF3', 'RPS9', 'RPL41', 'RPS7', 'RPS5', 'RPL13A', 'MRPS7', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL24', 'RPL27', 'RPS21', 'RPS23']",5.0067944427033236e-20,0,0,42
5,Small Ribosomal Subunit (GO:0015935),1.0211323371044802e-21,35.08970189701897,1696.0037136512244,"['MRPS12', 'RPS15', 'RPS4X', 'RPS14', 'RPS17', 'RPS15A', 'RPS16', 'RPS19', 'RPS18', 'RPS3', 'RPS2', 'RPS11', 'RPS27A', 'RPS10', 'RPS13', 'RPS9', 'RPS7', 'RPS8', 'RPS5', 'RPS6', 'RPS3A', 'RPSA', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPS20', 'FAU', 'RPS21', 'UBA52', 'RPS24', 'RPS23']",7.923986935930765e-20,0,0,33
6,Mitochondrial Inner Membrane (GO:0005743),4.181569469094524e-13,2.5076165425239885,71.47439260335591,"['NDUFA13', 'NDUFA11', 'MPV17L2', 'GHITM', 'MICOS13', 'COX6A1', 'PHB2', 'CLU', 'MPC2', 'CHCHD1', 'ENDOG', 'MRPS18A', 'COX6B1', 'SCO2', 'AURKAIP1', 'NDUFB10', 'UQCRB', 'NDUFB11', 'MRPL17', 'ATP5MC3', 'MRPL14', 'MRPL12', 'HIGD1A', 'MTLN', 'UQCRH', 'ATP5MC1', 'LDHB', 'CYC1', 'ATP5MF', 'ATP5ME', 'COA3', 'UQCC3', 'MRPL28', 'MRPL21', 'UQCRQ', 'NDUFAF4', 'NDUFAF3', 'CYCS', 'MRPS17', 'COX7B', 'SLC25A3', 'COX4I1', 'MRPS12', 'MRPL36', 'COX7C', 'MRPL35', 'MRPL40', 'TIMM17A', 'TIMM17B', 'UQCRFS1', 'MRPL9', 'COA8', 'COX8A', 'MRPS24', 'MRPS23', 'MRPL49', 'MRPS2', 'NDUFC2', 'NDUFC1', 'MRPS7', 'MRPL44', 'SLC25A18', 'SMDT1', 'MRPL51', 'NDUFS6', 'NDUFS5', 'SLC25A5', 'SLC25A11', 'SLC25A4', 'SLC25A6', 'STOML2', 'NDUFB7', 'NDUFB5', 'MRPS33', 'NDUFB4', 'MRPS34', 'NDUFB3', 'TIMM13', 'NDUFB2', 'TMEM160', 'UQCR11', 'TIMM10', 'UQCR10', 'COX5B', 'COX5A', 'MRPL54', 'TMEM70', 'ATP5F1B', 'RPS3', 'SLC25A22', 'GADD45GIP1', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1D', 'SLC8B1', 'ATP5F1E', 'PINK1', 'NDUFAB1']",2.7040815900144592e-11,0,0,106
7,Polysomal Ribosome (GO:0042788),2.0344851085316327e-12,18.5062893081761,498.203712490291,"['RPL30', 'RPL41', 'RPL32', 'RPL11', 'RPL10A', 'RPL8', 'RPL6', 'RPS26', 'RPL7A', 'RPS28', 'RPL18A', 'RPL36AL', 'RPS29', 'RPL36', 'RPL24', 'RPL38', 'RPL18', 'RPL39', 'RPS21', 'RPL19', 'RPS23']",1.127686031586105e-10,0,0,21
8,Mitochondrial Membrane (GO:0031966),6.91919368074807e-12,2.129021513382186,54.70887369146497,"['IFI27L2', 'NDUFA13', 'NDUFA11', 'MPV17L2', 'GHITM', 'MICOS13', 'COX6A1', 'PHB2', 'CLU', 'TOMM20', 'TOMM22', 'MPC2', 'CHCHD1', 'CPT1A', 'ENDOG', 'MRPS18A', 'KMO', 'COX6B1', 'TUFM', 'SCO2', 'VDAC1', 'AURKAIP1', 'UBA52', 'UQCRB', 'NDUFB10', 'NDUFB11', 'MRPL17', 'ATP5MC3', 'MRPL14', 'MRPL12', 'HIGD1A', 'MTLN', 'ACACB', 'UQCRH', 'ATP5MC1', 'LDHB', 'BCL2L11', 'UBB', 'CYC1', 'ATP5MF', 'ATP5ME', 'COA3', 'MOAP1', 'FIS1', 'UQCC3', 'MRPL28', 'MRPL21', 'UQCRQ', 'NDUFAF4', 'NDUFAF3', 'CYCS', 'BCL2L2', 'MRPS17', 'SLC25A3', 'COX7B', 'COX4I1', 'MRPS12', 'MRPL36', 'MRPL35', 'COX7C', 'NGRN', 'MRPL40', 'HINT2', 'FUNDC1', 'TIMM17A', 'TIMM17B', 'UQCRFS1', 'MRPL9', 'COX8A', 'MRPS24', 'MRPS23', 'MRPL49', 'NDUFC2', 'MRPS2', 'NDUFC1', 'MRPS7', 'MRPL44', 'FAM210B', 'SLC25A18', 'SMDT1', 'MRPL51', 'HAX1', 'NDUFS6', 'NDUFS5', 'SLC25A5', 'NAT8L', 'SLC25A11', 'SLC25A4', 'SLC25A6', 'STOML2', 'NDUFB7', 'NDUFB5', 'NDUFB4', 'MRPS33', 'NDUFB3', 'MRPS34', 'TIMM13', 'NDUFB2', 'TMEM160', 'UQCR11', 'MIEF1', 'TIMM10', 'UQCR10', 'COX5B', 'COX5A', 'MRPL54', 'TMEM70', 'PGRMC1', 'ATP5F1B', 'RPS3', 'RPS27A', 'SLC25A22', 'GADD45GIP1', 'NDUFA8', 'ATP5PF', 'NDUFA7', 'NDUFA6', 'ATP5PD', 'NDUFA4', 'BAD', 'NDUFA3', 'BNIP3', 'NDUFA2', 'NDUFA1', 'COX6C', 'SLC8B1', 'ATP5F1D', 'ATP5F1E', 'SLC8A3', 'PINK1', 'NDUFAB1', 'TOMM7', 'TOMM5']",3.3558089351628143e-10,0,0,133
9,Organelle Inner Membrane (GO:0019866),3.064231244718969e-11,2.297545034273872,55.62043901573336,"['NDUFA13', 'NDUFA11', 'MPV17L2', 'GHITM', 'MICOS13', 'COX6A1', 'PHB2', 'CLU', 'MPC2', 'CHCHD1', 'ENDOG', 'MRPS18A', 'COX6B1', 'SCO2', 'AURKAIP1', 'UQCRB', 'NDUFB10', 'NDUFB11', 'MRPL17', 'ATP5MC3', 'MRPL14', 'MRPL12', 'HIGD1A', 'MTLN', 'UQCRH', 'ATP5MC1', 'LDHB', 'CYC1', 'ATP5MF', 'ATP5ME', 'COA3', 'UQCC3', 'MRPL28', 'MRPL21', 'UQCRQ', 'NDUFAF4', 'NDUFAF3', 'CYCS', 'MRPS17', 'SLC25A3', 'COX7B', 'COX4I1', 'MRPS12', 'MRPL36', 'MRPL35', 'COX7C', 'MRPL40', 'TIMM17A', 'TIMM17B', 'UQCRFS1', 'MRPL9', 'COX8A', 'MRPS24', 'MRPS23', 'MRPL49', 'NDUFC2', 'MRPS2', 'NDUFC1', 'MRPS7', 'MRPL44', 'SLC25A18', 'SMDT1', 'MRPL51', 'NDUFS6', 'NDUFS5', 'SLC25A5', 'SLC25A11', 'SLC25A4', 'SLC25A6', 'STOML2', 'NDUFB7', 'NDUFB5', 'NDUFB4', 'MRPS33', 'NDUFB3', 'MRPS34', 'TIMM13', 'NDUFB2', 'TMEM160', 'UQCR11', 'TIMM10', 'UQCR10', 'COX5B', 'COX5A', 'MRPL54', 'TMEM70', 'ATP5F1B', 'RPS3', 'SLC25A22', 'GADD45GIP1', 'NDUFA8', 'ATP5PF', 'NDUFA7', 'NDUFA6', 'ATP5PD', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'SLC8B1', 'ATP5F1D', 'ATP5F1E', 'PINK1', 'NDUFAB1']",1.3210241366121779e-09,0,0,105
10,Focal Adhesion (GO:0005925),2.0113335267255072e-09,2.2117216193438973,44.28854854535388,"['RPL4', 'BCAR3', 'YWHAE', 'RPL30', 'ARF1', 'RPL3', 'CD81', 'YWHAB', 'RPLP1', 'ARPC5L', 'HSPB1', 'RPL8', 'RPL10A', 'RPL9', 'RPL6', 'ACTB', 'RPL7', 'ACTG1', 'RPS15', 'RPS4X', 'RPL7A', 'RPS14', 'RPS17', 'RPS16', 'RPS19', 'YWHAQ', 'RPS18', 'CFL1', 'BSG', 'RPLP2', 'RPL38', 'RAC1', 'RPS11', 'RPS10', 'RPS13', 'YWHAG', 'RPS9', 'RPS7', 'RPS8', 'RPS5', 'RPL22', 'NME2', 'RPL13A', 'RPS3A', 'DYNLL1', 'RHOB', 'RPL37A', 'ITGA8', 'RPL27', 'PFN1', 'PPIB', 'ATP6V0C', 'PPIA', 'ARF6', 'RPL12', 'ASAP3', 'ARL2', 'NEDD9', 'THY1', 'HSP90B1', 'SLC9A3R2', 'ARHGAP22', 'DPP4', 'LIMA1', 'FLRT1', 'RPS3', 'FLNB', 'CD59', 'RPS2', 'RPL18', 'RPL17', 'CD99', 'RPL19', 'MAPK3', 'FZD1', 'HSPA8', 'NPM1', 'HSPA5', 'SPRY4', 'HMGA1', 'L1CAM', 'NELL1', 'MARCKS', 'HNRNPK', 'ACTC1', 'RPS29', 'GNB2', 'CASS4', 'HYOU1', 'CALR', 'HSPA1B', 'HSPA1A']",7.803974083694968e-08,0,0,92
