Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-877-5p,3.6154576456508274e-05,1.9890560875512995,20.343482911940214,"['SLC25A3', 'ZNF174', 'CDKN1B', 'THRA', 'RPLP1', 'TXN2', 'ACTG1', 'UBL5', 'TMEM147', 'ARHGDIA', 'LEPR', 'RPL35', 'SLC39A1', 'EIF5A', 'EIF1AX', 'NCBP2', 'TUBB', 'YOD1', 'WBP11', 'EEF1A1', 'RNF167', 'MRPL51', 'C1ORF115', 'SRSF3', 'VDAC1', 'PHPT1', 'SLC25A5', 'CSTB', 'COLEC10', 'RNASEK', 'PCNA', 'STOML1', 'NDUFB11', 'RAB1B', 'PGRMC1', 'DNAJB4', 'UBC', 'SAP18', 'DNAJB9', 'MEF2D', 'SERF2', 'HNRNPA0', 'HSPA8', 'TMEM30A', 'HMGA1', 'TBCC', 'RPL23A', 'PNRC2', 'MARCKS', 'RPS27', 'NACA', 'RPS24', 'BCL2L2', 'RTL8C']",0.11178995040352359,0,0,54
2,hsa-miR-423-5p,0.0002005723170416372,1.6954902560963168,14.435973204188791,"['YWHAE', 'MIDN', 'ARL6IP1', 'CD81', 'ACTG1', 'RPL18A', 'PTTG1', 'ARHGDIA', 'PEA15', 'ATP6V1E1', 'RPS10', 'RPS9', 'TSPYL1', 'GRID1', 'TUBB', 'PGAM1', 'ATG9A', 'NME2', 'SLC39A11', 'DDX54', 'KCTD2', 'GTF2F1', 'COPZ1', 'EPN1', 'MLF2', 'CTDNEP1', 'PKM', 'IGDCC4', 'GPRIN1', 'NPTXR', 'FKBP4', 'PPIB', 'PTMA', 'PPIA', 'GAPDH', 'KCTD15', 'ARL8A', 'CSTB', 'CEBPB', 'RPL10', 'EPB41', 'WBP2', 'NOLC1', 'SPATA2', 'COPS7A', 'CCDC106', 'NDRG1', 'RPS15A', 'MCRIP1', 'PCBP1', 'AP2S1', 'RPS2', 'RABAC1', 'SNX8', 'CDKN2A', 'SPRY4', 'C20ORF27', 'RPL23A', 'PNMA8B', 'PNRC1', 'EIF1', 'DRAP1', 'NECAP1', 'UST', 'CALM3', 'POLR3H', 'CDK15', 'RTL8C', 'RNF187']",0.2579150393929261,0,0,69
3,hsa-miR-486-3p,0.0002502409825933953,1.9170026509067102,15.897868179776866,"['COL18A1', 'DAZAP2', 'CDKN1A', 'CEBPB', 'RPL10', 'ARHGAP18', 'SPATA2', 'ATXN7L3B', 'THY1', 'CCDC106', 'NTN1', 'PTMS', 'TUBB8', 'UBL5', 'STIP1', 'RPL18A', 'UBB', 'PEA15', 'CFL1', 'ATP6V1E1', 'IER5', 'SLC25A22', 'PLXNA4', 'ATP6AP1', 'TUBB', 'PGAM1', 'PRKCD', 'HMGA1', 'C20ORF27', 'POU3F1', 'SYTL3', 'COPZ1', 'CTDNEP1', 'ARL4C', 'TUBB2A', 'FASN', 'UST', 'MYADM', 'PIN1', 'CALM3', 'MAFK', 'CALR', 'NPTXR', 'PTGES', 'LY6E', 'RNF187']",0.2579150393929261,0,0,46
4,hsa-miR-6866-5p,0.0007950722106418654,2.7888528224210276,19.904259054443205,"['ABCG8', 'JAGN1', 'COLEC10', 'CDKN1B', 'PCNA', 'STOML1', 'NCBP2', 'EIF1AX', 'TUBB', 'YOD1', 'PNRC2', 'PGRMC1', 'TUBB2A', 'MRPL51', 'ARHGDIA', 'SRSF3', 'SERF2', 'BCL2L2']",0.4364531108246932,0,0,18
5,hsa-miR-7110-5p,0.0009890977684566566,1.9728080324555697,13.649301212392709,"['RTN4R', 'MIDN', 'CDKN1A', 'NDUFB11', 'RAB1B', 'STMN3', 'NEDD9', 'GALNT10', 'HACD4', 'DDA1', 'TGOLN2', 'C19ORF53', 'ARHGDIA', 'AP1S1', 'RREB1', 'IGFBP4', 'GSTO1', 'DCXR', 'MID1IP1', 'ANK1', 'KLF16', 'GRIN2D', 'RHOB', 'PYGO1', 'ARL4C', 'PKM', 'FKBP8', 'ZNF436', 'CALR', 'FKBP4', 'CTXN1', 'ARL8A', 'LY6E', 'OTUB1']",0.4364531108246932,0,0,34
6,hsa-miR-6721-5p,0.001203582979553826,1.7267960390158792,11.608304098378419,"['LRPAP1', 'COL18A1', 'CDKN1A', 'MIDN', 'ZFAND4', 'UPK2', 'HAAO', 'THY1', 'CCDC106', 'ADO', 'FUT1', 'PTMS', 'UBL5', 'STIP1', 'PEA15', 'BCL7B', 'TMEM109', 'SLC25A22', 'STUM', 'PGAM1', 'MID1IP1', 'HMGA1', 'C20ORF27', 'CHCHD10', 'RPL13A', 'IMP4', 'SSTR1', 'POU3F1', 'SYTL3', 'MLF2', 'ARL4C', 'REEP5', 'WDR82', 'FKBP8', 'MYADM', 'FSCN1', 'RTL8A', 'SRSF3', 'PIN1', 'CALM3', 'FXYD6', 'MAFK', 'CALR', 'NPTXR', 'RPS24', 'TOMM5', 'ITM2C', 'LY6E']",0.4364531108246932,0,0,48
7,hsa-miR-663a,0.0016810780923436613,1.941039412573623,12.399980841414175,"['RTN4R', 'CDKN1A', 'CEBPB', 'SLC47A1', 'WBP2', 'STMN3', 'CDH7', 'NRGN', 'ARHGDIA', 'TCEAL1', 'JUNB', 'HRAS', 'VAV3', 'VPS18', 'JUND', 'H2AFX', 'SPRY4', 'POU3F1', 'RHOB', 'MRPL44', 'CTDNEP1', 'VGF', 'EEF1A2', 'ZNF516', 'MYADM', 'FSCN1', 'FOSB', 'MAFK', 'CALR', 'RPL28', 'ARL8A', 'OTUB1']",0.4364531108246932,0,0,32
8,hsa-miR-6876-5p,0.0017203759168003287,1.7477942202987575,11.125081541146548,"['MIDN', 'SET', 'NDUFA11', 'WBP2', 'NXN', 'VPS4A', 'NOLC1', 'SPATA2', 'SNU13', 'TSPAN11', 'PPP1R9B', 'PURB', 'SPRED3', 'CFL1', 'EIF4H', 'IDS', 'PABPC1L2B', 'LONRF3', 'PABPC1L2A', 'TRIM67', 'TSPYL1', 'TPI1', 'DGAT2', 'IGFBP4', 'SSU72', 'RPL13A', 'RPL35A', 'KLHDC8B', 'ATOX1', 'MLLT11', 'CDCP1', 'C1ORF115', 'REEP5', 'TFDP2', 'VMA21', 'PPIF', 'ZNF436', 'CALR', 'FARSA', 'ALDOA', 'FKBP4', 'CTXN1', 'FRK']",0.4364531108246932,0,0,43
9,hsa-miR-4476,0.0017203759168003287,1.7477942202987575,11.125081541146548,"['MIDN', 'SET', 'NDUFA11', 'WBP2', 'NXN', 'VPS4A', 'NOLC1', 'SPATA2', 'SNU13', 'TSPAN11', 'PPP1R9B', 'PURB', 'SPRED3', 'CFL1', 'EIF4H', 'IDS', 'PABPC1L2B', 'LONRF3', 'PABPC1L2A', 'TRIM67', 'TSPYL1', 'TPI1', 'DGAT2', 'IGFBP4', 'SSU72', 'RPL13A', 'RPL35A', 'KLHDC8B', 'ATOX1', 'MLLT11', 'CDCP1', 'C1ORF115', 'REEP5', 'TFDP2', 'VMA21', 'PPIF', 'ZNF436', 'CALR', 'FARSA', 'ALDOA', 'FKBP4', 'CTXN1', 'FRK']",0.4364531108246932,0,0,43
10,hsa-miR-6842-5p,0.0019990569716084776,1.8929539295392954,11.764859585596978,"['RTN4R', 'MIDN', 'CDKN1A', 'NDUFB11', 'RAB1B', 'STMN3', 'NEDD9', 'GALNT10', 'HACD4', 'DDA1', 'TGOLN2', 'C19ORF53', 'ARHGDIA', 'AP1S1', 'RREB1', 'GSTO1', 'DCXR', 'MID1IP1', 'ANK1', 'KLF16', 'GRIN2D', 'RHOB', 'PYGO1', 'ARL4C', 'PKM', 'FKBP8', 'ZNF436', 'CALR', 'FKBP4', 'CTXN1', 'ARL8A', 'LY6E', 'OTUB1']",0.4364531108246932,0,0,33
