Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-4654,0.0014164531037812909,43.47692307692308,285.19119619669016,"['C19ORF53', 'ING1']",0.1554023787729713,0,0,2
2,hsa-miR-4769-5p,0.0015235527330683461,41.798816568047336,271.13681592558845,"['C19ORF53', 'ING1']",0.1554023787729713,0,0,2
3,hsa-miR-615-3p,0.008150983216170169,6.163406214039125,29.643621572938052,"['MAP1A', 'MRPS18B', 'UQCR11', 'RPL29']",0.233195785064807,0,0,4
4,hsa-miR-6794-5p,0.009504942364763055,15.654403567447046,72.88601645005981,"['TGFBR3L', 'C19ORF53']",0.233195785064807,0,0,2
5,hsa-miR-4716-3p,0.009504942364763055,15.654403567447046,72.88601645005981,"['TGFBR3L', 'C19ORF53']",0.233195785064807,0,0,2
6,hsa-miR-6778-5p,0.01253377266217926,13.48076923076923,59.03671642287948,"['TGFBR3L', 'ING1']",0.233195785064807,0,0,2
7,hsa-miR-662,0.012604761995785611,101.21428571428571,442.6789578968465,['ING1'],0.233195785064807,0,0,1
8,hsa-miR-1233-5p,0.012827642801143997,13.312440645773979,57.99102616353561,"['TGFBR3L', 'ING1']",0.233195785064807,0,0,2
9,hsa-miR-548al,0.01469109129781949,84.33333333333333,355.93001425909864,['MRPS18B'],0.233195785064807,0,0,1
10,hsa-miR-7706,0.01469109129781949,84.33333333333333,355.93001425909864,['TGFBR3L'],0.233195785064807,0,0,1
11,hsa-miR-4445-3p,0.016773306393460138,72.27551020408163,295.4598689204312,['MRPS18B'],0.233195785064807,0,0,1
12,mmu-miR-543-3p,0.025061172851033542,45.967532467532465,169.45634486381562,['ING1'],0.233195785064807,0,0,1
13,mmu-miR-384-5p,0.029180613720190547,38.88461538461539,137.4279792935026,['ING1'],0.233195785064807,0,0,1
14,hsa-miR-602,0.029180613720190547,38.88461538461539,137.4279792935026,['ING1'],0.233195785064807,0,0,1
15,mmu-miR-30d-5p,0.03123423706816484,36.10204081632653,125.13835398408166,['ING1'],0.233195785064807,0,0,1
16,mmu-miR-30b-5p,0.03328380558030797,33.69047619047619,114.63805503960658,['ING1'],0.233195785064807,0,0,1
17,hsa-miR-4318,0.037370807740347255,29.718487394957982,97.68066858424544,['ING1'],0.233195785064807,0,0,1
18,mmu-miR-30c-5p,0.037370807740347255,29.718487394957982,97.68066858424544,['ING1'],0.233195785064807,0,0,1
19,mmu-miR-17-5p,0.037427665031573874,7.36870026525199,24.20872361401828,"['MAP1A', 'NEFH']",0.233195785064807,0,0,2
20,mmu-miR-30a-5p,0.039408256175021826,28.063492063492063,90.75115759822694,['ING1'],0.233195785064807,0,0,1
21,hsa-miR-6735-3p,0.039408256175021826,28.063492063492063,90.75115759822694,['C19ORF53'],0.233195785064807,0,0,1
22,hsa-miR-134-3p,0.041441679359194544,26.582706766917294,84.62520051336692,['ING1'],0.233195785064807,0,0,1
23,hsa-miR-676-3p,0.047517871061838496,22.948051948051948,69.91466883222624,['ING1'],0.233195785064807,0,0,1
24,hsa-miR-4278,0.047517871061838496,22.948051948051948,69.91466883222624,['C19ORF53'],0.233195785064807,0,0,1
25,hsa-miR-1268a,0.047517871061838496,22.948051948051948,69.91466883222624,['POLR2I'],0.233195785064807,0,0,1
26,hsa-miR-2355-3p,0.049535266839724416,21.9472049689441,65.95289605175758,['ING1'],0.233195785064807,0,0,1
27,hsa-miR-3663-3p,0.049535266839724416,21.9472049689441,65.95289605175758,['TGFBR3L'],0.233195785064807,0,0,1
28,hsa-miR-320d,0.053558100195643187,20.185714285714287,59.08334811571115,['MRPS18B'],0.233195785064807,0,0,1
29,hsa-miR-4646-3p,0.053558100195643187,20.185714285714287,59.08334811571115,['ING1'],0.233195785064807,0,0,1
30,hsa-miR-219a-1-3p,0.0555635523843008,19.406593406593405,56.089476258748256,['MRPS18B'],0.233195785064807,0,0,1
31,hsa-miR-6126,0.05756503797633676,18.685185185185187,53.34321174112515,['UQCR11'],0.233195785064807,0,0,1
32,hsa-miR-380-3p,0.05756503797633676,18.685185185185187,53.34321174112515,['ING1'],0.233195785064807,0,0,1
33,hsa-miR-4429,0.05756503797633676,18.685185185185187,53.34321174112515,['MRPS18B'],0.233195785064807,0,0,1
34,hsa-miR-106b-3p,0.05756503797633676,18.685185185185187,53.34321174112515,['UQCR11'],0.233195785064807,0,0,1
35,hsa-miR-3908,0.059562564252906895,18.01530612244898,50.816278747223,['ING1'],0.233195785064807,0,0,1
36,hsa-miR-7109-3p,0.059562564252906895,18.01530612244898,50.816278747223,['NRIP2'],0.233195785064807,0,0,1
37,hsa-miR-1180-3p,0.059562564252906895,18.01530612244898,50.816278747223,['POLR2I'],0.233195785064807,0,0,1
38,hsa-miR-4648,0.06155613847647799,17.391625615763548,48.48447302009036,['ING1'],0.233195785064807,0,0,1
39,hsa-miR-3145-5p,0.06155613847647799,17.391625615763548,48.48447302009036,['UQCR11'],0.233195785064807,0,0,1
40,hsa-miR-3529-5p,0.06553145978987533,16.264976958525345,44.32572101063678,['MRPS18B'],0.233195785064807,0,0,1
41,hsa-miR-571,0.06553145978987533,16.264976958525345,44.32572101063678,['MRPS18B'],0.233195785064807,0,0,1
