Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Ribosome,4.4094977891629386e-29,11.578512396694215,755.9750484157056,"['RPL30', 'RPL32', 'RPL34', 'MRPS12', 'RPL10A', 'RPL8', 'RPL9', 'RPL7', 'RPS15', 'RPS14', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL36', 'RPL35', 'RPLP2', 'RPL38', 'RPL37', 'MRPL9', 'RPL39', 'RPS10', 'RPS13', 'RPS12', 'RPS9', 'RPL21', 'RPS8', 'RPL23', 'RPS5', 'RPL22', 'RPS3A', 'RPL37A', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL10', 'RPL12', 'RPL11', 'RPL36A', 'MRPL14', 'RPS15A', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL41', 'RPL35A', 'MRPL21', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL27A', 'FAU', 'RPS21', 'RSL24D1', 'RPS24', 'RPL26L1']",8.642615666759359e-27,0,0,63
2,Coronavirus disease,4.288212171371557e-27,10.941893158388003,664.3253091131784,"['RPL30', 'RPL32', 'RPL34', 'RPL8', 'RPL10A', 'RPL9', 'RPL7', 'RPS15', 'RPS14', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL36', 'RPL35', 'RPLP2', 'RPL38', 'RPL37', 'RPL39', 'RPS10', 'RPS13', 'RPS12', 'RPS9', 'RPL21', 'RPS8', 'RPL23', 'RPS5', 'RPL22', 'RPS3A', 'RPL37A', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'IL6ST', 'RPL10', 'RPL12', 'RPL11', 'RPL36A', 'RPS15A', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL41', 'RPL35A', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL27A', 'FAU', 'RPS21', 'RSL24D1', 'RPS24', 'RPL26L1']",4.202447927944126e-25,0,0,60
3,Thermogenesis,1.800572695531521e-17,9.074088074088074,349.8591042857292,"['COX7B', 'NDUFA13', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB11', 'COX4I1', 'COX17', 'NDUFB3', 'NDUFB2', 'UQCR11', 'COX7A2', 'UQCR10', 'COX5B', 'COX6A1', 'COX7C', 'COX5A', 'COX7A1', 'UQCRH', 'ATP5MC1', 'COX14', 'HRAS', 'ATP5MF', 'ATP5ME', 'COX8A', 'ATP5PF', 'COA3', 'NDUFA8', 'NDUFA7', 'NDUFA6', 'NDUFA4', 'NDUFA2', 'NDUFA1', 'NDUFC1', 'COX6C', 'ATP5F1E', 'COX6B1', 'UQCRQ', 'NDUFS6', 'NDUFAF4', 'NDUFS5']",1.1763741610805936e-15,0,0,41
4,Oxidative phosphorylation,2.713729455473344e-16,9.052032520325204,324.45234212956484,"['NDUFA13', 'COX7B', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB11', 'COX4I1', 'COX17', 'NDUFB3', 'NDUFB2', 'COX7A2', 'UQCR11', 'UQCR10', 'COX6A1', 'COX5B', 'COX7A1', 'COX7C', 'COX5A', 'UQCRH', 'ATP5MC1', 'ATP5MF', 'ATP5ME', 'COX8A', 'ATP5PF', 'NDUFA8', 'ATP6V1G1', 'NDUFA7', 'NDUFA6', 'NDUFA4', 'NDUFA2', 'NDUFA1', 'NDUFC1', 'COX6C', 'ATP5F1E', 'COX6B1', 'UQCRQ', 'NDUFS6', 'NDUFS5']",1.3297274331819385e-14,0,0,38
5,Non-alcoholic fatty liver disease,6.331382765722931e-15,9.830944831959417,321.40561318169927,"['NDUFA13', 'COX7B', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB11', 'COX4I1', 'NDUFB3', 'NDUFB2', 'COX7A2', 'UQCR11', 'UQCR10', 'COX6A1', 'COX5B', 'COX7A1', 'COX7C', 'COX5A', 'UQCRH', 'COX8A', 'NDUFA8', 'XBP1', 'NDUFA7', 'NDUFA6', 'NDUFA4', 'NDUFA2', 'NDUFA1', 'NDUFC1', 'COX6C', 'COX6B1', 'UQCRQ', 'NDUFS6', 'NDUFS5', 'CYCS']",2.4819020441633894e-13,0,0,33
6,Amyotrophic lateral sclerosis,4.2387727123502605e-13,4.696271186440678,133.79363104111778,"['COX7B', 'NDUFA13', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB11', 'COX4I1', 'DCTN3', 'NDUFB3', 'NDUFB2', 'UQCR11', 'COX7A2', 'UQCR10', 'COX5B', 'COX6A1', 'COX7C', 'COX5A', 'COX7A1', 'GABARAP', 'UQCRH', 'ATP5MC1', 'KLC2', 'HNRNPA1', 'NEFH', 'COX8A', 'GABARAPL2', 'ATP5PF', 'NDUFA8', 'GABARAPL1', 'XBP1', 'NDUFA7', 'NDUFA6', 'BAD', 'NDUFA4', 'ALYREF', 'NDUFA2', 'NDUFA1', 'CHCHD10', 'NDUFC1', 'COX6C', 'ATP5F1E', 'COX6B1', 'UQCRQ', 'NDUFS6', 'NDUFS5', 'SRSF3', 'CYCS', 'PFN2']",1.384665752701085e-11,0,0,48
7,Diabetic cardiomyopathy,1.6342579411693814e-12,6.1827007943512795,167.79746255417507,"['COX7B', 'NDUFA13', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB11', 'COX4I1', 'NDUFB3', 'NDUFB2', 'UQCR11', 'COX7A2', 'ATP2A1', 'UQCR10', 'COX5B', 'COX6A1', 'COX7C', 'COX5A', 'COX7A1', 'UQCRH', 'ATP5MC1', 'MPC2', 'COX8A', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'NDUFA6', 'NDUFA4', 'NDUFA2', 'NDUFA1', 'NDUFC1', 'COX6C', 'ATP5F1E', 'COX6B1', 'UQCRQ', 'NDUFS6', 'NDUFS5']",4.575922235274268e-11,0,0,36
8,Huntington disease,8.32389121384407e-12,4.637549499184719,118.31265861239524,"['COX7B', 'NDUFA13', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB11', 'COX4I1', 'DCTN3', 'NDUFB3', 'NDUFB2', 'UQCR11', 'COX7A2', 'UQCR10', 'COX5B', 'COX6A1', 'COX7C', 'COX5A', 'COX7A1', 'UQCRH', 'ATP5MC1', 'KLC2', 'AP2S1', 'POLR2I', 'POLR2J', 'AP2M1', 'POLR2K', 'POLR2L', 'COX8A', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'NDUFA6', 'NDUFA4', 'NDUFA2', 'NDUFA1', 'NDUFC1', 'COX6C', 'ATP5F1E', 'COX6B1', 'UQCRQ', 'NDUFS6', 'NDUFS5', 'CYCS']",2.0393533473917971e-10,0,0,43
9,Parkinson disease,4.827416877435438e-10,4.122994652406417,88.44458228700863,"['COX7B', 'NDUFA13', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB11', 'COX4I1', 'NDUFB3', 'NDUFB2', 'UQCR11', 'COX7A2', 'TXN', 'UQCR10', 'PARK7', 'COX5B', 'COX6A1', 'COX7C', 'COX5A', 'COX7A1', 'UQCRH', 'ATP5MC1', 'KLC2', 'RPS27A', 'COX8A', 'ATP5PF', 'NDUFA8', 'XBP1', 'NDUFA7', 'NDUFA6', 'NDUFA4', 'NDUFA2', 'NDUFA1', 'NDUFC1', 'COX6C', 'ATP5F1E', 'COX6B1', 'UQCRQ', 'NDUFS6', 'NDUFS5', 'CYCS']",1.0513041199748288e-08,0,0,40
10,Pathways of neurodegeneration,4.533368056374719e-09,3.2675019767654034,62.77459667758167,"['NDUFA13', 'COX7B', 'NDUFB7', 'UQCRB', 'NDUFB10', 'NDUFB11', 'COX4I1', 'NDUFB3', 'DCTN3', 'NDUFB2', 'UQCR11', 'COX7A2', 'ATP2A1', 'UQCR10', 'PARK7', 'COX5B', 'COX6A1', 'COX7A1', 'COX5A', 'COX7C', 'GABARAP', 'UQCRH', 'ATP5MC1', 'KLC2', 'RPS27A', 'NEFH', 'HRAS', 'COX8A', 'GABARAPL2', 'NDUFA8', 'ATP5PF', 'GABARAPL1', 'NDUFA7', 'XBP1', 'NDUFA6', 'BAD', 'NDUFA4', 'NDUFA2', 'NDUFA1', 'NDUFC1', 'COX6C', 'ATP5F1E', 'COX6B1', 'NDUFS6', 'UQCRQ', 'NDUFS5', 'CYCS']",8.88540139049445e-08,0,0,47
