"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"ILF3",7.18011986286252e-15,5.66500415627598,184.494798060811,"['RPL32', 'RPL10', 'RPL12', 'RPL11', 'NEDD8', 'RPL8', 'RPL10A', 'RPL9', 'NDRG1', 'GABARAP', 'UQCRH', 'RPL7', 'TOMM22', 'RPS14', 'RPS16', 'MRPL40', 'RPS15A', 'RPL18A', 'SUMO2', 'RPL13', 'RPL15', 'RPS2', 'MRPL9', 'RPL18', 'HNRNPA1', 'RPL17', 'RPS13', 'GABARAPL2', 'GABARAPL1', 'RPL21', 'RPS8', 'RPL23', 'RPL22', 'NDUFA2', 'RPS3A', 'RPS26', 'RPS25', 'MYO1E', 'RPS28', 'RPL37A', 'RPL24', 'SRSF3', 'RPL27', 'LAMTOR2', 'RPL29', 'RPS24', 'VAMP2']",1.29242157531525e-12,0,0,47,"ILF3",1.29242157531525e-12,6.90480497502805e-50,4.47064323580195e-32,0.976580030797734,0.975992847783691,0.0562206123949773,0.000596486998071462,0.100304115058237
"ILF2",2.38497486394431e-07,4.15439429928741,63.3499725849395,"['RPL10', 'RPL11', 'NEDD8', 'NENF', 'RPL8', 'RPL10A', 'RPL9', 'GABARAP', 'TOMM22', 'RPL7', 'RPS16', 'RPS15A', 'SUMO2', 'RPS2', 'RPL18', 'HNRNPA1', 'RPL17', 'RPS13', 'GABARAPL2', 'GABARAPL1', 'RPL21', 'RPS8', 'RPL23', 'MRPL21', 'RPS26', 'SRSF3', 'RPS24']",2.14647737754988e-05,0,0,27,"ILF2",2.14647737754988e-05,7.71505789651918e-52,1.39854030393338e-30,0.794062400686762,0.792762117517491,-0.168247614013106,2.50202399318862e-07,0.0170111147893157
"ESR1",2.01393194758539e-05,2.05299167576197,22.1986632456531,"['RPL8', 'RPL10A', 'RPL9', 'RPL7', 'RPS14', 'RPS16', 'YWHAQ', 'RPL18A', 'RPS19', 'RPS18', 'RPL36AL', 'RPL36', 'TMED2', 'SEC61B', 'RPS10', 'RPS13', 'AP2M1', 'YWHAH', 'RPS12', 'RPS9', 'RPL21', 'RPS8', 'RPL22', 'NME2', 'RPS3A', 'EDF1', 'HAX1', 'RPL37A', 'RPL24', 'SRSF3', 'RPL29', 'PTMA', 'RPL10', 'RPL12', 'RPL11', 'RPL36A', 'NEDD8', 'FOXO4', 'RPS15A', 'BLOC1S1', 'BAG1', 'PGK1', 'RPL13', 'RPS2', 'RPL15', 'RPL18', 'HNRNPA1', 'RPL17', 'BTF3', 'FIS1', 'XBP1', 'GADD45B', 'PNRC2', 'RPS26', 'RPS25', 'RPL27A', 'RPS24']",0.00120835916855123,0,0,57,"ESR1",0.00120835916855123,5.52924710521774e-05,0.00662313801685932,0.963794006556154,0.963561354755848,-0.102392983001324,0.789626240246179,0.922091997266726
"RAD21",5.72242221289782e-05,2.91861576379458,28.5105952359809,"['RPL30', 'RPL10', 'RPL11', 'MEA1', 'RPS14', 'RPS16', 'RPS15A', 'RPS19', 'RPS18', 'TMSB4X', 'SUMO2', 'PGK1', 'RPL13', 'RPS2', 'RPS27A', 'RPS10', 'RPL17', 'RPS13', 'RPL23', 'RPS5', 'RPL22', 'SSU72', 'RPL35A', 'RPS3A', 'RPS25']",0.00257508999580402,0,0,25,"RAD21",0.00257508999580402,4.98037133459987e-42,5.02452199108058e-25,0.982161764721735,0.981707429995359,-0.0218807749900885,0.0152417443021794,0.238806256706654
"ESR2",0.00243776628865932,2.28,13.7180147008999,"['RPS9', 'RPL32', 'RPL23', 'RPL10A', 'RPL7', 'PNRC2', 'RPS26', 'RPS25', 'RPS16', 'RPL18A', 'YWHAQ', 'RPL36AL', 'RPS18', 'RPL36', 'RPL29', 'RPS27A', 'NEFH', 'RPL17', 'RPS13', 'RPS24', 'YWHAH']",0.0877595863917356,0,0,21,"ESR2",0.0877595863917356,1.27664229496141e-10,3.58929739622857e-08,0.976580030797734,0.975992847783691,0.115937438860283,0.726130139591962,0.434465255643118
"POLR2A",0.00783104995287894,2.81322872398387,13.6431991123884,"['GABARAPL1', 'EGLN2', 'SUB1', 'GPS1', 'SUMO2', 'PIN1', 'NEDD8', 'POLR2I', 'POLR2J', 'POLR2K', 'POLR2L']",0.234931498586368,0,0,11,"POLR2A",0.234931498586368,2.19148386223759e-23,4.05695851155376e-25,0.873991481814599,0.872258598987517,0.148554542344907,0.00207319840408986,0.0634554308941994
"CTCF",0.0303327140755873,3.20090497737557,11.1888544987702,"['H2AFZ', 'SUMO2', 'RPL36A', 'FAU', 'HNRNPA1', 'RPL17']",0.675441024384834,0,0,6,"CTCF",0.675441024384834,3.02665076058467e-09,6.69329029589779e-07,NA,NA,NA,0.895283485215917,0.466802818501306
"RFX5",0.0311380817905017,7.9752808988764,27.6688311483463,"['NDUFA7', 'RPS19', 'NDUFA2']",0.675441024384834,0,0,3,"RFX5",0.675441024384834,2.19623569748772e-09,1.91954580804764e-06,0.996377067060452,0.996429998725858,0.0592094962490825,0.864307154299082,0.759562082875702
"TAF1",0.0337720512192417,2.22983257229833,7.55494413796303,"['RPL30', 'SUB1', 'BUD31', 'RPL37A', 'SSU72', 'RPL36A', 'RPL35A', 'EDF1', 'TAF9B', 'COX5A']",0.675441024384834,0,0,10,"TAF1",0.675441024384834,7.54434398845811e-27,4.11740684741292e-21,0.925557336055014,0.923830132480175,0.120837051452896,0.145394610999784,0.880095949581047
"MYB",0.040976151470504,4.25765765765766,13.6022158921753,"['COX7B', 'SUMO2', 'PIN1', 'PTMS']",0.737570726469071,0,0,4,"MYB",0.737570726469071,NA,NA,NA,NA,NA,NA,NA
