Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667),0.002638327077520364,31.11208791208791,184.7314519439405,"['MAP1A', 'NEFH']",0.06852646185068724,0,0,2
2,Axon Development (GO:0061564),0.004409226304964941,23.63545150501672,128.20001363492207,"['MAP1A', 'NEFH']",0.06852646185068724,0,0,2
3,Axo-Dendritic Protein Transport (GO:0099640),0.0063006597838762895,253.96428571428572,1286.862666670949,['MAP1A'],0.06852646185068724,0,0,1
4,Anterograde Axonal Protein Transport (GO:0099641),0.0063006597838762895,253.96428571428572,1286.862666670949,['MAP1A'],0.06852646185068724,0,0,1
5,Protein Localization To Presynapse (GO:1905383),0.0063006597838762895,253.96428571428572,1286.862666670949,['MAP1A'],0.06852646185068724,0,0,1
6,Neuron Projection Morphogenesis (GO:0048812),0.007041291547983649,18.39374185136897,91.15871631773676,"['MAP1A', 'NEFH']",0.06852646185068724,0,0,2
7,Regulation Of Microtubule-Based Movement (GO:0060632),0.008392643406575946,169.28571428571428,809.2533848598229,['NEFH'],0.06852646185068724,0,0,1
8,Intermediate Filament Bundle Assembly (GO:0045110),0.008392643406575946,169.28571428571428,809.2533848598229,['NEFH'],0.06852646185068724,0,0,1
9,Neuron Projection Maintenance (GO:1990535),0.01048051769481099,126.94642857142857,578.6519334958535,['MAP1A'],0.06852646185068724,0,0,1
10,Transcription-Coupled Nucleotide-Excision Repair (GO:0006283),0.01048051769481099,126.94642857142857,578.6519334958535,['POLR2I'],0.06852646185068724,0,0,1
11,Positive Regulation Of Protein Localization To Cell Surface (GO:2000010),0.01048051769481099,126.94642857142857,578.6519334958535,['MAP1A'],0.06852646185068724,0,0,1
12,Negative Regulation Of Stem Cell Population Maintenance (GO:1902455),0.01048051769481099,126.94642857142857,578.6519334958535,['ING1'],0.06852646185068724,0,0,1
13,Cell Projection Assembly (GO:0030031),0.01048051769481099,126.94642857142857,578.6519334958535,['NEFH'],0.06852646185068724,0,0,1
14,Axonogenesis (GO:0007409),0.013044177627356494,13.191369606003752,57.242806080070395,"['MAP1A', 'NEFH']",0.07605906893035771,0,0,2
15,Neuron Projection Organization (GO:0106027),0.016719555576177183,72.51020408163265,296.6520249701487,['MAP1A'],0.07605906893035771,0,0,1
16,Retrograde Axonal Transport (GO:0008090),0.018791064088676614,63.4375,252.1243402577926,['MAP1A'],0.07605906893035771,0,0,1
17,Regulation Of Supramolecular Fiber Organization (GO:1902903),0.018791064088676614,63.4375,252.1243402577926,['MAP1A'],0.07605906893035771,0,0,1
18,Associative Learning (GO:0008306),0.018791064088676614,63.4375,252.1243402577926,['MAP1A'],0.07605906893035771,0,0,1
19,"Mitochondrial Electron Transport, Ubiquinol To Cytochrome C (GO:0006122)",0.018791064088676614,63.4375,252.1243402577926,['UQCR11'],0.07605906893035771,0,0,1
20,Cell Projection Organization (GO:0030030),0.018791064088676614,63.4375,252.1243402577926,['NEFH'],0.07605906893035771,0,0,1
21,Regulation Of Oxidative Phosphorylation (GO:0002082),0.018791064088676614,63.4375,252.1243402577926,['COX7A1'],0.07605906893035771,0,0,1
22,Regulation Of Microtubule Polymerization Or Depolymerization (GO:0031110),0.020858499426879822,56.38095238095238,218.19393431601966,['MAP1A'],0.07708575875151238,0,0,1
23,Regulation Of Aerobic Respiration (GO:1903715),0.020858499426879822,56.38095238095238,218.19393431601966,['COX7A1'],0.07708575875151238,0,0,1
24,Transcription Elongation By RNA Polymerase II (GO:0006368),0.022921868950814203,50.73571428571429,191.56100223627237,['POLR2I'],0.07723363462158257,0,0,1
25,Regulation Of Microtubule Depolymerization (GO:0031114),0.022921868950814203,50.73571428571429,191.56100223627237,['MAP1A'],0.07723363462158257,0,0,1
26,Peptide Biosynthetic Process (GO:0043043),0.023624405884248786,9.530292716133424,35.69547266947099,"['MRPS18B', 'RPL29']",0.07723363462158257,0,0,2
27,Negative Regulation Of Protein Localization (GO:1903828),0.02498118001208295,46.116883116883116,170.15435245890987,['MAP1A'],0.07864445559359448,0,0,1
28,Regulation Of Protein Localization To Cell Surface (GO:2000008),0.027036439983600682,42.267857142857146,152.6110440255109,['MAP1A'],0.07924473788296751,0,0,1
29,Positive Regulation Of Stem Cell Population Maintenance (GO:1902459),0.027036439983600682,42.267857142857146,152.6110440255109,['ING1'],0.07924473788296751,0,0,1
30,Regulation Of Intracellular Transport (GO:0032386),0.029087656211989193,39.010989010989015,137.99908680031254,['NEFH'],0.08019578984625926,0,0,1
31,Macromolecule Biosynthetic Process (GO:0009059),0.030955065580661762,8.19964768056371,28.495568325081003,"['MRPS18B', 'RPL29']",0.08019578984625926,0,0,2
32,Regulation Of Stem Cell Population Maintenance (GO:2000036),0.03113483605795948,36.21938775510204,125.6605564337818,['ING1'],0.08019578984625926,0,0,1
