Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-216a,0.003417716351092055,2.3150781589231437,13.146825762249044,"['SYT4', 'PLEKHH2', 'SLC24A3', 'PRDM6', 'OR9Q1', 'XYLT1', 'AMPD2', 'CPLX2', 'FOXP4', 'RND2', 'SLC5A3', 'TMEM220', 'SMC1B', 'SPOCK2', 'CFL2', 'EVI2B', 'ATXN7L3']",0.5622193787848645,0,0,17
2,hsa-miR-4800-5p,0.0034326434996943983,2.3767127315495444,13.48647722673943,"['TMEM185B', 'KCNJ9', 'PELI3', 'TSC22D3', 'KLHL21', 'XYLT1', 'AMPD2', 'PRELP', 'MTRNR2L8', 'RND2', 'NRIP2', 'ASPHD2', 'NPTX1', 'IL6ST', 'SNX8', 'ATXN7L3']",0.5622193787848645,0,0,16
3,mmu-miR-1905,0.005441013412735034,2.315423976608187,12.072134250796587,"['PLEKHH2', 'EGLN2', 'SLC24A3', 'GPR12', 'PELI3', 'EI24', 'TSC22D3', 'TNFRSF19', 'CPLX2', 'PLCXD2', 'NRIP2', 'CFL2', 'NPTX1', 'IL6ST', 'ATXN7L3']",0.5622193787848645,0,0,15
4,mmu-miR-465c-3p,0.005918612937235604,2.2293628808864265,11.4358583437867,"['PLEKHH2', 'TSC22D3', 'TNFRSF19', 'WDR64', 'OR9Q1', 'XYLT1', 'PRELP', 'FOXP4', 'SLC5A3', 'MYO1E', 'ISLR', 'MMP15', 'SPOCK2', 'ASPHD2', 'NPTX1', 'SLC16A3']",0.5622193787848645,0,0,16
5,mmu-miR-465b-3p,0.005918612937235604,2.2293628808864265,11.4358583437867,"['PLEKHH2', 'TSC22D3', 'TNFRSF19', 'WDR64', 'OR9Q1', 'XYLT1', 'PRELP', 'FOXP4', 'SLC5A3', 'MYO1E', 'ISLR', 'MMP15', 'SPOCK2', 'ASPHD2', 'NPTX1', 'SLC16A3']",0.5622193787848645,0,0,16
6,mmu-miR-465a-3p,0.005918612937235604,2.2293628808864265,11.4358583437867,"['PLEKHH2', 'TSC22D3', 'TNFRSF19', 'WDR64', 'OR9Q1', 'XYLT1', 'PRELP', 'FOXP4', 'SLC5A3', 'MYO1E', 'ISLR', 'MMP15', 'SPOCK2', 'ASPHD2', 'NPTX1', 'SLC16A3']",0.5622193787848645,0,0,16
7,hsa-miR-551a,0.0068044705450513105,4.010526315789473,20.01322996150366,"['SEMA7A', 'PELI3', 'NRIP2', 'ATP2A1', 'IL6ST', 'SLC5A3']",0.5622193787848645,0,0,6
8,hsa-miR-551b,0.0068044705450513105,4.010526315789473,20.01322996150366,"['SEMA7A', 'PELI3', 'NRIP2', 'ATP2A1', 'IL6ST', 'SLC5A3']",0.5622193787848645,0,0,6
9,mmu-miR-503,0.007656349079001366,2.2182233146067416,10.80767206530524,"['LYNX1', 'SLC24A3', 'SSU72', 'XYLT1', 'PRELP', 'CPLX2', 'RND2', 'TMPRSS11F', 'SLC5A3', 'PPCDC', 'ISLR', 'SLC9A6', 'IL6ST', 'ATXN7L3', 'NUDT13']",0.5623163045799892,0,0,15
10,mmu-miR-3091-5p,0.008989541074883227,2.2362333417148603,10.536446056367586,"['LYNX1', 'TSC22D3', 'TNFRSF19', 'WDR64', 'XYLT1', 'AMPD2', 'RND2', 'SLC5A3', 'SMC1B', 'TAGAP', 'ARMCX6', 'NPTX1', 'CDH26', 'CD300LF']",0.5923811358084025,0,0,14
11,hsa-miR-1225-5p,0.011513985247316394,2.1039438502673797,9.392411143684106,"['C17ORF78', 'SYT4', 'SEMA7A', 'SLC24A3', 'GPR12', 'SSU72', 'KLHL21', 'CPLX2', 'RND2', 'SLC5A3', 'NRIP2', 'GSG1', 'SNX8', 'SLC38A2', 'ATXN7L3']",0.5923811358084025,0,0,15
12,mmu-miR-299,0.013535952211583676,2.0113825232938805,8.653784249774992,"['TMEM185B', 'PLEKHH2', 'B3GAT3', 'TNFRSF19', 'OR9Q1', 'FOXO4', 'FOXP4', 'PLCXD2', 'TMPRSS11F', 'SLC5A3', 'PPCDC', 'SLC9A3R2', 'SFRP4', 'MAP1A', 'B4GALNT1', 'ATXN7L3']",0.5923811358084025,0,0,16
13,hsa-miR-660,0.013659573299399066,2.056609947643979,8.829673643387165,"['TNFRSF19', 'KLHL21', 'WDR64', 'XYLT1', 'CPLX2', 'SLC5A3', 'MID1', 'PPCDC', 'TMEM220', 'MMP15', 'GSG1', 'MAP1A', 'NPTX1', 'CTXN2', 'ATXN7L3']",0.5923811358084025,0,0,15
14,mmu-miR-434-5p,0.013831783477351874,3.9401533018867925,16.86695381941906,"['PRDM6', 'PRELP', 'NPTX1', 'RND2', 'MID1']",0.5923811358084025,0,0,5
15,mmu-miR-1249,0.013887473449329188,3.3777777777777778,14.445972032230449,"['MYO1E', 'LYNX1', 'SEMA7A', 'SPOCK2', 'NRIP2', 'FOXP4']",0.5923811358084025,0,0,6
16,mmu-miR-719,0.015181443694933966,2.7236245954692557,11.405672076647546,"['CHGA', 'SYT4', 'CFL2', 'XYLT1', 'B4GALNT1', 'SLC38A2', 'PPCDC', 'TMEM220']",0.5923811358084025,0,0,8
17,mmu-miR-698,0.01645867498377164,2.187793427230047,8.985054484224111,"['TMEM185B', 'SYT4', 'PLEKHH2', 'LYNX1', 'SEMA7A', 'GPR12', 'SPOCK2', 'TNFRSF19', 'XYLT1', 'PRELP', 'NPTX1', 'PPCDC']",0.5923811358084025,0,0,12
18,hsa-miR-4704-5p,0.017451926715219102,1.989213197969543,8.052942178899613,"['TMEM185B', 'SEMA7A', 'SLC24A3', 'TSC22D3', 'TNFRSF19', 'CPLX2', 'RND2', 'SLC5A3', 'MAP3K15', 'CFL2', 'MAP1A', 'PNPLA3', 'IL6ST', 'CTXN2', 'SLC38A2']",0.5923811358084025,0,0,15
19,hsa-miR-4637,0.0176228938268867,2.0367448021655243,8.22550883051374,"['TMEM185B', 'SYT4', 'GPR12', 'TSC22D3', 'TMPRSS11F', 'SLC5A3', 'SMC1B', 'NRIP2', 'DND1', 'PNPLA3', 'IL6ST', 'CTXN2', 'SLC38A2', 'ATXN7L3']",0.5923811358084025,0,0,14
