"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"IRF8",0.00877125069567333,24.7981651376147,117.450951213261,"['GPS1', 'MID1']",0.333307526435587,0,0,2,"IRF8",0.333307526435587,NA,NA,NA,NA,NA,NA,NA
"FOXP2",0.113691291435418,12.2863636363636,26.7138531101675,"['FOXP4']",0.999868078885441,0,0,1,"FOXP2",0.999868078885441,1.18842258698662e-07,0.000223875096796563,0.946008971168232,0.944783042821052,-0.218975916128066,0.771207156852612,0.660192869852216
"SMC3",0.170755709375902,2.90124123043713,5.12800579901376,"['SSU72', 'SMC1B']",0.999868078885441,0,0,2,"SMC3",0.999868078885441,2.63699213829796e-05,0.00192029287722919,NA,NA,NA,0.435911533341045,0.862753125058786
"MTA3",0.182269969009094,6.13863636363636,10.4495940846165,"['CDK2AP1']",0.999868078885441,0,0,1,"MTA3",0.999868078885441,1.21694952793504e-22,3.87025545878708e-14,0.949609639102662,0.948359928606733,-0.105400949501316,0.00264225730765324,0.356798716466272
"TCOF1",0.21456022495673,4.90909090909091,7.55589998123969,"['NPTX1']",0.999868078885441,0,0,1,"TCOF1",0.999868078885441,0.00396697572690384,0.000756001166266456,0.851364294115688,0.849970178663805,0.517652098709669,0.0924119447279749,0.0493538970191962
"RARG",0.358004159612088,2.45,2.51666615037086,"['LSR']",0.999868078885441,0,0,1,"RARG",0.999868078885441,0.260924613085138,0.271000834046101,NA,NA,NA,0.231217489272745,0.422848128179595
"POLR2A",0.361746857464615,1.63608562691132,1.66358920884206,"['EGLN2', 'GPS1']",0.999868078885441,0,0,2,"POLR2A",0.999868078885441,2.19148386223759e-23,4.05695851155376e-25,0.873991481814599,0.872258598987517,0.148554542344907,0.00207319840408986,0.0634554308941994
"KAT2A",0.40781780493307,2.04015151515152,1.82988281134148,"['ATXN7L3']",0.999868078885441,0,0,1,"KAT2A",0.999868078885441,2.98190811943057e-05,0.0141957205580632,NA,NA,NA,0.878243988855537,0.610730226677975
"YAP1",0.453798437714428,1.7474025974026,1.38062654792914,"['SLC9A3R2']",0.999868078885441,0,0,1,"YAP1",0.999868078885441,5.14693771666137e-05,0.00102303104006407,0.938992490045639,0.937254165919671,0.0999933533922938,0.338605203249329,0.13141760195285
"EPAS1",0.51621615455358,1.43743315508021,0.950473489653006,"['EGLN2']",0.999868078885441,0,0,1,"EPAS1",0.999868078885441,0.0239672863031169,0.00308042286424496,0.888548767864571,0.887899478962102,0.69821719391718,0.456868037137327,0.314321888345084
"TP63",0.553845837475926,1.28516746411483,0.759365489260639,"['MAP1A']",0.999868078885441,0,0,1,"TP63",0.999868078885441,NA,NA,NA,NA,NA,NA,NA
"NOTCH1",0.553845837475926,1.28516746411483,0.759365489260639,"['GPS1']",0.999868078885441,0,0,1,"NOTCH1",0.999868078885441,NA,NA,NA,NA,NA,NA,NA
"SMAD3",0.559651619660381,1.08460754332314,0.629550466435721,"['SLC9A3R2', 'FOXO4']",0.999868078885441,0,0,2,"SMAD3",0.999868078885441,0.000930425698899399,4.33696339566854e-07,0.735915799744495,0.732849133934062,0.596071853518634,0.0589637901348099,0.00585886479087237
"JUN",0.571238850790056,1.06063023534105,0.593897624358407,"['GPS1', 'TSC22D3']",0.999868078885441,0,0,2,"JUN",0.999868078885441,9.29654296447753e-46,1.02805676727503e-26,0.849685323270784,0.848293957146321,-0.128547112486403,1.89196776506708e-05,0.0487106658044584
"ETS1",0.571557918827949,1.22045454545455,0.682709403768324,"['CPLX2']",0.999868078885441,0,0,1,"ETS1",0.999868078885441,5.92936113879013e-09,1.82950259714358e-05,0.948345064878395,0.947259233034636,0.228091752239277,0.385860453117267,0.91031721781485
"NANOG",0.604918044351807,1.10867768595041,0.557290468936054,"['MYO1E']",0.999868078885441,0,0,1,"NANOG",0.999868078885441,NA,NA,NA,NA,NA,NA,NA
"NFKB1",0.615386665552511,0.974311926605505,0.473032809439279,"['TSC22D3', 'IL18']",0.999868078885441,0,0,2,"NFKB1",0.999868078885441,1.20502885034571e-32,3.4481792014306e-25,0.938992490045639,0.937454882762103,0.059682897287737,2.32771568385989e-08,0.00126547354980849
"RARA",0.620619425950365,1.0600790513834,0.505697169558818,"['NRIP2']",0.999868078885441,0,0,1,"RARA",0.999868078885441,0.000770852819286162,2.31178511989004e-07,0.927608467234748,0.926089501374413,0.426101466146975,0.0298732416861166,0.0697250039610694
"UPF1",0.635702199421526,1.0155303030303,0.460060681746749,"['MID1']",0.999868078885441,0,0,1,"UPF1",0.999868078885441,4.03407184796036e-47,1.06552046518136e-32,0.934060416386101,0.932530885410376,0.0922493723024954,3.59234831145535e-06,0.0563584041178448
