Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Proteoglycan biosynthesis WP4784,0.01424358544611374,16.525993883792047,70.2594138541122,"['B3GAT3', 'XYLT1']",0.5507953902871586,0,0,2
2,Mammary gland development pathway - Involution (Stage 4 of 4) WP2815,0.03941741711089853,inf,inf,['IL6ST'],0.5507953902871586,0,0,1
3,FOXP3 in COVID-19 WP5063,0.03941741711089853,inf,inf,['IL6ST'],0.5507953902871586,0,0,1
4,ncRNAs involved in STAT3 signaling in hepatocellular carcinoma WP4337,0.03941741711089853,inf,inf,['IL6ST'],0.5507953902871586,0,0,1
5,Adipogenesis WP236,0.0661140407232177,3.5502645502645502,9.64384680844097,"['SFRP4', 'PNPLA3', 'IL6ST']",0.5507953902871586,0,0,3
6,IL1 and megakaryocytes in obesity WP2865,0.07729465846667775,24.581818181818182,62.93266068103248,['IL18'],0.5507953902871586,0,0,1
7,Glycosaminoglycan degradation WP4815,0.07729465846667775,24.581818181818182,62.93266068103248,['HYAL1'],0.5507953902871586,0,0,1
8,Eicosanoid Synthesis WP167,0.11369129143541809,12.286363636363637,26.713853110167495,['PNPLA3'],0.5507953902871586,0,0,1
9,Matrix Metalloproteinases WP129,0.11369129143541809,12.286363636363637,26.713853110167495,['MMP15'],0.5507953902871586,0,0,1
10,Photodynamic therapy-induced NF-kB survival signaling WP3617,0.11369129143541809,12.286363636363637,26.713853110167495,['EGLN2'],0.5507953902871586,0,0,1
11,Metabolism of Spingolipids in ER and Golgi apparatus WP4142,0.11369129143541809,12.286363636363637,26.713853110167495,['B4GALNT1'],0.5507953902871586,0,0,1
12,Type 2 papillary renal cell carcinoma WP4241,0.11369129143541809,12.286363636363637,26.713853110167495,['EGLN2'],0.5507953902871586,0,0,1
13,miRNA regulation of p53 pathway in prostate cancer WP3982,0.11369129143541809,12.286363636363637,26.713853110167495,['EI24'],0.5507953902871586,0,0,1
14,Regulation of Wnt/B-catenin Signaling by Small Molecule Compounds WP3664,0.11369129143541809,12.286363636363637,26.713853110167495,['SFRP4'],0.5507953902871586,0,0,1
15,Ganglio Sphingolipid Metabolism WP1423,0.14866467355827603,8.187878787878788,15.606604800597381,['B4GALNT1'],0.5507953902871586,0,0,1
16,PI3K-AKT-mTOR signaling pathway and therapeutic opportunities WP3844,0.14866467355827603,8.187878787878788,15.606604800597381,['FOXO4'],0.5507953902871586,0,0,1
17,Development and heterogeneity of the ILC family WP3893,0.14866467355827603,8.187878787878788,15.606604800597381,['IL18'],0.5507953902871586,0,0,1
18,Hypertrophy Model WP516,0.14866467355827603,8.187878787878788,15.606604800597381,['IL18'],0.5507953902871586,0,0,1
19,Glycerolipids and Glycerophospholipids WP4722,0.1822699690090941,6.138636363636364,10.449594084616503,['PNPLA3'],0.5507953902871586,0,0,1
20,Regulation of Microtubule Cytoskeleton WP2038,0.1822699690090941,6.138636363636364,10.449594084616503,['CFL2'],0.5507953902871586,0,0,1
21,Nephrotic syndrome WP4758,0.21456022495672977,4.909090909090909,7.555899981239689,['MYO1E'],0.5507953902871586,0,0,1
22,16p11.2 distal deletion syndrome WP4950,0.21456022495672977,4.909090909090909,7.555899981239689,['ATP2A1'],0.5507953902871586,0,0,1
23,Endochondral Ossification with Skeletal Dysplasias WP4808,0.21456022495672977,4.909090909090909,7.555899981239689,['SLC38A2'],0.5507953902871586,0,0,1
24,Endochondral Ossification WP474,0.21456022495672977,4.909090909090909,7.555899981239689,['SLC38A2'],0.5507953902871586,0,0,1
25,Overview of leukocyte-intrinsic Hippo pathway functions WP4542,0.21456022495672977,4.909090909090909,7.555899981239689,['FOXO4'],0.5507953902871586,0,0,1
26,Physiological and pathological hypertrophy of the heart WP1528,0.21456022495672977,4.909090909090909,7.555899981239689,['IL6ST'],0.5507953902871586,0,0,1
27,TYROBP causal network in microglia WP3945,0.21456022495672977,4.909090909090909,7.555899981239689,['IL18'],0.5507953902871586,0,0,1
28,Amyotrophic lateral sclerosis (ALS) WP2447,0.2455864508024085,4.08939393939394,5.741943597085906,['NEFH'],0.5507953902871586,0,0,1
29,G13 Signaling Pathway WP524,0.2455864508024085,4.08939393939394,5.741943597085906,['CFL2'],0.5507953902871586,0,0,1
30,Regulatory circuits of the STAT3 signaling pathway WP4538,0.2455864508024085,4.08939393939394,5.741943597085906,['IL6ST'],0.5507953902871586,0,0,1
