Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-370-3p,0.0015402667128248512,inf,inf,"['KLHL21', 'SLC5A3']",0.8435205879812211,0,0,2
2,hsa-miR-3927-5p,0.004501501172778204,49.61467889908257,268.08519460304024,"['TMEM185B', 'SEMA7A']",0.8435205879812211,0,0,2
3,mmu-miR-683,0.004501501172778204,49.61467889908257,268.08519460304024,"['KLHL21', 'SLC5A3']",0.8435205879812211,0,0,2
4,mmu-miR-7b-5p,0.007655540850700948,3.4339866863905324,16.73150123909968,"['CHGA', 'SLC9A6', 'MAP1A', 'CPLX2', 'EVI2B', 'SLC38A2', 'ATXN7L3']",0.8435205879812211,0,0,7
5,hsa-miR-2355-3p,0.007803604429223041,9.364583333333334,45.44791064163596,"['OR9Q1', 'IL6ST', 'SLC38A2']",0.8435205879812211,0,0,3
6,hsa-miR-6786-5p,0.008771250695673333,24.798165137614678,117.45095121326062,"['KLC2', 'SSU72']",0.8435205879812211,0,0,2
7,mmu-miR-692,0.010109404653214908,8.320987654320987,38.229023169437774,"['SPOCK2', 'NPTX1', 'CD300LF']",0.8435205879812211,0,0,3
8,hsa-miR-320d,0.010109404653214908,8.320987654320987,38.229023169437774,"['SEMA7A', 'MTRNR2L8', 'SLC38A2']",0.8435205879812211,0,0,3
9,hsa-miR-7109-3p,0.012769793672078656,7.486111111111111,32.644480847759965,"['CFL2', 'PELI3', 'NRIP2']",0.8435205879812211,0,0,3
10,hsa-miR-4429,0.012769793672078656,7.486111111111111,32.644480847759965,"['SEMA7A', 'MTRNR2L8', 'SLC38A2']",0.8435205879812211,0,0,3
11,mmu-miR-1971,0.01424358544611374,16.525993883792047,70.2594138541122,"['MYO1E', 'HYAL1']",0.8435205879812211,0,0,2
12,mmu-miR-1981-5p,0.01424358544611374,16.525993883792047,70.2594138541122,"['MYO1E', 'HYAL1']",0.8435205879812211,0,0,2
13,hsa-miR-4309,0.019183597013631357,6.233796296296297,24.64655846733549,"['GJD2', 'SEMA7A', 'PNPLA3']",0.8435205879812211,0,0,3
14,mmu-miR-5127,0.02081876604432047,12.389908256880734,47.9724917933295,"['GPR12', 'HYAL1']",0.8435205879812211,0,0,2
15,hsa-miR-107,0.02099710817537031,3.4971174004192873,13.510660398018468,"['CHGA', 'EI24', 'GSG1', 'SSU72', 'SNX8']",0.8435205879812211,0,0,5
16,mmu-miR-466q,0.02254641344683711,4.17601246105919,15.83618790531595,"['SPOCK2', 'TAGAP', 'XYLT1', 'TMEM220']",0.8435205879812211,0,0,4
17,hsa-miR-3198,0.022945257962642886,5.752136752136752,21.71226841275242,"['GJD2', 'SEMA7A', 'PNPLA3']",0.8435205879812211,0,0,3
18,hsa-miR-7161-5p,0.022945257962642886,5.752136752136752,21.71226841275242,"['TMEM185B', 'KLHL21', 'TMEM220']",0.8435205879812211,0,0,3
19,hsa-miR-548u,0.022945257962642886,5.752136752136752,21.71226841275242,"['TMEM185B', 'KLHL21', 'TMEM220']",0.8435205879812211,0,0,3
20,hsa-miR-130a-3p,0.024994329126885626,2.9153846153846152,10.75516379459707,"['CFL2', 'SLC10A3', 'KLHL21', 'IL18', 'NPTX1', 'SLC38A2']",0.8435205879812211,0,0,6
21,mmu-miR-136-5p,0.025379485360790877,4.007476635514019,14.72272414594536,"['RTL1', 'ISLR', 'SPOCK2', 'CPLX2']",0.8435205879812211,0,0,4
22,mmu-miR-669c-3p,0.027078480698744488,5.339285714285714,19.269567233420915,"['SPOCK2', 'XYLT1', 'TMEM220']",0.8435205879812211,0,0,3
23,hsa-miR-3177-5p,0.028402927354336877,9.908256880733944,35.285909250748574,"['SLC24A3', 'IL6ST']",0.8435205879812211,0,0,2
24,hsa-miR-4777-3p,0.028402927354336877,9.908256880733944,35.285909250748574,"['EI24', 'NOP53']",0.8435205879812211,0,0,2
25,hsa-miR-3617-5p,0.031582056084460665,4.981481481481482,17.21184626690201,"['PRDM6', 'KLHL21', 'NOP53']",0.8435205879812211,0,0,3
26,hsa-miR-7159-5p,0.031582056084460665,4.981481481481482,17.21184626690201,"['SYT4', 'TSC22D3', 'NPTX1']",0.8435205879812211,0,0,3
27,mmu-miR-467f,0.03166473674287119,3.7078573901003806,12.80156904955747,"['SPOCK2', 'XYLT1', 'EVI2B', 'TMEM220']",0.8435205879812211,0,0,4
28,hsa-miR-511-3p,0.035121093480634365,3.5740987983978636,11.969490234001762,"['SLC24A3', 'CFL2', 'TSC22D3', 'IL6ST']",0.8435205879812211,0,0,4
29,mmu-miR-466f-3p,0.03569193170470968,2.9907906558849957,9.967798671182633,"['SPOCK2', 'KLHL21', 'XYLT1', 'EVI2B', 'TMEM220']",0.8435205879812211,0,0,5
30,hsa-miR-641,0.03645301734251168,4.668402777777778,15.46049440337137,"['PRDM6', 'KLHL21', 'NOP53']",0.8435205879812211,0,0,3
31,hsa-miR-7158-5p,0.03690777712659737,8.253822629969418,27.232109279370658,"['TMEM185B', 'CFL2']",0.8435205879812211,0,0,2
32,hsa-miR-3137,0.03690777712659737,8.253822629969418,27.232109279370658,"['GJD2', 'IL6ST']",0.8435205879812211,0,0,2
33,mmu-miR-150-5p,0.03690777712659737,8.253822629969418,27.232109279370658,"['GPR12', 'HYAL1']",0.8435205879812211,0,0,2
34,mmu-miR-582-3p,0.03941741711089853,inf,inf,['CD300LF'],0.8435205879812211,0,0,1
35,mmu-miR-1970,0.03941741711089853,inf,inf,['TAGAP'],0.8435205879812211,0,0,1
36,mmu-miR-489-3p,0.03941741711089853,inf,inf,['EGLN2'],0.8435205879812211,0,0,1
37,mmu-miR-3098-5p,0.03941741711089853,inf,inf,['GPR12'],0.8435205879812211,0,0,1
38,mmu-miR-376c-3p,0.03941741711089853,inf,inf,['PNPLA3'],0.8435205879812211,0,0,1
39,mmu-miR-3070b-5p,0.03941741711089853,inf,inf,['SLC5A3'],0.8435205879812211,0,0,1
40,mmu-miR-1934-5p,0.03941741711089853,inf,inf,['IL6ST'],0.8435205879812211,0,0,1
41,hsa-miR-1289,0.04168682574877444,4.392156862745098,13.95638645060816,"['GJD2', 'SEMA7A', 'PNPLA3']",0.8435205879812211,0,0,3
42,mmu-miR-297a-5p,0.04266738318584726,3.3333333333333335,10.514401701511142,"['CFL2', 'TSC22D3', 'NPTX1', 'CPLX2']",0.8435205879812211,0,0,4
43,hsa-miR-676-3p,0.04625030887239642,7.072083879423329,21.73737325001607,"['OR9Q1', 'IL6ST']",0.8435205879812211,0,0,2
