"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"NRF1 (mouse)",8.33900501811229e-09,2.80802607814634,52.235805093731,"['RPL30', 'NDUFA13', 'COX7B', 'COX4I1', 'PARK7', 'MEA1', 'RPL8', 'COX6A1', 'COX7C', 'TOMM22', 'RPS15', 'RPS14', 'RPS16', 'RPS19', 'RPL35', 'RPL38', 'RPS10', 'CHCHD1', 'COX8A', 'GABARAPL2', 'ATP6V1G1', 'RPS9', 'RPL21', 'RPS8', 'COX6B1', 'PPDPF', 'NHP2', 'GEMIN6', 'RPL27', 'SNRNP25', 'PRR13', 'SRSF9', 'POMP', 'COX7A2', 'COX5B', 'NDRG1', 'COX5A', 'MRPL54', 'PET117', 'BAG1', 'RPS2', 'HNRNPA1', 'DCAF11', 'BTF3', 'TIMM8B', 'NDUFA6', 'COX6C', 'DNAJA1', 'RPS25', 'RPS28', 'SPCS1', 'UBE2S', 'RPS21', 'TOMM5', 'RPS24']",2.27654836994465e-06,0,0,55,"NRF1",2.27654836994465e-06,2.71312940314662e-45,2.59284933960146e-27,0.928172433262443,0.926652543903485,-0.0985572850611195,2.13704269075022e-05,0.0892701371494578
"PPARG (human)",2.52147184477038e-05,1.84447618399873,19.5294663163716,"['IFI27L2', 'COX4I1', 'FRMPD2', 'MRPS12', 'PARK7', 'RPL10A', 'MEA1', 'RPL8', 'COX6A1', 'COX7C', 'RPS15', 'RPS14', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'TMED2', 'RPS10', 'HRAS', 'CHGB', 'GABARAPL1', 'GPX4', 'NDUFC1', 'C4ORF48', 'COX6B1', 'MZT2B', 'HAX1', 'NEIL2', 'SDHAF1', 'UFC1', 'NHP2', 'RPL24', 'SRSF3', 'SNRPE', 'RPL26', 'AURKAIP1', 'RPL29', 'VPS25', 'MAGEH1', 'ZNF593', 'SET', 'BEX1', 'RPL36A', 'MRPL14', 'CRIP2', 'UQCR11', 'TMEM160', 'TIMM10', 'UQCR10', 'COX5A', 'MRPL54', 'C12ORF57', 'BLOC1S1', 'AP2S1', 'PGK1', 'MAL2', 'RPL13', 'POLR2K', 'SERF2', 'RPL39L', 'CDKN2D', 'NDUFA6', 'NDUFA2', 'PNMA5', 'RPL35A', 'LSM4', 'LSM3', 'EIF1', 'RPS26', 'RPS25', 'RPS27', 'C12ORF29', 'RPS21', 'ITM2A', 'RPS24', 'TPT1']",0.00344180906811157,0,0,76,"PPARG",0.00344180906811157,2.45964369288867e-22,1.24636727425058e-17,0.963794006556154,0.963561354755848,0.130839634475427,0.000139437194682762,0.0133139009240445
"TFAP2D (human)",0.00011360507601508,2.17259478065571,19.7332055696861,"['SET', 'COX4I1', 'RPL8', 'RPL9', 'TMEM141', 'ARPP19', 'COX7A1', 'LAGE3', 'SNAPC5', 'RPS14', 'RPL18A', 'C19ORF53', 'SEC61G', 'RPL13', 'RPL38', 'POLR2J', 'SEPHS2', 'SERF2', 'RPS12', 'COX8A', 'SDF2L1', 'GPX4', 'RPL23', 'DCXR', 'NDUFA1', 'PNMA5', 'PNRC2', 'RPS25', 'DBNDD2', 'RPS27', 'SUB1', 'S100A6', 'UFC1', 'SRSF3', 'SNRPE', 'AURKAIP1', 'VPS25', 'PRR13']",0.0103380619173723,0,0,38,"TFAP2D",0.0103380619173723,NA,NA,NA,NA,NA,NA,NA
"HIF1A (human)",0.000209225224405977,1.99915469146238,16.9370369771417,"['BEX4', 'COX7B', 'RPS19BP1', 'RPL10', 'NDUFB3', 'COX7A2', 'COX5A', 'COX7A1', 'PSMB10', 'EEF1B2', 'C12ORF57', 'RPS15', 'RPS15A', 'BLOC1S1', 'DDT', 'C9ORF16', 'SUMO2', 'TMED2', 'RPL13', 'BANF1', 'SEC61B', 'RPS10', 'RPL17', 'RPL39', 'RPS13', 'CDKN2D', 'GABARAPL2', 'XBP1', 'EDF1', 'EIF1', 'COX6B1', 'RPS26', 'GCHFR', 'C1ORF216', 'NEIL2', 'NDUFS5', 'MORN2', 'NHP2', 'RPL24', 'SNRPE', 'FAU', 'RPL29', 'DCTPP1']",0.0123559571149814,0,0,43,"HIF1A",0.0123559571149814,5.97356097763217e-05,5.44277876983121e-07,0.6498002902041,0.648736237328647,0.679297826538005,0.00127173883964554,0.0147979386421847
"RARA (human)",0.000289572980744137,2.1719725691347,17.6952846690496,"['SET', 'TIMM10', 'RPL10A', 'MEA1', 'RPL8', 'COX6A1', 'RPL9', 'OAZ1', 'RPS15', 'RPL18A', 'RPS19', 'AP2S1', 'RPL13', 'RPS10', 'SERF2', 'RPS12', 'OST4', 'GABARAPL1', 'SDF2L1', 'NDUFA6', 'GPX4', 'PNMA5', 'COX6B1', 'RPS26', 'GCHFR', 'RPS25', 'RPS27', 'SUB1', 'CYCS', 'SNRPE', 'AURKAIP1', 'RPS21', 'RPS24']",0.0123559571149814,0,0,33,"RARA",0.0123559571149814,0.000770852819286162,2.31178511989004e-07,0.927608467234748,0.926089501374413,0.426101466146975,0.0298732416861166,0.0697250039610694
"RXRA (human)",0.000342978130212098,2.03083337151235,16.2016715702996,"['COX4I1', 'NDUFB3', 'MRFAP1', 'TMEM160', 'COX6A1', 'COX5A', 'LAGE3', 'PSMB10', 'TOMM22', 'RPS15', 'CHCHD2', 'C9ORF16', 'RPL36', 'TMED2', 'RPL13', 'RPL38', 'RPS13', 'SAC3D1', 'SERF2', 'CDKN2D', 'GADD45GIP1', 'ATP6V1G1', 'GABARAPL1', 'GPX4', 'GADD45B', 'NME2', 'EDF1', 'MT3', 'COX6B1', 'S100A6', 'UFC1', 'NHP2', 'RPL24', 'SRSF3', 'CYCS', 'VPS25', 'RPL26L1', 'RPS24']",0.0123559571149814,0,0,38,"RXRA",0.0123559571149814,0.0362994046868131,0.213777019796771,NA,NA,NA,0.464415018143695,0.872757156671108
"ESR1 (human)",0.000342978130212098,2.03083337151235,16.2016715702996,"['MESP1', 'STOML2', 'COX7B', 'COX4I1', 'NDUFB3', 'TMEM160', 'COX5A', 'LAGE3', 'RPS19', 'C9ORF16', 'TMED2', 'POLR2I', 'SAC3D1', 'POLR2L', 'CDKN2D', 'GADD45GIP1', 'OST4', 'GABARAPL1', 'GPX4', 'GADD45B', 'EDF1', 'MT3', 'COX6B1', 'MZT2B', 'C1ORF216', 'NEIL2', 'MORN2', 'S100A6', 'NHP2', 'RPL24', 'SRSF3', 'PYDC1', 'FAU', 'PTMA', 'RPL26L1', 'RPS24', 'NOP10', 'PRR13']",0.0123559571149814,0,0,38,"ESR1",0.0123559571149814,5.52924710521774e-05,0.00662313801685932,0.963794006556154,0.963561354755848,-0.102392983001324,0.789626240246179,0.922091997266726
"TP53 (mouse)",0.000362079329376744,2.11316171617162,16.7439479751278,"['RPL30', 'SET', 'MRPS12', 'COX6A1', 'RPL9', 'COX7A1', 'PET117', 'TOMM22', 'RPS15', 'LGALS1', 'RPS19', 'RPS18', 'RPL36', 'RPS2', 'SERF2', 'YWHAH', 'CDKN2D', 'RPS9', 'GADD45B', 'DCXR', 'RPS5', 'RPL35A', 'ATOX1', 'RPS26', 'RPL37A', 'TOMM7', 'GEMIN6', 'RPL27', 'RPL26', 'DCTPP1', 'RPS24', 'NOP10', 'PRR13', 'SRSF9']",0.0123559571149814,0,0,34,"TP53",0.0123559571149814,0.0463384580786219,0.137966537951791,0.985294248753028,0.984805963826968,0.20618982362765,0.192928154776775,0.308224996692616
"FOXF2 (human)",0.000570009795888885,1.98524137931034,14.8294692367879,"['SET', 'RPL11', 'MRFAP1', 'COX6A1', 'LAGE3', 'RPS15', 'RPS15A', 'RPS16', 'BLOC1S1', 'C19ORF53', 'C9ORF16', 'SUMO2', 'RPL13', 'RPS10', 'RPS13', 'SERF2', 'GADD45GIP1', 'ATP6V1G1', 'RPL41', 'RPS9', 'H3F3B', 'NME2', 'LSM4', 'COX6B1', 'MZT2B', 'C1ORF216', 'RPS27', 'UFC1', 'NHP2', 'SRSF3', 'SNRPE', 'FAU', 'RPL29', 'VPS25', 'RPL26L1', 'RPS24', 'PRR13']",0.016092377522206,0,0,37,"FOXF2",0.016092377522206,NA,NA,NA,NA,NA,NA,NA
"NR1I2 (human)",0.000589464378102785,2.04415790416251,15.2009637921259,"['UQCRB', 'COX4I1', 'COX17', 'MRPS12', 'UQCR11', 'RPL10A', 'RPL8', 'COX6A1', 'COX5A', 'OAZ1', 'LAGE3', 'TOMM22', 'RPS15', 'RPL18A', 'DDT', 'RPL35', 'TMED2', 'RPS10', 'SAC3D1', 'SERF2', 'COX8A', 'GADD45GIP1', 'GABARAPL1', 'RPS9', 'GPX4', 'COX6B1', 'RPS26', 'RPS27', 'UFC1', 'RPL24', 'SRSF3', 'VPS25', 'RPS24', 'SRSF9']",0.016092377522206,0,0,34,"NR1I2",0.016092377522206,NA,NA,NA,NA,NA,NA,NA
