Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,MTF1 human,0.0060840384100910895,inf,inf,"['PRNP', 'GCLC', 'ACO1', 'SNCB', 'MCAT', 'SOD1']",0.998880406534053,0,0,6
2,PER1 mouse,0.026996559188694334,8.046433940203775,29.064088389844734,"['EGR1', 'BHLHE40', 'CRY2', 'CREM', 'CLOCK', 'ARNTL']",0.998880406534053,0,0,6
3,NRF1 human,0.028991412718106898,3.3536687280628446,11.874521349604208,"['PRDX3', 'PRDX5', 'SNRPN', 'FXR2', 'SPAST', 'CAPNS1', 'FMR1', 'TOMM34', 'IDE', 'COX6A1']",0.998880406534053,0,0,10
4,CREB1 human,0.04131465335420967,1.7450980392156863,5.560821284054678,"['GSK3B', 'GSK3A', 'CRTC1', 'ODC1', 'NOLC1', 'NRF1', 'PSEN1', 'PPM1D', 'ACACA', 'PPP2CA', 'LAPTM4B', 'STMN1', 'POLD2', 'SLC39A1', 'JUN', 'BDNF', 'NR2F1', 'MITF', 'CCK', 'ETV3', 'NR2F6', 'AR', 'RRM2B', 'PPP2R2B', 'NF1', 'SLC22A8']",0.998880406534053,0,0,26
5,ATF6 human,0.044358613223712984,3.5764967975494293,11.142391149897001,"['RTN3', 'XBP1', 'WBP1', 'HSPA5', 'BGLAP', 'DDIT3', 'ATP2A2', 'NUCB1']",0.998880406534053,0,0,8
6,DDIT3 human,0.04991207987291294,3.017797459893048,9.045824419335156,"['CEBPA', 'RTN3', 'TF', 'MAP1LC3B', 'ASNS', 'ATF5', 'SIRT2', 'MCL1', 'ATG5']",0.998880406534053,0,0,9
7,FOXD3 human,0.05503716749000824,6.704241816967268,19.440602075332105,"['CYFIP2', 'ZNF175', 'RARB', 'MITF', 'NDRG1']",0.998880406534053,0,0,5
8,PITX1 human,0.05503716749000824,6.704241816967268,19.440602075332105,"['JUN', 'IRF2', 'GNRH1', 'TRIB2', 'RUNX2']",0.998880406534053,0,0,5
9,FLI1 human,0.0689254028143406,4.022715884416235,10.75968077977107,"['EYA3', 'IGFBP3', 'ITGA2B', 'EP300', 'CCK', 'PHLDA1']",0.998880406534053,0,0,6
10,DLX5 mouse,0.07803405378704804,inf,inf,"['IGFBP3', 'WNT5A', 'RUNX2']",0.998880406534053,0,0,3
11,MEF2D human,0.07803405378704804,inf,inf,"['JUN', 'ATM', 'HDAC7']",0.998880406534053,0,0,3
12,NFATC1 mouse,0.07803405378704804,inf,inf,"['B3GAT1', 'PAG1', 'OSCAR']",0.998880406534053,0,0,3
13,STAT6 mouse,0.07803405378704804,inf,inf,"['EGR1', 'NCOA3', 'BCL2L1']",0.998880406534053,0,0,3
14,EGR1 mouse,0.07827297761817519,1.6243762673014195,4.1381843875857145,"['CDKN2D', 'JUN', 'CREBBP', 'JUND', 'GADD45B', 'PTGES2', 'BNIP3', 'NGB', 'ENO1', 'MAPK14', 'SYN2', 'NDRG1', 'IGF1R', 'SMAD7', 'HSD11B2', 'MAP1LC3B', 'CCND2', 'STIM1', 'CAT', 'PPP1R1B', 'BAX', 'GNRH1', 'CDK5R1']",0.998880406534053,0,0,23
15,MEF2C mouse,0.08381594485083611,2.6820384294068504,6.649127340927256,"['HDAC4', 'SOCS2', 'MYOM1', 'JUN', 'BGLAP', 'CAPN2', 'CALR', 'RUNX2']",0.998880406534053,0,0,8
16,YY1 human,0.08455056911121522,1.491232973708238,3.6839500991690763,"['ZNF175', 'TFRC', 'COX6A1', 'NR3C1', 'COX7C', 'HIF1A', 'APH1A', 'TDO2', 'DNAJB4', 'LRIG2', 'LDLR', 'CREBBP', 'SNRPN', 'CBX5', 'PEG3', 'PARP1', 'HSPA5', 'SURF2', 'DEK', 'INO80', 'LSS', 'PDIA6', 'GDAP1', 'HCFC1', 'SMAD7', 'TF', 'APC', 'NF1', 'GNAS', 'ERCC5']",0.998880406534053,0,0,30
17,LEF1 human,0.08984980291225028,2.235222017939718,5.3860264234276025,"['CEBPA', 'AR', 'CYLD', 'NT5E', 'EDA', 'HERC2', 'CTNNB1', 'NRCAM', 'MITF', 'SKP2']",0.998880406534053,0,0,10
18,TWIST2 human,0.08984980291225028,2.235222017939718,5.3860264234276025,"['ITGB1', 'SRPX', 'RAP1A', 'NR2F1', 'NF1', 'ILK', 'AKR1C2', 'ATM', 'PFDN4', 'RUNX2']",0.998880406534053,0,0,10
19,EWSR1 human,0.1097271214920791,5.362497912840207,11.849826464713606,"['ATF1', 'MITF', 'CCK', 'PHLDA1']",0.998880406534053,0,0,4
20,FLI1 mouse,0.1097271214920791,5.362497912840207,11.849826464713606,"['RB1', 'INPP5D', 'ITGA2B', 'EZH2']",0.998880406534053,0,0,4
21,MEN1 mouse,0.1097271214920791,5.362497912840207,11.849826464713606,"['JUND', 'SUV39H1', 'AXIN2', 'EZH2']",0.998880406534053,0,0,4
22,NCOA3 mouse,0.1097271214920791,5.362497912840207,11.849826464713606,"['NFKBIA', 'IGFBP3', 'PPARG', 'CLOCK']",0.998880406534053,0,0,4
23,NFKB2 human,0.1097271214920791,5.362497912840207,11.849826464713606,"['CDK6', 'CCND2', 'HIF1A', 'SND1']",0.998880406534053,0,0,4
24,MYCN human,0.11906614411802727,1.6288009179575444,3.4662123171578565,"['ABCC1', 'CDKN1B', 'LRRN3', 'HMGA1', 'BMI1', 'CLU', 'NDRG1', 'DKK3', 'DDB1', 'EFNB3', 'MXI1', 'MCM3', 'MCM4', 'BAX', 'MCM6', 'SKP2', 'CTSD']",0.998880406534053,0,0,17
25,CITED2 mouse,0.12513872888412816,3.3517034068136273,6.965953537592101,"['CEBPA', 'LDHB', 'FGF9', 'PPARG', 'PDK2']",0.998880406534053,0,0,5
26,HDAC3 mouse,0.12513872888412816,3.3517034068136273,6.965953537592101,"['NFKBIA', 'JUN', 'CDKN1B', 'PHLPP1', 'BCL2L1']",0.998880406534053,0,0,5
27,HNF1A human,0.12513872888412816,3.3517034068136273,6.965953537592101,"['GPR39', 'NT5E', 'ACAT2', 'SLC22A10', 'SLC22A9']",0.998880406534053,0,0,5
28,MEF2A human,0.12513872888412816,3.3517034068136273,6.965953537592101,"['JUN', 'NRF1', 'COX6A1', 'MAPK14', 'PPARGC1A']",0.998880406534053,0,0,5
29,NR2F2 mouse,0.12513872888412816,3.3517034068136273,6.965953537592101,"['AR', 'DR1', 'BGLAP', 'RARB', 'PPARA']",0.998880406534053,0,0,5
30,PPARD human,0.12513872888412816,3.3517034068136273,6.965953537592101,"['HSD11B2', 'CAT', 'LPL', 'TXN', 'SOD1']",0.998880406534053,0,0,5
31,REST human,0.1303091963967627,1.7434782608695651,3.5529388378241267,"['NRP1', 'STAT1', 'BDNF', 'DYRK1A', 'CARTPT', 'GLRA1', 'AR', 'VGF', 'TUBB3', 'KCNQ3', 'CD59', 'SCG3', 'CHGB']",0.998880406534053,0,0,13
32,MSX2 mouse,0.13297205019551933,2.6814765324870553,5.410190818337162,"['NEUROD6', 'BGLAP', 'ENPP1', 'PPARG', 'LSS', 'RUNX2']",0.998880406534053,0,0,6
33,BCL6 human,0.1367202225438183,2.3463915803541595,4.668893638665758,"['XBP1', 'CCND2', 'SUMO1', 'CHEK1', 'NFKB1', 'HDAC7', 'BCL2L1']",0.998880406534053,0,0,7
34,HIF1A mouse,0.1367202225438183,2.3463915803541595,4.668893638665758,"['BACE1', 'CREBBP', 'HEY1', 'CITED2', 'TUFT1', 'FAM162A', 'BSG']",0.998880406534053,0,0,7
35,HNF4A mouse,0.1367202225438183,2.3463915803541595,4.668893638665758,"['CEBPA', 'CEBPB', 'GSTP1', 'PPARA', 'PPARGC1A', 'GCK', 'SLC27A5']",0.998880406534053,0,0,7
36,STAT5A mouse,0.1367202225438183,2.3463915803541595,4.668893638665758,"['DPAGT1', 'SOCS2', 'AR', 'FAM89B', 'PSAP', 'NR3C1', 'BCL2L1']",0.998880406534053,0,0,7
37,TWIST1 human,0.1768661962504162,1.5847826086956522,2.745416829902931,"['ITGB1', 'SRPX', 'NR2F1', 'ILK', 'AKR1C2', 'BMI1', 'RUNX2', 'DNM3', 'RAP1A', 'NF1', 'ATM', 'PFDN4', 'MAPK3']",0.998880406534053,0,0,13
38,DLX3 mouse,0.18262683256706108,inf,inf,"['BGLAP', 'RUNX2']",0.998880406534053,0,0,2
39,ID3 mouse,0.18262683256706108,inf,inf,"['SMARCC1', 'RUNX2']",0.998880406534053,0,0,2
40,MAF human,0.18262683256706108,inf,inf,"['GCLC', 'CCND2']",0.998880406534053,0,0,2
41,PBX2 human,0.18262683256706108,inf,inf,"['VCP', 'MEIS1']",0.998880406534053,0,0,2
42,PIAS1 human,0.18262683256706108,inf,inf,"['STAT1', 'PRMT1']",0.998880406534053,0,0,2
43,RUNX3 mouse,0.18262683256706108,inf,inf,"['SLC22A17', 'ITGAE']",0.998880406534053,0,0,2
44,ATF1 human,0.20538594481247702,1.7875800612642718,2.829496862934565,"['CCNA1', 'TGFB2', 'USP7', 'LDHA', 'MAP1LC3B', 'FTH1', 'MITF', 'SLC22A8']",0.998880406534053,0,0,8
