pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_RIBOSOME,4.4587973356074e-06,0.00048629037176212,0.610526878385931,0.583543227613278,1.49012516591275,85,RPL15|RPL4|RPS2|UBA52|RSL24D1|RPLP0|RPL18|RPL8|RPL28|RPS28|RPL13|RPL13A|RPL29|RPS5|RPS15|RPSA|RPL36|RPS11|RPL3|RPS16|RPL7A|RPS19|RPL41|RPL18A|RPL14|FAU|RPL23|RPLP2|RPL39|RPL19|RPL5|RPS17|RPL27|RPS25|RPS27|RPS3|RPLP1|RPL10|RPS4X|RPS9|RPS20|RPS23|RPL32|RPL22|RPL26L1|RPL9|RPL35|RPL7|RPL34|RPL37|RPL27A|RPL35A|RPL17|RPL38|RPL11|RPS13|RPL23A|RPS3A|RPS8|RPS24|RPL30|RPL24|RPL36A|RPS21|RPL21|RPS6|RPL12|RPS15A|RPS18|RPL10A|RPS7|RPL6|RPS10|RPS26|RPL36AL
HALLMARK_MYC_TARGETS_V1,6.39436637829742e-06,0.00048629037176212,0.610526878385931,0.509120898279577,1.34267900451985,193,RAN|NOLC1|EIF4G2|CANX|GOT2|SRSF3|STARD7|VDAC1|EIF4H|PSMD8|POLE3|YWHAQ|RSL1D1|EIF1AX|RPS2|TCP1|SET|ILF2|PSMD3|TUFM|PGK1|RACK1|NHP2|YWHAE|VBP1|RPLP0|NPM1|SERBP1|BUB3|ERH|HNRNPA1|PCBP1|TOMM70|XRCC6|HDGF|NCBP2|RPL18|SLC25A3|LDHA|HNRNPA3|HSP90AB1|SF3A1|CYC1|PRDX3|MCM4|PHB2|SRM|EIF4E|CCT7|KARS1|H2AZ1|RPS5|SYNCRIP|PHB1|ORC2|USP1|SMARCC1|KPNB1|TARDBP|IMPDH2|APEX1|EIF4A1|PSMD7|C1QBP|CCT2|CBX3|CCT4|CCT5|LSM7|RPL14|DEK|ETF1|PPIA|SF3B3|PA2G4|EIF2S1|PTGES3|UBE2E1|SNRPD1|CNBP|ACP1|TRIM28|RPS3|PSMA4|MRPL9|GLO1|PCNA|RAD23B|UBE2L3|MAD2L1|SRPK1|HNRNPR|SSB|POLD2|RPL22|RPL34|ODC1|NME1|RUVBL2|EIF3B|PPM1G|CCT3|HDDC2|SRSF1|SNRPB2|MRPS18B|LSM2|PSMC4|PSMC6|DDX21
HALLMARK_UV_RESPONSE_UP,7.9890715706624e-06,0.00048629037176212,0.593325476396405,0.540687397859401,1.40589004781774,127,KLHDC3|ENO2|AMD1|FKBP4|YKT6|GRINA|EIF5|OLFM1|RHOB|SLC25A4|PPT1|HSPA13|POLE3|SELENOW|TYRO3|TMBIM6|ATP6V1C1|MAPK8IP2|SIGMAR1|SOD2|EIF2S3|SQSTM1|GRPEL1|CCK|DLG4|FEN1|DNAJA1|ATP6V1F|FURIN|H2AX|BSG|STK25|PSMC3|PDAP1|TUBA4A|SLC6A8|RXRB|UROD|BTG1|PRKACA|PTPRD|STIP1|NPTXR|ARRB2|IL6ST|PPIF|CLTB
HALLMARK_PROTEIN_SECRETION,8.68375663860929e-06,0.00048629037176212,0.593325476396405,0.563212002630215,1.44399838460992,93,AP2M1|ARCN1|YKT6|ARF1|PPT1|TMED10|TMED2|SCAMP1|GOLGA4|RAB14|MON2|SCRN1|BNIP3|RAB22A|CLTC|ATP1A1|CLTA|GBF1|RER1|DST|MAPK1|AP3B1|OCRL|VPS45|DOP1A|M6PR|GNAS|SGMS1|SOD1|NAPA|YIPF6|ERGIC3|RAB5A|CD63|ICA1|ARFGEF1|VAMP4|SCAMP3|IGF2R
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,3.17114252294085e-05,0.0014206718502775,0.557332238758646,0.61102016767296,1.52615001565268,56,ATP6AP1|ATP6V1B2|ATP6V0C|ATP6V0D1|ATP6V0E2|ATP6V1E1|RAC1|ATP6V1G1|ATP6V0B|ATP6V1D|ATP6V0A1|ATP6V1G2|ATP6V1C1|GIT1|JUN|ATP6V1F|ATP6V1A|NFKB1|TJP1|MAPK14|MAPK10|JAM3
KEGG_VIBRIO_CHOLERAE_INFECTION,7.05043024586755e-05,0.00263216062512388,0.538434096309916,0.623990785172754,1.53765380437613,45,ATP6AP1|ATP6V1B2|ACTG1|ATP6V0C|ATP6V0D1|ATP6V0E2|ATP6V1E1|ATP6V1G1|ARF1|ATP6V0B|ATP6V1D|ATP6V0A1|ATP6V1G2|ATP6V1C1|KDELR2|ATP6V1F|ACTB|ATP6V1A|TJP1|PRKACA|GNAS|KDELR1|ADCY9|PDIA4|ATP6V0A2|ERO1A|PRKCG
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.00010998602077049,0.00351955266465569,0.538434096309916,0.529497898611155,1.36952955582086,111,YWHAH|ARHGDIA|YWHAG|CALM1|PDPK1|CALM3|MAPK3|YWHAB|CALM2|RAC1|YWHAQ|BAD|MAP2K5|HRAS|SOS2|AKT3|YWHAE|PIK3R2|SOS1|JUN|MAPK1|NFKB1|YWHAZ|BEX3|MAPK14|MAPK10|MAP3K3|KRAS|ATF4|ABL1|RPS6KA5|MAP2K1|PSEN1|PIK3CB|PIK3CA|AKT1|RHOA|CAMK2A|MAP2K2|BRAF|IRS2|IKBKB|CDC42|GAB1|MAPK8|SHC4|PIK3R1|PRKCD|RAPGEF1|SHC3|IRAK1
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,0.000312150510348751,0.00874021428976503,0.49849310876659,0.632963618562843,1.52828496261547,34,ARHGDIA|DCTN1|DCTN5|DYNLL2|RAB5C|NSF|CREB3|RAB5B|DYNC1I1|DYNC1LI2|DYNLL1|DYNC2H1|DCTN6|PRKACA|GNAS|DCTN2|RAB5A|ADCY9
KEGG_TYPE_II_DIABETES_MELLITUS,0.00040784478718631,0.00985024190887123,0.49849310876659,0.651914568679834,1.56533584164858,32,PKM|MAPK3|PIK3R2|HK1|CACNA1D|MAPK1|CACNA1B|KCNJ11|MAPK10|CACNA1C|PIK3CB|PIK3CA|CACNA1A|ABCC8|IRS2|IKBKB|PRKCE|MAPK8|PIK3R1|PRKCD|MTOR
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.000439742942360323,0.00985024190887123,0.49849310876659,0.669333823343832,1.57243815843126,25,AMD1|GOT2|MAT2B|GOT1|ENOPH1|AHCYL2|LDHA|LDHB|SRM|AHCY|MTR|MTAP|DNMT3A
