pathway,pval,padj,log2err,ES,NES,size,leadingEdge
midbrain_DEG_BHQ1_positiveL2FC,1.49793166105782e-23,3.74482915264455e-22,1.25451347943706,-0.595551671746262,-2.81293640229479,203,C1orf198|ATP5MG|SNRPG|NDUFB2|NDUFA12|RPS29|COX7A2|COX6C|ATP5PD|RPL36A|RPL26|ATP5IF1|COX5B|NDUFB3|PSMA2|ZCRB1|NDUFA6|RPS26|NDUFAB1|TIMM8B|ATP5MK|NDUFA1|UBL5|FABP7|TOMM7|ATP5PF|RPS13|ATP5MJ|NME1|COPS9|CHCHD2|COX7B|ATP5ME|PSMB6|RPL9|RPL38|SLIRP|RPL17|RPL30|FKBP2|RPL37|SMDT1|RNF181|RPS21|UQCR10|NDUFA4|RPLP2|NDUFA8|COX4I1|RPL11|RPS27|ACP1|NDUFC1|CHCHD10|RPL39|RPL34|CHURC1|ATP5MF|MRPL43|UQCRFS1|ATP5MC3|ELOB|CRYAB|NDUFA2|RPL32|RPL10|SPCS1|RPL22L1|H2AZ1|COX7C|RPL22|PLEKHB1|ATP5PO|NDUFB11|MPC2|UQCRB|SURF2|AURKAIP1|COX6A1|HINT1|RPL13|PRDX5|RPL7A|ATP5PB|RPS23|PRR13|RPS19|CYCS|TOMM6|COX8A|SSR4|ETFB|RPL31|HIGD2A|MRPL34|PDHB|RPS3|MRPL30|RPS25|POLR3H|CLPP|SPARC|NDUFB4|SNX3|SELENOK|RPS15|ISCA1|RPS28|UQCRH|RPS20|SOD1|RPS5|RPL14|PRDX1|B3GALT5|SLC25A5|OAZ1|RPS11|MEA1|NDUFB5|ANXA5|MIF|RPS17|GSTP1
midbrain_DEG_BHQ1,2.28807544578592e-16,2.8600943072324e-15,1.03769615548758,-0.455482062757942,-2.26088734213088,319,C1orf198|ATP5MG|SNRPG|NDUFB2|NDUFA12|RPS29|COX7A2|COX6C|ATP5PD|RPL36A|RPL26|ATP5IF1|COX5B|NDUFB3|PSMA2|ZCRB1|NDUFA6|RPS26|NDUFAB1|TIMM8B|ATP5MK|NDUFA1|UBL5|FABP7|TOMM7|ATP5PF|RPS13|ATP5MJ|NME1|COPS9|CHCHD2|COX7B|ATP5ME|PSMB6|RPL9|RPL38|SLIRP|RPL17|CALB1|CARTPT|RPL30|FKBP2|RPL37|SMDT1|RNF181|RPS21|UQCR10|NDUFA4|RPLP2|NDUFA8|COX4I1|RPL11|RPS27|ACP1|NDUFC1|CHCHD10|RPL39|RPL34|CHURC1|ATP5MF|MRPL43|UQCRFS1|ATP5MC3|ELOB|CRYAB|NDUFA2|RPL32|RPL10|SPCS1|RPL22L1|H2AZ1|COX7C|RPL22|PLEKHB1|ATP5PO|NDUFB11|MPC2|UQCRB|SURF2|AURKAIP1|COX6A1|HINT1|RPL13|PRDX5|RPL7A|ATP5PB|RPS23|PRR13|RPS19|CYCS|TOMM6|COX8A|SSR4|ETFB|RPL31|NNAT|HIGD2A|MRPL34|PDHB|RPS3|MRPL30|RPS25|POLR3H|CLPP|SPARC|NDUFB4|SNX3|SELENOK|RPS15|ISCA1|FAM107A|RPS28|RGS4|UQCRH|RPS20|SOD1
midbrain_DEG_BHQ05,1.14277325405727e-13,9.52311045047727e-13,0.943632225232838,-0.498340281902534,-2.34830835631182,197,ATP5MG|NDUFB2|NDUFA12|RPS29|COX7A2|COX6C|ATP5PD|RPL36A|RPL26|COX5B|NDUFB3|PSMA2|ZCRB1|RPS26|TIMM8B|NDUFA1|UBL5|FABP7|TOMM7|ATP5PF|ATP5MJ|COPS9|CHCHD2|COX7B|ATP5ME|RPL9|SLIRP|RPL17|CALB1|CARTPT|RPL30|RPL37|SMDT1|RNF181|RPS21|UQCR10|NDUFA4|RPLP2|NDUFC1|CHCHD10|RPL34|ATP5MF|MRPL43|UQCRFS1|ATP5MC3|ELOB|CRYAB|NDUFA2|RPL10|RPL22L1|H2AZ1|COX7C|RPL22|PLEKHB1|NDUFB11|AURKAIP1|COX6A1|HINT1|RPL13|RPL7A|ATP5PB|RPS23|RPS19|CYCS|COX8A|RPL31|NNAT|HIGD2A|MRPL34|RPS3|RPS25|POLR3H|CLPP|SPARC|NDUFB4|SELENOK|RPS15|FAM107A|RPS28|RGS4|UQCRH
Up_sleep_2OR3,4.45528655451972e-13,2.78455409657483e-12,0.932595211336209,-0.342337369707449,-1.79601794801908,621,HMGCS1|SMIM20|NDUFA12|PRADC1|ATP5MC1|DUSP28|COMMD5|TMEM141|DMAC1|PSMB10|MRPL2|MZT2A|HMGN2|COX5B|BOLA1|NCBP2AS2|WDR54|EMC9|RPS10|NME2|RPS18|FABP5|SDHAF1|HINT2|NENF|C1orf122|PFDN5|RASGEF1B|COA8|LIN7B|DGAT2|SMDT1|GSTO1|TMSB10|PEX16|MRPL54|NDUFA8|AP2S1|ACP1|SUV39H1|NTMT1|ASB14|PARK7|DNAJC19|NDUFS3|FIS1|VPS25|MTX1|UQCRFS1|FGFBP3|GRHPR|MRPL57|ELOB|MYL12B|EDF1|SNRNP25|DCTN2|CFAP410|DHPS|MRPL55|BEX1|UFC1|RPL18A|TAF10|NGEF|RPS9|BRK1|BEX3|COPS6|NDUFB11|ARF5|NDUFAF8|SMIM19|SAC3D1|ATP6V1G1|CRIP2|RPL19|COMMD8|PSMB3|PMM1|TTYH1|NDUFA11|GABARAPL1|RPL13|C19orf48P|GLO1|DMWD|PRDX5|PSME1|FNDC4|RAB33A|PIN1|COX8A|ZNRD2|ZDHHC4|MRPL17|STOML2|CORO1A|ARL4A|SLC22A8|STMN1|ARL6IP4|HEPACAM|C16orf74|AGA|TMEM18|RPL18|MRPS26|CLPP|ISCU|NDUFB4|TIMM13|NDUFV1|RGS3|KRT222|HEBP1|DDX24|CNRIP1|SCG3|MPG|TMEM97|EIF3D|ING2|RAE1|COA3|GNG3|EMC7|RPS15|NHP2|LSM10|EMC4|WNT9A|BCL7A|EXOSC4|RPL3|RPL15|OMG|RGS14|SYT5|FKBP1B|RAC3|EDNRB|CACFD1|GAMT|GET3|FEN1|ALDOA|RAB40B|DRAP1|ATP5F1D|RPS5|TSN|CDKN2D|SERF2|CHID1|RPL14|RAN|PSMD8|COA7|ATP6V1E1|UBXN1|RNASEK|CYTH2|MRPS34|SLC25A5|ZNF32|THOC3|NUDT16|TTC9B|SCG5|PFKM|ACTG1|MIF|H3-3A|SURF1|UBE2M|EFNB3|KIF22|GSTP1|TPGS1|FABP3|MAN2B1|PPP1R14B|TMEM203|PRAF2|MCM8|DBNDD2|RAP2B|C15orf61|TPI1|AHCY|VPS72|EPHX1|DNAAF11|FIBP|RPL13A|TSPYL2
DE_ANOVA_DOWN_SD,7.16605057189213e-13,3.58302528594607e-12,0.921426003494898,-0.287031740821136,-1.55758928735078,1181,UXT|C1orf198|HMGCS1|TESK2|SMIM20|NDUFA12|PRADC1|GM2A|COMMD3|NDUFA7|ATP5MC1|CD82|CKS1B|DUSP28|COMMD5|TMEM141|DMAC1|UQCR11|ATOX1|PSMB10|ATP5IF1|MRPL2|MZT2A|MDP1|HMGN2|CHMP2A|COX5B|BOLA1|RPA2|NFE2L3|NCBP2AS2|WDR54|PSMA7|EMC9|GPKOW|NDUFA6|RPS10|RPL35|MRPS18B|NME2|RPS18|RANBP1|FABP5|KLF11|SDHAF1|HINT2|BAG1|NDUFB7|NENF|KCNK2|C1orf122|MICOS13|PFDN5|FAU|TGFBR3|ITM2A|RASGEF1B|COA8|LIN7B|CALB1|DGAT2|MSMO1|SMDT1|DHCR7|GSTO1|PHPT1|RNF181|RPS7|RPL6|UQCR10|PPIB|TMSB10|PEX16|MRPL54|NDUFA8|PMVK|RPL11|AP2S1|ACP1|SUV39H1|NTMT1|ASB14|TMEM160|PARK7|C12orf57|DNAJC19|NDUFS3|FIS1|VPS25|MTX1|UQCRFS1|FGFBP3|GRHPR|BLOC1S1|MRPL57|ELOB|MYL12B|EDF1|SNRNP25|DCTN2|CFAP410|DHPS|MRPL55|BEX1|GADD45GIP1|UFC1|RPL18A|TAF10|NGEF|MMD2|RPS9|H2AZ1|BRK1|SPSB3|PLEKHB1|RPP21|FAM241B|BEX3|COPS6|DPM2|NDUFB11|ARF5|NDUFAF8|SMIM19|SAC3D1|IK|ATP6V1G1|SURF2|CRIP2|RPL19|GCSH|USE1|PPDPF|COMMD8|PSMB3|MRPL20|PMM1|RNH1|GABARAPL2|TTYH1|NUBP2|NDUFA11|GABARAPL1|RPL13|C19orf48P|GLO1|ADGRF5|ZSCAN18|DMWD|PRDX5|MSRB1|RPL7A|PSME1|UBE2S|UVSSA|FNDC4|RAB33A|RPS19|PIN1|SET|COX8A|ZNRD2|ATP5MC2|ZDHHC4|SSR4|MRPL17|STOML2|CORO1A|SFMBT1|ARL4A|COPE|HIGD2A|SLC22A8|EIF6|STMN1|CFAP20|BTF3|ARL6IP4|HEPACAM|C16orf74|AGA|TMEM18|RPL18|ICAM5|MRPS26|POLR3H|CBR1|CLPP|ISCU|NDUFB4|SARS1|TUBA1A|SRP14|TIMM13|NDUFV1|IMP3|RGS3|KRT222|HEBP1|JPT1|DDX24|CNRIP1|SCG3|MPG|TMEM97|EIF3D|DCAF11|ING2|RAE1|COA3|GNG3|EMC7|RPS15|LSM4|RNF5|ZFAND2B|NHP2|SCAND1|LSM10|PFDN6|TOX|EMC4|WNT9A|BCL7A|EXOSC4|PES1|RPL3|RPL15|OMG|VDAC2|C1orf43|RGS14|SYT5|FKBP1B|RAC3|ALKBH7|CITED4|EDNRB|SOD1|PLEKHJ1|CACFD1|LSM7|GAMT|VDAC1|PMP22|GET3|FAM3C|COPS7A|FEN1|ALDOA|ILF2|GUK1|RAB40B|DRAP1|PNCK|ATP5F1D|RPS5|MRPS7|KAT5|CHMP3|TSN|CDKN2D|SERF2|GALNT6|CHID1|RPL14|RAN|GAL3ST1|PSMD8|DNAJC8|COA7|ITM2C|PBX2|ZFYVE21|PAXX|ATP6V1E1|UBXN1|TRAPPC1|XAB2|RNASEK|TUBG1|CYTH2|MRPS34|SLC25A5|ZNF32|OAZ1|THOC3|ELP5|NUDT16|TTC9B|SCG5|MEA1|BAX|NUDCD3|DDA1|PFKM|SRM|ACTG1|MIF|GPX4|H3-3A|SURF1|CALM3|UBE2M|EFNB3|KIF22|GSTP1|TPGS1|FABP3|MAN2B1|PPP1R14B|TMEM203|CTPS2|PRAF2|MCM8|DBNDD2|RAP2B
sleep_UP_wake_No_Change,4.89656446025705e-12,2.04023519177377e-11,0.887074988399873,-0.355756729730153,-1.83371580771797,501,SMIM20|NDUFA12|PRADC1|ATP5MC1|DUSP28|COMMD5|TMEM141|DMAC1|PSMB10|MRPL2|MZT2A|HMGN2|COX5B|BOLA1|NCBP2AS2|WDR54|EMC9|RPS10|NME2|RPS18|FABP5|SDHAF1|HINT2|NENF|PFDN5|COA8|LIN7B|DGAT2|SMDT1|GSTO1|TMSB10|PEX16|MRPL54|NDUFA8|AP2S1|ACP1|SUV39H1|PARK7|DNAJC19|FIS1|VPS25|MTX1|UQCRFS1|MRPL57|ELOB|MYL12B|EDF1|SNRNP25|DCTN2|CFAP410|DHPS|MRPL55|BEX1|UFC1|RPL18A|TAF10|NGEF|RPS9|BRK1|BEX3|COPS6|NDUFB11|ARF5|NDUFAF8|SMIM19|SAC3D1|ATP6V1G1|CRIP2|RPL19|PSMB3|PMM1|TTYH1|NDUFA11|GABARAPL1|RPL13|PRDX5|RAB33A|PIN1|COX8A|ZNRD2|ZDHHC4|MRPL17|STOML2|CORO1A|SLC22A8|STMN1|HEPACAM|C16orf74|AGA|TMEM18|RPL18|MRPS26|CLPP|ISCU|NDUFB4|TIMM13|NDUFV1|RGS3|KRT222|HEBP1|CNRIP1|SCG3|MPG|EIF3D|ING2|COA3|GNG3|EMC7|RPS15|NHP2|LSM10|EMC4|WNT9A|BCL7A|EXOSC4|RPL3|RPL15|RGS14|SYT5|EDNRB|GAMT|GET3|FEN1|ALDOA|RAB40B|ATP5F1D|RPS5|TSN|CDKN2D|SERF2|CHID1|RPL14|RAN|PSMD8|COA7|ATP6V1E1|RNASEK|MRPS34|SLC25A5|THOC3|NUDT16|TTC9B|PFKM|ACTG1|MIF|H3-3A|UBE2M|KIF22|TPGS1|MAN2B1|PPP1R14B|TMEM203|PRAF2|MCM8|DBNDD2|RAP2B|C15orf61|TPI1|VPS72|EPHX1|DNAAF11|FIBP|RPL13A|TSPYL2|NDUFAF3|RPL28|MCRIP1|LRPAP1|PNMA1|ME3|EIF5|MAP1LC3A|ZBTB22|ATP5F1A|SQSTM1|SLC2A8|DNAJC30|ZNHIT2|HRAS|CNTLN|BACE2|APEX1|RTF1|RAB3A|TMEM44|MAP6D1
All_DE_sleep_wake_genes,4.45155919446045e-05,0.000158984256945016,0.557332238758646,-0.221539224434512,-1.21801131424297,1576,ETNPPL|UXT|C1orf198|HMGCS1|TESK2|SMIM20|NDUFA12|PRADC1|GM2A|COMMD3|NDUFA7|ATP5MC1|CD82|CKS1B|DUSP28|TXN|EIF2S2|COMMD5|TMEM141|DMAC1|UQCR11|CPHXL|SP110|ATOX1|PSMB10|ATP5IF1|MRPL2|MZT2A|MDP1|HMGN2|CHMP2A|COX5B|BOLA1|RPA2|NFE2L3|NCBP2AS2|WDR54|MANF|PSMA7|EMC9|GPKOW|NDUFA6|RPS10|RPL35|NDUFAB1|MRPS18B|NEDD8|BDNF|NME2|RPS18|NOTCH4|RANBP1|FABP5|KLF11|SDHAF1|HINT2|BAG1|NDUFB7|NENF|KCNK2|MRPL51|C1orf122|MICOS13|PFDN5|FAU|TGFBR3|ITM2A|RASGEF1B|COA8|LIN7B|CALB1|DGAT2|MSMO1|SMDT1|DHCR7|GSTO1|PHPT1|RNF181|RPS7|RPL6|UQCR10|PPIB|TMSB10|PEX16|MRPL54|NDUFA8|PMVK|RPL11|AP2S1|SDF2L1|ACP1|SUV39H1|NTMT1|ASB14|TMEM160|PARK7|C12orf57|PDIA6|XBP1|DNAJC19|NDUFS3|FIS1|VPS25|MTX1|UQCRFS1|FGFBP3|GRHPR|BLOC1S1|MRPL57|ELOB|MYL12B|CRYAB|EDF1|SNRNP25|DCTN2|CFAP410|DHPS|MRPL55|BEX1|GADD45GIP1|UFC1|RPL18A|TAF10|NGEF|MMD2|RPS9|H2AZ1|BRK1|SPSB3|PLEKHB1|RPP21|FAM241B|BEX3|COPS6|DPM2|NDUFB11|ARF5|NDUFAF8|SMIM19|SAC3D1|IK|ATP6V1G1|SURF2|CRIP2|RPL19|GCSH|USE1|PPDPF|ADCYAP1|COMMD8|PSMB3|MRPL20|PMM1|RNH1|GABARAPL2|TMEM107|TTYH1|NUBP2|NDUFA11|HAX1|HINT1|ABRACL|RGCC|GABARAPL1|RPL13|C19orf48P|C14orf119|GLO1|ADGRF5|ZSCAN18|DMWD|PRDX5|MSRB1|RPL7A|PSME1|UBE2S|CCT4|UVSSA|DNAJB5|HSP90B1|FNDC4|RAB33A|RPS19|PIN1|SET|ABCF1|COX8A|TRIB2|ZNRD2|ATP5MC2|ZDHHC4|SSR4|MRPL17|STOML2|CORO1A|SFMBT1|ARL4A|COPE|HIGD2A|SLC22A8|EIF6|STMN1|ARPC5L|CFAP20|BTF3|ARL6IP4|HEPACAM|C16orf74|AGA|TMEM18|EGR1|RPL18|ICAM5|PTGS2|MRPS26|POLR3H|CBR1|CLPP|ISCU|NDUFB4|SARS1|TUBA1A|SRP14|TIMM13|NDUFV1|IMP3|RGS3|KRT222|HEBP1|JPT1|DDX24|CNRIP1|SCG3|MPG|TMEM97|EIF3D|DCAF11|ING2|RAE1|COA3|GNG3|EMC7|RPS15|LSM4|RNF5|ZFAND2B|NHP2|SCAND1|HSD17B12|LSM10|PFDN6|TOX|EMC4|SPEF1|POLR3K|WNT9A|BCL7A|EXOSC4|PES1|RPL3|SCG2|RPL15|OMG|VDAC2|NPTX2|C1orf43|RGS14|SYT5|FKBP1B|RAC3|ZBTB20|ALKBH7|CITED4|EDNRB|SOD1|PLEKHJ1|CACFD1|LSM7|SRSF3|CHRDL1|GAMT|NDUFAF4|VDAC1|PMP22|GET3|FAM3C|COPS7A|FEN1|ALDOA|ILF2|GUK1|RAB40B|DRAP1|PNCK|ATP5F1D|RPS5|ZNF830|MRPS7|CCDC93|KAT5|CHMP3|TSN|CDKN2D|SERF2|IQGAP1|GALNT6|RBM8A|CHID1|CFAP300|RPL14|RAN|GAL3ST1|PSMD8|DNAJC8|COA7|LZTFL1|ITM2C|PBX2|ZFYVE21|PAXX|ATP6V1E1|UBXN1|PMEPA1|TRAPPC1|XAB2|RNASEK|TUBG1|GNG4|CYTH2|MRPS34|SLC25A5|ZNF32|OAZ1|THOC3|ELP5|NUDT16|SERBP1|TTC9B|SCG5|MEA1|BAX|NUDCD3|OSTC|DDA1|PFKM|SRM|ACTG1|MIF|GPX4|H3-3A|TMCC1|TSPAN31|SURF1|CALM3|UBE2M|EFNB3|KIF22|GSTP1|TPGS1|FABP3|MAN2B1|PPP1R14B|TMEM203|CTPS2|PRAF2|MCM8|DBNDD2|RAP2B
cortex_DEG_BHQ1,0.000154507112761286,0.000482834727379018,0.518848077743792,0.70566644893553,1.99316093910175,23,PCDH15|AMZ1|DDX3Y|NFIL3|PDE5A|MID1
sleep_No_Change_wake_No Change,0.000298063964834487,0.000827955457873576,0.49849310876659,-0.349970086096196,-1.61502083052785,170,UXT|NDUFA12|GM2A|COMMD3|NDUFA7|TXN|UQCR11|ATOX1|ATP5IF1|MDP1|NDUFA6|RPL35|RPS18|BAG1|NDUFB7|KCNK2|MICOS13|PFDN5|FAU|RPS7|UQCR10|RPL11|ACP1|C12orf57|GADD45GIP1|MMD2|PPDPF|MRPL20|PMM1|RNH1|RGCC|GLO1|RPS19|SSR4|HIGD2A|EIF6|STMN1|CFAP20|BTF3|ICAM5|IMP3|LSM4|RNF5|SCAND1|PES1|C1orf43|LSM7|SRSF3|PMP22|RAB40B|ZNF830|CHMP3|DNAJC8|ITM2C|TRAPPC1|XAB2|OAZ1|MEA1|OSTC
cortex_DEG_BHQ05,0.00108863959980874,0.00272159899952184,0.45505986738723,0.727786007077138,1.89376903271044,16,PCDH15|NFIL3|PDE5A|MID1
