GENE_SYMBOLS,refseq_ids
RAB6B,NM_001363953
ENC1,NM_001256574
ATP6AP1,NM_001183
B4GAT1,NM_006876
THY1,NM_001311160
PDXP,NM_020315
PSAP,NM_001042465
PNMA8A,NM_001103149
LY6E,NM_001127213
SARAF,NM_001284239
TGOLN2,NM_001206840
MTCH1,NM_001271641
MEF2D,NM_001271629
PNMA1,NM_006029
SERINC1,NM_020755
ANO10,NM_001204831
YWHAH,NM_003405
TPRG1L,NM_182752
TMEM246,NA
CTSB,NM_001317237
SHISA4,NM_198149
TOMM20,NM_014765
PITHD1,NM_020362
FTX,NR_028379
ARF3,NM_001412914
ETV5,NM_004454
EEF2,NM_001961
SPRYD3,NM_032840
SERINC3,NM_006811
PGAM1,NM_001317079
OAZ2,NM_001301302
L1CAM,NM_000425
TOLLIP,NM_001318512
CLSTN1,NM_001009566
C1orf115,NM_024709
CD81,NM_001297649
ARL6IP5,NM_006407
DKK3,NM_001018057
SULT4A1,NM_014351
TMEM59L,NM_012109
KAZN,NM_001017999
BCAP31,NM_001139441
KIF3C,NM_002254
PER2,NM_003894
CDK5R1,NM_003885
KLHDC3,NM_001242872
AP2M1,NM_001025205
RAB1B,NM_030981
MRFAP1,NM_001272053
RAN,NM_001300796
NORAD,NR_027451
SNN,NM_003498
GABBR1,NM_001319053
UBL4A,NM_014235
WIPI2,NM_001033518
RTL6,NM_032287
EIF1,NM_005801
PHYHIP,NM_001099335
C1orf216,NM_001348691
SKP1,NM_006930
KBTBD11,NM_014867
PKM,NM_001206796
CELSR2,NM_001408
THRA,NM_001190918
APLP2,NM_001142276
RTN4,NM_001321859
ATP6V0C,NM_001198569
RRAGA,NM_006570
CDIPT,NM_001286585
KCNJ9,NM_004983
IER5,NM_016545
STMN3,NM_001276310
NGRN,NM_001033088
HDAC8,NM_001166418
WBP2,NM_001330499
REEP5,NM_005669
FKBP4,NM_002014
TPI1,NM_000365
PLK2,NM_001252226
CLCN4,NM_001256944
DCTN1,NM_001135040
APBB2,NM_001166050
ATP6V1B2,NM_001693
ATP2A2,NM_001135765
CAMKV,NM_001320147
ATP6V0D1,NM_004691
YWHAQ,NM_006826
RETREG2,NM_001321109
TMEM25,NM_001144034
ENO2,NM_001975
ATG9A,NM_001077198
EGLN2,NM_017555
RIMS3,NM_014747
CREG2,NM_153836
FAM89B,NM_001098784
RBM6,NM_001167582
NSG2,NM_015980
PRNP,NM_000311
HNRNPA0,NM_006805
ATP6AP2,NM_005765
DNAJC5,NM_025219
MYRIP,NM_001284423
CNDP2,NM_001168499
SLC12A5,NM_001134771
NOLC1,NM_001284388
KCTD17,NM_001282684
LRRC47,NM_020710
EIF4G2,NM_001042559
GPR162,NM_014449
RALGPS1,NM_001190728
GSK3A,NM_019884
TMEM30A,NM_001143958
CALM3,NM_001329921
HNRNPK,NM_001318186
SRSF3,NM_003017
USP5,NM_001098536
DUSP3,NM_004090
HNRNPUL2,NM_001079559
GNAZ,NM_002073
PRKAR1A,NM_001276289
BAG5,NM_001015048
PNMA2,NM_007257
PRKN,NM_004562
OLFM1,NM_001282611
SYT13,NM_001247987
CD59,NM_000611
CACNA2D3,NM_018398
ACTG1,NM_001199954
GRINA,NM_000837
MOAP1,NM_022151
IGIP,NM_001007189
FEZ1,NM_005103
PCYOX1,NM_016297
TMEM130,NM_001134450
OAZ1,NM_001301020
SCAMP5,NM_001178111
EI24,NM_001007277
YWHAB,NM_003404
HSBP1,NM_001537
ABCF2,NM_007189
ITM2C,NM_001012514
HPCAL4,NM_001282396
SUMO2,NM_001005849
DHCR24,NM_014762
GNB1,NM_001282538
NCDN,NM_001014839
PGRMC1,NM_001282621
EPN1,NM_001130071
COPZ1,NM_001271734
PEF1,NM_001359651
SIRPA,NM_001040022
TNRC6A,NM_001330520
PIANP,NM_001244014
DIS3L2,NM_001257281
SYT11,NM_152280
OTUB1,NM_017670
PFN2,NM_002628
FXYD6,NM_001164831
SLC25A6,NM_001636
ARHGDIA,NM_001185077
ARPC5,NM_001270439
DDN,NM_015086
YWHAG,NM_012479
RAC1,NM_006908
UBE2V2,NM_003350
DMTN,NM_001114135
CALM1,NM_001166106
ANKS1A,NM_015245
CLEC16A,NM_001243403
CALM2,NM_001305624
UBE2QL1,NM_001145161
PCNX2,NM_001328607
POLE3,NM_001278255
PNMA8C,NM_001386793
PNMA8B,NM_020709
EIF5,NM_001969
STRAP,NM_007178
CD2BP2,NM_001243646
ADO,NM_032804
TMEM203,NM_053045
MAP7D1,NM_001286365
BHLHE41,NM_030762
C4orf3,NM_001001701
AMPD2,NM_001257361
TUSC2,NM_007275
EIF4A2,NM_001967
G3BP2,NM_001400004
DUSP26,NM_001305115
FAM3C,NM_001040020
SSU72,NM_014188
VXN,NM_152765
C11orf68,NM_001135635
DYSF,NM_001130455
LGI3,NM_139278
CA11,NM_001217
CDK5R2,NM_003936
MACF1,NM_001394062
OTUD5,NM_001136157
VPS26B,NM_052875
H3F3B,NA
NEK1,NM_001199397
AGPAT1,NM_001371437
GOT2,NM_001286220
MAF1,NM_032272
PPT1,NM_000310
MYADM,NM_001020818
CEP192,NM_018069
SRP9,NM_001130440
RPL15,NM_001253379
AGBL4,NM_001323573
LAMP1,NM_005561
AKAP5,NM_004857
ATP6V1G2,NM_001204078
CADM3,NM_001127173
