GENE_SYMBOLS,refseq_ids
RAB6B,NM_001363953
BCAP31,NM_001139441
ETV5,NM_004454
PSAP,NM_001042465
ATP6AP1,NM_001183
MTCH1,NM_001271641
PITHD1,NM_020362
SERINC1,NM_020755
CTSB,NM_001317237
TMEM246,NA
OAZ2,NM_001301302
THY1,NM_001311160
RRAGA,NM_006570
B4GAT1,NM_006876
ENC1,NM_001256574
PER2,NM_003894
SHISA4,NM_198149
TGOLN2,NM_001206840
EEF2,NM_001961
ARL6IP5,NM_006407
PNMA8A,NM_001103149
TOMM20,NM_014765
PDXP,NM_020315
RETREG2,NM_001321109
PKM,NM_001206796
KCNJ9,NM_004983
SKP1,NM_006930
SARAF,NM_001284239
GSK3A,NM_019884
HNRNPUL2,NM_001079559
NGRN,NM_001033088
C1orf115,NM_024709
TPRG1L,NM_182752
ATG9A,NM_001077198
KLHDC3,NM_001242872
STMN3,NM_001276310
DKK3,NM_001018057
SERINC3,NM_006811
RIMS3,NM_014747
REEP5,NM_005669
SULT4A1,NM_014351
CDK5R1,NM_003885
RTN4,NM_001321859
PNMA1,NM_006029
CDIPT,NM_001286585
NORAD,NR_027451
PGAM1,NM_001317079
LY6E,NM_001127213
SYT13,NM_001247987
RAB1B,NM_030981
PRNP,NM_000311
CD81,NM_001297649
UBL4A,NM_014235
ATP6V1B2,NM_001693
SNN,NM_003498
MEF2D,NM_001271629
AP2M1,NM_001025205
C1orf216,NM_001348691
KBTBD11,NM_014867
PIANP,NM_001244014
TOLLIP,NM_001318512
YWHAH,NM_003405
ENO2,NM_001975
L1CAM,NM_000425
SPRYD3,NM_032840
SLC25A6,NM_001636
PLK2,NM_001252226
KAZN,NM_001017999
TMEM30A,NM_001143958
ARF3,NM_001412914
OIP5-AS1,NR_026757
EIF1,NM_005801
FAM89B,NM_001098784
TMEM130,NM_001134450
KCTD17,NM_001282684
RAN,NM_001300796
DDN,NM_015086
LRRC47,NM_020710
RTL6,NM_032287
PHYHIP,NM_001099335
ACTG1,NM_001199954
MRFAP1,NM_001272053
TPI1,NM_000365
GABBR1,NM_001319053
OTUB1,NM_017670
DUSP3,NM_004090
FBXO2,NM_012168
OAZ1,NM_001301020
FAIM2,NM_012306
ATP6AP2,NM_005765
PRKAR1A,NM_001276289
NFE2L1,NM_001330261
MAF1,NM_032272
TMEM25,NM_001144034
WBP2,NM_001330499
AMD1,NM_001033059
NCDN,NM_001014839
CD2BP2,NM_001243646
IER5,NM_016545
USP5,NM_001098536
DMTN,NM_001114135
THRA,NM_001190918
RND1,NM_014470
PNMA2,NM_007257
LGI3,NM_139278
ABHD14A,NM_015407
ARHGDIA,NM_001185077
H3F3B,NA
NOLC1,NM_001284388
SLC12A5,NM_001134771
CREG2,NM_153836
FKBP4,NM_002014
IDS,NM_000202
SPOCK2,NM_001134434
YKT6,NM_001363678
YWHAG,NM_012479
EIF4G2,NM_001042559
STUB1,NM_001293197
GRINA,NM_000837
GPR162,NM_014449
PNMA8B,NM_020709
SCN2B,NM_004588
ATP6V0C,NM_001198569
EI24,NM_001007277
TMEM59L,NM_012109
HNRNPA0,NM_006805
CALM1,NM_001166106
LAMTOR1,NM_017907
NSG1,NM_001040101
CELSR2,NM_001408
GNAZ,NM_002073
FAM171A2,NM_198475
AP1S1,NM_001283
IGIP,NM_001007189
NSG2,NM_015980
GDE1,NM_001324066
SLU7,NM_001364517
AMPD2,NM_001257361
DHCR24,NM_014762
EIF5,NM_001969
OLFM1,NM_001282611
LGALSL,NM_014181
PGRMC1,NM_001282621
CANX,NM_001024649
BAG5,NM_001015048
GOT2,NM_001286220
AGPAT1,NM_001371437
CD59,NM_000611
BLCAP,NM_001167820
HPCAL4,NM_001282396
TMED9,NM_017510
NAPB,NM_001283018
RNF187,NM_001010858
SYT11,NM_152280
DCTN1,NM_001135040
CAMKV,NM_001320147
PFN2,NM_002628
ATP6V0D1,NM_004691
JPT1,NM_001002032
CHMP1A,NM_001083314
PDPK1,NM_001261816
CALM3,NM_001329921
KCTD2,NM_015353
FAM131B,NM_001031690
C11orf68,NM_001135635
SYNM,NM_015286
TUSC2,NM_007275
ATP6V0E2,NM_001100592
CADM3,NM_001127173
EGLN2,NM_017555
MAPK3,NM_001040056
GHITM,NM_014394
SLC22A17,NM_001289050
CNDP2,NM_001168499
MAGEE1,NM_020932
VSTM2L,NM_080607
YPEL3,NM_001145524
NAT8L,NM_178557
WSB2,NM_001278557
FAM32A,NM_014077
BHLHE41,NM_030762
AMIGO1,NM_020703
YWHAB,NM_003404
DYNLL2,NM_080677
CALM2,NM_001305624
FKBP1A,NM_000801
ABCF2,NM_007189
UBE2M,NM_003969
AKAP5,NM_004857
PCYOX1,NM_016297
SRP9,NM_001130440
ADO,NM_032804
TMEM203,NM_053045
ATP6V1E1,NM_001039366
SSU72,NM_014188
CCDC85B,NM_006848
PINK1,NM_032409
COPS7A,NM_001164093
SPATA2,NM_001135773
DYSF,NM_001130455
ARL1,NM_001177
COA3,NM_001040431
HSBP1,NM_001537
RAC1,NM_006908
FXYD6,NM_001164831
PEF1,NM_001359651
RHOB,NM_004040
EIF4A2,NM_001967
CIPC,NM_033426
SVIP,NM_001320340
TM2D2,NM_001024380
SYT4,NM_020783
MRPL35,NM_001363782
