GENE_SYMBOLS,refseq_ids
WDR64,NM_001367482
RPL29,NM_000992
NRIP2,NM_031474
MAP1A,NM_001411089
CTXN2,NM_001145668
TGFBR3L,NM_001195259
C19orf53,NM_014047
COX7A1,NM_001864
NEFH,NM_021076
RPS19BP1,NM_194326
TMEM141,NM_032928
UQCR11,NM_006830
POLR2I,NM_006233
RSL24D1,NM_016304
YWHAQ,NM_006826
TMSB10,NM_021103
TOMM6,NM_001134493
COX7A2,NM_001366292
CHCHD2,NM_001320327
OTUD6B-AS1,NR_110438
POLR2K,NM_005034
PCA3,NR_015342
SEC61B,NM_006808
CHCHD1,NM_203298
SELENOH,NM_001321335
COX8A,NM_004074
FAU,NM_001997
BANF1,NM_001143985
NEDD8,NM_006156
NOP10,NM_018648
FAM171A2,NM_198475
ALYREF,NM_005782
TMEM160,NM_017854
AMPD2,NM_001257361
MRPS12,NM_021107
BAG1,NM_001172415
SELENOW,NM_003009
DDT,NM_001084392
BX284668.5,NA
LAMTOR2,NM_001145264
MORN2,NM_001145450
PTMA,NM_001099285
BRK1,NM_018462
SCN5A,NM_000335
COX17,NM_001382002
MAGEF1,NM_022149
HOPX,NM_001145459
H2AFZ,NA
SNHG8,NR_003584
NDUFS6,NM_004553
UQCRQ,NM_014402
ATOX1,NM_004045
RNF5,NM_006913
RPS10,NM_001014
MRPL14,NM_001318767
NDUFB2,NM_004546
COX6C,NM_004374
NDRG1,NM_001135242
LY6E,NM_001127213
TXN,NM_001244938
ATP6V1G1,NM_004888
RPL12,NM_000976
PHPT1,NM_001135860
TMEM203,NM_053045
SPOCK2,NM_001134434
RPLP2,NM_001004
RPS13,NM_001017
GABARAPL1,NM_001363598
SLC38A2,NM_001307936
COX14,NM_001257133
RPL41,NM_001035267
DEPDC4,NM_001319310
ERH,NM_004450
CHGA,NM_001275
IFI27L2,NM_032036
ISLR,NM_005545
TMEM220,NM_001004313
EVI2B,NM_006495
ATP5MC1,NM_001002027
SUMO2,NM_001005849
RPS15,NM_001018
UBL5,NM_001048241
RPS5,NM_001009
ATP5F1E,NM_006886
CHCHD10,NM_001301339
UQCR10,NM_001003684
SELENOM,NM_080430
Z82215.1,NA
LAGE3,NM_006014
RBM5-AS1,NR_045388
GJD2,NM_020660
MICOS13,NM_001308240
RPL39,NM_001000
ATP5MF,NM_001003713
DPP10-AS3,NR_132105
RPL35,NM_007209
SAC3D1,NM_001367485
ATXN7L3,NM_001098833
RPL36,NM_015414
PCP4,NM_006198
IL6ST,NM_001190981
CFL2,NM_001243645
SERF2,NM_001018108
CENPX,NM_001271006
LAMTOR5,NM_001382293
COX5B,NM_001862
TMEM185B,NM_024121
MZT2B,NM_001330282
TMA7,NM_001329417
RPL39L,NM_052969
MRPS24,NM_032014
GPR22,NM_005295
UQCRB,NM_001199975
POLE3,NM_001278255
C9orf16,NA
TIMM10,NM_012456
GSG1,NM_001080554
BLOC1S1,NM_001487
RPL21,NM_000982
TPT1,NM_001286272
RPS29,NM_001030001
ARPP19,NM_001306191
TMEM202-AS1,NR_135678
RPS2,NM_002952
PSMB10,NM_002801
