"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"KLF15","KLF15","MA1513.1","13.373",8.15562e-43,0.889986,0.860109,0.0888941,2084,"False",5.1100252e-40,1.12074137457273e-06,0.000304097236281176,0.934060416386101,0.932530885410376,0.170326507151713,0.064318355450306,0.176830126214394
"NRF1","NRF1","MA0506.1","13.2841",1.28716e-42,0.865334,0.844252,0.0689028,2084,"False",5.1100252e-40,2.71312940314662e-45,2.59284933960146e-27,0.928172433262443,0.926652543903485,-0.0985572850611195,2.13704269075022e-05,0.0892701371494578
"HINFP","HINFP","MA0131.2","12.8499",7.92462e-40,0.835613,0.819262,0.0527042,2084,"False",2.09738276e-37,0.0172809886934991,0.0677449064413416,NA,NA,NA,0.0026074264780025,0.00300790279140701
"SP9","SP9","MA1564.1","12.544",6.68917e-38,0.883648,0.865208,0.0582202,2084,"False",1.327800245e-35,NA,NA,NA,NA,NA,NA,NA
"KLF14","KLF14","MA0740.1","12.4516",1.56181e-37,0.834509,0.818128,0.0546942,2084,"False",2.48015428e-35,NA,NA,NA,NA,NA,NA,NA
"TCFL5","TCFL5","MA0632.2","12.1473",7.32058e-36,0.853842,0.835763,0.0626935,2084,"False",8.43941465714286e-34,0.000227283729017032,0.00269542284589278,NA,NA,NA,0.592528564119197,0.666118416786811
"SP3","SP3","MA0746.2","12.168",7.44029e-36,0.870475,0.852593,0.0596218,2084,"False",8.43941465714286e-34,2.3438691712946e-06,0.00121245850054971,NA,NA,NA,0.00544940997363812,0.0531430338588934
"ZBTB14","ZBTB14","MA1650.1","12.0838",2.45935e-35,0.840321,0.820331,0.0659523,2084,"False",2.440904875e-33,1.42546485630022e-17,1.97356286943323e-11,0.993294323523653,0.993105777795015,-0.0222761665466354,0.179027806412378,0.345850218794648
"SP4","SP4","MA0685.1","11.9863",5.00599e-35,0.808557,0.791926,0.059447,2084,"False",4.41639562222222e-33,3.04398067300845e-08,9.85308173747097e-07,0.992481391455087,0.992156166335897,0.0786442980769679,0.139691093718434,0.561604945566822
"ZBTB33","ZBTB33","MA0527.1","11.9036",1.22845e-34,0.787216,0.772676,0.0533244,2084,"True",9.753893e-33,1.23561031703525e-25,3.58539227191083e-19,0.728808629240125,0.726971861682994,0.146102861706602,0.553176400817825,0.896937184909482
"TFDP1","TFDP1","MA1122.1","11.7685",1.15161e-33,0.867087,0.849665,0.0599893,2084,"False",8.31253036363636e-32,8.62400834786657e-21,4.45980470505351e-10,0.676167939593851,0.673494443346363,-0.0746634202459869,0.230440997402314,0.739148591024163
"SP1","SP1","MA0079.4","11.5979",6.28705e-33,0.829219,0.812589,0.0615672,2084,"False",4.15993141666667e-31,2.23840731014802e-11,8.2862276334569e-05,0.691371917935243,0.688740899151146,-0.48508352039608,0.573278008067159,0.721032351428499
