"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"NRF1","NRF1","MA0506.1","3.67627",0.00011801,0.91363,0.844252,0.0711632,14,"False",0.09369994,2.71312940314662e-45,2.59284933960146e-27,0.928172433262443,0.926652543903485,-0.0985572850611195,2.13704269075022e-05,0.0892701371494578
"ZBTB14","ZBTB14","MA1650.1","2.99793",0.00135774,0.879544,0.820331,0.0530765,14,"False",0.311343941666667,1.42546485630022e-17,1.97356286943323e-11,0.993294323523653,0.993105777795015,-0.0222761665466354,0.179027806412378,0.345850218794648
"SIX2","SIX2","MA1119.1","2.98993",0.00139266,0.776358,0.737451,0.0486177,14,"False",0.311343941666667,NA,NA,NA,NA,NA,NA,NA
"FOXP1","FOXP1","MA0481.3","2.79002",0.00263018,0.870564,0.816202,0.0798386,14,"False",0.311343941666667,4.55844035435481e-22,1.01741116040817e-16,0.986967544123684,0.986455918767296,-0.0464767034260027,0.0109111321861554,0.249029121404908
"SOHLH2","SOHLH2","MA1560.1","2.77555",0.00275128,0.846409,0.802357,0.0573266,14,"False",0.311343941666667,3.58994202044298e-08,2.29718583545409e-11,0.926517761344925,0.92500058152371,0.228914797093383,0.0636122514498459,0.147116179269227
"Arnt","Arnt","MA0004.1","2.65991",0.00390205,0.909273,0.86117,0.069287,14,"False",0.311343941666667,1.95147644975242e-25,2.37468331692805e-14,0.927608467234748,0.926089501374413,-0.123141285002152,0.0011697845034369,0.313887097477832
"FOXA2","FOXA2","MA0047.3","2.62213",0.00436101,0.860364,0.810188,0.0815822,14,"False",0.311343941666667,NA,NA,NA,NA,NA,NA,NA
"TCFL5","TCFL5","MA0632.2","2.62175",0.00436661,0.882237,0.835763,0.0722778,14,"False",0.311343941666667,0.000227283729017032,0.00269542284589278,NA,NA,NA,0.592528564119197,0.666118416786811
"FOXA3","FOXA3","MA1683.1","2.61327",0.00447592,0.863518,0.81337,0.0810419,14,"False",0.311343941666667,NA,NA,NA,NA,NA,NA,NA
"ZNF16","ZNF16","MA1654.1","2.59846",0.00467433,0.723997,0.700343,0.0371042,14,"False",0.311343941666667,4.71737592206157e-07,0.000546710625117972,0.925386126458155,0.923658999881073,0.217250214904195,0.680636302495269,0.46673659192411
"SOX18","SOX18","MA1563.1","2.59665",0.00470274,0.94227,0.919466,0.0254876,14,"False",0.311343941666667,NA,NA,NA,NA,NA,NA,NA
"ETV5","ETV5","MA0765.2","2.59632",0.00470545,0.891297,0.853063,0.0515758,14,"False",0.311343941666667,6.05578986429597e-56,3.52454359372658e-48,0.903864024618142,0.902888770638135,0.0856688778365094,0.924296674128118,0.316705064796513
"BHLHE40","BHLHE40","MA0464.2","2.53788",0.00557364,0.850923,0.809721,0.0336223,14,"False",0.317609074285714,2.91519882140773e-38,5.57548326425021e-24,0.995523334125496,0.995583300359582,-0.0198951882156976,0.0325444013476601,0.131052941557206
"ETV6","ETV6","MA0645.1","2.53595",0.00560016,0.887648,0.851358,0.0509712,14,"False",0.317609074285714,5.83356319365487e-30,2.36526846525205e-18,0.999039094643168,0.998981052742482,0.00822031830268949,0.00522752227839869,0.407783470458036
"HIF1A","HIF1A","MA1106.1","2.38412",0.00855396,0.871628,0.833935,0.0442852,14,"False",0.452789616,5.97356097763217e-05,5.44277876983121e-07,0.6498002902041,0.648736237328647,0.679297826538005,0.00127173883964554,0.0147979386421847
"SIX1","SIX1","MA1118.1","2.3391",0.00965334,0.821224,0.788541,0.0533228,14,"False",0.4790469975,NA,NA,NA,NA,NA,NA,NA
"CLOCK","CLOCK","MA0819.1","2.26272",0.0118087,0.83688,0.808379,0.0553101,14,"False",0.551535752941176,8.35704112809664e-19,1.13634736665027e-13,0.89814499625498,0.896674277050563,0.128010640336641,2.35722438559779e-05,0.010783700474357
"FOXK2","FOXK2","MA1103.2","2.17034",0.0149724,0.853094,0.811392,0.078926,14,"False",0.552993777142857,2.11613707025888e-20,3.09368814758669e-10,0.926517761344925,0.92500058152371,0.0555059751095488,0.191150072282885,0.529507602792021
"Mlxip","Mlxip","MA0622.1","2.13664",0.0163008,0.865427,0.823892,0.0643162,14,"False",0.552993777142857,1.15485846100222e-11,0.000560040829687805,0.913613421049071,0.913041737393636,-0.2051217583781,0.316907793269006,0.8670185623314
"MNT","MNT","MA0825.1","2.12653",0.0167134,0.868112,0.83503,0.0572199,14,"False",0.552993777142857,3.89059078017321e-24,5.00742646673642e-16,0.990863507274249,0.990531361419963,-0.0245160279012096,0.000717090371614342,0.0346945806753648
"FOXI1","FOXI1","MA0042.2","2.09103",0.0182358,0.888125,0.849178,0.0876382,14,"False",0.552993777142857,NA,NA,NA,NA,NA,NA,NA
"Creb3l2","Creb3l2","MA0608.1","2.08767",0.0183965,0.861317,0.831136,0.053809,14,"False",0.552993777142857,1.69072111934081e-08,3.9152760507395e-12,0.917742587652453,0.917138933061061,0.229755143956791,0.531258925821461,0.978719587928563
"FOXO3","FOXO3","MA0157.2","2.08671",0.0184255,0.860433,0.823193,0.0907483,14,"False",0.552993777142857,0.000353995470954073,0.00123085388227496,NA,NA,NA,0.349826545517627,0.952629396218492
"EWSR1-FLI1","EWSR1-FLI1","MA0149.1","2.0742",0.0190077,0.719222,0.688734,0.0624052,14,"False",0.552993777142857,NA,NA,NA,NA,NA,NA,NA
"NR5A1","NR5A1","MA1540.1","2.03176",0.0210719,0.871323,0.845569,0.0444702,14,"False",0.552993777142857,NA,NA,NA,NA,NA,NA,NA
"MAX","MAX","MA0058.3","2.01832",0.0217579,0.856317,0.823549,0.0626627,14,"False",0.552993777142857,2.03348209034004e-06,4.16606634859568e-05,0.96536336464598,0.965006115004771,0.242923241939955,0.734183442372046,0.362055806293747
"HINFP","HINFP","MA0131.2","2.01174",0.0221165,0.849771,0.819262,0.032302,14,"False",0.552993777142857,0.0172809886934991,0.0677449064413416,NA,NA,NA,0.0026074264780025,0.00300790279140701
"FOXO6","FOXO6","MA0849.1","2.01116",0.0221269,0.890374,0.853485,0.0810548,14,"False",0.552993777142857,NA,NA,NA,NA,NA,NA,NA
"ARNT2","ARNT2","MA1464.1","1.99879",0.0228056,0.837103,0.803892,0.0422098,14,"False",0.552993777142857,0.00408508513436226,0.00211059897679552,NA,NA,NA,0.278962507415437,0.0679467123017859
"Foxf1","Foxf1","MA1606.1","1.98972",0.0232881,0.851955,0.811742,0.0795811,14,"False",0.552993777142857,NA,NA,NA,NA,NA,NA,NA
"HEY1","HEY1","MA0823.1","1.98323",0.0236566,0.838683,0.805772,0.0507089,14,"False",0.552993777142857,1.70967825569068e-40,3.88770279598666e-33,0.952167066923299,0.951481740516879,0.0791083704912345,0.00285200383378187,0.138614026448476
"Foxl2","Foxl2","MA1607.1","1.9822",0.0237074,0.812127,0.774689,0.0708235,14,"False",0.552993777142857,NA,NA,NA,NA,NA,NA,NA
"SMAD2","SMAD2::SMAD3::SMAD4","MA0513.1","1.97016",0.0243763,0.830216,0.806328,0.0581211,14,"False",0.552993777142857,1.07341436312476e-11,7.63203914699513e-11,0.943540453647427,0.942498154100061,-0.0187178400089362,0.0129317529857168,0.263820539462232
"SMAD3","SMAD2::SMAD3::SMAD4","MA0513.1","1.97016",0.0243763,0.830216,0.806328,0.0581211,14,"False",0.552993777142857,0.000930425698899399,4.33696339566854e-07,0.735915799744495,0.732849133934062,0.596071853518634,0.0589637901348099,0.00585886479087237
"SMAD4","SMAD2::SMAD3::SMAD4","MA0513.1","1.97016",0.0243763,0.830216,0.806328,0.0581211,14,"False",0.552993777142857,2.01802974851329e-13,9.57559981654244e-13,0.874552506101918,0.872822019087755,0.273123731571539,0.584667080708038,0.812510201873859
"ELF5","ELF5","MA0136.2","1.92272",0.0272479,0.887512,0.864397,0.0276354,14,"False",0.58717491,NA,NA,NA,NA,NA,NA,NA
"FOXD1","FOXD1","MA0031.1","1.91557",0.0276737,0.86967,0.834363,0.0879608,14,"False",0.58717491,NA,NA,NA,NA,NA,NA,NA
"SP2","SP2","MA0516.2","1.90275",0.0285192,0.817094,0.78945,0.0461256,14,"False",0.58717491,0.00151341446432441,0.175853383283625,NA,NA,NA,0.109912098461062,0.0946407833296139
"Npas2","Npas2","MA0626.1","1.88847",0.029453,0.869144,0.840522,0.062159,14,"False",0.58717491,1.26914257447235e-23,1.14874938187731e-14,0.991739064167569,0.991365593646804,0.068706654757512,0.0925558158617739,0.897542862523398
"Klf1","Klf1","MA0493.1","1.8867",0.0295806,0.891231,0.865753,0.0454752,14,"False",0.58717491,NA,NA,NA,NA,NA,NA,NA
"FOXA1","FOXA1","MA0148.4","1.82947",0.0336312,0.820834,0.786924,0.0795789,14,"False",0.623283596774194,NA,NA,NA,NA,NA,NA,NA
"FOXK1","FOXK1","MA0852.2","1.82469",0.0339921,0.820503,0.792099,0.064817,14,"False",0.623283596774194,0.000242740891515652,0.00522172612084574,NA,NA,NA,0.753602673023652,0.326676611316359
"Nr5a2","Nr5a2","MA0505.1","1.80855",0.0352268,0.800973,0.778761,0.0527091,14,"False",0.623283596774194,NA,NA,NA,NA,NA,NA,NA
"SOX12","SOX12","MA1561.1","1.80739",0.0353218,0.788918,0.765074,0.0515988,14,"False",0.623283596774194,0.778143380421244,0.151338238664735,NA,NA,NA,0.851024113390299,0.859652690369716
"ZBTB7A","ZBTB7A","MA0750.2","1.80579",0.0354582,0.857949,0.829929,0.0460259,14,"False",0.623283596774194,4.09266772299237e-08,7.3562123096937e-07,0.971818923876158,0.971659105019188,0.205790232886129,0.421847415689003,0.448784679834949
"Arntl","Arntl","MA0603.1","1.78872",0.0368174,0.845811,0.817467,0.0381754,14,"False",0.623283596774194,7.96497682301831e-17,8.34951339275484e-11,0.93987764061932,0.938338583895045,0.0860356075072339,5.89975204323806e-05,0.0549460300451997
"KLF9","KLF9","MA1107.2","1.77123",0.038245,0.822472,0.794726,0.0433066,14,"False",0.623283596774194,2.7835425711235e-42,3.08232647009746e-24,0.99128129015896,0.990941022751457,-0.0521817023904319,6.44312175862511e-06,0.0199981988610053
