"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"ZSCAN4","ZSCAN4","MA1155.1","3.35502",0.000396694,0.807245,0.730937,0.0210462,4,"False",0.144609632,NA,NA,NA,NA,NA,NA,NA
"CEBPG","CEBPG","MA1636.1","3.29305",0.00049468,0.85432,0.761107,0.103288,4,"False",0.144609632,3.5882963372642e-18,3.18862742468353e-12,0.992481391455087,0.992156166335897,0.0370749701477979,0.0322342128868338,0.163816203715004
"ATF4","ATF4","MA0833.2","3.26495",0.000546384,0.855576,0.762907,0.110103,4,"False",0.144609632,3.25020243634943e-26,2.21181807467051e-22,0.976580030797734,0.975992847783691,-0.0473101354618843,0.00053642153317821,0.0196169157288145
"TCFL5","TCFL5","MA0632.2","2.91876",0.00175648,0.93254,0.835763,0.053072,4,"False",0.34866128,0.000227283729017032,0.00269542284589278,NA,NA,NA,0.592528564119197,0.666118416786811
"GLI2","GLI2","MA0734.2","2.6642",0.00385414,0.824806,0.764694,0.0820118,4,"False",0.612037432,NA,NA,NA,NA,NA,NA,NA
"SPI1","SPI1","MA0080.5","2.52802",0.00573117,0.812572,0.751331,0.0715766,4,"False",0.725308791428571,5.400906459141e-11,1.58125007641046e-07,0.930808982276893,0.929284775549042,0.232908567963794,0.646915881271162,0.646366753245818
"ZBTB14","ZBTB14","MA1650.1","2.48954",0.00639441,0.912316,0.820331,0.0325175,4,"False",0.725308791428571,1.42546485630022e-17,1.97356286943323e-11,0.993294323523653,0.993105777795015,-0.0222761665466354,0.179027806412378,0.345850218794648
"Spz1","Spz1","MA0111.1","2.41998",0.00775789,0.904314,0.866532,0.0315328,4,"False",0.747120916666667,NA,NA,NA,NA,NA,NA,NA
"ZNF16","ZNF16","MA1654.1","2.28677",0.0111005,0.739281,0.700343,0.036509,4,"False",0.747120916666667,4.71737592206157e-07,0.000546710625117972,0.925386126458155,0.923658999881073,0.217250214904195,0.680636302495269,0.46673659192411
"JUN","JUN","MA0488.1","2.24604",0.0123446,0.856303,0.794577,0.0747498,4,"False",0.747120916666667,9.29654296447753e-46,1.02805676727503e-26,0.849685323270784,0.848293957146321,-0.128547112486403,1.89196776506708e-05,0.0487106658044584
"GLI3","GLI3","MA1491.1","2.19153",0.0141953,0.831331,0.782675,0.0801061,4,"False",0.747120916666667,NA,NA,NA,NA,NA,NA,NA
"SIX2","SIX2","MA1119.1","2.12593",0.01675,0.789198,0.737451,0.0469163,4,"False",0.747120916666667,NA,NA,NA,NA,NA,NA,NA
"HOXB7","HOXB7","MA1501.1","2.12325",0.0168628,0.889386,0.835693,0.0435646,4,"False",0.747120916666667,NA,NA,NA,NA,NA,NA,NA
"SIX1","SIX1","MA1118.1","2.09381",0.0181313,0.843267,0.788541,0.0644403,4,"False",0.747120916666667,NA,NA,NA,NA,NA,NA,NA
"EWSR1-FLI1","EWSR1-FLI1","MA0149.1","2.08262",0.0186368,0.745994,0.688734,0.0626363,4,"False",0.747120916666667,NA,NA,NA,NA,NA,NA,NA
"SPIB","SPIB","MA0081.2","2.02454",0.0214483,0.825729,0.777921,0.0637302,4,"False",0.747120916666667,NA,NA,NA,NA,NA,NA,NA
"HOXA5","HOXA5","MA0158.2","1.94115",0.0261107,0.921707,0.863656,0.0760669,4,"False",0.747120916666667,NA,NA,NA,NA,NA,NA,NA
"TBX18","TBX18","MA1565.1","1.92306",0.0272238,0.858448,0.815464,0.0667774,4,"False",0.747120916666667,NA,NA,NA,NA,NA,NA,NA
"IRF3","IRF3","MA1418.1","1.88611",0.0296361,0.748967,0.705022,0.0315332,4,"False",0.747120916666667,1.2383581377992e-24,4.9843215931174e-16,0.876123177251657,0.874688518941928,0.137647186722543,0.219944109151206,0.517995258932095
"KLF9","KLF9","MA1107.2","1.83496",0.0332535,0.848497,0.794726,0.0184351,4,"False",0.747120916666667,2.7835425711235e-42,3.08232647009746e-24,0.99128129015896,0.990941022751457,-0.0521817023904319,6.44312175862511e-06,0.0199981988610053
"ZNF341","ZNF341","MA1655.1","1.81173",0.0350103,0.867971,0.822091,0.025735,4,"False",0.747120916666667,4.01438167876467e-09,0.000437559850871247,0.968571958198671,0.968187885617276,-0.201299366591637,0.713850284254762,0.234045386391413
"HOXD3","HOXD3","MA0912.2","1.76231",0.0389923,0.876875,0.818275,0.102702,4,"False",0.747120916666667,NA,NA,NA,NA,NA,NA,NA
"ZKSCAN5","ZKSCAN5","MA1652.1","1.73935",0.0409835,0.86642,0.821351,0.0197474,4,"False",0.747120916666667,0.000254484745780768,0.00352916525936996,NA,NA,NA,0.719447914004772,0.364293347250732
"HMBOX1","HMBOX1","MA0895.1","1.72758",0.0420178,0.876743,0.83189,0.0708138,4,"False",0.747120916666667,2.46700961124252e-36,3.11759336564309e-29,0.988953766766338,0.988527861383664,-0.00408622668589463,3.25798921726637e-06,0.0305616717252711
"Rhox11","Rhox11","MA0629.1","1.72198",0.0425268,0.830979,0.793401,0.0475055,4,"False",0.747120916666667,NA,NA,NA,NA,NA,NA,NA
"HOXB2","HOXB2","MA0902.2","1.70541",0.0440461,0.928995,0.873685,0.0836039,4,"False",0.747120916666667,NA,NA,NA,NA,NA,NA,NA
