"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"NRF1","NRF1","MA0506.1","3.5824",0.00016984,0.924243,0.844252,0.0791981,10,"False",0.13485296,2.71312940314662e-45,2.59284933960146e-27,0.928172433262443,0.926652543903485,-0.0985572850611195,2.13704269075022e-05,0.0892701371494578
"ETV5","ETV5","MA0765.2","3.0367",0.00119442,0.905973,0.853063,0.0527776,10,"False",0.47418474,6.05578986429597e-56,3.52454359372658e-48,0.903864024618142,0.902888770638135,0.0856688778365094,0.924296674128118,0.316705064796513
"Arnt","Arnt","MA0004.1","2.73537",0.00311139,0.919698,0.86117,0.0746853,10,"False",0.58511448,1.95147644975242e-25,2.37468331692805e-14,0.927608467234748,0.926089501374413,-0.123141285002152,0.0011697845034369,0.313887097477832
"ETV6","ETV6","MA0645.1","2.59847",0.00467635,0.895354,0.851358,0.0586544,10,"False",0.58511448,5.83356319365487e-30,2.36526846525205e-18,0.999039094643168,0.998981052742482,0.00822031830268949,0.00522752227839869,0.407783470458036
"BHLHE40","BHLHE40","MA0464.2","2.55715",0.0052745,0.858842,0.809721,0.0360263,10,"False",0.58511448,2.91519882140773e-38,5.57548326425021e-24,0.995523334125496,0.995583300359582,-0.0198951882156976,0.0325444013476601,0.131052941557206
"ZBTB7A","ZBTB7A","MA0750.2","2.55561",0.00529747,0.876846,0.829929,0.0392268,10,"False",0.58511448,4.09266772299237e-08,7.3562123096937e-07,0.971818923876158,0.971659105019188,0.205790232886129,0.421847415689003,0.448784679834949
"SOX18","SOX18","MA1563.1","2.54311",0.00548967,0.945891,0.919466,0.0275061,10,"False",0.58511448,NA,NA,NA,NA,NA,NA,NA
"ARNT2","ARNT2","MA1464.1","2.46276",0.00689077,0.852308,0.803892,0.0393546,10,"False",0.58511448,0.00408508513436226,0.00211059897679552,NA,NA,NA,0.278962507415437,0.0679467123017859
"FOXP1","FOXP1","MA0481.3","2.36724",0.00895251,0.870773,0.816202,0.0759292,10,"False",0.58511448,4.55844035435481e-22,1.01741116040817e-16,0.986967544123684,0.986455918767296,-0.0464767034260027,0.0109111321861554,0.249029121404908
"ELK4","ELK4","MA0076.2","2.30862",0.0104744,0.89308,0.852902,0.0524536,10,"False",0.58511448,1.46050968015181e-08,1.30688808775021e-07,0.963794006556154,0.963561354755848,0.208578518615657,0.988364514220042,0.615798830218082
"Creb3l2","Creb3l2","MA0608.1","2.29996",0.0107157,0.870476,0.831136,0.056647,10,"False",0.58511448,1.69072111934081e-08,3.9152760507395e-12,0.917742587652453,0.917138933061061,0.229755143956791,0.531258925821461,0.978719587928563
"SP4","SP4","MA0685.1","2.29783",0.0107788,0.836813,0.791926,0.0537238,10,"False",0.58511448,3.04398067300845e-08,9.85308173747097e-07,0.992481391455087,0.992156166335897,0.0786442980769679,0.139691093718434,0.561604945566822
"IRF6","IRF6","MA1509.1","2.29214",0.0109406,0.827482,0.792275,0.0465891,10,"False",0.58511448,NA,NA,NA,NA,NA,NA,NA
"SOHLH2","SOHLH2","MA1560.1","2.27021",0.0115862,0.844989,0.802357,0.0659785,10,"False",0.58511448,3.58994202044298e-08,2.29718583545409e-11,0.926517761344925,0.92500058152371,0.228914797093383,0.0636122514498459,0.147116179269227
"Mlxip","Mlxip","MA0622.1","2.22732",0.0129526,0.875122,0.823892,0.074258,10,"False",0.58511448,1.15485846100222e-11,0.000560040829687805,0.913613421049071,0.913041737393636,-0.2051217583781,0.316907793269006,0.8670185623314
"ELK3","ELK3","MA0759.1","2.21883",0.0132398,0.866175,0.827514,0.0527002,10,"False",0.58511448,0.000180675452899327,2.7520668008415e-05,0.851865963136142,0.850126705943934,0.445197044008694,0.434072439658297,0.992248237110732
"FOXA3","FOXA3","MA1683.1","2.20864",0.0135883,0.863514,0.81337,0.077127,10,"False",0.58511448,NA,NA,NA,NA,NA,NA,NA
"SIX2","SIX2","MA1119.1","2.19345",0.014126,0.771221,0.737451,0.050773,10,"False",0.58511448,NA,NA,NA,NA,NA,NA,NA
"ELK1","ELK1","MA0028.2","2.18004",0.0146168,0.846769,0.805366,0.059336,10,"False",0.58511448,6.78291336292537e-30,3.28789152842772e-26,0.882300972181047,0.881139704669018,0.15197273816795,0.356942475674832,0.994575171132238
"FOXA2","FOXA2","MA0047.3","2.17671",0.0147384,0.859467,0.810188,0.0775826,10,"False",0.58511448,NA,NA,NA,NA,NA,NA,NA
"BHLHE41","BHLHE41","MA0636.1","2.14176",0.0161029,0.8143,0.775543,0.0269084,10,"False",0.588868295454545,4.09521877513046e-54,9.43375696983828e-36,0.974093894691151,0.974152718131226,-0.0325525147244632,0.00331901437460324,0.313899996616741
"Arntl","Arntl","MA0603.1","2.11597",0.0171682,0.857139,0.817467,0.036913,10,"False",0.588868295454545,7.96497682301831e-17,8.34951339275484e-11,0.93987764061932,0.938338583895045,0.0860356075072339,5.89975204323806e-05,0.0549460300451997
"YY2","YY2","MA0748.2","2.09772",0.0179456,0.8633,0.821895,0.0795024,10,"False",0.588868295454545,NA,NA,NA,NA,NA,NA,NA
