Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Ribosome,3.8296713012837074e-33,11.028546993158084,823.198639772818,"['RPL4', 'RPL5', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPL10A', 'RPL8', 'RPL9', 'RPL6', 'RPL7', 'RPS15', 'RPS14', 'RPS17', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL36', 'RPL35', 'RPL38', 'RPL37', 'RPS11', 'RPL39', 'RPS10', 'RPS13', 'RPS12', 'RPS9', 'RPL21', 'RPS7', 'RPS8', 'RPL23', 'RPS5', 'RPL22', 'RPS6', 'MRPS18A', 'RPSA', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL28', 'UBA52', 'MRPL18', 'MRPL17', 'MRPL14', 'MRPL15', 'MRPL12', 'MRPL10', 'MRPL20', 'RPL41', 'MRPL27', 'MRPL28', 'MRPL23', 'MRPL24', 'MRPL21', 'MRPL30', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL27A', 'RPS20', 'RPS21', 'RSL24D1', 'RPS24', 'RPS23', 'MRPS17', 'RPLP1', 'MRPS12', 'RPLP0', 'MRPS10', 'MRPL36', 'MRPL34', 'MRPL35', 'RPS4X', 'RPL7A', 'MRPL2', 'RPLP2', 'MRPL9', 'MRPS2', 'MRPS21', 'RPL13A', 'RPS3A', 'MRPS7', 'MRPS6', 'RPL37A', 'RPL10', 'RPS10-NUDT3', 'RPL12', 'RPL11', 'RPL36A', 'RPS15A', 'RPL14', 'RPS3', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'RPL35A', 'RPL23A', 'RPL22L1', 'FAU', 'RPL26L1']",1.2216651451095026e-30,0,0,109
2,Oxidative phosphorylation,1.02120061129195e-15,4.8127442042198485,166.1253293307921,"['NDUFA13', 'COX7B', 'NDUFA11', 'NDUFA12', 'COX4I1', 'TCIRG1', 'ATP12A', 'COX6A1', 'COX7C', 'UQCRFS1', 'ATP6V1E1', 'COX8A', 'ATP6V1G1', 'ATP6V0B', 'ATP6V1G2', 'ATP6AP1', 'NDUFC2', 'NDUFC1', 'COX6B1', 'NDUFS7', 'PPA1', 'NDUFS6', 'NDUFS5', 'UQCRC1', 'ATP6V1B2', 'NDUFS3', 'NDUFS2', 'ATP6V0D1', 'ATP6V0C', 'ATP6V1B1', 'ATP6V1A', 'NDUFB9', 'NDUFB8', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'COX17', 'NDUFB3', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'COX7A1', 'COX5A', 'UQCRH', 'ATP5MC1', 'ATP5F1A', 'ATP5F1B', 'ATP6V0A4', 'CYC1', 'ATP6V0E2', 'ATP6V1D', 'ATP5MF', 'ATP5ME', 'ATP6V1F', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'UQCRQ', 'NDUFAB1', 'ATP5PO']",1.6288149750106603e-13,0,0,79
3,Parkinson disease,5.858393600605711e-14,2.776559722586473,84.59709864718297,"['NDUFA13', 'NDUFA11', 'NDUFA12', 'UBE2L6', 'PARK7', 'COX6A1', 'TXN2', 'PSMD8', 'TUBB8', 'TUBB6', 'PSMD7', 'TUBB3', 'PSMD2', 'PSMD3', 'TUBB1', 'DAXX', 'TUBA4A', 'COX6B1', 'DDIT3', 'UQCRC1', 'PPIF', 'VDAC2', 'VDAC1', 'UBA52', 'ATF4', 'NDUFB10', 'UBA7', 'UQCRB', 'NDUFB11', 'ATP5MC2', 'ATP5MC3', 'HTRA2', 'ITPR2', 'COX7A2', 'TXN', 'KLC1', 'COX7A1', 'UQCRH', 'ATP5MC1', 'KLC3', 'KLC2', 'UBB', 'UBC', 'CYC1', 'DRD1', 'DRD2', 'XBP1', 'HSPA5', 'UQCRQ', 'GNAS', 'CYCS', 'CALM3', 'UBA1', 'CALM1', 'CALM2', 'COX7B', 'COX4I1', 'COX7C', 'RYR3', 'TUBA1B', 'UCHL1', 'TUBA1A', 'UQCRFS1', 'SLC18A2', 'COX8A', 'DUSP1', 'TUBB', 'NDUFC2', 'NDUFC1', 'TUBB2A', 'ADORA2A', 'NDUFS7', 'PSMA2', 'NDUFS6', 'NDUFS5', 'NDUFS3', 'NDUFS2', 'SLC25A5', 'SLC25A4', 'SLC25A6', 'PRKN', 'NDUFB9', 'NDUFB8', 'NDUFB7', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'COX5B', 'COX5A', 'PSMA7', 'PSMB6', 'ATP5F1A', 'PSMB4', 'ATP5F1B', 'PSMB5', 'PSMB3', 'MFN2', 'RPS27A', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'ADRM1', 'NDUFA2', 'SEPTIN5', 'NDUFA1', 'COX6C', 'TUBB4B', 'ATP5F1D', 'TUBB4A', 'ATP5F1E', 'PSMC5', 'PINK1', 'PSMC3', 'PSMC1', 'NDUFAB1', 'ATP5PO', 'BAX', 'SLC25A31']",6.229425195310739e-12,0,0,128
4,Coronavirus disease,3.2234477635753024e-12,2.8444700377901744,75.2662973963212,"['RPL4', 'RPL5', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPL8', 'RPL10A', 'RPL9', 'RPL6', 'RPL7', 'RPS15', 'RPS14', 'RPS17', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL36', 'RPL35', 'RPL38', 'RPL37', 'RPS11', 'RPL39', 'RPS10', 'IL6R', 'RPS13', 'RPS12', 'RPS9', 'RPL21', 'RPS7', 'RPS8', 'RPL23', 'RPS5', 'RPL22', 'RPS6', 'RPSA', 'RPL24', 'RPL27', 'MASP2', 'RPL26', 'MASP1', 'RPL29', 'IL6ST', 'RPL28', 'UBA52', 'CFB', 'C5AR1', 'C2', 'C6', 'IRAK1', 'C9', 'PLCG2', 'JUN', 'RPL41', 'ISG15', 'RPS26', 'NFKBIA', 'SELP', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL27A', 'RPS20', 'RPS21', 'RSL24D1', 'RPS24', 'RPS23', 'RPLP1', 'RPLP0', 'RPS4X', 'RPL7A', 'RPLP2', 'IKBKG', 'RPL13A', 'RPS3A', 'IRF3', 'RPL37A', 'C1QB', 'C1QA', 'RPL10', 'RPS10-NUDT3', 'RPL12', 'RPL11', 'RPL36A', 'RPS15A', 'RPL14', 'RPS3', 'RPL13', 'CCL2', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'MAPK3', 'RPL35A', 'RPL23A', 'MAS1', 'FCGR2A', 'RPL22L1', 'FAU', 'RPL26L1']",2.5706995914513034e-10,0,0,106
5,Prion disease,2.385985531966795e-10,2.2832192531998348,50.58755070983922,"['NDUFA13', 'NDUFA11', 'NCF2', 'NDUFA12', 'COX6A1', 'PSMD8', 'TUBB8', 'TUBB6', 'PSMD7', 'TUBB3', 'CREB3L1', 'PSMD2', 'PSMD3', 'TUBB1', 'PRKCD', 'CYBA', 'TUBA4A', 'COX6B1', 'DDIT3', 'CSNK2B', 'UQCRC1', 'PPIF', 'VDAC2', 'VDAC1', 'ATF4', 'NDUFB10', 'UQCRB', 'NDUFB11', 'ATP5MC2', 'CACNA1B', 'ATP5MC3', 'ITPR2', 'COX7A2', 'CACNA1C', 'KLC1', 'COX7A1', 'UQCRH', 'ATP5MC1', 'STIP1', 'KLC3', 'C6', 'PPP3R2', 'KLC2', 'C9', 'CYC1', 'EGR1', 'HSPA8', 'PRNP', 'CAV3', 'HSPA5', 'GRIN2D', 'UQCRQ', 'CYCS', 'RYR1', 'COX7B', 'COX4I1', 'COX7C', 'RYR3', 'TUBA1B', 'TUBA1A', 'UQCRFS1', 'RAC1', 'COX8A', 'TUBB', 'NDUFC2', 'NDUFC1', 'CREB3', 'TUBB2A', 'NDUFS7', 'PSMA2', 'NDUFS6', 'NDUFS5', 'NDUFS3', 'NDUFS2', 'SLC25A5', 'SLC25A4', 'SLC25A6', 'C1QB', 'C1QA', 'NDUFB9', 'NDUFB8', 'NDUFB7', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'COX5B', 'COX5A', 'PSMA7', 'PSMB6', 'ATP5F1A', 'PSMB4', 'ATP5F1B', 'PSMB5', 'PSMB3', 'MAPK3', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'HSPA1L', 'NDUFA5', 'ATP5PB', 'BAD', 'NDUFA4', 'NDUFA3', 'ADRM1', 'NDUFA2', 'NDUFA1', 'COX6C', 'TUBB4B', 'ATP5F1D', 'TUBB4A', 'ATP5F1E', 'SOD1', 'PSMC5', 'PSMC3', 'PSMC1', 'NDUFAB1', 'ATP5PO', 'BAX', 'SLC25A31', 'HSPA1B']",1.522258769394815e-08,0,0,127
6,Huntington disease,7.215346252650409e-09,2.013034033309196,37.738461058272826,"['NDUFA13', 'NDUFA11', 'NDUFA12', 'COX6A1', 'PSMD8', 'TUBB8', 'TUBB6', 'PSMD7', 'TUBB3', 'CREB3L1', 'PSMD2', 'PSMD3', 'TUBB1', 'AP2M1', 'TUBA4A', 'COX6B1', 'TBPL2', 'UQCRC1', 'PPIF', 'VDAC2', 'VDAC1', 'NDUFB10', 'UQCRB', 'NDUFB11', 'ATP5MC2', 'CACNA1B', 'ATP5MC3', 'COX7A2', 'KLC1', 'COX7A1', 'UQCRH', 'ATP5MC1', 'KLC3', 'KLC2', 'ATG101', 'CLTCL1', 'CYC1', 'DNAH12', 'DNAH11', 'DNAH17', 'BDNF', 'DNAH14', 'DLG4', 'UQCRQ', 'CYCS', 'DNAL4', 'COX7B', 'HIP1', 'COX4I1', 'CLTC', 'CLTB', 'CLTA', 'COX7C', 'ACTR1A', 'TUBA1B', 'TUBA1A', 'CASP8', 'UQCRFS1', 'COX8A', 'GPX2', 'GPX3', 'TUBB', 'NDUFC2', 'NDUFC1', 'WIPI2', 'CREB3', 'TUBB2A', 'NDUFS7', 'PSMA2', 'NDUFS6', 'NDUFS5', 'NDUFS3', 'NDUFS2', 'SLC25A5', 'PLCB2', 'SLC25A4', 'SLC25A6', 'DCTN6', 'NDUFB9', 'NDUFB8', 'NDUFB7', 'DCTN2', 'DCTN1', 'NDUFB5', 'NDUFB4', 'DCTN3', 'DNAH6', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'COX5B', 'COX5A', 'PSMA7', 'PSMB6', 'ATP5F1A', 'PSMB4', 'ATP5F1B', 'PSMB5', 'PSMB3', 'POLR2C', 'AP2S1', 'POLR2E', 'POLR2G', 'POLR2I', 'DNAI1', 'POLR2J', 'POLR2K', 'POLR2L', 'POLR2J3', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'POLR2J2', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'ADRM1', 'NDUFA2', 'NDUFA1', 'COX6C', 'TUBB4B', 'SOD2', 'ATP5F1D', 'TUBB4A', 'ATP5F1E', 'SOD1', 'PSMC5', 'REST', 'PSMC3', 'PSMC1', 'NDUFAB1', 'ATP5PO', 'BAX', 'SLC25A31']",3.836159090992467e-07,0,0,139
7,Diabetic cardiomyopathy,5.290317413183728e-07,2.1499647675740636,31.071758232772066,"['COX7B', 'NDUFA13', 'NDUFA11', 'NCF2', 'NDUFA12', 'COX4I1', 'SLC2A1', 'ATP2A2', 'COX6A1', 'COX7C', 'GYS2', 'GYS1', 'PPP1CC', 'CPT2', 'MPC2', 'UQCRFS1', 'RAC1', 'CTSD', 'PDK2', 'COX8A', 'G6PD', 'PRKCD', 'NDUFC2', 'CYBA', 'NDUFC1', 'CPT1B', 'COX6B1', 'NDUFS7', 'NDUFS6', 'NDUFS5', 'UQCRC1', 'PPIF', 'NDUFS3', 'VDAC2', 'NDUFS2', 'VDAC1', 'SLC25A5', 'PLCB2', 'GAPDH', 'SLC25A4', 'SLC25A6', 'NDUFB9', 'NDUFB8', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'UQCR11', 'COX7A2', 'UQCR10', 'PDHB', 'COX5B', 'COX5A', 'COX7A1', 'UQCRH', 'ATP5MC1', 'PTPA', 'ATP5F1A', 'ATP5F1B', 'PLN', 'CYC1', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'TGFB1', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'COL1A1', 'UQCRQ', 'NDUFAB1', 'ATP5PO', 'REN', 'SLC25A31']",2.3320924258306026e-05,0,0,89
8,Pathways of neurodegeneration,5.848507650985838e-07,1.635651941699813,23.47472802684005,"['NDUFA13', 'CHRM1', 'NDUFA11', 'NDUFA12', 'CHRM5', 'UBE2L6', 'PARK7', 'COX6A1', 'PSMD8', 'TUBB8', 'TUBB6', 'FRAT1', 'PSMD7', 'FRAT2', 'TUBB3', 'PSMD2', 'PSMD3', 'TUBB1', 'GABARAPL2', 'DAXX', 'GABARAPL1', 'MAP2K2', 'WNT5A', 'PDYN', 'DKK1', 'TUBA4A', 'COX6B1', 'DDIT3', 'CSNK2B', 'UQCRC1', 'PPIF', 'VDAC2', 'VDAC1', 'UBA52', 'PPID', 'ATF4', 'UQCRB', 'NDUFB10', 'UBA7', 'NDUFB11', 'ATP5MC2', 'CACNA1B', 'ITPR2', 'ATP5MC3', 'HTRA2', 'COX7A2', 'CACNA1C', 'KLC1', 'COX7A1', 'GABARAP', 'UQCRH', 'ATP5MC1', 'WNT6', 'KLC3', 'PPP3R2', 'KLC2', 'UBB', 'ATG101', 'UBC', 'FADD', 'CYC1', 'FZD1', 'DNAH12', 'PRNP', 'DNAH11', 'XBP1', 'DNAH17', 'HSPA5', 'BDNF', 'FZD7', 'DNAH14', 'FZD9', 'FZD8', 'RAB39B', 'GRIN2D', 'CDK5', 'UQCRQ', 'DLG4', 'BCL2', 'NOX4', 'CYCS', 'CALM3', 'UBA1', 'CALM1', 'CALM2', 'DNAL4', 'NOX1', 'RYR1', 'COX7B', 'HIP1', 'COX4I1', 'ATP2A2', 'COX7C', 'RYR3', 'TUBA1B', 'ACTR1A', 'UCHL1', 'CASP7', 'TUBA1A', 'CASP8', 'NEFL', 'UQCRFS1', 'NEFM', 'RAC1', 'NEFH', 'HRAS', 'COX8A', 'GPX2', 'GPX3', 'TUBB', 'SIGMAR1', 'NDUFC2', 'NDUFC1', 'WNT9A', 'WIPI2', 'TNFRSF1B', 'TOMM40L', 'TUBB2A', 'NDUFS7', 'PSMA2', 'NDUFS6', 'NDUFS5', 'NDUFS3', 'NDUFS2', 'SMCR8', 'SLC25A5', 'PLCB2', 'SLC25A4', 'SLC25A6', 'PRKN', 'DCTN6', 'NDUFB9', 'NDUFB8', 'NDUFB7', 'DCTN2', 'NDUFB5', 'DCTN1', 'NDUFB4', 'NDUFB3', 'DCTN3', 'DNAH6', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'COX5B', 'HSD17B10', 'COX5A', 'PSMA7', 'PSMB6', 'PSMB4', 'ATP5F1A', 'PSMB5', 'ATP5F1B', 'PSMB3', 'MFN2', 'RPS27A', 'DNAI1', 'MAPK3', 'NDUFA8', 'ATP5PF', 'NDUFA7', 'NDUFA6', 'ATP5PD', 'NDUFA5', 'NDUFA4', 'ATP5PB', 'BAD', 'NDUFA3', 'ADRM1', 'NDUFA2', 'SEPTIN5', 'NDUFA1', 'WNT7A', 'TUBB4B', 'COX6C', 'TUBB4A', 'ATP5F1D', 'ATP5F1E', 'SOD1', 'PSMC5', 'PINK1', 'PSMC3', 'PSMC1', 'NDUFAB1', 'ATP5PO', 'BAX', 'KRAS', 'SLC25A31', 'CDK5R1']",2.3320924258306026e-05,0,0,190
9,Alzheimer disease,1.1825901640576346e-05,1.6288381366684792,18.479524362622918,"['NDUFA13', 'CHRM1', 'NDUFA11', 'NDUFA12', 'CHRM5', 'COX6A1', 'PSMD8', 'TUBB8', 'FRAT1', 'TUBB6', 'FRAT2', 'PSMD7', 'TUBB3', 'PSMD2', 'PSMD3', 'TUBB1', 'MAP2K2', 'WNT5A', 'DKK1', 'TUBA4A', 'COX6B1', 'DDIT3', 'CSNK2B', 'UQCRC1', 'PPIF', 'VDAC2', 'VDAC1', 'PPID', 'ATF4', 'NDUFB10', 'UQCRB', 'NDUFB11', 'ATP5MC2', 'ATP5MC3', 'ITPR2', 'LPL', 'COX7A2', 'GPR83', 'CACNA1C', 'KLC1', 'COX7A1', 'RTN4', 'UQCRH', 'ATP5MC1', 'APH1A', 'WNT6', 'KLC3', 'PPP3R2', 'KLC2', 'ATG101', 'FADD', 'CYC1', 'FZD1', 'XBP1', 'FZD7', 'FZD9', 'FZD8', 'GRIN2D', 'CDK5', 'UQCRQ', 'NOX4', 'CYCS', 'CALM3', 'CALM1', 'CALM2', 'NOX1', 'COX7B', 'COX4I1', 'ATP2A2', 'COX7C', 'RYR3', 'TUBA1B', 'CASP7', 'TUBA1A', 'CASP8', 'UQCRFS1', 'HRAS', 'COX8A', 'PSENEN', 'TUBB', 'NDUFC2', 'NDUFC1', 'WNT9A', 'WIPI2', 'BACE2', 'TUBB2A', 'NDUFS7', 'PSMA2', 'NDUFS6', 'NDUFS5', 'NDUFS3', 'NDUFS2', 'SLC25A5', 'PLCB2', 'GAPDH', 'SLC25A4', 'SLC25A6', 'NDUFB9', 'NDUFB8', 'NDUFB7', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'COX5B', 'COX5A', 'HSD17B10', 'PSMA7', 'PSMB6', 'ATP5F1A', 'PSMB4', 'ATP5F1B', 'PSMB5', 'PSMB3', 'APBB1', 'MAPK3', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'BAD', 'NDUFA4', 'NDUFA3', 'ADRM1', 'NDUFA2', 'NDUFA1', 'WNT7A', 'COX6C', 'TUBB4B', 'ATP5F1D', 'TUBB4A', 'ATP5F1E', 'PSMC5', 'PSMC3', 'PSMC1', 'NDUFAB1', 'ATP5PO', 'KRAS', 'SLC25A31', 'CDK5R1']",0.0004191625137048727,0,0,146
10,Amyotrophic lateral sclerosis,2.1813028057619504e-05,1.6059431056350788,17.23659241045718,"['NDUFA13', 'NDUFA11', 'NDUFA12', 'COX6A1', 'ACTB', 'ACTG1', 'PSMD8', 'TUBB8', 'TUBB6', 'PSMD7', 'TUBB3', 'PSMD2', 'PSMD3', 'TUBB1', 'GABARAPL2', 'DAXX', 'GABARAPL1', 'TUBA4A', 'COX6B1', 'DDIT3', 'UQCRC1', 'PFN4', 'SRSF3', 'VDAC1', 'PFN1', 'ATF4', 'PFN2', 'NDUFB10', 'UQCRB', 'NDUFB11', 'ATP5MC2', 'ATP5MC3', 'COX7A2', 'KLC1', 'COX7A1', 'GABARAP', 'UQCRH', 'ATP5MC1', 'KLC3', 'PPP3R2', 'KLC2', 'ATG101', 'CYC1', 'DNAH12', 'DNAH11', 'XBP1', 'DNAH17', 'HSPA5', 'ALYREF', 'DNAH14', 'RAB39B', 'CHCHD10', 'GRIN2D', 'UQCRQ', 'BCL2', 'CYCS', 'DNAL4', 'COX7B', 'NXT1', 'COX4I1', 'COX7C', 'ACTR1A', 'TUBA1B', 'TUBA1A', 'NUP62', 'NEFL', 'UQCRFS1', 'NEFM', 'RAC1', 'NEFH', 'COX8A', 'GPX2', 'GPX3', 'TUBB', 'SIGMAR1', 'NDUFC2', 'NDUFC1', 'NRG1', 'WIPI2', 'TNFRSF1B', 'TOMM40L', 'TUBB2A', 'NDUFS7', 'PSMA2', 'NDUFS6', 'NDUFS5', 'NDUFS3', 'NDUFS2', 'SMCR8', 'PRKN', 'DCTN6', 'NDUFB9', 'NDUFB8', 'NDUFB7', 'DCTN2', 'DCTN1', 'NDUFB5', 'NDUFB4', 'DCTN3', 'DNAH6', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'COX5B', 'COX5A', 'PSMA7', 'PSMB6', 'ATP5F1A', 'PSMB4', 'ATP5F1B', 'PSMB5', 'PSMB3', 'HNRNPA1', 'DNAI1', 'UBQLN4', 'UBQLN2', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'BAD', 'NDUFA4', 'NDUFA3', 'ADRM1', 'NDUFA2', 'NDUFA1', 'COX6C', 'TUBB4B', 'ATP5F1D', 'TUBB4A', 'ATP5F1E', 'SOD1', 'PSMC5', 'PINK1', 'PSMC3', 'PSMC1', 'NDUFAB1', 'ATP5PO', 'BAX']",0.0006958355950380621,0,0,144
