Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-4321,0.0009917436913884892,15.926436781609196,110.14796716291269,"['NANOS1', 'RAD51', 'SLC23A1', 'PCBP1', 'KIAA1143', 'UBE2V2', 'PHAX', 'MRPL44']",0.9999956479891315,0,0,8
2,hsa-let-7e-3p,0.003492777647273649,7.962511052166224,45.044386623579385,"['COPS6', 'GTF3C4', 'PLEKHA1', 'PHF23', 'GPS1', 'SUMO2', 'MSANTD3', 'COPS8']",0.9999956479891315,0,0,8
3,hsa-miR-3621,0.0038543498170164215,3.6985082174462707,20.5583537473364,"['ZNF770', 'FBXW8', 'INSIG1', 'ATG9A', 'NRARP', 'MAPK8IP2', 'MAF', 'CAMK2N2', 'ADAMTS17', 'TMEM109', 'SUGT1', 'PTMA', 'KCNK3']",0.9999956479891315,0,0,13
4,hsa-miR-1250-5p,0.004159723082607415,4.977445604104015,27.287883750632535,"['ANKRD33B', 'SLC22A18AS', 'RPS8', 'TMUB1', 'ATP1A1', 'RPS2', 'TPGS1', 'POU3F3', 'PNRC1', 'RAN']",0.9999956479891315,0,0,10
5,hsa-miR-3677-3p,0.007001685946111806,11.94060456072123,59.2445550462931,"['ANKRD33B', 'RAB5C', 'ARHGDIA', 'AKT1S1', 'TET3', 'VAMP1']",0.9999956479891315,0,0,6
6,hsa-miR-3912-3p,0.008746477474407929,3.981602688837785,18.86923016085976,"['AMER2', 'GRK2', 'RPL13A', 'NEDD9', 'FPR3', 'SRP68', 'MTRNR2L1', 'RREB1', 'ACTB', 'HNRNPA0']",0.9999956479891315,0,0,10
7,mmu-miR-3066-5p,0.013371764738858578,2.9864625729959298,12.885420995801592,"['TCEAL8', 'MOAP1', 'FUNDC2', 'TSPAN18', 'STXBP2', 'OIP5', 'WDR34', 'MFSD2B', 'MRPL43', 'LOXL2', 'POLR2L', 'VWA7']",0.9999956479891315,0,0,12
8,mmu-miR-453,0.016379330389080307,3.3177074119936316,13.641533954986256,"['TCEAL8', 'MOAP1', 'STXBP2', 'OIP5', 'WDR34', 'MFSD2B', 'MRPL43', 'LOXL2', 'POLR2L', 'VWA7']",0.9999956479891315,0,0,10
9,hsa-miR-877-5p,0.021824865525648204,1.34642472980587,5.149677852324014,"['BTG2', 'SLC25A3', 'ZNF174', 'CDKN1B', 'THRA', 'TMEM167A', 'RPLP1', 'MPI', 'HMGB3', 'AQP3', 'ETS2', 'TXN2', 'ACTG1', 'AFF2', 'MC4R', 'UBL5', 'UCHL1', 'TUBA1B', 'TMEM147', 'ARHGDIA', 'RACK1', 'LEPR', 'RPL35', 'DNAH10OS', 'SLC39A1', 'EIF5A', 'EIF1AX', 'NCBP2', 'TUBB', 'SIGMAR1', 'SHISA5', 'YOD1', 'PROX1', 'WBP11', 'GNL1', 'RNF41', 'EEF1A1', 'RNF167', 'PTP4A2', 'ACTA1', 'MRPL51', 'C1ORF115', 'TMEM106B', 'SRSF3', 'VDAC1', 'PHPT1', 'SLC25A5', 'YAP1', 'COLEC12', 'CSTB', 'COLEC10', 'RNASEK', 'PCNA', 'STOML1', 'NDUFB11', 'RAB1B', 'PGRMC1', 'DNAJB4', 'UBC', 'SAP18', 'DNAJB9', 'THEM6', 'IGF2BP2', 'MEF2D', 'SERF2', 'HNRNPA0', 'HSPA8', 'CMTM8', 'TMEM30A', 'NDE1', 'HMGA1', 'TBCC', 'RPL23A', 'HSPA12B', 'PNRC2', 'CD4', 'MARCKS', 'RPS27', 'NACA', 'UBE2N', 'AMOTL2', 'KRAS', 'RPS24', 'BCL2L2', 'RTL8C']",0.9999956479891315,0,0,85
10,hsa-miR-1180-5p,0.02287971321813064,1.9052434428061629,7.197065958336339,"['VAV3', 'RNF11', 'CBX5', 'HSPA5', 'DHCR24', 'NUDT3', 'MRPL10', 'ARL4C', 'AP3M2', 'STX1B', 'ARGFX', 'WEE2', 'PAX8', 'ZNF93', 'STC2', 'TCEAL1', 'TXNIP', 'SPRY1', 'YKT6', 'STK40', 'IER3', 'PPIC']",0.9999956479891315,0,0,22
