Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-4783-5p,0.08561942104715264,1.465211756777772,3.601260665301709,"['JUN', 'TSPYL1', 'EGR3', 'CCDC115', 'CEND1', 'PNMA8A', 'G0S2', 'PRELP', 'SSTR1', 'PAX2', 'NRGN', 'DDN', 'C1QTNF4', 'DOK7', 'PYDC1', 'CALM3', 'H1FX', 'NFKBIE']",0.9999941594457389,0,0,18
2,mmu-miR-744,0.19004929498318893,1.1628582919599977,1.9308933932793926,"['MIDN', 'MEPCE', 'TUSC1', 'NEDD9', 'CRYBA4', 'FAIM2', 'PRELP', 'TSPAN11', 'NTN1', 'HAPLN4', 'NRGN', 'SNN', 'CAMK2N2', 'ARL6IP5', 'PRR29', 'SH3BGRL3', 'NCDN', 'CHAC1', 'PHLDA2', 'BORCS6', 'FZD1', 'TMEM184A', 'KLF10', 'IGFBP5', 'APCDD1L', 'H2AFX', 'GRHL2', 'DEXI', 'TMEM81', 'PAX2', 'SHISA6', 'EPN3', 'ZAP70', 'RAD51', 'VGF', 'GPR183', 'EEF1A2', 'DOK7', 'MMP19', 'CHST4', 'NODAL', 'CFAP77', 'RNF187', 'CBLN1', 'ATP6V1B1']",0.9999941594457389,0,0,45
3,hsa-miR-1181,0.21948220508153796,1.4250169033130493,2.161015504601317,"['KCNE1', 'ECM2', 'RBP2', 'SYNPO2L', 'H1FX', 'SSTR1', 'PRLR', 'NRGN']",0.9999941594457389,0,0,8
4,hsa-miR-3939,0.28079859843332305,1.2909715407262021,1.6396856726223574,"['UBL4A', 'H1F0', 'FAM89B', 'BDNF', 'PEA15', 'TIFA', 'PDXP', 'SSTR1', 'PTGES']",0.9999941594457389,0,0,9
5,mmu-miR-341,0.28778454755148214,1.4336917562724014,1.7857249857939723,"['LDHC', 'FZD1', 'MYCL', 'PAX2', 'APOLD1']",0.9999941594457389,0,0,5
6,mmu-miR-1893,0.3034671366420618,1.225957287267531,1.4619319433914393,"['JUN', 'PAX8', 'PNMA1', 'GPX3', 'FLRT1', 'H2AFX', 'CALM3', 'CCDC184', 'YWHAG', 'PAX2', 'TNFSF13B']",0.9999941594457389,0,0,11
7,hsa-miR-523,0.3475646608103515,1.2723641530171836,1.3446402350879962,"['RNASEK', 'ARL6IP1', 'BDNF', 'SLC23A1', 'SSTR1', 'IER5']",0.9999941594457389,0,0,6
8,hsa-miR-937,0.36626681564857194,1.18081868232398,1.1860062628366286,"['FRAT1', 'RASD1', 'CAMK2N2', 'H2AFX', 'PHLDA2', 'ATP6V0C', 'NTN1', 'PAX2', 'LY6E']",0.9999941594457389,0,0,9
9,hsa-miR-3124-5p,0.4662713109090742,1.0938473866975336,0.8345919945577254,"['FGF17', 'FRAT1', 'NGB', 'NTN1', 'RHOB', 'TYMP', 'RELB']",0.9999941594457389,0,0,7
10,mmu-miR-5105,0.4761868349131239,1.0828403525954946,0.8034079761384911,"['CAMK2N2', 'H2AFX', 'C15ORF62', 'H1FX', 'DEXI', 'PAX2', 'CBLN1']",0.9999941594457389,0,0,7
11,mmu-miR-1901,0.5102202858523652,1.0397100016477179,0.6996340784370444,"['DNAJB2', 'DNAJB1', 'ANGPT2', 'SLC23A1', 'SPRY4', 'RNF6', 'PNMA8B', 'CDK5R1']",0.9999941594457389,0,0,8
12,hsa-miR-3960,0.5172773324445246,1.0067453888334994,0.6636225211592045,"['MIDN', 'RTL6', 'PRELP', 'NTN1', 'NAT16', 'WNT6', 'HK3', 'RASD1', 'CAMK2N2', 'EMILIN2', 'PRR29', 'PHLDA2', 'TMEM184A', 'EGR3', 'H2AFX', 'MIF', 'KREMEN2', 'SSTR1', 'DEXI', 'PAX2', 'VGF', 'NAT8L', 'ATP6V0C', 'CBLN1', 'ATP6V1B1']",0.9999941594457389,0,0,25
13,mmu-miR-700,0.5520954365697404,1.0083808389347402,0.5990128615662912,"['STEAP4', 'IRF2BP1', 'PNMA8B', 'ARF5', 'NRGN', 'CBLN1']",0.9999941594457389,0,0,6
14,mmu-miR-675-5p,0.5682546892631624,0.9798099013985253,0.5537744119018858,"['AOC3', 'KCNE1', 'EGR3', 'BTBD18', 'APOBEC4', 'HVCN1', 'KCNJ13', 'MEPCE', 'IRF2BP1', 'RTL6', 'IQGAP2', 'TMEM81', 'EPN3', 'MYO1E', 'FRMD6', 'PNMA1', 'FLRT1', 'CALM3', 'IER5', 'HLA-DQB1', 'SMTNL1', 'RNF187']",0.9999941594457389,0,0,22
15,hsa-miR-1973,0.5795966678398815,0.9754170862894181,0.532014735559312,"['SHC4', 'EHF', 'WBP2', 'CEND1', 'CRYBA4', 'THY1', 'NTN1', 'RELB', 'SPRED1', 'DDT', 'FLRT1', 'PEA15', 'RABAC1', 'PHLDA2', 'SEPHS2', 'BORCS6', 'RPRM', 'MUC6', 'TMEM184A', 'F8A1', 'WFS1', 'STPG4', 'ETV1', 'TUBA4A', 'C9ORF139', 'SHISA6', 'SPATA2L', 'PDE10A', 'MAFF', 'TLR9', 'CDK2AP1']",0.9999941594457389,0,0,31
16,hsa-miR-1469,0.5819829096854816,0.9763518385003604,0.5285131109429437,"['ANKRD34C', 'TMEM203', 'ZBTB32', 'H1FX', 'TMSB10', 'PAX2']",0.9999941594457389,0,0,6
17,hsa-miR-4754,0.5847699210456601,0.9693774385815075,0.5201066751604134,"['TMEM184A', 'F8A1', 'EGR3', 'UQCC3', 'CD80', 'FAIM2', 'RTL6', 'ZDHHC22', 'OAZ1', 'DEXI', 'APOLD1', 'ADGRG2', 'PLN', 'ARMCX6', 'EMILIN3', 'ANGPTL2', 'NAT8L']",0.9999941594457389,0,0,17
18,hsa-miR-718,0.6043177808931386,0.9600026956902652,0.48351024611148496,"['EGR3', 'KCNJ13', 'ST8SIA2', 'SPDYE3', 'FPR3', 'SPDYE6', 'SPDYE5', 'NTN1', 'SPATA2L', 'C1QTNF4', 'SPRED2', 'CYP2A6', 'NR4A3', 'PPDPF', 'FLRT1', 'SPDYE1', 'MALL', 'PDE6A', 'TRIB2', 'CCDC184', 'CBLN1', 'CDK5R1']",0.9999941594457389,0,0,22
19,mmu-miR-5109,0.6234045378636918,0.9389711914035974,0.44371988109898425,"['AOC3', 'DNAJB2', 'GRP', 'HTR2B', 'ACKR4', 'CALM1', 'KMO', 'PCDH18', 'DEXI', 'BORCS6', 'TNFSF13B']",0.9999941594457389,0,0,11
20,hsa-miR-671-3p,0.6299909234925937,0.9423795938915925,0.43542636588443784,"['TMEM184A', 'MIDN', 'GYPB', 'RNF26', 'SPRY4', 'PLG', 'FGF1', 'KMO', 'ABCC12', 'MMP21', 'PAX2', 'HRNR', 'H1F0', 'SPRED1', 'VGF', 'MMP15', 'PHLDA2', 'BORCS6']",0.9999941594457389,0,0,18
21,hsa-miR-450a,0.6407365109753514,0.9359135913591359,0.4166097363931312,"['EHF', 'SLC23A1', 'KCNJ13', 'PRELP', 'GRHL2', 'DEXI', 'NTN1', 'DUSP6', 'ETV5', 'NUDT11', 'PLN', 'B3GNT5', 'P4HA3', 'OGN', 'FAM32A', 'IER5', 'PHLDB2', 'CDK5R1']",0.9999941594457389,0,0,18
22,mmu-miR-5126,0.6669969327482829,0.9032157998138766,0.365775150399099,"['SPRED2', 'VGF', 'MMP15', 'CAMK2N2', 'FLRT1', 'ADO', 'DEXI', 'PAX2', 'BMP6', 'CBLN1']",0.9999941594457389,0,0,10
23,mmu-miR-1247,0.6788113818252278,0.9228295973324047,0.3575152398390155,"['EHF', 'KCNE1', 'SLC23A1', 'AMIGO2', 'FGF1', 'LCTL', 'TSPAN11', 'DRAM1', 'UBASH3B', 'DUSP5', 'SLC12A3', 'PRNP', 'JUN', 'RBPMS', 'CMTM3', 'BDNF', 'F2R', 'SELE', 'MEX3A', 'VGF', 'RFX4', 'CDK2AP2', 'CALM3', 'TRIB2', 'PTGES']",0.9999941594457389,0,0,25
24,mmu-miR-3960,0.6869117544561735,0.8874737483910304,0.3332902741781839,"['EGR3', 'PDE10A', 'MMP15', 'WFS1', 'CCDC85B', 'CAMK2N2', 'FLRT1', 'CALM3', 'PHLDA2', 'NRGN']",0.9999941594457389,0,0,10
25,hsa-miR-3605-3p,0.6963850875228045,0.9250403225806452,0.33472813943588936,"['MIDN', 'WBP2', 'PELI3', 'CEND1', 'PLG', 'CRYBA4', 'RTL6', 'ABCC12', 'SPRED2', 'FRAT1', 'CYTH4', 'ALDH1B1', 'DDT', 'CAMK2N2', 'ELOB', 'LGALS9', 'EMC6', 'MBNL3', 'YWHAG', 'TMEM184A', 'DNAH11', 'JUN', 'EGR3', 'ST8SIA2', 'DHCR24', 'ETV1', 'GRHL2', 'C9ORF139', 'LOR', 'SHISA6', 'MEX3A', 'EVC', 'PAX8', 'VGF', 'CYCS', 'TRIB2']",0.9999941594457389,0,0,36
26,mmu-miR-5122,0.7006668558133445,0.8487748810329455,0.3019285316383459,"['STEAP4', 'RASL10B', 'RTL6', 'PNMA8B', 'ARF5']",0.9999941594457389,0,0,5
27,mmu-miR-126-3p,0.7219074835782888,0.8347701909345745,0.2720167847805508,"['SNN', 'SPRED1', 'ST8SIA2', 'HTR1D', 'ADO', 'GRHL2']",0.9999941594457389,0,0,6
28,hsa-miR-4745-3p,0.7241029053553941,0.9238894575230296,0.29825162278126216,"['DOCK6', 'RAB3A', 'SLC23A1', 'RTL6', 'FAIM2', 'FGF1', 'TSPAN11', 'C1QTNF4', 'FRAT1', 'FRAT2', 'GSG1', 'SLC25A45', 'PHLDA2', 'GAL3ST2', 'NKX3-1', 'SSTR1', 'C9ORF139', 'PAX2', 'C1QL2', 'RHOB', 'GCHFR', 'SELENOM', 'PAX8', 'EEF1A2', 'NAT8L', 'ATP6V0C', 'WBP2', 'CEND1', 'GPR83', 'NTN1', 'FUT1', 'PHYHIP', 'DDN', 'DNAJB2', 'RASD1', 'CAMK2N2', 'H1FX', 'CHST13', 'PRR29', 'MROH6', 'RABAC1', 'ISOC2', 'MAPK3', 'TMEM184A', 'EGR3', 'UQCC3', 'RASL10B', 'APCDD1L', 'PNMA8B', 'MEX3A', 'MGP']",0.9999941594457389,0,0,51
29,hsa-miR-1538,0.7241029053553941,0.9238894575230296,0.29825162278126216,"['DOCK6', 'RAB3A', 'SLC23A1', 'RTL6', 'FAIM2', 'FGF1', 'TSPAN11', 'C1QTNF4', 'FRAT1', 'FRAT2', 'GSG1', 'SLC25A45', 'PHLDA2', 'GAL3ST2', 'NKX3-1', 'SSTR1', 'C9ORF139', 'PAX2', 'C1QL2', 'RHOB', 'GCHFR', 'SELENOM', 'PAX8', 'EEF1A2', 'NAT8L', 'ATP6V0C', 'WBP2', 'CEND1', 'GPR83', 'NTN1', 'FUT1', 'PHYHIP', 'DDN', 'DNAJB2', 'RASD1', 'CAMK2N2', 'H1FX', 'CHST13', 'PRR29', 'MROH6', 'RABAC1', 'ISOC2', 'MAPK3', 'TMEM184A', 'EGR3', 'UQCC3', 'RASL10B', 'APCDD1L', 'PNMA8B', 'MEX3A', 'MGP']",0.9999941594457389,0,0,51
