"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"KRT7",0.0136872736848305,5.169921875,22.1856278699979,"['KRT17', 'UBC', 'HSPA1B', 'HSPA1A']",0.999959047486864,0,0,4,"KRT7",0.999959047486864,NA,NA,NA,NA,NA,NA,NA
"NRF1",0.0194367257894367,6.64264808362369,26.1759587270983,"['MAFF', 'UBC', 'DYNLL1']",0.999959047486864,0,0,3,"NRF1",0.999959047486864,8.77181691159854e-28,7.93780096472571e-14,0.88182842288395,0.880305586737918,-0.163468709090396,0.0158777175117772,0.344046643468815
"ERG",0.0289725563536003,2.82173990393168,9.992927274336,"['HSPA8', 'JUN', 'UBC', 'ETV1', 'ACTB', 'HSPA1B']",0.999959047486864,0,0,6,"ERG",0.999959047486864,0.00200258633886654,8.21958560685089e-05,0.702298600793936,0.700213909864767,0.633309360652451,0.0412984045110583,0.233418882421485
"FOXP2",0.0325991600022773,10.3255360623782,35.3491501164978,"['HSP90AA1', 'HSP90AB1']",0.999959047486864,0,0,2,"FOXP2",0.999959047486864,3.68171700356498e-06,2.11139266829948e-05,0.972463122733985,0.973148527065176,0.120581138191827,0.355315488595109,0.645253190744069
"TEAD4",0.0325991600022773,10.3255360623782,35.3491501164978,"['UBC', 'MYH7']",0.999959047486864,0,0,2,"TEAD4",0.999959047486864,0.531459234202089,0.221392538943228,NA,NA,NA,0.407687949462993,0.130602132204482
"IRF4",0.041249713861879,3.4453125,10.9840390342351,"['UBC', 'NFATC2', 'PRDM1', 'FKBP4']",0.999959047486864,0,0,4,"IRF4",0.999959047486864,NA,NA,NA,NA,NA,NA,NA
"TCF4",0.0533786321290554,2.38672286617492,6.99392084564281,"['NEUROD1', 'NR4A1', 'JUN', 'UBC', 'CALM3', 'CALM1']",0.999959047486864,0,0,6,"TCF4",0.999959047486864,2.98271878512695e-09,1.75336409214494e-08,0.890092793030933,0.888871211058516,0.0875339922965416,0.0201463830039654,0.0431353451443792
"NEUROD1",0.0618741372717086,2.95256696428571,8.21596932463206,"['NR4A1', 'CALM3', 'CALM1', 'MAPK3']",0.999959047486864,0,0,4,"NEUROD1",0.999959047486864,0.00019078075051119,1.15570085736979e-09,0.674054386444015,0.672031432199124,0.484347416605587,0.547622715528945,0.721741934360713
"ATF2",0.0672191595196219,1.50042007717346,4.05082956336181,"['BCAP31', 'PLK3', 'JUN', 'HSP90AA1', 'TPI1', 'HSP90AB1', 'AHSG', 'PGAM1', 'GSTP1', 'H2AFX', 'IRF2BP1', 'HSPB1', 'UBC', 'CYCS', 'CALM3', 'ALDOA', 'GAPDH', 'YWHAG', 'MAPK3']",0.999959047486864,0,0,19,"ATF2",0.999959047486864,4.21642769230588e-10,2.35046641241668e-08,0.854981307051009,0.853378053887075,0.274310460090841,0.301034369053544,0.330996040308297
"NR1I2",0.0962738247844081,2.47953125,5.80348870247819,"['HSP90AA1', 'HSP90AB1', 'ATP6AP1', 'UBC']",0.999959047486864,0,0,4,"NR1I2",0.999959047486864,4.87926612233455e-07,0.0223871927717311,0.925921956300418,0.925920635485129,-0.315326636871615,0.507232252065161,0.977060145262031
