Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,"GPCRs, Class A Rhodopsin-like WP455",1.230960861430561e-08,4.176059234882764,76.05808948535898,"['GPR87', 'CHRM5', 'HTR2B', 'FPR3', 'GPR83', 'ADRA1D', 'MCHR1', 'MC4R', 'GPR171', 'RHO', 'DRD3', 'P2RY12', 'P2RY14', 'F2R', 'HTR1D', 'GPR3', 'SSTR1', 'GPR6', 'SSTR3', 'HCRTR2', 'HCRTR1', 'OPN1SW', 'LPAR6', 'ACKR4', 'NMUR2', 'RGL4', 'GPR18']",5.502395050594608e-06,0,0,27
2,Vitamin D Receptor Pathway WP2877,0.00026634962881225013,2.8147722772277226,23.16754820377922,"['COLEC11', 'STEAP4', 'ABCB1', 'CDKN1B', 'CDKN2C', 'IGFBP5', 'COL13A1', 'NFATC2', 'G0S2', 'PRDM1', 'BMP6', 'THBD', 'SULT1C2', 'CEACAM1', 'TRPV6', 'BGLAP', 'DND1', 'LGALS9']",0.053536532353339224,0,0,18
3,Proximal tubule transport WP4917,0.0003593055862640216,4.327111984282908,34.319784752899515,"['ATP6V0B', 'SLC22A6', 'ABCB1', 'SLC3A1', 'ATP6V0A4', 'SLC5A2', 'SLC22A8', 'ATP6V0C', 'ATP6V1B1', 'ATP6V1F']",0.053536532353339224,0,0,10
4,Gastric acid production WP2596,0.000853663593121882,46.51609756097561,328.68150621623823,"['GRP', 'CCK', 'MUC6']",0.09539690653137031,0,0,3
5,Sleep regulation WP3591,0.001772754948292019,4.73095430737129,29.971638591867286,"['IL18', 'CRH', 'UTS2', 'GHRL', 'DRD3', 'HCRTR2', 'HCRTR1']",0.15848429237730652,0,0,7
6,Cori Cycle WP1946,0.006219753617171623,6.89453125,35.02439100574587,"['TPI1', 'PGAM1', 'ALDOA', 'GAPDH']",0.4270696113725239,0,0,4
7,Glycolysis and Gluconeogenesis WP534,0.007200330664486759,3.508293576822217,17.308616574924088,"['LDHC', 'HK3', 'TPI1', 'PGAM1', 'ENO2', 'ALDOA', 'GAPDH']",0.4270696113725239,0,0,7
8,Association Between Physico-Chemical Features and Toxicity Associated Pathways WP3680,0.00787847745536749,2.8560413370451223,13.833580683423452,"['FZD1', 'JUN', 'CDKN1B', 'FN1', 'NEFL', 'PFN4', 'NEFM', 'ELK1', 'NEFH']",0.4270696113725239,0,0,9
9,Classical pathway of steroidogenesis with glucocorticoid and mineralocorticoid metabolism WP4523,0.009937833285922907,9.300878048780488,42.89012727027354,"['HSD11B1', 'HSD11B2', 'HSD3B1']",0.4270696113725239,0,0,3
10,Metapathway biotransformation Phase I and II WP702,0.01407783066700675,2.056417699378512,8.766825365593325,"['CHST9', 'GPX4', 'GPX3', 'GSTP1', 'GLYAT', 'CYP2C18', 'CYP39A1', 'SULT1C2', 'CYP2A6', 'CHST13', 'GAL3ST2', 'NAT8L', 'CHST4', 'SULT1C4']",0.4270696113725239,0,0,14
11,Peptide GPCRs WP24,0.014144135247350018,3.0200783545543586,12.860868406463519,"['MC4R', 'GNRHR', 'FPR3', 'SSTR1', 'SSTR3', 'HCRTR2', 'HCRTR1']",0.4270696113725239,0,0,7
