"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"ILF3",2.10045972927025e-08,2.02492037771694,35.7976045170939,"['RPL4', 'RPL5', 'RPL3', 'RPL32', 'EIF4A3', 'RPL8', 'RPL10A', 'PHB2', 'RPL9', 'RPL6', 'IFIT3', 'RPL7', 'TOMM22', 'TXN2', 'ACTG1', 'CHCHD4', 'RPS14', 'RPS17', 'RPS16', 'RPL18A', 'LAMP1', 'RPS13', 'GABARAPL2', 'GABARAPL1', 'RPL21', 'RPS8', 'RPL23', 'RPL22', 'RPS6', 'ILF2', 'TUBA4A', 'PDIA4', 'EEF1A1', 'UQCRC1', 'RPL24', 'SRSF3', 'RPL27', 'RPL29', 'LRRC59', 'MEPCE', 'MRPL17', 'MRPL15', 'MRPL12', 'MRPL10', 'GABARAP', 'UQCRH', 'RTN4', 'MRPL20', 'GRK5', 'UBC', 'CBX8', 'XRCC6', 'CBX6', 'HSPA5', 'FN1', 'MRPL23', 'LSM2', 'RPS26', 'MOV10', 'RPS25', 'RPS28', 'HNRNPK', 'RPS20', 'SERINC1', 'RPS24', 'RPS23', 'MRPL38', 'MRPS10', 'RPS4X', 'RPL7A', 'MAP1LC3B', 'MAP1LC3A', 'MRPL40', 'SUMO1', 'SUMO3', 'SUMO2', 'MRPL9', 'RMRP', 'HSP90AA1', 'SSR4', 'PRMT1', 'RPS3A', 'HIST2H2BE', 'MRPL44', 'RCN1', 'RCN2', 'RPL37A', 'HNRNPH2', 'VAMP2', 'SF3B5', 'NDUFB9', 'RPL10', 'RPL12', 'RPL11', 'NEDD8', 'MRPL55', 'PGRMC1', 'RNF113A', 'RPS15A', 'RPL14', 'RPS3', 'RPL13', 'SNCG', 'RPL15', 'RPS2', 'RPL18', 'HNRNPA1', 'RPL17', 'RAE1', 'RPL19', 'UBL4A', 'SLC12A4', 'NDUFA2', 'RPL23A', 'SPCS2', 'KRT17', 'RAB14', 'LAMTOR2', 'OCIAD2', 'SLIRP']",5.79726885278589e-06,0,0,120,"ILF3",5.79726885278589e-06,4.71845107836878e-41,4.91296540471069e-25,0.990786315107961,0.99058578959213,-0.00352015580062825,0.0750167960252332,0.226428429990682
"ILF2",3.7657325102667e-06,2.04133296631756,25.4953672155803,"['RPL4', 'YWHAE', 'EIF4A3', 'RPLP0', 'MRPL38', 'NENF', 'IFIT1', 'RPL8', 'RPL10A', 'RPL9', 'RPL6', 'TOMM22', 'TXN2', 'RPL7', 'RPS4X', 'RPL7A', 'MAP1LC3B', 'RPS16', 'MAP1LC3A', 'LAMP1', 'SUMO1', 'SUMO2', 'RPS13', 'GABARAPL2', 'GABARAPL1', 'MRPS26', 'RPL21', 'SSR4', 'RPS8', 'RPL23', 'RPS6', 'H2AFX', 'RHOB', 'EEF1A1', 'EEF1G', 'RCN1', 'MRPL50', 'SRSF3', 'PPID', 'ATP6V1A', 'DDX28', 'RPL10', 'MEPCE', 'RPL11', 'MRPS34', 'TIMM13', 'MRPL17', 'NEDD8', 'GABARAP', 'MRPL55', 'RPS15A', 'PUF60', 'UBC', 'RPL14', 'RPS3', 'RPS2', 'RPL18', 'HNRNPA1', 'RPL17', 'RPL19', 'CBX8', 'UBL4A', 'XRCC6', 'CBX6', 'EIF2B2', 'HSPA5', 'FN1', 'MRPL28', 'RPL23A', 'MRPL23', 'MRPL24', 'MRPL21', 'RPS26', 'MOV10', 'RPS20', 'SFXN2', 'LAMTOR3', 'RPS24', 'RPS23']",0.000519671086416805,0,0,79,"ILF2",0.000519671086416805,2.4222453778878e-46,1.55225694028291e-21,0.598722665966659,0.596449450335688,-0.201182722461782,0.000222722817452849,0.0461136732973116
"ATF2",2.83644907163672e-05,1.78297268348458,18.6683881926272,"['ARF1', 'HSP90AB1', 'CITED1', 'YWHAB', 'HSPB1', 'ATP2A2', 'ENO1', 'PHB2', 'RPS6KA5', 'KAT5', 'APMAP', 'PSMD2', 'BSG', 'CFL1', 'NPPA', 'CLIC1', 'YWHAG', 'CCT3', 'CAP1', 'EIF5A', 'CCT2', 'HSP90AA1', 'TPI1', 'AHSG', 'TUBB', 'PGAM1', 'H2AFX', 'HBA2', 'EDF1', 'FOS', 'HIST2H2BE', 'PDIA4', 'MYL6', 'PKM', 'TCP1', 'CANX', 'UQCRC1', 'VDAC3', 'PPIF', 'ERP29', 'FSCN1', 'VDAC2', 'TAGLN2', 'VDAC1', 'PFN1', 'ALDOA', 'PPIB', 'PPIA', 'GAPDH', 'ATF3', 'CEBPA', 'CEBPB', 'OAT', 'AHCY', 'PCNA', 'SHMT2', 'GSTP1', 'PHB', 'ATP1A1', 'RTN4', 'HSP90B1', 'HSPD1', 'PRDX3', 'LDHB', 'STIP1', 'PRDX5', 'LDHA', 'HSPH1', 'GRPEL1', 'PCBP1', 'UBC', 'PGK1', 'CYC1', 'CCT5', 'CCT4', 'MAPK3', 'BCAP31', 'PLK3', 'JUN', 'MDH2', 'IRF2BP1', 'HMGA1', 'EEF2', 'HSPE1', 'MARCKS', 'RAB14', 'NACA', 'GNB2', 'CYCS', 'CALM3', 'CALR', 'P4HB']",0.00260953314590578,0,0,92,"ATF2",0.00260953314590578,4.21642769230588e-10,2.35046641241668e-08,0.854981307051009,0.853378053887075,0.274310460090841,0.301034369053544,0.330996040308297
"BATF",4.0645067712297e-05,23.8829893808856,241.4721421212,"['SNAPC5', 'JUN', 'JUND', 'TEF', 'NFIL3', 'DDIT3', 'IFI35', 'FOS', 'JUNB', 'ATF4']",0.00280450967214849,0,0,10,"BATF",0.00280450967214849,NA,NA,NA,NA,NA,NA,NA
"RAD21",0.000165907623432414,1.70879308383574,14.8734706967089,"['RPL5', 'RPL30', 'FEN1', 'HSP90AB1', 'UBE2L6', 'MEA1', 'CLU', 'RPL6', 'RPS4X', 'RPS14', 'RPS17', 'RPS16', 'RPS19', 'SUMO1', 'RPS18', 'H2AFJ', 'MYC', 'PSMD2', 'C1QBP', 'TMSB4X', 'CFL1', 'SUMO2', 'RPS11', 'RPS10', 'RPS13', 'CCT3', 'CCT2', 'CBR1', 'HSP90AA1', 'RFC3', 'RPS7', 'ARG1', 'RPL23', 'RPS5', 'RPL22', 'RPS6', 'SSU72', 'RPS3A', 'GNL1', 'CDC34', 'MCM3', 'MCM4', 'HNRNPH2', 'UBA52', 'MCM2', 'PPP1R15A', 'CSTB', 'CEBPB', 'PCNA', 'RPL10', 'CDCA5', 'RPL11', 'HSD17B8', 'CDKN2AIP', 'RPS15A', 'DNAJB4', 'UBC', 'RPS3', 'PGK1', 'RPL13', 'XIRP2', 'CCT8', 'RPS2', 'DISC1', 'RPS27A', 'CCT7', 'RPL17', 'ESRRB', 'RPL35A', 'RPL23A', 'TUBB4B', 'CP', 'RPS25', 'NACA', 'FASN', 'PSMC1', 'EIF3I', 'RPS20', 'RPL22L1', 'UBA1', 'HIST1H4C', 'HIST1H4E', 'RAN', 'EIF4G1']",0.00915810081346925,0,0,84,"RAD21",0.00915810081346925,8.68687114854793e-23,4.62629239352973e-13,0.873938718215985,0.872695025608023,0.0620945442136457,0.923425204117332,0.931038072912155
"TEAD4",0.00225115871043915,Inf,Inf,"['YAP1', 'WWTR1', 'UBC', 'SUMO2', 'MYH7']",0.103553300680201,0,0,5,"TEAD4",0.103553300680201,0.531459234202089,0.221392538943228,NA,NA,NA,0.407687949462993,0.130602132204482
"HTT",0.00357855748642471,1.42742977623614,8.0404200151861,"['RPL4', 'NDUFA13', 'ERCC6L', 'MRFAP1', 'ENO1', 'COX6A1', 'PHB2', 'CHCHD2', 'PDK2', 'ECH1', 'CPT1B', 'COX6B1', 'STX1B', 'FEZ1', 'UQCRC1', 'VDAC3', 'VDAC2', 'NHLRC1', 'VDAC1', 'PFN2', 'FTL', 'GNAZ', 'FICD', 'NDUFB10', 'CNP', 'EPB41', 'PEX11B', 'THY1', 'UQCRH', 'NEUROD1', 'LDHB', 'STIP1', 'LDHA', 'ZMAT2', 'UBC', 'CYC1', 'PRNP', 'HSPA8', 'F8A1', 'XRCC6', 'MAGEE1', 'HMGA1', 'GFAP', 'CCT6A', 'CDK5', 'TOLLIP', 'SNAP25', 'SLC25A3', 'MRFAP1L1', 'HSP90AB1', 'CLTC', 'DIRAS2', 'ETFB', 'MEOX1', 'MAP1LC3B', 'MAP1LC3A', 'TUBA1A', 'SUMO1', 'CASP6', 'RAC1', 'IKBKG', 'GPRASP2', 'YWHAG', 'TUBB', 'SYP', 'ETV4', 'SRP9', 'SYN1', 'RCN2', 'NDUFS5', 'NDUFS3', 'ALDOC', 'ALDOA', 'SGK2', 'SLC25A11', 'GAPDH', 'NDUFB9', 'DCTN1', 'COX5B', 'COX5A', 'HSD17B10', 'PPP2CA', 'DNAJB1', 'CD59', 'CCT8', 'OPCML', 'BCAP31', 'AOC3', 'NDUFA8', 'TM4SF19', 'MDH1', 'MTX1', 'CKM', 'PTGES2', 'FEM1B', 'COX6C', 'DNAJA1', 'PSMC5', 'REST', 'HSPA1B']",0.141097409464746,0,0,100,"HTT",0.141097409464746,6.25653573926175e-10,1.03242773363342e-07,NA,NA,NA,0.265010736792312,0.760573097266183
"ESR1",0.00832874350610749,1.20525310855493,5.77080331647154,"['RPL4', 'RPL5', 'RPL3', 'ENO1', 'ALKBH7', 'RPL8', 'PHB2', 'RPL9', 'ACTB', 'RPL6', 'RPL7', 'RPS14', 'NSDHL', 'RPS17', 'RPS16', 'TRIM28', 'POF1B', 'RPS19', 'KAT5', 'RPL18A', 'SNRPD1', 'RPL36AL', 'RPS18', 'PSMD2', 'MYC', 'RPL36', 'RPS11', 'JUNB', 'RPS10', 'RPS13', 'RPS12', 'RPL21', 'RPL22', 'HPCAL1', 'MED7', 'MYL6', 'NIF3L1', 'RFX4', 'CSNK2B', 'VDAC3', 'RPL24', 'TAGLN2', 'VDAC1', 'RPL29', 'PFN1', 'RPL28', 'ASF1A', 'SHMT2', 'PRDX3', 'PRDX2', 'LDHA', 'HSPH1', 'BLOC1S1', 'ZNHIT3', 'PCBP1', 'PRDX1', 'RRS1', 'PPARGC1B', 'PCK2', 'HEXIM1', 'BTF3', 'FIS1', 'JUN', 'XBP1', 'XRCC6', 'JUND', 'GADD45B', 'GADD45A', 'H3F3A', 'PRDX6', 'NR2F6', 'RPS26', 'RPS25', 'HNRNPK', 'FASN', 'RPL27A', 'HYOU1', 'CALM3', 'RPS20', 'CALM1', 'CALM2', 'RPS24', 'AARS', 'RPS23', 'MRPS17', 'ARF1', 'CDKN1A', 'CITED1', 'RPLP0', 'TECR', 'CLTC', 'MYL6B', 'MED16', 'ING1', 'TUBA1B', 'TUBA1A', 'HNF4A', 'RAC3', 'TMED2', 'SEC61B', 'CTSD', 'EMD', 'CLIC1', 'UPF1', 'ARG1', 'PRMT1', 'ELOVL2', 'TUBB', 'NCOA4', 'NME2', 'MRPS2', 'FOS', 'NME1', 'RAP2C', 'TUBB2A', 'AHRR', 'PGAM5', 'ALDOC', 'TKT', 'ALDOA', 'PTMA', 'RPL10', 'RPL12', 'RPL11', 'NR1I2', 'NEDD8', 'PSMA7', 'EXOSC4', 'RPS15A', 'RPL14', 'RPS3', 'RPL13', 'RPL15', 'RPS2', 'CCT7', 'RPL18', 'RPL17', 'CCT4', 'RPL19', 'SVIL', 'NPM1', 'HSPA1L', 'MDH2', 'UTP3', 'PTGES3', 'KRT10', 'TUBB4B', 'BLCAP', 'FKBP1A', 'RSL1D1', 'PSMC5', 'DHRS7', 'SPCS2', 'PSMC1', 'APEX1', 'RLIM', 'HSPA1B', 'RPL10A', 'CNDP2', 'GRIP1', 'PPP1CC', 'TUBB3', 'ARHGDIA', 'NPPA', 'TUBB1', 'CFL1', 'AP2M1', 'G6PD', 'RPS9', 'CISH', 'RPS7', 'RPS8', 'LMO4', 'RPS6', 'SARS', 'TAP1', 'RPSA', 'ILF2', 'PGC', 'ATAD3C', 'PDIA4', 'EEF1A1', 'ACLY', 'EEF1A2', 'SRSF3', 'FKBP4', 'PPID', 'S100A7', 'FKBP5', 'LRRC59', 'FOXO4', 'PHB', 'HSP90B1', 'UBB', 'CLTCL1', 'BAG1', 'UBC', 'G3BP2', 'PGK1', 'THEM6', 'HSPA8', 'GOT1', 'HSPA5', 'BDNF', 'ARPC4', 'EEF2', 'POU2F2', 'CDK5', 'NACA', 'GNB2', 'CDK1', 'REEP6', 'EIF4G1', 'YWHAE', 'CUEDC2', 'HSP90AB1', 'LDB1', 'WDR1', 'THRA', 'YWHAB', 'HMGB2', 'ATP2A2', 'HSPB1', 'RPS4X', 'RPL7A', 'HEBP2', 'SUMO1', 'YWHAQ', 'BCAS2', 'YWHAH', 'HSP90AA1', 'H2AFX', 'DDX54', 'RPL13A', 'H2AFV', 'EDF1', 'RPS3A', 'ARFGAP2', 'EEF1G', 'ACTA1', 'HAX1', 'RCN2', 'RPL37A', 'SLC25A5', 'GAPDH', 'INA', 'OTUB1', 'CEBPA', 'CEBPB', 'MVP', 'RAB1B', 'RPL36A', 'ATP1A1', 'HSPD1', 'MUC1', 'MKNK2', 'HNRNPA1', 'HNRNPA0', 'MAPK3', 'SSB', 'TAF10', 'RPL23A', 'HSPE1', 'HNRNPAB', 'PNRC2', 'MYO1D', 'ACTC1', 'KLF5', 'EIF3I', 'PTPN6', 'STUB1', 'P4HB', 'RAN']",0.287341650960709,0,0,273,"ESR1",0.287341650960709,0.0002849185228894,0.0238693355103788,0.964223577468463,0.965320514684242,-0.262972617423123,0.915059213662272,0.778858819404049
"ERG",0.0206930353058754,2.0469596628537,7.93802379261222,"['HSPA8', 'JUN', 'XRCC6', 'SPI1', 'TUBB', 'RPLP0', 'ETV1', 'ETS2', 'ACTB', 'NME1', 'DNAJA1', 'RPL7A', 'RPS18', 'DNAJA4', 'PCBP1', 'NEDD4', 'UBC', 'HSPA1B']",0.634586416046846,0,0,18,"ERG",0.634586416046846,0.00200258633886654,8.21958560685089e-05,0.702298600793936,0.700213909864767,0.633309360652451,0.0412984045110583,0.233418882421485
"CHD2",0.0291036413175824,9.54172503502101,33.7480507655145,"['SUMO1', 'UBC', 'SUMO2', 'PARK7']",0.750876851324837,0,0,4,"CHD2",0.750876851324837,2.36908982183444e-20,7.6192815405367e-11,0.943998033168084,0.944324277394506,-0.123127038527243,0.0504264443597782,0.485070994070508
