Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Cytoplasmic Ribosomal Proteins WP477,7.951809811210191e-32,20.970410996005146,1501.6769433438365,"['RPL4', 'RPL5', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPLP1', 'RPLP0', 'RPL10A', 'RPL8', 'RPL9', 'RPL6', 'RPL7', 'RPS4X', 'RPS15', 'RPL7A', 'RPS14', 'RPS17', 'RPS16', 'RPL18A', 'RPS19', 'RPS18', 'RPL36', 'RPL35', 'RPLP2', 'RPL38', 'RPL37', 'RPS11', 'RPL39', 'RPS10', 'RPS13', 'RPS12', 'RPS9', 'RPS7', 'RPL21', 'RPS8', 'RPL23', 'RPS5', 'RPS6', 'RPL22', 'RPL13A', 'RPSA', 'RPS3A', 'RPL37A', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL28', 'UBA52', 'RPL10', 'RPL12', 'RPL11', 'RPL36A', 'RPS15A', 'RPL14', 'RPS3', 'RPL13', 'RPS2', 'RPL15', 'RPS27A', 'RPL18', 'RPL17', 'RPL19', 'RPL41', 'RPL35A', 'RPL23A', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL27A', 'RPS20', 'FAU', 'RPS21', 'RPS24', 'RPS23']",4.7631340769149046e-29,0,0,78
2,Electron Transport Chain (OXPHOS system in mitochondria) WP111,6.65668796800885e-17,6.4260347039362635,239.35902604277075,"['COX7B', 'NDUFA12', 'COX4I1', 'COX6A1', 'COX7C', 'ATP5IF1', 'UQCRFS1', 'COX8A', 'NDUFC2', 'NDUFC1', 'COX6B1', 'NDUFS7', 'NDUFS6', 'NDUFS5', 'UQCRC1', 'NDUFS3', 'NDUFS2', 'SLC25A5', 'SLC25A4', 'SLC25A6', 'NDUFB9', 'NDUFB8', 'NDUFB7', 'UQCRB', 'NDUFB10', 'NDUFB5', 'NDUFB4', 'COX17', 'NDUFB3', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'COX7A1', 'COX5A', 'UQCRH', 'ATP5MC1', 'ATP5F1A', 'ATP5F1B', 'UCP3', 'ATP5MF', 'ATP5ME', 'ATP5PF', 'NDUFA8', 'SURF1', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'UQCRQ', 'NDUFAB1', 'ATP5PO']",1.9936780464186507e-14,0,0,64
3,Oxidative phosphorylation WP623,5.6419675405050654e-12,7.800130995566304,202.02954128955247,"['NDUFB9', 'NDUFB8', 'NDUFB7', 'NDUFA11', 'NDUFB10', 'NDUFB5', 'NDUFB4', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'ATP5MC1', 'ATP5F1A', 'ATP5F1B', 'ATP5MF', 'ATP5ME', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'NDUFA6', 'ATP5PD', 'ATP6AP1', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'ATP6AP2', 'NDUFA2', 'NDUFC2', 'NDUFC1', 'ATP5F1D', 'ATP5F1E', 'NDUFS7', 'NDUFS6', 'NDUFS5', 'NDUFAB1', 'NDUFS3', 'ATP5PO', 'NDUFS2']",1.126512852254178e-09,0,0,39
4,"GPCRs, Class A Rhodopsin-like WP455",5.078525425589715e-07,2.4396810423419772,35.35847959585648,"['NPFFR2', 'GPR27', 'OXTR', 'CHRM1', 'GPR22', 'CHRM5', 'NPY2R', 'HTR2B', 'GPR20', 'ADRA1D', 'MC4R', 'EDNRA', 'GPR171', 'PTGDR', 'GPR39', 'LHCGR', 'OR2H2', 'F2R', 'SSTR1', 'ADRA2C', 'SSTR3', 'ADRA2A', 'TRHR', 'MTNR1A', 'CCKBR', 'ADORA2A', 'FSHR', 'APLNR', 'OR3A2', 'PTGER2', 'GPR87', 'FPR1', 'OPRL1', 'FPR3', 'GPR83', 'MCHR1', 'HRH1', 'P2RY6', 'HRH3', 'OR2AG1', 'RHO', 'DRD1', 'DRD2', 'DRD3', 'NTSR1', 'DRD5', 'P2RY12', 'P2RY13', 'GPR12', 'HTR1E', 'P2RY14', 'HTR1D', 'GPR1', 'GPR3', 'GPR6', 'HTR5A', 'HCRTR2', 'HCRTR1', 'MAS1', 'OPN1SW', 'LPAR6', 'ACKR4', 'NMUR2', 'RGL4', 'GPR18']",7.605091824820598e-05,0,0,65
5,Mitochondrial complex I assembly model OXPHOS system WP4324,1.9319920079718384e-06,3.9072540506195064,51.407581185774085,"['NDUFB9', 'NDUFA13', 'NDUFB8', 'NDUFB7', 'NDUFB10', 'NDUFA12', 'DMAC2', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'TMEM186', 'TMEM70', 'NDUFA8', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'NDUFC2', 'NDUFC1', 'NDUFS6', 'NDUFS5', 'NDUFAF4', 'NDUFAB1', 'NDUFS3', 'NDUFS2', 'NDUFAF3']",0.00023145264255502624,0,0,31
6,Nonalcoholic fatty liver disease WP4396,1.882458409693596e-05,2.0996101660591333,22.844486914556605,"['NDUFA13', 'COX7B', 'GSK3A', 'NDUFA11', 'NDUFA12', 'COX4I1', 'COX6A1', 'COX7C', 'CASP8', 'LEPR', 'UQCRFS1', 'RAC1', 'IL6R', 'COX8A', 'NDUFC2', 'NDUFC1', 'COX6B1', 'NDUFS7', 'NDUFS6', 'DDIT3', 'NDUFS5', 'UQCRC1', 'NDUFS3', 'NDUFS2', 'ATF4', 'CEBPA', 'NDUFB9', 'NDUFB8', 'NDUFB7', 'UQCRB', 'NDUFB10', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'COX7A1', 'COX5A', 'UQCRH', 'SOCS3', 'CCL2', 'CYC1', 'NDUFA8', 'XBP1', 'JUN', 'NDUFA7', 'TGFB1', 'NDUFA6', 'NDUFA5', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'UQCRQ', 'NDUFAB1', 'CYCS', 'BAX']",0.0018793209790107734,0,0,63
7,Mitochondrial CIV Assembly WP4922,0.00011162600622687778,3.984808940641103,36.2631819619845,"['COX8A', 'COA3', 'COX7B', 'SURF1', 'PET100', 'NDUFA4', 'TACO1', 'COX4I1', 'COX17', 'COX7A2', 'COX6A1', 'HIGD1A', 'COX5B', 'COX6C', 'COX5A', 'COX7C', 'PET117', 'COX6B1', 'SCO2', 'COX14']",0.009551996818557113,0,0,20
8,Exercise-induced Circadian Regulation WP410,0.0001971978229441266,2.9614740368509214,25.265232796091418,"['IDI1', 'DAZAP2', 'CEBPB', 'BTG1', 'GSTP1', 'TOB1', 'HERPUD1', 'PPP2CB', 'SUMO1', 'TUBB3', 'STBD1', 'UCP3', 'SUMO3', 'HSPA8', 'GSTM3', 'RBPMS', 'NCOA4', 'G0S2', 'GFRA1', 'NR1D2', 'AZIN1', 'PER2', 'DNAJA1', 'CLDN5', 'KLF9', 'EIF4G2']",0.01476518699294148,0,0,26
9,Selenium Micronutrient Network WP15,0.00025203799998014723,2.3934756343133308,19.832173209933178,"['SERPINA3', 'SAA4', 'PLAT', 'PLG', 'TXN', 'SELENOK', 'SELENOH', 'PRDX3', 'PRDX2', 'PRDX5', 'RFK', 'ALOX5', 'PRDX1', 'PNPO', 'CCL2', 'SEPHS2', 'GGT2', 'ABCA1', 'GPX2', 'GPX4', 'GPX3', 'DIO1', 'DIO2', 'HBA1', 'KMO', 'SOD2', 'SOD1', 'F7', 'SELENOM', 'SELENOS', 'SELENOW', 'SELENOV', 'SAA2', 'SELENOT', 'MSRB1']",0.0167745291097898,0,0,35
10,IL-18 signaling pathway WP4754,0.0006459231248472303,1.5934065934065933,11.703300649910723,"['MTCH1', 'CD83', 'CD81', 'NCF2', 'HSPB8', 'ITGA2B', 'HSPB1', 'ENO1', 'RND2', 'PTMS', 'FAM110A', 'RPTOR', 'CASP8', 'ABHD16A', 'RUSC1', 'TMSB4X', 'FAM186B', 'STMN1', 'BSG', 'NPPA', 'TIMP3', 'RPS11', 'IER3', 'TICAM2', 'USP5', 'IMP3', 'ARG1', 'ECH1', 'PRKCD', 'IL18', 'NDUFC1', 'FOS', 'TACR1', 'BPGM', 'RUNX2', 'ARFGAP2', 'ARL4D', 'ACTA1', 'CLDN4', 'IRF1', 'RFX5', 'LTB', 'ATF3', 'ARF6', 'MYH7', 'CEBPB', 'NRN1', 'STOML1', 'EPB41', 'TSHZ1', 'RGS16', 'MEPCE', 'COX17', 'TNFRSF11B', 'KLC1', 'ACACB', 'FUT1', 'CENPB', 'RXRB', 'CCNB2', 'SOCS3', 'IRAK1', 'HMOX1', 'CCL2', 'FADD', 'RAE1', 'MAPK3', 'CA11', 'SLC12A3', 'JUN', 'BAD', 'FN1', 'EEF2', 'VEGFA', 'COL1A1', 'NFKBIA', 'NR4A1', 'UCK1', 'NACA', 'BCL2', 'CYCS', 'BAX', 'PTPN7', 'NFKBIE', 'CDK5R2', 'AARS', 'ITM2C']",0.03869079517834909,0,0,87
11,Glycolysis and Gluconeogenesis WP534,0.000815389704964948,2.9527994330262226,20.99985009262288,"['TPI1', 'MDH1', 'GOT1', 'MDH2', 'PGAM1', 'GOT2', 'SLC2A3', 'ENO1', 'ENO2', 'HK2', 'HK3', 'LDHB', 'LDHA', 'PKM', 'MPC2', 'PGK1', 'ALDOC', 'ALDOA', 'PFKM', 'GAPDH', 'FBP2']",0.04021417995793679,0,0,21
12,"GPCRs, Other WP117",0.0008310868866624111,2.3917940466613032,16.964459917733656,"['GPR88', 'OR2M4', 'ADRA1D', 'GPR83', 'CELSR1', 'CELSR2', 'EDNRA', 'GPR132', 'PROKR2', 'ADGRE3', 'HRH4', 'GNRHR', 'DRD3', 'NTSR1', 'GPR135', 'P2RY13', 'ADGRV1', 'F2R', 'GPR55', 'GPR162', 'CCKBR', 'SMO', 'ADORA2A', 'FSHR', 'GPR183', 'OR10A2', 'ACKR1', 'LGR6', 'GPR18']",0.04021417995793679,0,0,29
13,Synaptic Vesicle Pathway WP2267,0.0008727618354810989,2.5989969243673983,18.306938900293208,"['NAPA', 'SNAP25', 'RAB3A', 'CLTC', 'CACNA1B', 'CLTA', 'CACNA1A', 'PARK7', 'CPLX2', 'CPLX1', 'SLC6A4', 'CPLX3', 'CLTCL1', 'AP2S1', 'SLC17A7', 'SLC18A2', 'AP2M1', 'NSF', 'SYP', 'SYN3', 'SYN1', 'DNM2', 'STX1B', 'SLC25A4', 'VAMP2']",0.04021417995793679,0,0,25
14,Sleep regulation WP3591,0.0017576269093649577,3.124398073836276,19.820527527389082,"['CHRNB2', 'OXTR', 'AHCY', 'NPY2R', 'IL18', 'FOS', 'HCRTR2', 'HCRTR1', 'STAR', 'ADORA2A', 'CRH', 'UTS2', 'GHRL', 'DRD1', 'DRD2', 'DRD3', 'PTGDR']",0.07520132276497211,0,0,17
15,Peptide GPCRs WP24,0.002359613599688967,2.5038495012385353,15.1464301295999,"['OXTR', 'LHCGR', 'NPY2R', 'C5AR1', 'TACR2', 'FPR1', 'OPRL1', 'FPR3', 'SSTR1', 'TACR1', 'SSTR3', 'HCRTR2', 'TRHR', 'HCRTR1', 'MC4R', 'EDNRA', 'CCKBR', 'FSHR', 'GNRHR', 'TAC4', 'ACKR1', 'NTSR1']",0.09422723641424607,0,0,22
16,Proteasome Degradation WP183,0.002753630739960631,2.1595324429337777,12.730087361330398,"['PSMD10', 'UBA7', 'PSMB10', 'PSMA7', 'PSMD8', 'PSMB6', 'UCHL1', 'PSMB4', 'PSMD7', 'PSMB5', 'UBB', 'PSMB3', 'PSMD2', 'PSMD3', 'UBC', 'H2AFZ', 'H2AFX', 'HLA-B', 'HLA-C', 'HLA-E', 'PSMC5', 'PSMC3', 'PSMA2', 'PSME3', 'PSMC1', 'NEDD4', 'PSME1', 'UBA1']",0.10308905082727612,0,0,28
17,Computational Model of Aerobic Glycolysis WP4629,0.0038560193630513486,6.365177915748715,35.37842191776793,"['LDHA', 'TPI1', 'PKM', 'PGK1', 'ENO1', 'ALDOA', 'GAPDH', 'PFKM']",0.12961130789334602,0,0,8
18,Mammary gland development pathway - Involution (Stage 4 of 4) WP2815,0.0038948306211689953,8.353323988786544,46.34511931409254,"['SOCS3', 'CDH1', 'MYC', 'E2F1', 'CHI3L1', 'BAX', 'IL6ST']",0.12961130789334602,0,0,7
19,Proximal tubule transport WP4917,0.006726567636123759,2.190315993840798,10.955282205386156,"['ATP6V1A', 'ATP6V1G1', 'SLC13A3', 'ATP6V0B', 'SLC22A6', 'SLC12A4', 'ABCC2', 'ABCB1', 'SLC3A1', 'ATP1A1', 'ATP1B1', 'SLC5A2', 'SLC7A7', 'SLC7A9', 'FXYD2', 'ATP6V0A4', 'ATP6V1E1', 'SLC22A8', 'ATP6V0C', 'ATP6V1D', 'ATP6V1B1', 'ATP6V1F']",0.21206389547569113,0,0,22
20,Metabolic reprogramming in colon cancer WP4290,0.0072983407292513455,2.2753128555176336,11.194785560925101,"['G6PD', 'SHMT2', 'MDH2', 'PGAM1', 'GOT2', 'PYCR1', 'PYCR2', 'PDHB', 'ENO1', 'HK3', 'ACLY', 'LDHA', 'PKM', 'FASN', 'PGK1', 'SUCLG2', 'TKT', 'SLC16A3', 'GAPDH', 'IDH3A']",0.2185853048410778,0,0,20
21,Cellular Proteostasis WP4918,0.010182908859072477,11.929543634907926,54.7213483069734,"['VBP1', 'PFDN2', 'PFDN4', 'PFDN5', 'PFDN6']",0.2904553526944959,0,0,5
22,Spinal Cord Injury WP2431,0.01084894076182278,1.6652811366384523,7.533212010340456,"['RTN4R', 'CDKN1B', 'XYLT1', 'NTN1', 'RTN4', 'TNFSF13B', 'ACAN', 'ZFP36', 'PRB1', 'MYC', 'E2F1', 'CCL2', 'SLIT3', 'RAC1', 'ROS1', 'MAPK3', 'EGR1', 'TGFB1', 'IL1R1', 'GADD45A', 'BDNF', 'ARG1', 'OMG', 'MIF', 'TACR1', 'FOS', 'PDYN', 'LILRB3', 'GFAP', 'RHOB', 'SELP', 'FKBP1A', 'BCAN', 'NR4A1', 'FCGR2A', 'APEX1', 'CDK1', 'NOX4', 'LTB']",0.29538706892417477,0,0,39
