"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"NFYB (human)",0.0378066263553868,3.03479782270607,9.93978496972881,"['CDKN1B', 'FTH1', 'DDIT3', 'EDF1', 'ACTB']",0.999993514387119,0,0,5,"NFYB",0.999993514387119,1.4744096771606e-14,1.7170076716553e-07,0.64126362789775,0.638743435224357,-0.2441218053579,0.109141004364014,0.125803230083995
"KLF4 (human)",0.0645918554227278,1.19243660630132,3.26687916405718,"['ARHGDIG', 'ENO2', 'RPL8', 'LCTL', 'METRNL', 'TMEM141', 'HDDC3', 'ACTB', 'ACTG1', 'TXNDC17', 'ZFP36', 'RPS16', 'LGALS1', 'TUBB3', 'NUDT18', 'PHLDA2', 'C11ORF68', 'LAG3', 'SLC30A2', 'PSG9', 'PSG8', 'RBP5', 'SCO2', 'CLDN9', 'KCNQ1', 'EEF1A2', 'MYADM', 'LY6D', 'PHPT1', 'LY6E', 'KCNE1', 'HVCN1', 'MEPCE', 'HPCA', 'TPRG1L', 'KLHL10', 'CEND1', 'SEZ6L2', 'HSD11B2', 'C14ORF180', 'SEC14L4', 'H1FX', 'IGFBP6', 'F8A1', 'EGR3', 'TRAPPC5', 'APCDD1L', 'HMGA1', 'TBCC', 'NR2F6', 'GGN', 'MLLT11', 'DRAP1', 'NR4A1', 'STAG3', 'BHLHE40', 'CNIH2', 'CALM1', 'FGFR4', 'UBE2M', 'DIRAS1', 'ONECUT1', 'NRGN', 'SPRED3', 'RPL7A', 'ADAMTS2', 'GPR132', 'TMSB4X', 'TIMP2', 'C4ORF48', 'SSTR3', 'VGF', 'NDUFS6', 'PPDPF', 'CRYAB', 'ZNF750', 'CSTB', 'CEBPB', 'RPL12', 'TIMM13', 'CRIP2', 'PHYHIP', 'TSPAN32', 'CXORF40A', 'DNAJB1', 'DNAJB5', 'POLR2L', 'SPRY4', 'CCK', 'PRSS36', 'GPR3', 'NAP1L5', 'KRT17', 'STUB1', 'GHRL', 'PTPN7', 'NOTUM']",0.999993514387119,0,0,97,"KLF4",0.999993514387119,NA,NA,NA,NA,NA,NA,NA
"SOX2 (human)",0.0742976127905044,2.42706065318818,6.30957244006722,"['SUN3', 'MAS1', 'CETN2', 'ELK1', 'PET117']",0.999993514387119,0,0,5,"SOX2",0.999993514387119,0.00219057806340671,0.00638373596758321,0.967515240959419,0.968642273469127,-0.0227662837063083,0.814013979098749,0.84176161398704
"ZNF148 (human)",0.0821205714134353,1.16882743482529,2.92156216754304,"['ARHGDIG', 'ENO2', 'RPL8', 'LCTL', 'METRNL', 'ACTB', 'ACTG1', 'TXNDC17', 'LGALS1', 'TUBB3', 'NUDT18', 'PHLDA2', 'TMSB10', 'SKP1', 'TRAPPC2L', 'FKBPL', 'SLC30A2', 'PRSS55', 'RBP5', 'KCNQ1', 'EEF1A2', 'MYADM', 'LY6D', 'PHPT1', 'CTXN1', 'LY6E', 'FKBP2', 'KCNE1', 'HVCN1', 'MEPCE', 'HPCA', 'KLHL10', 'CEND1', 'SEZ6L2', 'HSD11B2', 'PCSK1N', 'C14ORF180', 'SEC14L4', 'H1FX', 'IGFBP6', 'F8A1', 'EGR3', 'TRAPPC5', 'APCDD1L', 'HMGA1', 'TBCC', 'NR2F6', 'GGN', 'DRAP1', 'NR4A1', 'STAG3', 'BHLHE40', 'NDUFAF3', 'SDC1', 'CNIH2', 'CALM1', 'FGFR4', 'UBE2M', 'CDKN1A', 'CITED1', 'DIRAS1', 'CXCL5', 'NRGN', 'SPRED3', 'RPL7A', 'ADAMTS2', 'GPR132', 'HEY1', 'TMSB4X', 'C9ORF16', 'TIMP2', 'C4ORF48', 'SSTR3', 'GAL', 'VGF', 'PPDPF', 'CRYAB', 'ZNF750', 'CSTB', 'CEBPB', 'RPL12', 'TIMM13', 'CRIP2', 'UQCR10', 'TSPAN32', 'DLL3', 'CXORF40A', 'DDT', 'DNAJB5', 'POLR2L', 'BCAP31', 'ANKRD30A', 'SPRY4', 'CCK', 'GPR3', 'NAP1L5', 'SPATA2L', 'DBNDD2', 'TMEM54', 'KRT17', 'STUB1', 'PTPN7', 'NOTUM', 'ALLC']",0.999993514387119,0,0,104,"ZNF148",0.999993514387119,1.68402446473934e-09,6.46341531950544e-06,NA,NA,NA,0.0346549351607257,0.106681882823181
"NR5A1 (mouse)",0.0863708940923645,1.22945432991049,3.01106217355495,"['MESP1', 'CDKN1A', 'TRAF3IP3', 'PHF23', 'ONECUT1', 'MRPS12', 'HTR2B', 'AQP3', 'CXCL5', 'TOMM22', 'UBL5', 'LBH', 'HEPHL1', 'SPR', 'RPL36AL', 'GNRHR', 'MAF1', 'TMSB10', 'TIMP4', 'HGFAC', 'EIF5A', 'SUN3', 'DUSP1', 'PGAM1', 'AIP', 'EDF1', 'IQCF1', 'FNDC4', 'EVC', 'SDHAF1', 'ATP6V0C', 'OTUB1', 'SET', 'COL13A1', 'RPS19BP1', 'HPCA', 'CRIP2', 'UQCR11', 'PHB', 'KLC3', 'CCT7', 'BCL2L14', 'KCNF1', 'FIS1', 'XBP1', 'PSPN', 'MDH2', 'ST8SIA2', 'CEP152', 'IRF2BP1', 'NR4A1', 'AGBL1', 'IGLL1', 'CYCS', 'RPS21', 'TOMM5', 'GRINA']",0.999993514387119,0,0,57,"NR5A1",0.999993514387119,NA,NA,NA,NA,NA,NA,NA
"KLF11 (human)",0.0873633355872551,1.17852190793123,2.87285879617685,"['DIRAS1', 'ONECUT1', 'ARHGDIG', 'ENO2', 'RPL8', 'LCTL', 'METRNL', 'HDDC3', 'ACTB', 'ACTG1', 'NRGN', 'TXNDC17', 'SPRED3', 'RPL7A', 'ADAMTS2', 'GPR132', 'ZFP36', 'LGALS1', 'TUBB3', 'TMSB4X', 'TIMP2', 'NUDT18', 'PHLDA2', 'LAG3', 'SLC30A2', 'C4ORF48', 'SSTR3', 'PSG9', 'PSG8', 'RBP5', 'VGF', 'NDUFS6', 'CLDN9', 'PPDPF', 'KCNQ1', 'EEF1A2', 'MYADM', 'LY6D', 'PHPT1', 'CRYAB', 'LY6E', 'ZNF750', 'CSTB', 'CEBPB', 'KCNE1', 'RPL12', 'HVCN1', 'MEPCE', 'HPCA', 'TIMM13', 'KLHL10', 'CEND1', 'CRIP2', 'SEZ6L2', 'PHYHIP', 'TSPAN32', 'CXORF40A', 'HSD11B2', 'DNAJB5', 'C14ORF180', 'SEC14L4', 'H1FX', 'IGFBP6', 'POLR2L', 'F8A1', 'EGR3', 'SPRY4', 'TRAPPC5', 'APCDD1L', 'HMGA1', 'TBCC', 'CCK', 'PRSS36', 'GPR3', 'NAP1L5', 'NR2F6', 'GGN', 'MLLT11', 'NR4A1', 'STAG3', 'KRT17', 'BHLHE40', 'STUB1', 'PTPN7', 'NOTUM', 'CNIH2', 'CALM1', 'FGFR4', 'UBE2M']",0.999993514387119,0,0,89,"KLF11",0.999993514387119,5.13958987358101e-05,0.00748218531373085,0.865679003967386,0.864165472914466,-0.200284806648102,0.0908524329063845,0.0821496724986943
"SREBF2 (human)",0.126200754698365,1.14975306830962,2.37985243172271,"['NDUFA11', 'ARHGDIG', 'NUDT1', 'PEBP1', 'FGF1', 'RPL9', 'ELK1', 'ACTB', 'NRGN', 'SPRED2', 'RPS14', 'CAPNS1', 'C9ORF16', 'NEFL', 'AP1S1', 'NUDT18', 'RPL38', 'SCN1B', 'SULT1C4', 'ENDOG', 'CISH', 'TINF2', 'C4ORF48', 'FOS', 'ARL4D', 'BACE2', 'TUBB2A', 'GAL', 'SNTN', 'VGF', 'SCO2', 'DDIT3', 'KCNQ1', 'EEF1A2', 'LY6D', 'CTXN1', 'GAPDH', 'SLC25A6', 'CSTB', 'CD63', 'KCNE1', 'RPL12', 'HVCN1', 'KLHL10', 'UQCR10', 'PHYHIP', 'LAGE3', 'TSPAN32', 'DDN', 'DLL3', 'PSMB6', 'CXORF40A', 'LDHA', 'DDT', 'DNAJB5', 'NPC1L1', 'SEC14L4', 'C6ORF99', 'UBC', 'ALG1L2', 'KCNF1', 'OST4', 'HSPA8', 'EGR3', 'RASL10A', 'TRPA1', 'RBPMS', 'SERPIND1', 'APOBEC3H', 'PRAF2', 'KCNJ13', 'TBCC', 'C20ORF27', 'ISG15', 'PRSS36', 'DGAT2L6', 'SOD1', 'DNAJA1', 'TSPAN16', 'POMC', 'DBNDD2', 'KRT17', 'NDUFAF3', 'CALR', 'NFKBIE', 'SLC28A2', 'RAN', 'NOP10']",0.999993514387119,0,0,88,"SREBF2",0.999993514387119,0.173103402399259,0.000315797258996414,NA,NA,NA,0.92567188585581,0.413630007311308
"FOXA2 (human)",0.141582216700995,1.69886292834891,3.32106414699878,"['SLN', 'SPDYE1', 'BHLHE41', 'NAP1L2', 'COX7A2', 'SPDYE5', 'LOR']",0.999993514387119,0,0,7,"FOXA2",0.999993514387119,NA,NA,NA,NA,NA,NA,NA
"CACYBP (human)",0.166011799353024,1.12830840357516,2.02609935273248,"['DIRAS1', 'ONECUT1', 'RPL8', 'LCTL', 'METRNL', 'AQP3', 'ACTB', 'SPRED3', 'SPRED2', 'RPL7A', 'LGALS1', 'MFSD5', 'TUBB3', 'FTH1', 'STK16', 'C9ORF16', 'TIMP2', 'LEPR', 'NUDT18', 'GAL3ST2', 'NUDT14', 'HGFAC', 'C11ORF68', 'LAG3', 'TRAPPC2L', 'MIA', 'TUBB2A', 'RBP5', 'VGF', 'SCO2', 'CLDN9', 'KCNQ1', 'EEF1A2', 'DOK7', 'LY6D', 'RHOV', 'PHPT1', 'TRIB1', 'CTXN1', 'ACSBG2', 'CRYAB', 'LY6E', 'CSTB', 'CEBPB', 'ZNF593', 'FKBP2', 'HPCA', 'CEND1', 'TMEM160', 'CRIP2', 'TSPAN32', 'CXORF40A', 'EXOSC4', 'ZNHIT1', 'DDT', 'SNCG', 'ATP6V0A4', 'SAC3D1', 'SERF2', 'POLR2L', 'BCAP31', 'F8A1', 'JUN', 'EGR3', 'GADD45B', 'LAMB3', 'ANKRD30A', 'PRAF2', 'SPRY4', 'TRAPPC5', 'HMGA1', 'C20ORF27', 'CHCHD10', 'PRSS36', 'NAP1L5', 'SPATA2L', 'GGN', 'MLLT11', 'NR4A1', 'DBNDD2', 'KRT17', 'NDUFAF3', 'CALM3', 'STUB1', 'GRINA']",0.999993514387119,0,0,85,"CACYBP",0.999993514387119,2.87806321896821e-24,6.6466533056108e-14,0.691814418962855,0.689847163103142,-0.167054393543949,0.00510428758276607,0.0523557195381993
"NFATC2 (human)",0.189661464123487,1.45609984399376,2.42078719702878,"['DIRAS1', 'OR2H2', 'NEDD9', 'NEK2', 'H1FX', 'SSTR1', 'TMCO4', 'TMEM141', 'RPS23']",0.999993514387119,0,0,9,"NFATC2",0.999993514387119,2.82227206053517e-06,0.000553922979851593,0.611306314433383,0.608422370839004,0.542032019385936,0.871225486466469,0.479557614620976
