Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-877-5p,0.00014261101033504302,2.1940974702810156,19.429588449892407,"['CSTB', 'CDKN1B', 'RNASEK', 'NDUFB11', 'RPLP1', 'RAB1B', 'AQP3', 'ACTG1', 'MC4R', 'UBL5', 'PGRMC1', 'TMEM147', 'ARHGDIA', 'DNAJB4', 'UBC', 'LEPR', 'RPL35', 'DNAJB9', 'SERF2', 'EIF5A', 'HSPA8', 'EIF1AX', 'TUBB', 'HMGA1', 'TBCC', 'RPL23A', 'RPS27', 'MRPL51', 'VDAC1', 'PHPT1', 'SLC25A5', 'RTL8C']",0.4094362106719085,0,0,32
2,hsa-miR-423-5p,0.002086114640263045,1.7203179948054337,10.618580190785847,"['CSTB', 'CEBPB', 'ARL6IP1', 'CD81', 'WBP2', 'COPS7A', 'CCDC106', 'ACTG1', 'RPS15A', 'RPL18A', 'PTTG1', 'PCBP1', 'ARHGDIA', 'PEA15', 'AP2S1', 'RPS2', 'ATP6V1E1', 'RABAC1', 'RPS10', 'RPS9', 'TSPYL1', 'TUBB', 'PGAM1', 'SPRY4', 'NME2', 'C20ORF27', 'RPL23A', 'PNMA8B', 'HIST2H2BE', 'RUNX1', 'EIF1', 'DRAP1', 'PKM', 'CALM3', 'ALDOC', 'FKBP4', 'GAPDH', 'RTL8C', 'RNF187']",0.99999527332513,0,0,39
3,hsa-miR-6822-5p,0.004379902123967621,2.657075840500391,14.429858559073496,"['GABRQ', 'SPRED2', 'TUBB2A', 'C3ORF80', 'SNX17', 'TUBB', 'BHLHE40', 'FKBP4', 'NPTX2', 'AP2M1', 'HSPA1B', 'NRGN']",0.99999527332513,0,0,12
4,hsa-miR-486-3p,0.007821156354581138,1.8087637756146044,8.774173554571822,"['CDKN1A', 'CEBPB', 'ATP6AP1', 'TUBB', 'PGAM1', 'HMGA1', 'C20ORF27', 'ATXN7L3B', 'THY1', 'CCDC106', 'NTN1', 'UBL5', 'TUBB2A', 'RPL18A', 'UBB', 'PEA15', 'CFL1', 'MYADM', 'CALM3', 'CALR', 'ATP6V1E1', 'IER5', 'LY6E', 'RNF187']",0.99999527332513,0,0,24
5,hsa-miR-6750-5p,0.010742649603649866,2.43375,11.033487194753505,"['GABRQ', 'TUBB2A', 'C3ORF80', 'SNX17', 'TUBB', 'BHLHE40', 'FKBP4', 'NPTX2', 'AP2M1', 'HSPA1B', 'NRGN']",0.99999527332513,0,0,11
6,hsa-miR-4787-5p,0.010898372428189728,3.2720764438054157,14.78697749351023,"['HAAO', 'ARHGDIA', 'MYADM', 'FKBP4', 'ALDOA', 'CTXN1', 'RHOB']",0.99999527332513,0,0,7
7,hsa-miR-6798-5p,0.011770231636981895,2.0096543359611885,8.92724966954889,"['GABARAPL1', 'CDKN1A', 'HSP90AB1', 'NDUFB11', 'ADO', 'SSTR3', 'PNMA8B', 'SPRED3', 'TGFBR3L', 'ZFP36', 'SALL2', 'FGFR4', 'LY6E', 'RNF187', 'ITM2C', 'OTUB1']",0.99999527332513,0,0,16
8,hsa-miR-18a-3p,0.012932244490814516,1.533890195442381,6.669402907908894,"['CDKN1A', 'SET', 'MRPS12', 'NDUFB3', 'GHITM', 'ENO1', 'CLU', 'RPS15', 'RPL18A', 'UBB', 'TMEM203', 'PRDX1', 'RRS1', 'PGK1', 'NCDN', 'RPS2', 'ATP6V1E1', 'EIF1AX', 'TUBB', 'CEP152', 'HMGA1', 'DHCR24', 'EDF1', 'LSM4', 'SRP9', 'PKM', 'SNX17', 'POLE3', 'RPL24', 'RPL26', 'ALDOA', 'FKBP4', 'ARF5', 'HSPA1B', 'CFAP77', 'ITM2C', 'RNF187']",0.99999527332513,0,0,37
9,hsa-miR-488-3p,0.014089193574391765,1.9179240072097214,8.174858000091145,"['EIF1AX', 'CCDC115', 'TUBB', 'DHCR24', 'KCNA5', 'PRELP', 'NPM3', 'ARPP19', 'LSM4', 'POMC', 'SMDT1', 'TUBB2A', 'RPS15A', 'TMEM54', 'UBC', 'RPS27A', 'ARF6']",0.99999527332513,0,0,17
10,hsa-miR-1180-3p,0.01464305555913506,2.432630757220921,10.274919226004812,"['RPLP1', 'TUBB', 'PCBP1', 'RPL27A', 'RPL35', 'POLR2I', 'ACTG1', 'COX6B1', 'RPL19', 'EIF1']",0.99999527332513,0,0,10
11,hsa-miR-744-5p,0.019994839797235365,1.4370424372985848,5.622113893846124,"['EIF4A2', 'RPL3', 'RNASEK', 'NDUFB10', 'WBP2', 'RPLP1', 'HAAO', 'RTL6', 'ENO1', 'CCDC106', 'ACTB', 'NRGN', 'ACTG1', 'UBL5', 'RPL7A', 'RPS14', 'PRDX5', 'HINT1', 'TUBA1A', 'CAPNS1', 'RPL18A', 'ARHGDIA', 'STMN1', 'STK16', 'RPL13', 'SH3BGRL3', 'CKB', 'RPL18', 'IER5', 'POLR2L', 'TSC22D3', 'DCXR', 'IRF2BP1', 'HMGA1', 'MIF', 'PPDPF', 'EEF1A2', 'UFC1', 'VDAC1', 'FKBP4', 'HSPA1B', 'RAN', 'LY6E']",0.99999527332513,0,0,43
12,hsa-miR-4688,0.0259662625216705,1.952800479143724,7.12959092826339,"['CEBPB', 'HSP90AB1', 'TUBB', 'PGAM1', 'C20ORF27', 'CCDC106', 'ACTG1', 'TUBB2A', 'ARHGDIA', 'PEA15', 'CALM3', 'ATP6V1E1', 'RNF187']",0.99999527332513,0,0,13
13,hsa-miR-100-5p,0.026015513891854178,1.5535922199665633,5.66915469188258,"['SET', 'RPLP1', 'RPL36A', 'RPL10A', 'ARPP19', 'ACTB', 'RPL7', 'ANAPC11', 'RPS15', 'RPL7A', 'RPS15A', 'CAPNS1', 'UBB', 'PCBP1', 'PRDX1', 'RPL15', 'RPL19', 'EIF5A', 'EGR2', 'RPL21', 'NDUFC2', 'PTP4A1', 'RPS27', 'RPL26', 'TRIB1', 'HIST1H4C', 'PFN2']",0.99999527332513,0,0,27
14,hsa-miR-296-3p,0.026015513891854178,1.5535922199665633,5.66915469188258,"['SLC22A6', 'SET', 'HSP90AB1', 'RPLP1', 'RNF6', 'ZBTB22', 'RPL8', 'TOMM22', 'TRMT112', 'CAPNS1', 'UBC', 'OIT3', 'CCDC184', 'SCN1B', 'EIF5A', 'HMGA1', 'EDF1', 'HIST2H2BE', 'COX6B1', 'PKM', 'TMEM54', 'RPL27A', 'GAPDH', 'HSPA1B', 'ITM2C', 'MSRB1', 'GRINA']",0.99999527332513,0,0,27
15,hsa-miR-6126,0.02718849794126969,2.1711553473848557,7.826930927448713,"['RPS14', 'ZFP36', 'CD81', 'FTH1', 'ONECUT1', 'MRPL49', 'C20ORF27', 'UQCR11', 'ABCC12', 'OTUB1']",0.99999527332513,0,0,10
16,hsa-miR-4641,0.027519843813798694,2.4303975058456744,8.732048675427487,"['HSP90AB1', 'UQCRB', 'DNAJB4', 'HMGA1', 'ANKRD65', 'SH3BGRL3', 'KLRD1', 'AQP3']",0.99999527332513,0,0,8
17,hsa-miR-769-3p,0.027564482554120497,1.7261722881654717,6.199076871352019,"['ISCA2', 'RNASEK', 'RPL32', 'CD81', 'SPRY4', 'NDUFC2', 'RPSA', 'ATXN7L3B', 'RPL23A', 'MTRNR2L1', 'ACTG1', 'LDHA', 'PEG10', 'STMN1', 'UBC', 'GAPDH', 'ATP6V1F', 'ISOC2']",0.99999527332513,0,0,18
18,hsa-miR-6743-5p,0.028060874004365213,1.9288617886178863,6.892554319480563,"['CEBPB', 'HSP90AB1', 'TUBB', 'PGAM1', 'C20ORF27', 'CCDC106', 'ACTG1', 'TUBB2A', 'ARHGDIA', 'PEA15', 'CALM3', 'ATP6V1E1', 'RNF187']",0.99999527332513,0,0,13
19,hsa-miR-6510-5p,0.028381625582999174,1.8721763749171736,6.668717203032823,"['PSENEN', 'GAS2L3', 'HSP90AB1', 'SPRYD3', 'WBP2', 'ARPP19', 'ABCC12', 'COX6B1', 'HIGD2A', 'SALL2', 'ARHGDIA', 'FGFR4', 'RNF187', 'ITM2C']",0.99999527332513,0,0,14
20,hsa-miR-3195,0.02924350280936524,4.045325045325045,14.288483920036619,"['RNASEK', 'VGF', 'AIP', 'PHLDA2']",0.99999527332513,0,0,4
21,hsa-miR-6842-5p,0.029804775868793012,1.739403453689168,6.1106750247380255,"['CDKN1A', 'NDUFB11', 'PLA2G2C', 'DCXR', 'RAB1B', 'NEDD9', 'RHOB', 'TGOLN2', 'PKM', 'C19ORF53', 'ARHGDIA', 'AP1S1', 'CALR', 'FKBP4', 'CTXN1', 'LY6E', 'OTUB1']",0.99999527332513,0,0,17
22,hsa-miR-7110-5p,0.029804775868793012,1.739403453689168,6.1106750247380255,"['CDKN1A', 'NDUFB11', 'PLA2G2C', 'DCXR', 'RAB1B', 'NEDD9', 'RHOB', 'TGOLN2', 'PKM', 'C19ORF53', 'ARHGDIA', 'AP1S1', 'CALR', 'FKBP4', 'CTXN1', 'LY6E', 'OTUB1']",0.99999527332513,0,0,17
23,hsa-miR-6752-5p,0.029804775868793012,1.739403453689168,6.1106750247380255,"['CDKN1A', 'NDUFB11', 'PLA2G2C', 'DCXR', 'RAB1B', 'NEDD9', 'RHOB', 'TGOLN2', 'PKM', 'C19ORF53', 'ARHGDIA', 'AP1S1', 'CALR', 'FKBP4', 'CTXN1', 'LY6E', 'OTUB1']",0.99999527332513,0,0,17
24,hsa-miR-99b-5p,0.03076885337425936,2.3709674353173775,8.25393596722822,"['ALDH1B1', 'H2AFZ', 'EDF1', 'RPS2', 'ENO2', 'TRIB1', 'RPS10', 'ACTG1']",0.99999527332513,0,0,8
