Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,MAX mouse,0.002796148113990841,30.0671256454389,176.78004054475107,"['CCNB1', 'ODC1', 'BAX']",0.6822601398137652,0,0,3
2,MYC human,0.014858491529352301,2.234364459863159,9.404850591678274,"['EBNA1BP2', 'CCNB1', 'LDHA', 'CCND1', 'SURF2', 'ODC1', 'HLA-B', 'PGK1', 'NOL7', 'TNFRSF10B', 'KRAS', 'HNRNPA1']",0.9089838457297457,0,0,12
3,FOXO4 mouse,0.02328530372104929,20.027515047291487,75.30211191037827,"['CCND1', 'GADD45A']",0.9089838457297457,0,0,2
4,AATF mouse,0.0437745094081253,10.012897678417884,31.327389092975977,"['BAX', 'TPT1']",0.9089838457297457,0,0,2
5,NEUROG2 mouse,0.0437745094081253,10.012897678417884,31.327389092975977,"['RND2', 'DLL3']",0.9089838457297457,0,0,2
6,ATF6 human,0.055380660553733134,4.293090730268011,12.422164641151078,"['XBP1', 'DDIT3', 'NUCB1']",0.9089838457297457,0,0,3
7,FOS human,0.0573316758176602,2.4066264020707506,6.880309037530524,"['PDHA1', 'CCND1', 'STAR', 'DDIT3', 'NEFL', 'CCK']",0.9089838457297457,0,0,6
8,ATF3 mouse,0.06861284196974304,6.67469188879335,17.883338855149645,"['CCND1', 'TNFRSF10B']",0.9089838457297457,0,0,2
9,ERCC2 human,0.06861284196974304,6.67469188879335,17.883338855149645,"['BAX', 'LAMTOR5']",0.9089838457297457,0,0,2
10,PAX2 mouse,0.06861284196974304,6.67469188879335,17.883338855149645,"['SFRP2', 'CCND1']",0.9089838457297457,0,0,2
11,PAX5 human,0.08867434511260272,3.338496844520941,8.088458954394714,"['XBP1', 'CCND1', 'BAX']",0.9089838457297457,0,0,3
12,KLF4 human,0.0929133453758453,2.2776253918495297,5.411838340086992,"['IFITM3', 'CCNB1', 'CCND1', 'ODC1', 'SOD1']",0.9089838457297457,0,0,5
13,ASCL1 mouse,0.09684132084767635,5.005588993981084,11.686456058497399,"['CDKN2D', 'DLL3']",0.9089838457297457,0,0,2
14,FOXO3 mouse,0.09684132084767635,5.005588993981084,11.686456058497399,"['CCND1', 'GADD45A']",0.9089838457297457,0,0,2
15,NPM1 human,0.09684132084767635,5.005588993981084,11.686456058497399,"['RPL3', 'CCND1']",0.9089838457297457,0,0,2
16,NR1I3 mouse,0.09684132084767635,5.005588993981084,11.686456058497399,"['SQLE', 'ATP6V1E1']",0.9089838457297457,0,0,2
17,PPARD human,0.09684132084767635,5.005588993981084,11.686456058497399,"['TXN', 'SOD1']",0.9089838457297457,0,0,2
18,NR4A1 human,0.12763916196988392,4.004127257093723,8.242688329692388,"['STAR', 'RNF7']",0.9089838457297457,0,0,2
19,ATM human,0.15013208494125377,2.5032271944922546,4.746719049862913,"['GADD45A', 'TNFRSF10B', 'BAX']",0.9089838457297457,0,0,3
20,HOXB7 human,0.16030660761928064,3.336486099168816,6.107994997319325,"['CCND1', 'DAPK1']",0.9089838457297457,0,0,2
21,MAZ human,0.17359852837181938,10.005154639175258,17.51912536363145,['HRAS'],0.9089838457297457,0,0,1
