Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Translation (GO:0006412),6.059443874727071e-27,59.91212653778559,3616.7860081500567,"['MRPS17', 'RPL3', 'RPL32', 'RPL34', 'RPLP1', 'MRPS12', 'RPL8', 'RPL10A', 'RPL9', 'RPL7', 'RPS15', 'EEF1B2', 'RPS4X', 'RPS14', 'RPL7A', 'RPS16', 'MRPL40', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL35', 'RPLP2', 'RPL38', 'RPL39', 'RPS10', 'RPS13', 'RPS9', 'RPL21', 'MRPS24', 'RPS7', 'RPS5', 'MRPL49', 'RPSA', 'RPS3A', 'EEF1G', 'MRPL53', 'MRPL51', 'RPL24', 'RPL26', 'AURKAIP1', 'RPL29', 'UBA52', 'RPL12', 'MRPS34', 'RPL11', 'MRPL17', 'MRPL54', 'RPS15A', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'GADD45GIP1', 'RPL41', 'RPL35A', 'RPL23A', 'MRPL21', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPL27A', 'RPL22L1', 'FAU', 'RPS21', 'RPS23']",1.2676356585929031e-23,0,0,70
2,Cytoplasmic Translation (GO:0002181),2.3078165541936126e-24,inf,inf,"['EIF4A2', 'RPL3', 'RPL32', 'RPL34', 'RPLP1', 'MRPS12', 'RPL10A', 'RPL8', 'RPL9', 'RPL7', 'RPS15', 'RPS4X', 'RPL7A', 'RPS14', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL35', 'RPLP2', 'RPL38', 'RPL39', 'RPS10', 'RPS13', 'RPS9', 'RPL21', 'RPS7', 'RPS5', 'RPS3A', 'RPSA', 'RPL24', 'RPL26', 'RPL29', 'UBA52', 'RPL12', 'RPL11', 'RPS15A', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'RPL41', 'RPL35A', 'RPL23A', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPL27A', 'RPL22L1', 'FAU', 'RPS21', 'RPS23']",2.4139761156865187e-21,0,0,57
3,Peptide Biosynthetic Process (GO:0043043),8.472883177064671e-23,95.48969072164948,4853.033046450357,"['MRPS17', 'PCSK1', 'RPL3', 'RPL32', 'RPL34', 'RPLP1', 'MRPS12', 'RPL10A', 'RPL8', 'RPL9', 'RPL7', 'RPS15', 'RPS4X', 'RPS14', 'RPL7A', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL35', 'RPLP2', 'RPL38', 'RPL39', 'RPS10', 'RPS13', 'RPS9', 'RPL21', 'RPS7', 'RPS5', 'RPSA', 'RPS3A', 'MRPL51', 'RPL24', 'RPL26', 'RPL29', 'RPL12', 'RPL11', 'RPS15A', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'RPL41', 'RPL35A', 'RPL23A', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPL27A', 'FAU', 'RPS21', 'RPS23']",5.908423868806431e-20,0,0,57
4,Macromolecule Biosynthetic Process (GO:0009059),3.081919767813088e-20,24.71896551724138,1110.5279318053788,"['MRPS17', 'RPL3', 'RPL32', 'RPL34', 'RPLP1', 'MRPS12', 'RPL10A', 'RPL8', 'RPL9', 'RPL7', 'EEF1B2', 'RPS15', 'RPS4X', 'RPS14', 'RPL7A', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL35', 'RPLP2', 'RPL38', 'RPL39', 'RPS10', 'RPS13', 'RPS9', 'RPL21', 'RPS7', 'RPS5', 'RPSA', 'RPS3A', 'EEF1G', 'MRPL51', 'RPL24', 'RPL26', 'RPL29', 'RPL12', 'RPL11', 'RPS15A', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'RPL41', 'RPL35A', 'RPL23A', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPL27A', 'FAU', 'RPS21', 'EIF4G2', 'RPS23']",1.611844038566245e-17,0,0,59
5,Gene Expression (GO:0010467),2.4964663150568785e-19,19.754827586206897,846.1830360391746,"['MRPS17', 'RPL3', 'RPL32', 'RPL34', 'RPLP1', 'MRPS12', 'RPL8', 'RPL10A', 'RPL9', 'RPL7', 'RPS15', 'RPS4X', 'RPS14', 'RPL7A', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL35', 'RPLP2', 'RPL38', 'RPL39', 'RPS10', 'RPS13', 'RPS9', 'RPL21', 'RPS7', 'RPS5', 'RPSA', 'RPS3A', 'MRPL51', 'RPL24', 'RPL26', 'RPL29', 'RPL12', 'RPL11', 'EXOSC4', 'RPS15A', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'RPL41', 'ALYREF', 'RPL35A', 'RPL23A', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPL27A', 'STUB1', 'FAU', 'RPS21', 'RPS23']",1.0445215062197979e-16,0,0,59
6,Cellular Respiration (GO:0045333),1.182331442118564e-14,inf,inf,"['COX7B', 'NDUFA13', 'NDUFB7', 'NDUFA11', 'NDUFB10', 'UQCRB', 'NDUFB11', 'COX4I1', 'NDUFB3', 'NDUFB2', 'COX7A2', 'UQCR11', 'UQCR10', 'COX6A1', 'COX5B', 'COX7C', 'MTLN', 'UQCRH', 'UQCRFS1', 'COX8A', 'NDUFA6', 'MDH2', 'NDUFA4', 'NDUFA3', 'NDUFA1', 'NDUFC2', 'NDUFC1', 'COX6C', 'COX6B1', 'NR4A3', 'NDUFS6', 'UQCRQ', 'NDUFS5', 'CYCS']",4.122395628186727e-12,0,0,34
7,Aerobic Electron Transport Chain (GO:0019646),1.4192571207344407e-12,inf,inf,"['COX7B', 'NDUFB7', 'NDUFB10', 'UQCRB', 'COX4I1', 'NDUFB3', 'NDUFB2', 'COX7A2', 'UQCR11', 'UQCR10', 'COX6A1', 'COX5B', 'COX7C', 'UQCRH', 'UQCRFS1', 'COX8A', 'NDUFA6', 'UQCC3', 'NDUFA4', 'NDUFA3', 'NDUFA1', 'NDUFC2', 'NDUFC1', 'COX6C', 'COX6B1', 'NDUFS6', 'UQCRQ', 'NDUFS5', 'CYCS']",3.7113573707205626e-10,0,0,29
8,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),1.4192571207344407e-12,inf,inf,"['COX7B', 'NDUFB7', 'NDUFB10', 'UQCRB', 'COX4I1', 'NDUFB3', 'NDUFB2', 'COX7A2', 'UQCR11', 'UQCR10', 'COX6A1', 'COX5B', 'COX7C', 'UQCRH', 'UQCRFS1', 'COX8A', 'NDUFA6', 'UQCC3', 'NDUFA4', 'NDUFA3', 'NDUFA1', 'NDUFC2', 'NDUFC1', 'COX6C', 'COX6B1', 'NDUFS6', 'UQCRQ', 'NDUFS5', 'CYCS']",3.7113573707205626e-10,0,0,29
9,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),1.6612394245963591e-10,inf,inf,"['COA3', 'NDUFA13', 'NDUFB7', 'NDUFA6', 'NDUFA11', 'NDUFB10', 'PET100', 'UQCC3', 'NDUFB11', 'NDUFA3', 'COX17', 'NDUFB3', 'NDUFB2', 'NDUFA1', 'NDUFC2', 'NDUFC1', 'PET117', 'NDUFAF8', 'SCO2', 'NDUFS5', 'SDHAF1', 'UQCRFS1', 'NDUFAF3', 'COX14']",3.861458751395093e-08,0,0,24
10,Ribonucleoprotein Complex Biogenesis (GO:0022613),1.049691749985043e-09,39.69869706840391,820.7614028964706,"['RPS19BP1', 'MRPS12', 'RPL11', 'SNU13', 'RPL7', 'RPS15', 'RPS4X', 'RPS14', 'RPS16', 'RPS15A', 'RPS19', 'RRS1', 'RPL38', 'RPS13', 'RPS9', 'RPS7', 'RPS5', 'RPL35A', 'RPS3A', 'RPS25', 'RPS28', 'RPS27', 'RPL26', 'RSL24D1', 'RPS23']",1.9325137040800106e-07,0,0,25
