Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-3669,0.0034060449567138618,5.68099787685775,32.28058600550453,"['TGOLN2', 'TMEM47', 'PRKAR1A', 'BIK', 'YWHAB', 'GLRX5', 'TOMM7', 'NGB', 'RPP25', 'SEPHS2', 'LMCD1']",0.9994747641234841,0,0,11
2,hsa-miR-296-3p,0.00704407771437387,1.7162471395881007,8.504979500636257,"['ZCCHC12', 'FAM89B', 'TUSC2', 'MRFAP1', 'ADO', 'ENO2', 'TRMT112', 'CYP26B1', 'SALL2', 'C9ORF16', 'STK16', 'ATP6V1G2', 'C14ORF119', 'HIST2H2BE', 'ETV5', 'PKM', 'CLDN9', 'VDAC1', 'SNRNP25', 'CTXN2', 'FKBP4', 'UBA52', 'PFN2', 'ARF6', 'BEX3', 'NAXE', 'RPL36A', 'PDXP', 'PRELP', 'AARD', 'SLC5A3', 'SELENOH', 'TCEAL7', 'TCEAL6', 'LDHA', 'SNN', 'BAG1', 'CD59', 'RPL15', 'ANKRD34A', 'HMGA1', 'C20ORF27', 'DHCR24', 'DBNDD2', 'TMEM54', 'RPL27A', 'CALM1', 'ITM2A', 'ITM2C', 'GRINA']",0.9994747641234841,0,0,50
3,mmu-miR-1839-3p,0.008328861139360214,2.0615499254843517,9.870759900704668,"['C17ORF78', 'HIGD1A', 'ADO', 'SLC5A3', 'RGS4', 'SPRED2', 'SOCS3', 'SNN', 'STK16', 'NEFL', 'CD59', 'SULT4A1', 'CCDC184', 'SERF2', 'UBL4A', 'ANKRD34A', 'UQCC3', 'RNF26', 'DYNLL1', 'C1ORF216', 'DBNDD2', 'FNDC4', 'FRMD6', 'NR4A3', 'PRKAR1A', 'POLE3', 'CYCS', 'CTXN2', 'LAMTOR5']",0.9994747641234841,0,0,29
4,hsa-miR-4449,0.009971412180873907,2.2014347202295554,10.144283974701768,"['TMEM184A', 'F8A1', 'SET', 'PLEKHF1', 'NDUFA11', 'NDUFA4', 'BAD', 'WBP2', 'DIRAS1', 'ARHGDIG', 'LSM4', 'ELFN1', 'HIST2H2BE', 'ETV5', 'MYO1E', 'SOCS3', 'CYTH4', 'CDK5', 'CCDC85B', 'C9ORF16', 'MALL', 'CALM3', 'CTXN2', 'CTXN1']",0.9994747641234841,0,0,24
5,mmu-miR-652,0.010587288225191834,3.1008,14.102752267773464,"['JPT1', 'MTCH1', 'SET', 'RAB3A', 'BAD', 'DHCR24', 'ENO2', 'HIGD2A', 'MLLT11', 'TMEM54', 'PRKAR1A', 'C18ORF54', 'LAMTOR2', 'RHOV']",0.9994747641234841,0,0,14
6,mmu-miR-719,0.010998673074636067,2.3934385485274015,10.794361524161076,"['POP7', 'HOMER1', 'NDUFA4', 'CITED4', 'NFATC2', 'ATXN7L3B', 'JAKMIP1', 'ELFN1', 'SRP9', 'DUSP23', 'TCEAL5', 'SALL2', 'CFL2', 'STMN1', 'C18ORF54', 'NEK2', 'SLC25A5', 'SULT4A1', 'MSRB1', 'SKP1']",0.9994747641234841,0,0,20
7,hsa-miR-572,0.011154519082049941,2.4618279569892474,11.068158319437275,"['TMEM184A', 'MOAP1', 'ZNF593', 'RASL10B', 'PGAM1', 'ATXN7L3B', 'PRSS36', 'PHB', 'ENO2', 'SPRED2', 'CCDC85B', 'ARHGDIA', 'PPDPF', 'BAG1', 'CD59', 'SULT4A1', 'CCDC184', 'RAN', 'FAM50B']",0.9994747641234841,0,0,19
8,mmu-miR-3104-5p,0.014804022721132687,1.6431089989268741,6.922182146454573,"['CUTA', 'RNASEK', 'NDUFA11', 'WBP2', 'YWHAB', 'TUSC2', 'CITED4', 'MRPL17', 'CRIP2', 'THY1', 'SEZ6L2', 'ADO', 'ELFN1', 'DLL3', 'SPRED2', 'GNG3', 'CYP26B1', 'CAPNS1', 'ARHGDIA', 'CFL1', 'GSG1', 'NUDT18', 'ELOB', 'BANF1', 'NEFH', 'CCDC184', 'GADD45B', 'CISH', 'RASL10B', 'BAD', 'GLRX5', 'DCXR', 'HMGA1', 'EDF1', 'POMC', 'PCP4', 'NR4A3', 'CLDN9', 'PPDPF', 'DYNLRB1', 'CALM2', 'SLC25A11', 'TMEM35A', 'ARF5', 'MSRB1', 'GRINA']",0.9994747641234841,0,0,46
9,mmu-miR-5099,0.016468810694609832,2.177022653721683,8.93947970805552,"['UQCC3', 'ALYREF', 'MAGEF1', 'PNMA8A', 'IMP4', 'DHCR24', 'THY1', 'TMEM141', 'ARPP19', 'SLC5A3', 'HIST2H2BE', 'MLLT11', 'NGRN', 'CHCHD2', 'SPRED1', 'SPCS1', 'MRPL40', 'LY6D', 'SLC25A4', 'SERF2', 'SKP1']",0.9994747641234841,0,0,21
10,hsa-miR-1911,0.018353528428629334,1.9131016042780749,7.648452874086431,"['EHF', 'ENPEP', 'RPL32', 'YWHAB', 'CHRM5', 'UQCR10', 'HIGD1A', 'ENO2', 'DLL3', 'NGRN', 'BANF1', 'CD59', 'RPL15', 'POLR2K', 'RPS13', 'SERF2', 'CCDC115', 'NGB', 'MYO1E', 'DBNDD2', 'FNDC4', 'FAP', 'UQCRQ', 'LY6D', 'RPL22L1', 'FAM32A', 'CALM2']",0.9994747641234841,0,0,27
