Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Natural killer cell mediated cytotoxicity,0.03655340151145647,9.077380952380953,30.036881396274886,"['RAET1E', 'NFATC2']",0.7082670636797915,0,0,2
2,Caffeine metabolism,0.05325055559463514,inf,inf,['CYP2A6'],0.7082670636797915,0,0,1
3,Fatty acid elongation,0.05325055559463514,inf,inf,['THEM5'],0.7082670636797915,0,0,1
4,Aldosterone-regulated sodium reabsorption,0.1036968399127254,17.976470588235294,40.739781155366295,['HSD11B2'],0.7082670636797915,0,0,1
5,Glyoxylate and dicarboxylate metabolism,0.1036968399127254,17.976470588235294,40.739781155366295,['HAO2'],0.7082670636797915,0,0,1
6,Wnt signaling pathway,0.130869534903282,3.6166666666666667,7.354688300509404,"['SFRP2', 'NFATC2']",0.7082670636797915,0,0,2
7,Pathogenic Escherichia coli infection,0.1443952082519421,2.4759036144578315,4.791371737205437,"['MYO1E', 'CYTH4', 'CLDN9']",0.7082670636797915,0,0,3
8,FoxO signaling pathway,0.1495208284596289,3.2857142857142856,6.243907175182172,"['HOMER1', 'FOXO4']",0.7082670636797915,0,0,2
9,Steroid hormone biosynthesis,0.15148478834593684,8.98235294117647,16.952125828410935,['HSD11B2'],0.7082670636797915,0,0,1
10,Arachidonic acid metabolism,0.15148478834593684,8.98235294117647,16.952125828410935,['PTGES'],0.7082670636797915,0,0,1
11,Metabolism of xenobiotics by cytochrome P450,0.15148478834593684,8.98235294117647,16.952125828410935,['CYP2A6'],0.7082670636797915,0,0,1
12,Transcriptional misregulation in cancer,0.18820399638080115,2.7765567765567765,4.637485141079694,"['NR4A3', 'ETV5']",0.7082670636797915,0,0,2
13,VEGF signaling pathway,0.19675290876064944,5.984313725490196,9.729336797750657,['NFATC2'],0.7082670636797915,0,0,1
14,Glutamatergic synapse,0.19675290876064944,5.984313725490196,9.729336797750657,['HOMER1'],0.7082670636797915,0,0,1
15,Renin-angiotensin system,0.19675290876064944,5.984313725490196,9.729336797750657,['ENPEP'],0.7082670636797915,0,0,1
16,Chemical carcinogenesis,0.2080376083502539,2.576530612244898,4.045246863038597,"['FGF17', 'CYP2A6']",0.7082670636797915,0,0,2
17,Drug metabolism,0.23963258421696274,4.485294117647059,6.407908389215383,['CYP2A6'],0.7082670636797915,0,0,1
18,Peroxisome,0.23963258421696274,4.485294117647059,6.407908389215383,['HAO2'],0.7082670636797915,0,0,1
19,Retinol metabolism,0.23963258421696274,4.485294117647059,6.407908389215383,['CYP2A6'],0.7082670636797915,0,0,1
20,Calcium signaling pathway,0.24825983772367113,2.2514880952380953,3.136951866599841,"['FGF17', 'CHRM5']",0.7082670636797915,0,0,2
21,Regulation of actin cytoskeleton,0.26850076472840095,2.1176470588235294,2.784497329877939,"['FGF17', 'CHRM5']",0.7082670636797915,0,0,2
22,Cortisol synthesis and secretion,0.2802484272395988,3.5858823529411765,4.561525024591494,['MRAP'],0.7082670636797915,0,0,1
23,Phospholipase D signaling pathway,0.2802484272395988,3.5858823529411765,4.561525024591494,['CYTH4'],0.7082670636797915,0,0,1
24,Ras signaling pathway,0.2887416922862093,1.9986772486772486,2.482802425889293,"['FGF17', 'FOXO4']",0.7082670636797915,0,0,2
25,T cell receptor signaling pathway,0.35515525773482665,2.5579831932773107,2.648024814017301,['NFATC2'],0.7082670636797915,0,0,1
26,Axon guidance,0.35515525773482665,2.5579831932773107,2.648024814017301,['NFATC2'],0.7082670636797915,0,0,1
27,B cell receptor signaling pathway,0.35515525773482665,2.5579831932773107,2.648024814017301,['NFATC2'],0.7082670636797915,0,0,1
