"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"NFAT2 (human)",0.012053338495814,2.71985157699443,12.0174292081722,"['TMEM47', 'SCGN', 'MYO1E', 'RAET1E', 'NR4A3', 'CHRM5', 'NMUR2', 'MTRNR2L8', 'HAO2']",0.976280770321638,0,0,9,"NFAT2",0.976280770321638,NA,NA,NA,NA,NA,NA,NA
"TFAP2A (mouse)",0.0352567996648699,2.0305501618123,6.79238699072161,"['MYO1E', 'HSD11B2', 'RAET1E', 'AGBL1', 'DNAJB5', 'RASL10B', 'BIK', 'NFATC2', 'PRELP', 'PCDH18', 'NEFH']",0.976280770321638,0,0,11,"TFAP2A",0.976280770321638,NA,NA,NA,NA,NA,NA,NA
"EGR1 (mouse)",0.0375999947107053,2.17432567432567,7.13342193325902,"['SPRED2', 'SPRED1', 'FRMD6', 'PLEKHF1', 'FAP', 'UBASH3B', 'SLC5A3', 'YPEL3', 'PTGES']",0.976280770321638,0,0,9,"EGR1",0.976280770321638,1.46082320025536e-11,0.10479062622573,0.98685561764554,0.986854561271294,-0.072807970400588,0.732292496839891,0.895182137958741
"GATA2 (human)",0.0419802834678577,1.52280701754386,4.82814372659099,"['ENPEP', 'PLEKHF1', 'CHRM5', 'WDR64', 'PCDH18', 'ART3', 'TMEM47', 'SPRED2', 'SCGN', 'HSD11B2', 'CYTH4', 'UBASH3B', 'ADAMTS1', 'NEFH', 'HIST1H3E', 'TMEM184A', 'PCA3', 'HOMER1', 'APOBEC4', 'NGB', 'ETV5', 'GJD2', 'MYO1E', 'CYP2A6', 'NR4A3', 'FRMD6', 'FAP', 'AGBL1', 'CLDN9', 'PSG4', 'C18ORF54', 'CDK2AP1', 'PMFBP1', 'YPEL3', 'PTGES']",0.976280770321638,0,0,35,"GATA2",0.976280770321638,NA,NA,NA,NA,NA,NA,NA
"SRY (human)",0.0493687512391247,4.21501390176089,12.6806063948939,"['COLEC11', 'FRMD6', 'MALL']",0.976280770321638,0,0,3,"SRY",0.976280770321638,NA,NA,NA,NA,NA,NA,NA
"SMAD3 (mouse)",0.0494272547284202,7.25714285714286,21.8240667460381,"['NFATC2', 'CDK2AP1']",0.976280770321638,0,0,2,"SMAD3",0.976280770321638,0.000302128514539483,0.00382651399364274,0.78117009155943,0.779488328455432,0.42310018380362,0.835541518769572,0.249398727699119
"STAT5B (mouse)",0.0511721461653681,2.03630104834924,6.05302687155588,"['TMEM184A', 'SPRED1', 'CYTH4', 'CLDN9', 'RASL10B', 'NGB', 'ELFN1', 'ART3', 'HIST1H3E']",0.976280770321638,0,0,9,"STAT5B",0.976280770321638,2.98189803020184e-11,4.07182767819281e-06,NA,NA,NA,0.00119962981305612,0.0732244412385109
"HMGA1 (human)",0.0616087018433952,2.04566210045662,5.7011623987129,"['TMEM47', 'COLEC11', 'MYO1E', 'FAP', 'GSG1', 'CHRM5', 'FOXO4', 'PCDH18']",0.976280770321638,0,0,8,"HMGA1",0.976280770321638,2.65677376982026e-51,1.77153979914166e-25,0.343765811588294,0.341798759962085,-0.194750545519279,0.000462318834066104,0.0691090634358294
"STAT5B (human)",0.0616087018433952,2.04566210045662,5.7011623987129,"['MYO1E', 'FRMD6', 'CYTH4', 'FAP', 'THEM5', 'LMCD1', 'PCDH18', 'PTGES']",0.976280770321638,0,0,8,"STAT5B",0.976280770321638,2.98189803020184e-11,4.07182767819281e-06,NA,NA,NA,0.00119962981305612,0.0732244412385109
"Sox17 (mouse)",0.0666600875479376,3.64819277108434,9.87984921356157,"['COLEC11', 'NGB', 'YPEL3']",0.976280770321638,0,0,3,"Sox17",0.976280770321638,NA,NA,NA,NA,NA,NA,NA
