Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-508-3p,0.00024445985612326943,3.7681159420289854,31.337383435402476,"['C17ORF78', 'ENPEP', 'HOMER1', 'PRELP', 'SLC5A3', 'TMEM47', 'SPRED2', 'MYO1E', 'NR4A3', 'FRMD6', 'UBASH3B', 'ADAMTS1', 'PTGES']",0.12442403422203667,0,0,13
2,hsa-miR-3669,0.0005217698134449996,10.425240054869684,78.79692549642886,"['TMEM47', 'BIK', 'NGB', 'RPP25', 'LMCD1']",0.12442403422203667,0,0,5
3,mmu-miR-1948,0.0005934373651289508,4.148936170212766,30.82484856222484,"['TMEM47', 'SPRED2', 'EHF', 'SPRED1', 'NR4A3', 'CYTH4', 'RASL10B', 'C18ORF54', 'CDK2AP1', 'SLC5A3']",0.12442403422203667,0,0,10
4,mmu-miR-653,0.0011985530987150426,3.470322580645161,23.34361138057866,"['TMEM47', 'SPRED2', 'C17ORF78', 'SPRED1', 'CYTH4', 'HOMER1', 'APOBEC4', 'C18ORF54', 'WDR64', 'RPP25', 'HAO2']",0.14119637655196504,0,0,11
5,mmu-miR-1193-5p,0.0013468652771252627,3.6643495531281034,24.221260416141966,"['TMEM184A', 'FGF17', 'SPRED2', 'SCGN', 'PLEKHF1', 'RASL10B', 'GSG1', 'CDK2AP1', 'PMFBP1', 'SLC5A3']",0.14119637655196504,0,0,10
6,mmu-miR-379,0.0013468652771252627,3.6643495531281034,24.221260416141966,"['TMEM184A', 'FGF17', 'SPRED2', 'SCGN', 'PLEKHF1', 'RASL10B', 'GSG1', 'CDK2AP1', 'PMFBP1', 'SLC5A3']",0.14119637655196504,0,0,10
7,mmu-miR-1b-3p,0.0018850635220305544,3.2511111111111113,20.396800601825518,"['TMEM47', 'MYO1E', 'ENPEP', 'SPRED1', 'NR4A3', 'CYTH4', 'HOMER1', 'RASL10B', 'NGB', 'SLC5A3', 'YPEL3']",0.15624115752945947,0,0,11
8,mmu-miR-499,0.0021470388519027484,3.0166320166320166,18.533178542551013,"['TMEM184A', 'TMEM47', 'SPRED1', 'FRMD6', 'UBASH3B', 'C18ORF54', 'NGB', 'STMND1', 'PRELP', 'FOXO4', 'LMCD1', 'SLC5A3']",0.15624115752945947,0,0,12
9,hsa-miR-602,0.0022444077708681526,4.583151462243562,27.95407800674267,"['TMEM184A', 'SPRED2', 'SPRED1', 'RASL10B', 'RPP25', 'ETV5', 'PTGES']",0.15624115752945947,0,0,7
10,hsa-miR-496,0.0027479837579968557,3.2783229259589652,19.33190251611923,"['TMEM47', 'ENPEP', 'EHF', 'SPRED1', 'FRMD6', 'UBASH3B', 'APOBEC4', 'BIK', 'MALL', 'C18ORF54']",0.15624115752945947,0,0,10
11,mmu-miR-3077,0.003165464664785854,3.011830985915493,17.33445897394971,"['MYO1E', 'C17ORF78', 'SPRED1', 'HOMER1', 'UBASH3B', 'RASL10B', 'ADAMTS1', 'MALL', 'CHRM5', 'PRELP', 'SLC5A3']",0.15624115752945947,0,0,11
12,hsa-miR-4327,0.003165464664785854,3.011830985915493,17.33445897394971,"['SPRED2', 'C17ORF78', 'EHF', 'SPRED1', 'NR4A3', 'CYTH4', 'FAP', 'WDR64', 'LMCD1', 'PCDH18', 'SLC5A3']",0.15624115752945947,0,0,11
13,mmu-miR-547,0.0037948918586877263,3.113327674023769,17.3539978085557,"['ENPEP', 'SPRED1', 'NR4A3', 'PLEKHF1', 'HOMER1', 'UBASH3B', 'APOBEC4', 'MALL', 'STMND1', 'SLC5A3']",0.15624115752945947,0,0,10
14,hsa-miR-4782-3p,0.003842830343065176,2.925296803652968,16.269173074682485,"['TMEM47', 'SPRED2', 'C17ORF78', 'ENPEP', 'NR4A3', 'FRMD6', 'HOMER1', 'UBASH3B', 'ADAMTS1', 'SLC5A3', 'ETV5']",0.15624115752945947,0,0,11
15,hsa-miR-219-5p,0.003842830343065176,2.925296803652968,16.269173074682485,"['TMEM47', 'SPRED2', 'C17ORF78', 'ENPEP', 'NR4A3', 'FRMD6', 'HOMER1', 'UBASH3B', 'ADAMTS1', 'SLC5A3', 'ETV5']",0.15624115752945947,0,0,11
16,mmu-miR-453,0.003986563862577709,3.31993006993007,18.342034661936758,"['TMEM47', 'PLEKHF1', 'CYTH4', 'RASL10B', 'MALL', 'LMCD1', 'PCDH18', 'SLC5A3', 'ETV5']",0.15624115752945947,0,0,9
17,mmu-miR-3102-5p.2,0.004222733987282688,2.883783783783784,15.76643176671083,"['TMEM184A', 'TMEM47', 'SPRED2', 'EHF', 'SPRED1', 'UBASH3B', 'CLDN9', 'C18ORF54', 'SLC5A3', 'YPEL3', 'PTGES']",0.15624115752945947,0,0,11
