"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"MAFK",0.103696839912725,17.9764705882353,40.7397811553663,"['NR4A3']",0.94915505593926,0,0,1,"MAFK",0.94915505593926,5.3807904045307e-16,8.1005866691278e-07,0.925977902063101,0.925974996779019,0.00447596875913557,0.834342058125142,0.468976809543841
"STAT4",0.151484788345937,8.98235294117647,16.9521258284109,"['ETV5']",0.94915505593926,0,0,1,"STAT4",0.94915505593926,2.34993544797509e-06,0.000692299134023937,0.964223577468463,0.965320514684242,-0.0770926866127069,0.42967174858092,0.109570001245662
"MTA3",0.196752908760649,5.9843137254902,9.72933679775066,"['CDK2AP1']",0.94915505593926,0,0,1,"MTA3",0.94915505593926,3.20151874450415e-18,1.36233608533407e-06,0.620873636942548,0.618161572395096,-0.363105992672623,0.0124131624887277,0.382477226832119
"KDM5B",0.196752908760649,5.9843137254902,9.72933679775066,"['NR4A3']",0.94915505593926,0,0,1,"KDM5B",0.94915505593926,1.62314781529363e-11,0.00630061087204003,NA,NA,NA,0.0254198107375519,0.231509313170868
"NR2F2",0.196752908760649,5.9843137254902,9.72933679775066,"['BIK']",0.94915505593926,0,0,1,"NR2F2",0.94915505593926,0.910168585463377,0.411804425357858,NA,NA,NA,0.485118450898107,0.197836650512191
"EGR1",0.239632584216963,4.48529411764706,6.40790838921538,"['NFATC2']",0.94915505593926,0,0,1,"EGR1",0.94915505593926,1.46082320025536e-11,0.10479062622573,0.98685561764554,0.986854561271294,-0.072807970400588,0.732292496839891,0.895182137958741
"IRF4",0.239632584216963,4.48529411764706,6.40790838921538,"['NFATC2']",0.94915505593926,0,0,1,"IRF4",0.94915505593926,NA,NA,NA,NA,NA,NA,NA
"SIRT3",0.280248427239599,3.58588235294118,4.56152502459149,"['FAP']",0.94915505593926,0,0,1,"SIRT3",0.94915505593926,1.08143689780271e-07,4.71389630733162e-07,NA,NA,NA,0.894699559045656,0.480299370667964
"KAT2A",0.355155257734827,2.55798319327731,2.6480248140173,"['HSD11B2']",0.94915505593926,0,0,1,"KAT2A",0.94915505593926,2.4691629163126e-05,0.00169408198692497,NA,NA,NA,0.96413446379071,0.744186189663663
"JUN",0.426349293422403,1.43238095238095,1.22109950659459,"['NFATC2', 'ETV5']",0.94915505593926,0,0,2,"JUN",0.94915505593926,2.03169966588348e-25,9.12539181371095e-06,0.705849764169567,0.703692405861209,-0.242313404190565,0.0911499677975806,0.197836650512191
"NANOG",0.453299571762378,1.78705882352941,1.41392463278798,"['MYO1E']",0.94915505593926,0,0,1,"NANOG",0.94915505593926,0.0235119590921306,0.561327137068449,0.901744859558672,0.901379477328992,-0.420906601046993,0.541506851927957,0.352690096823575
"RARA",0.536653667107782,1.37194570135747,0.853902204925246,"['NFATC2']",0.94915505593926,0,0,1,"RARA",0.94915505593926,6.69349767712409e-05,0.000810052703179496,0.943567910427145,NA,0.0456398664892035,0.364051989145326,0.189642422536209
"FOXP3",0.536653667107782,1.37194570135747,0.853902204925246,"['NFATC2']",0.94915505593926,0,0,1,"FOXP3",0.94915505593926,NA,NA,NA,NA,NA,NA,NA
"TRIM28",0.56154291419986,1.27310924369748,0.734669433707185,"['NR4A3']",0.94915505593926,0,0,1,"TRIM28",0.94915505593926,1.7593798042496e-26,2.45556321719191e-12,0.927344983722118,0.927218449089359,0.0361798358945885,0.557775819190193,0.813662977904823
"CEBPB",0.56154291419986,1.27310924369748,0.734669433707185,"['CDK2AP1']",0.94915505593926,0,0,1,"CEBPB",0.94915505593926,1.04143162171307e-34,1.79648417444364e-14,0.903038390238289,0.903292131902733,-0.134105085010433,0.0613358637144763,0.308182179864833
"HDAC2",0.628551437465674,1.04636678200692,0.485867244259607,"['CDK2AP1']",0.94915505593926,0,0,1,"HDAC2",0.94915505593926,1.74919574693897e-15,6.05273724786236e-09,NA,0.970980982060823,NA,0.975664672375784,0.781295904527041
"POU5F1",0.64855423551981,0.987581699346405,0.42763240248816,"['HIST1H3E']",0.94915505593926,0,0,1,"POU5F1",0.94915505593926,0.00116147713341059,0.539644047615987,0.851673789411829,0.849775164171076,-0.706576605824226,0.897483269368464,0.917115851639006
"FOS",0.64855423551981,0.987581699346405,0.42763240248816,"['NFATC2']",0.94915505593926,0,0,1,"FOS",0.94915505593926,0.0475609858299878,0.443903000260971,0.939943934884615,NA,0.517595609131211,0.287780362319972,0.0220564096350083
"SP1",0.667491720382907,0.934984520123839,0.377947196275637,"['MYO1E']",0.94915505593926,0,0,1,"SP1",0.94915505593926,2.02209503263385e-17,5.56302930592507e-08,0.472725664168783,0.470384981514314,-0.43395129016111,0.0248657446014513,0.197034744696626
"SMAD3",0.685419996265473,0.887647058823529,0.335285149718187,"['FOXO4']",0.94915505593926,0,0,1,"SMAD3",0.94915505593926,0.000302128514539483,0.00382651399364274,0.78117009155943,0.779488328455432,0.42310018380362,0.835541518769572,0.249398727699119
"AR",0.761690604879322,0.707764705882353,0.192664053402212,"['ETV5']",0.94915505593926,0,0,1,"AR",0.94915505593926,0.00150620234584865,2.31919566129954e-05,0.651842976944511,0.649586926132127,0.630490757061677,0.252594505694856,0.354128225243795
"BRCA1",0.77458832876363,0.680090497737557,0.173711149283129,"['ETV5']",0.94915505593926,0,0,1,"BRCA1",0.94915505593926,3.49440908795148e-12,3.48100803997801e-06,0.94588242476441,0.946217928695471,0.159614952241556,0.675675839654539,0.134555149181318
"CTNNB1",0.798349205779923,0.630672268907563,0.142033182021763,"['FOXO4']",0.94915505593926,0,0,1,"CTNNB1",0.94915505593926,6.03277697495062e-10,0.000244010339417671,NA,NA,NA,0.204391897058283,0.130217896471337
"EP300",0.847459871374339,0.533333333333333,0.0882729548049917,"['NFATC2']",0.94915505593926,0,0,1,"EP300",0.94915505593926,1.47934821874309e-24,1.17735978516098e-13,0.749693521205087,0.747131543323761,-0.227410046384909,0.00220908391703487,0.0705181752525773
"ESR2",0.847459871374339,0.533333333333333,0.0882729548049917,"['NEFH']",0.94915505593926,0,0,1,"ESR2",0.94915505593926,4.33793579546452e-16,4.41178111306372e-07,0.915755137113664,0.916031393556216,-0.197656172096646,0.851092950724267,0.439308752725862
"MYC",0.932565321510491,0.448979591836735,0.0313459951201537,"['FRMD6', 'ELFN1']",0.991211006887974,0,0,2,"MYC",0.991211006887974,2.95723391115292e-12,3.34246912378661e-05,0.994827730189816,0.994559741432228,-0.00214439114135902,0.0680366629499619,0.0920850731744788
"ILF3",0.955810613784832,0.315294117647059,0.0142498716024036,"['MYO1E']",0.991211006887974,0,0,1,"ILF3",0.991211006887974,4.71845107836878e-41,4.91296540471069e-25,0.990786315107961,0.99058578959213,-0.00352015580062825,0.0750167960252332,0.226428429990682
"ESR1",0.99826123076518,0.150291467938527,0.000261549633888906,"['FOXO4']",0.99826123076518,0,0,1,"ESR1",0.99826123076518,0.0002849185228894,0.0238693355103788,0.964223577468463,0.965320514684242,-0.262972617423123,0.915059213662272,0.778858819404049
