Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-4275,0.00259605092625245,18.3855421686747,109.46317656794913,"['SPRED1', 'UBASH3B', 'MTRNR2L8']",0.6131372851451123,0,0,3
2,hsa-miR-4791,0.008121042480496608,36.38095238095238,175.11231981172114,"['SPRED1', 'PRELP']",0.6131372851451123,0,0,2
3,hsa-miR-3201,0.008121042480496608,36.38095238095238,175.11231981172114,"['SPRED1', 'PRELP']",0.6131372851451123,0,0,2
4,hsa-miR-3123,0.01332780509729471,7.8588640275387265,33.93381112463397,"['TMEM47', 'FRMD6', 'MALL']",0.6131372851451123,0,0,3
5,hsa-miR-4659a-5p,0.015680510978337565,18.178571428571427,75.5380845869112,"['NR4A3', 'GSG1']",0.6131372851451123,0,0,2
6,hsa-miR-4512,0.015680510978337565,18.178571428571427,75.5380845869112,"['TMEM184A', 'NFATC2']",0.6131372851451123,0,0,2
7,hsa-miR-4659b-5p,0.015680510978337565,18.178571428571427,75.5380845869112,"['NR4A3', 'GSG1']",0.6131372851451123,0,0,2
8,hsa-miR-190b,0.02523426690355913,12.11111111111111,44.56346808141656,"['SPRED1', 'MTRNR2L8']",0.6131372851451123,0,0,2
9,hsa-miR-3173-5p,0.02523426690355913,12.11111111111111,44.56346808141656,"['TMEM184A', 'ETV5']",0.6131372851451123,0,0,2
10,hsa-miR-451b,0.02523426690355913,12.11111111111111,44.56346808141656,"['SPRED1', 'NFATC2']",0.6131372851451123,0,0,2
11,hsa-miR-6799-3p,0.02523426690355913,12.11111111111111,44.56346808141656,"['TMEM184A', 'ETV5']",0.6131372851451123,0,0,2
12,hsa-miR-6770-5p,0.034644269199663555,4.9879518072289155,16.77260126082416,"['RASL10B', 'PRELP', 'HIST1H3E']",0.6131372851451123,0,0,3
13,hsa-miR-6817-3p,0.034644269199663555,4.9879518072289155,16.77260126082416,"['GJD2', 'PSG4', 'RPP25']",0.6131372851451123,0,0,3
14,hsa-miR-190a-5p,0.03655340151145647,9.077380952380953,30.036881396274886,"['SPRED1', 'MTRNR2L8']",0.6131372851451123,0,0,2
15,hsa-miR-20b-3p,0.03655340151145647,9.077380952380953,30.036881396274886,"['GJD2', 'NFATC2']",0.6131372851451123,0,0,2
16,hsa-miR-876-5p,0.03655340151145647,9.077380952380953,30.036881396274886,"['RPP25', 'HIST1H3E']",0.6131372851451123,0,0,2
17,hsa-miR-6842-3p,0.03655340151145647,9.077380952380953,30.036881396274886,"['TMEM184A', 'SPRED2']",0.6131372851451123,0,0,2
18,hsa-miR-1290,0.03655340151145647,9.077380952380953,30.036881396274886,"['RPP25', 'HIST1H3E']",0.6131372851451123,0,0,2
19,hsa-miR-3154,0.03655340151145647,9.077380952380953,30.036881396274886,"['NR4A3', 'PRELP']",0.6131372851451123,0,0,2
20,hsa-miR-3167,0.03655340151145647,9.077380952380953,30.036881396274886,"['RPP25', 'HIST1H3E']",0.6131372851451123,0,0,2
21,hsa-miR-129-5p,0.040226478825307825,3.502903600464576,11.255634315908399,"['GJD2', 'RAET1E', 'HOMER1', 'NFATC2']",0.6131372851451123,0,0,4
22,hsa-miR-3150b-3p,0.04167604899592871,4.569277108433735,14.520379841106672,"['TMEM184A', 'PRELP', 'RPP25']",0.6131372851451123,0,0,3
23,hsa-miR-25-5p,0.04167604899592871,4.569277108433735,14.520379841106672,"['SPRED1', 'MALL', 'RPP25']",0.6131372851451123,0,0,3
24,hsa-miR-4784,0.04167604899592871,4.569277108433735,14.520379841106672,"['TMEM184A', 'PRELP', 'RPP25']",0.6131372851451123,0,0,3
25,hsa-miR-455-5p,0.049427254728420175,7.257142857142857,21.82406674603809,"['UBASH3B', 'GSG1']",0.6131372851451123,0,0,2
26,hsa-miR-369-5p,0.05325055559463514,inf,inf,['NR4A3'],0.6131372851451123,0,0,1
27,mmu-miR-3070b-5p,0.05325055559463514,inf,inf,['SLC5A3'],0.6131372851451123,0,0,1
28,hsa-miR-4766-3p,0.05325055559463514,inf,inf,['SLC5A3'],0.6131372851451123,0,0,1
29,hsa-miR-1277-3p,0.05325055559463514,inf,inf,['SPRED1'],0.6131372851451123,0,0,1
30,mmu-miR-338-5p,0.05325055559463514,inf,inf,['ELFN1'],0.6131372851451123,0,0,1
31,hsa-miR-4777-3p,0.05325055559463514,inf,inf,['NR4A3'],0.6131372851451123,0,0,1
32,mmu-miR-370-3p,0.05325055559463514,inf,inf,['SLC5A3'],0.6131372851451123,0,0,1
33,mmu-miR-683,0.05325055559463514,inf,inf,['SLC5A3'],0.6131372851451123,0,0,1
34,mmu-miR-3074-1-3p,0.05325055559463514,inf,inf,['SLC5A3'],0.6131372851451123,0,0,1
35,mmu-miR-350-3p,0.05325055559463514,inf,inf,['EHF'],0.6131372851451123,0,0,1
36,hsa-miR-301b-5p,0.05325055559463514,inf,inf,['PSG4'],0.6131372851451123,0,0,1
37,mmu-miR-144-3p,0.05325055559463514,inf,inf,['SPRED1'],0.6131372851451123,0,0,1
38,hsa-miR-6821-5p,0.05325055559463514,inf,inf,['RAET1E'],0.6131372851451123,0,0,1
39,hsa-miR-212-5p,0.06366215634955497,6.0436507936507935,16.645211396172666,"['GJD2', 'RASL10B']",0.6131372851451123,0,0,2
40,hsa-miR-2113,0.06366215634955497,6.0436507936507935,16.645211396172666,"['HOMER1', 'RPP25']",0.6131372851451123,0,0,2
41,hsa-miR-3921,0.06366215634955497,6.0436507936507935,16.645211396172666,"['PSG4', 'HIST1H3E']",0.6131372851451123,0,0,2
42,hsa-miR-4653-5p,0.06366215634955497,6.0436507936507935,16.645211396172666,"['PSG4', 'HIST1H3E']",0.6131372851451123,0,0,2
43,hsa-miR-8485,0.07130770200996865,2.819887429643527,7.446620365906186,"['GJD2', 'RAET1E', 'NFATC2', 'PTGES']",0.6131372851451123,0,0,4
44,hsa-miR-6895-3p,0.07908024705704403,5.1768707482993195,13.135233545101583,"['GJD2', 'RPP25']",0.6131372851451123,0,0,2
45,hsa-miR-4309,0.07908024705704403,5.1768707482993195,13.135233545101583,"['GJD2', 'APOBEC4']",0.6131372851451123,0,0,2
46,hsa-miR-4306,0.08633241832295523,3.2147413182140325,7.874669932237453,"['TMEM184A', 'PRELP', 'RPP25']",0.6131372851451123,0,0,3
47,hsa-miR-4644,0.08633241832295523,3.2147413182140325,7.874669932237453,"['TMEM184A', 'PRELP', 'RPP25']",0.6131372851451123,0,0,3
48,hsa-miR-2276-5p,0.09551837464646203,4.526785714285714,10.630869456975239,"['FRMD6', 'PSG4']",0.6131372851451123,0,0,2
49,hsa-miR-4723-3p,0.09551837464646203,4.526785714285714,10.630869456975239,"['FRMD6', 'PSG4']",0.6131372851451123,0,0,2
50,hsa-miR-3198,0.09551837464646203,4.526785714285714,10.630869456975239,"['GJD2', 'APOBEC4']",0.6131372851451123,0,0,2
51,hsa-miR-646,0.09551837464646203,4.526785714285714,10.630869456975239,"['SPRED1', 'GSG1']",0.6131372851451123,0,0,2
52,hsa-miR-496,0.09551837464646203,4.526785714285714,10.630869456975239,"['TMEM47', 'NFATC2']",0.6131372851451123,0,0,2
53,hsa-miR-3183,0.09551837464646203,4.526785714285714,10.630869456975239,"['FRMD6', 'PSG4']",0.6131372851451123,0,0,2
54,hsa-miR-6769b-3p,0.09551837464646203,4.526785714285714,10.630869456975239,"['FRMD6', 'PSG4']",0.6131372851451123,0,0,2
55,hsa-miR-8056,0.1036968399127254,17.976470588235294,40.739781155366295,['RPP25'],0.6131372851451123,0,0,1
56,mmu-miR-126a-3p,0.1036968399127254,17.976470588235294,40.739781155366295,['SPRED1'],0.6131372851451123,0,0,1
57,hsa-miR-6767-3p,0.1036968399127254,17.976470588235294,40.739781155366295,['ELFN1'],0.6131372851451123,0,0,1
58,hsa-miR-5684,0.1036968399127254,17.976470588235294,40.739781155366295,['MTRNR2L8'],0.6131372851451123,0,0,1
59,hsa-miR-3908,0.1036968399127254,17.976470588235294,40.739781155366295,['SLC5A3'],0.6131372851451123,0,0,1
60,mmu-miR-323-3p,0.1036968399127254,17.976470588235294,40.739781155366295,['EHF'],0.6131372851451123,0,0,1
61,hsa-miR-491-3p,0.1036968399127254,17.976470588235294,40.739781155366295,['UBASH3B'],0.6131372851451123,0,0,1
62,mmu-miR-3095-5p,0.1036968399127254,17.976470588235294,40.739781155366295,['FRMD6'],0.6131372851451123,0,0,1
63,mmu-miR-1897-5p,0.1036968399127254,17.976470588235294,40.739781155366295,['HOMER1'],0.6131372851451123,0,0,1
64,hsa-miR-4429,0.1036968399127254,17.976470588235294,40.739781155366295,['MTRNR2L8'],0.6131372851451123,0,0,1
65,hsa-miR-4711-3p,0.1036968399127254,17.976470588235294,40.739781155366295,['GSG1'],0.6131372851451123,0,0,1
66,hsa-miR-4715-5p,0.1036968399127254,17.976470588235294,40.739781155366295,['SPRED2'],0.6131372851451123,0,0,1
