Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Cytoplasmic Ribosomal Proteins WP477,3.953483056155839e-27,inf,inf,"['RPL3', 'RPL32', 'RPL34', 'RPLP1', 'RPL10A', 'RPL8', 'RPL9', 'RPL7', 'RPS4X', 'RPS15', 'RPL7A', 'RPS14', 'RPS16', 'RPL18A', 'RPS19', 'RPS18', 'RPL35', 'RPLP2', 'RPL38', 'RPL39', 'RPS10', 'RPS13', 'RPS12', 'RPS9', 'RPS7', 'RPL21', 'RPS5', 'RPSA', 'RPS3A', 'RPL24', 'RPL26', 'RPL29', 'UBA52', 'RPL12', 'RPL11', 'RPL36A', 'RPS15A', 'RPL13', 'RPS2', 'RPL15', 'RPS27A', 'RPL18', 'RPL17', 'RPL19', 'RPL41', 'RPL35A', 'RPL23A', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPL27A', 'FAU', 'RPS21', 'RPS23']",1.0753473912743883e-24,0,0,55
2,Electron Transport Chain (OXPHOS system in mitochondria) WP111,9.236200589798808e-20,inf,inf,"['COX7B', 'NDUFB7', 'UQCRB', 'NDUFB10', 'COX4I1', 'COX17', 'NDUFB3', 'NDUFB2', 'ATP5MC3', 'COX7A2', 'UQCR11', 'UQCR10', 'COX6A1', 'COX5B', 'COX7A1', 'COX7C', 'UQCRH', 'ATP5MC1', 'ATP5IF1', 'ATP5F1B', 'UQCRFS1', 'ATP5MF', 'COX8A', 'ATP5PF', 'NDUFA6', 'NDUFA4', 'NDUFA3', 'NDUFA1', 'NDUFC2', 'NDUFC1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'COX6B1', 'UQCRQ', 'NDUFS6', 'NDUFS5', 'SLC25A5', 'SLC25A4', 'SLC25A6']",1.256123280212638e-17,0,0,40
3,Nonalcoholic fatty liver disease WP4396,4.3763417323339506e-13,17.87162162162162,508.5797610069632,"['NDUFA13', 'COX7B', 'NDUFB7', 'NDUFA11', 'UQCRB', 'NDUFB10', 'NDUFB11', 'COX4I1', 'NDUFB3', 'NDUFB2', 'COX7A2', 'UQCR11', 'UQCR10', 'COX6A1', 'COX5B', 'COX7A1', 'COX7C', 'UQCRH', 'SOCS3', 'UQCRFS1', 'COX8A', 'XBP1', 'NDUFA6', 'NDUFA4', 'NDUFA3', 'NDUFA1', 'NDUFC2', 'NDUFC1', 'COX6C', 'COX6B1', 'UQCRQ', 'NDUFS6', 'DDIT3', 'NDUFS5', 'CYCS']",3.9678831706494486e-11,0,0,35
4,Mitochondrial CIV Assembly WP4922,1.037854936821487e-08,inf,inf,"['COX8A', 'COA3', 'COX7B', 'PET100', 'NDUFA4', 'COX4I1', 'COX17', 'COX7A2', 'COX6A1', 'HIGD1A', 'COX5B', 'COX6C', 'COX7C', 'PET117', 'COX6B1', 'SCO2', 'COX14']",7.057413570386112e-07,0,0,17
5,Oxidative phosphorylation WP623,1.5910402130350003e-08,37.750936329588015,677.8668631728974,"['ATP5PF', 'NDUFB7', 'NDUFA6', 'NDUFA11', 'NDUFB10', 'NDUFA4', 'NDUFA3', 'ATP6AP2', 'NDUFB2', 'NDUFC2', 'ATP5MC3', 'NDUFC1', 'ATP5F1D', 'ATP5F1E', 'ATP5MC1', 'ATP5F1B', 'NDUFS6', 'NDUFS5', 'ATP5MF']",8.655258758910402e-07,0,0,19
6,Mitochondrial complex I assembly model OXPHOS system WP4324,2.8084216336206224e-06,27.558441558441558,352.27646992979413,"['NDUFA13', 'NDUFB7', 'NDUFA6', 'NDUFB10', 'NDUFB11', 'NDUFA3', 'NDUFB3', 'NDUFB2', 'NDUFA1', 'NDUFC2', 'NDUFC1', 'NDUFS6', 'NDUFS5', 'NDUFAF3']",0.00012731511405746822,0,0,14
7,Mitochondrial complex III assembly WP4921,0.0005382128601929445,inf,inf,"['UQCRB', 'UQCC3', 'UQCRQ', 'UQCRFS1', 'UQCR11', 'UQCR10', 'UQCRH']",0.0209134139960687,0,0,7
8,Pyrimidine metabolism WP4022,0.0011489382971651536,15.574311926605505,105.42122449687763,"['POLE3', 'NME2', 'POLR2I', 'DCTPP1', 'POLR3K', 'POLR2K', 'NME1', 'POLR2L']",0.03906390210361522,0,0,8
9,Cori Cycle WP1946,0.0015831640192347902,inf,inf,"['LDHA', 'TPI1', 'PGAM1', 'PGK1', 'ALDOA', 'GAPDH']",0.047846734803540326,0,0,6
10,Alzheimer's disease WP2059,0.0020020484603155493,6.500920810313075,40.3940200833863,"['PSENEN', 'ATP5MD', 'CDK5', 'BAD', 'LPL', 'CYCS', 'CALM3', 'CALM1', 'GAPDH', 'CALM2']",0.05445571812058294,0,0,10
11,Ciliary landscape WP4352,0.0022169480795218967,5.368081180811808,32.80769253251896,"['PSMD8', 'EXOSC4', 'ARHGDIA', 'NEFL', 'COPS7A', 'DYNLRB1', 'CALM1', 'DYNLL1', 'COX6C', 'CALM2', 'LSM4']",0.054819079784541445,0,0,11
12,7q11.23 copy number variation syndrome WP4932,0.0040213539097062115,7.779816513761468,42.91453092087916,"['ATP5F1B', 'CFL1', 'HMGA1', 'ATP5MC3', 'GAPDH', 'ATP5F1D', 'ATP5F1E', 'ATP5MC1']",0.09115068862000747,0,0,8
13,Glycolysis and Gluconeogenesis WP534,0.004873972080646005,4.871086556169429,25.932914931098242,"['LDHA', 'TPI1', 'PKM', 'MDH2', 'PGAM1', 'PGK1', 'ALDOC', 'ENO2', 'ALDOA', 'GAPDH']",0.10197849276428565,0,0,10
14,Computational Model of Aerobic Glycolysis WP4629,0.007852904559133464,11.638025594149909,56.40801815412439,"['LDHA', 'TPI1', 'PKM', 'PGK1', 'ALDOA', 'GAPDH']",0.1525707171488787,0,0,6
15,Eukaryotic Transcription Initiation WP405,0.013648949187285696,inf,inf,"['TAF13', 'POLR2I', 'POLR3K', 'POLR2K']",0.24750094526278063,0,0,4
