Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Regulation Of Intracellular Transport (GO:0032386),0.0015803765413953943,14.786050156739812,95.37138594195397,"['PTPN1', 'TMEM53', 'NEFH']",0.30505253277222244,0,0,3
2,Negative Regulation Of Microglial Cell Activation (GO:1903979),0.001767775992148516,43.05982905982906,272.91461859189513,"['PTPRC', 'TAFA3']",0.30505253277222244,0,0,2
3,Negative Regulation Of Macrophage Activation (GO:0043031),0.002993566291517289,30.752136752136753,178.70958056376338,"['PTPRC', 'TAFA3']",0.30505253277222244,0,0,2
4,Regulation Of Microglial Cell Activation (GO:1903978),0.002993566291517289,30.752136752136753,178.70958056376338,"['PTPRC', 'TAFA3']",0.30505253277222244,0,0,2
5,Negative Regulation Of Neuroinflammatory Response (GO:0150079),0.0037191257189365737,26.905982905982906,150.51924312843713,"['PTPRC', 'TAFA3']",0.30505253277222244,0,0,2
6,Negative Regulation Of ERK1 And ERK2 Cascade (GO:0070373),0.005307087584123558,9.28448275862069,48.63873190766459,"['SPRED2', 'PTPN1', 'PTPRC']",0.30505253277222244,0,0,3
7,Positive Regulation Of Phosphoprotein Phosphatase Activity (GO:0032516),0.006329364331933886,19.563325563325563,99.04042082956364,"['PTPRC', 'GNA12']",0.30505253277222244,0,0,2
8,Natural Killer Cell Activation (GO:0030101),0.006329364331933886,19.563325563325563,99.04042082956364,"['FCGR3A', 'PTPRC']",0.30505253277222244,0,0,2
9,Positive Regulation Of Peptidyl-Serine Phosphorylation (GO:0033138),0.007505692931817305,8.120689655172415,39.72717298665669,"['LATS1', 'PAK1', 'SFRP2']",0.30505253277222244,0,0,3
10,Regulation Of Intracellular Estrogen Receptor Signaling Pathway (GO:0033146),0.008416968986653452,16.55095332018409,79.07227040765031,"['LATS1', 'PAK1']",0.30505253277222244,0,0,2
11,Fc-gamma Receptor Signaling Pathway (GO:0038094),0.010769956688523525,14.341880341880342,64.98298538487143,"['FCGR3A', 'PAK1']",0.30505253277222244,0,0,2
12,Positive Regulation Of JUN Kinase Activity (GO:0043507),0.013377886770429535,12.652589240824534,54.58519540768543,"['PTPN1', 'PAK1']",0.30505253277222244,0,0,2
13,Regulation Of Peptidyl-Serine Phosphorylation (GO:0033135),0.014717109117162515,6.2407161803713525,26.327987539204344,"['LATS1', 'PAK1', 'SFRP2']",0.30505253277222244,0,0,3
14,Negative Regulation Of Epithelial To Mesenchymal Transition (GO:0010719),0.014774272307621579,11.948717948717949,50.36226854671729,"['SPRED2', 'SFRP2']",0.30505253277222244,0,0,2
15,Negative Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050732),0.014774272307621579,11.948717948717949,50.36226854671729,"['PTPRC', 'SFRP2']",0.30505253277222244,0,0,2
16,Leukocyte Cell-Cell Adhesion (GO:0007159),0.014774272307621579,11.948717948717949,50.36226854671729,"['JAM2', 'ICAM1']",0.30505253277222244,0,0,2
17,Negative Regulation Of Protein Phosphorylation (GO:0001933),0.015839167709491567,4.3920948616600795,18.20641659694348,"['SPRED2', 'PTPRC', 'SFRP2', 'CEP85']",0.30505253277222244,0,0,4
18,Negative Regulation Of Protein Kinase Activity (GO:0006469),0.01856318009219177,5.691016333938294,22.68766472267251,"['PTPN1', 'PTPRC', 'CEP85']",0.30505253277222244,0,0,3
19,Positive Regulation Of Microglial Cell Activation (GO:1903980),0.01862521121516761,106.77118644067797,425.29517252437876,['TAFA3'],0.30505253277222244,0,0,1
20,Growth Hormone Receptor Signaling Pathway Via JAK-STAT (GO:0060397),0.01862521121516761,106.77118644067797,425.29517252437876,['PTPN1'],0.30505253277222244,0,0,1
21,Positive Regulation Of Peptide Secretion (GO:0002793),0.01862521121516761,106.77118644067797,425.29517252437876,['RASL10B'],0.30505253277222244,0,0,1
22,Cardiolipin Acyl-Chain Remodeling (GO:0035965),0.01862521121516761,106.77118644067797,425.29517252437876,['THEM5'],0.30505253277222244,0,0,1
23,Polyamine Biosynthetic Process (GO:0006596),0.01862521121516761,106.77118644067797,425.29517252437876,['SLC38A2'],0.30505253277222244,0,0,1
24,Natural Killer Cell Degranulation (GO:0043320),0.01862521121516761,106.77118644067797,425.29517252437876,['FCGR3A'],0.30505253277222244,0,0,1
25,Regulation Of Insulin Receptor Signaling Pathway (GO:0046626),0.020947176343879832,9.773115773115773,37.780436201392305,"['PTPN1', 'SIK2']",0.30505253277222244,0,0,2
26,Regulation Of Protein Tyrosine Kinase Activity (GO:0061097),0.020947176343879832,9.773115773115773,37.780436201392305,"['PTPN1', 'PTPRC']",0.30505253277222244,0,0,2
27,Peptidyl-Tyrosine Dephosphorylation (GO:0035335),0.020947176343879832,9.773115773115773,37.780436201392305,"['PTPN1', 'PTPN9']",0.30505253277222244,0,0,2
28,Visual Perception (GO:0007601),0.022004014851241347,5.316139061616733,20.289206068353064,"['ROM1', 'CRYBB3', 'DRAM2']",0.30505253277222244,0,0,3
29,Stem Cell Differentiation (GO:0048863),0.022631250055395506,9.34745447788926,35.41211697573127,"['PTPRC', 'METTL5']",0.30505253277222244,0,0,2
30,Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001959),0.022631250055395506,9.34745447788926,35.41211697573127,"['PTPN1', 'PTPRC']",0.30505253277222244,0,0,2
31,Amino Acid Transport (GO:0006865),0.022631250055395506,9.34745447788926,35.41211697573127,"['SLC38A11', 'SLC38A2']",0.30505253277222244,0,0,2
32,Sensory Perception Of Light Stimulus (GO:0050953),0.023846205773063338,5.146551724137931,19.228187123688844,"['ROM1', 'CRYBB3', 'DRAM2']",0.30505253277222244,0,0,3
33,Amino Acid Transmembrane Transport (GO:0003333),0.02436932504484158,8.957264957264957,33.27113464150431,"['SLC38A11', 'SLC38A2']",0.30505253277222244,0,0,2
34,Positive Regulation Of Transcription Elongation By RNA Polymerase II (GO:0032968),0.02436932504484158,8.957264957264957,33.27113464150431,"['ELL', 'MED26']",0.30505253277222244,0,0,2
35,Carboxylic Acid Transmembrane Transport (GO:1905039),0.02436932504484158,8.957264957264957,33.27113464150431,"['SLC38A11', 'SLC38A2']",0.30505253277222244,0,0,2
36,Regulation Of JUN Kinase Activity (GO:0043506),0.026160261485658903,8.598290598290598,31.327990079955686,"['PTPN1', 'PAK1']",0.30505253277222244,0,0,2
