Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,IL-2/STAT5 Signaling,0.006770879361802847,4.485907391429393,22.40766506124055,"['IFITM3', 'SPRED2', 'MYO1E', 'KLF6', 'EMP1']",0.18958462213047972,0,0,5
2,Apoptosis,0.017423367184098912,4.261892583120205,17.260422170508164,"['IFITM3', 'PAK1', 'EMP1', 'NEFH']",0.19265382229483546,0,0,4
3,Interferon Gamma Response,0.02610410222196093,3.743328335832084,13.646912876161563,"['IFITM3', 'PTPN1', 'LAP3', 'ICAM1']",0.19265382229483546,0,0,4
4,KRAS Signaling Up,0.027521974613547925,3.6792925571112747,13.218853820933804,"['MAP4K1', 'SERPINA3', 'CAB39L', 'EMP1']",0.19265382229483546,0,0,4
5,Allograft Rejection,0.05950019557226222,3.5161169415292353,9.921693271910359,"['MAP4K1', 'PTPRC', 'ICAM1']",0.33320109520466845,0,0,3
6,Interferon Alpha Response,0.09362045451679855,4.046766650540236,9.584792663402443,"['IFITM3', 'LAP3']",0.4368954544117266,0,0,2
7,p53 Pathway,0.1142461600765617,2.6234230445752735,5.69125358458823,"['POM121', 'SESN1', 'PITPNC1']",0.4500071256154464,0,0,3
8,Mitotic Spindle,0.12857346446155613,2.480769230769231,5.088689867071912,"['LATS1', 'BCR', 'MYO1E']",0.4500071256154464,0,0,3
9,Spermatogenesis,0.14906969901418654,3.0164921150836643,5.741414035202495,"['THEG', 'NEFH']",0.4637723969330248,0,0,2
10,Pancreas Beta Cells,0.18695917327619657,5.076271186440678,8.512221537316615,['SCGN'],0.5069477340115016,0,0,1
11,Apical Surface,0.23163007290319398,3.946327683615819,5.77195290812183,['RHCG'],0.5069477340115016,0,0,1
12,Inflammatory Response,0.2472759109570293,2.1367521367521367,2.985578028588634,"['KLF6', 'ICAM1']",0.5069477340115016,0,0,2
13,DNA Repair,0.27504714937241476,1.9772079772079771,2.5522052540212483,"['POM121', 'ELL']",0.5069477340115016,0,0,2
14,heme Metabolism,0.2854588821837233,1.9233079233079233,2.4111689809488235,"['RANBP10', 'MOSPD1']",0.5069477340115016,0,0,2
15,KRAS Signaling Dn,0.2958570451505707,1.8722447143499774,2.280167327422702,"['NRIP2', 'SIDT1']",0.5069477340115016,0,0,2
16,Complement,0.31658409201990517,1.7777777777777777,2.044740229515374,"['PREP', 'LAP3']",0.5069477340115016,0,0,2
17,Apical Junction,0.3200267212463498,1.7629441265804902,2.0086117706164934,"['PTPRC', 'ICAM1']",0.5069477340115016,0,0,2
18,IL-6/JAK/STAT3 Signaling,0.332940859392298,2.5338983050847457,2.786757041142908,['PTPN1'],0.5069477340115016,0,0,1
19,TNF-alpha Signaling via NF-kB,0.3440002480792333,1.6655982905982907,1.7773814228623002,"['KLF6', 'ICAM1']",0.5069477340115016,0,0,2
20,PI3K/AKT/mTOR  Signaling,0.45289185589480274,1.6864406779661016,1.3358328833132882,['CAB39L'],0.6107153609480962,0,0,1
21,Androgen Response,0.45803652071107215,1.659957627118644,1.2961054701000463,['SLC38A2'],0.6107153609480962,0,0,1
22,Unfolded Protein Response,0.5207089490117884,1.3782742681047766,0.8994122142283669,['FKBP14'],0.6608625050420066,0,0,1
23,Coagulation,0.5428513434273625,1.2937164117403885,0.7903569269358955,['PREP'],0.6608625050420066,0,0,1
24,UV Response Up,0.6655924874559896,0.9200442151805454,0.3745294613137016,['ICAM1'],0.7337427221499905,0,0,1
25,Estrogen Response Late,0.7260422014149032,0.7766699900299102,0.24864867383865127,['SERPINA3'],0.7337427221499905,0,0,1
26,Adipogenesis,0.7312000334629002,0.7652910832719234,0.23958831192434368,['DRAM2'],0.7337427221499905,0,0,1
27,Glycolysis,0.7312000334629002,0.7652910832719234,0.23958831192434368,['HOMER1'],0.7337427221499905,0,0,1
28,Hypoxia,0.7337427221499905,0.7597244238507499,0.23520827071038694,['KLF6'],0.7337427221499905,0,0,1
