Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Excitatory Synapse (GO:0060076),0.01647547228073717,12.848484848484848,52.75436950842521,"['SLC17A6', 'ELFN1']",0.5779520995190817,0,0,2
2,Early Endosome Membrane (GO:0031901),0.03069086775074394,4.836267605633803,16.848541379774566,"['IFITM3', 'TMEM184A', 'SNX8']",0.5779520995190817,0,0,3
3,Neuron Projection (GO:0043005),0.04185757329541436,2.1638056883966774,6.866799562483199,"['SCGN', 'CHRNA2', 'CHRNB3', 'HOMER1', 'STMND1', 'SLC17A6', 'ELFN1', 'NEFH']",0.5779520995190817,0,0,8
4,CD40 Receptor Complex (GO:0035631),0.050558176152113915,38.3125,114.34865996728333,['DIABLO'],0.5779520995190817,0,0,1
5,Vesicle Membrane (GO:0012506),0.054979061318118,5.922538999462076,17.180118124617035,"['TRARG1', 'TMEM184A']",0.5779520995190817,0,0,2
6,Sin3 Complex (GO:0016580),0.07487698544889396,19.15277777777778,49.642251467290485,['ING1'],0.5779520995190817,0,0,1
7,Sin3-type Complex (GO:0070822),0.07487698544889396,19.15277777777778,49.642251467290485,['ING1'],0.5779520995190817,0,0,1
8,Acetylcholine-Gated Channel Complex (GO:0005892),0.07487698544889396,19.15277777777778,49.642251467290485,['CHRNA2'],0.5779520995190817,0,0,1
9,Filopodium Membrane (GO:0031527),0.07487698544889396,19.15277777777778,49.642251467290485,['TBC1D10C'],0.5779520995190817,0,0,1
10,Microvillus (GO:0005902),0.08382855140127339,4.525709584533114,11.21915088057677,"['MYO1E', 'STARD10']",0.5779520995190817,0,0,2
11,Collagen-Containing Extracellular Matrix (GO:0062023),0.08392250418607262,2.0646845355573946,5.116002269059945,"['SERPINA3', 'SEMA7A', 'SFRP2', 'ADAMTS1', 'PRELP', 'ICAM1']",0.5779520995190817,0,0,6
12,Prespliceosome (GO:0071010),0.09857709205507181,12.766203703703704,29.578226426405546,['LUC7L2'],0.5779520995190817,0,0,1
13,Ribonuclease MRP Complex (GO:0000172),0.09857709205507181,12.766203703703704,29.578226426405546,['RPP25'],0.5779520995190817,0,0,1
14,Serine-Type Endopeptidase Complex (GO:1905370),0.09857709205507181,12.766203703703704,29.578226426405546,['COLEC11'],0.5779520995190817,0,0,1
15,U2-type Prespliceosome (GO:0071004),0.09857709205507181,12.766203703703704,29.578226426405546,['LUC7L2'],0.5779520995190817,0,0,1
16,Endoribonuclease Complex (GO:1902555),0.09857709205507181,12.766203703703704,29.578226426405546,['RPP25'],0.5779520995190817,0,0,1
17,Endosome Membrane (GO:0010008),0.11264055169740005,2.0387218045112783,4.451658108734768,"['TMEM184A', 'IFITM3', 'IFITM2', 'PLEKHF1', 'SNX8']",0.5779520995190817,0,0,5
18,Early Endosome (GO:0005769),0.11632476467925469,2.2403124678795354,4.819739475241283,"['TMEM184A', 'IFITM3', 'PLEKHF1', 'SNX8']",0.5779520995190817,0,0,4
19,Serine-Type Peptidase Complex (GO:1905286),0.12167412621454352,9.572916666666666,20.164476909610705,['COLEC11'],0.5779520995190817,0,0,1
20,Multimeric Ribonuclease P Complex (GO:0030681),0.12167412621454352,9.572916666666666,20.164476909610705,['RPP25'],0.5779520995190817,0,0,1
21,Actin-Based Cell Projection (GO:0098858),0.13337579032181734,3.341441167528124,6.731616064316377,"['MYO1E', 'STARD10']",0.5955398330303914,0,0,2
22,Cul2-RING Ubiquitin Ligase Complex (GO:0031462),0.14418332799683162,7.656944444444444,14.828972131960093,['FEM1C'],0.5955398330303914,0,0,1
23,Endopeptidase Complex (GO:1905369),0.14418332799683162,7.656944444444444,14.828972131960093,['COLEC11'],0.5955398330303914,0,0,1
24,U2-type Spliceosomal Complex (GO:0005684),0.15109339384437456,3.073006993006993,5.807544179593865,"['RNF113A', 'LUC7L2']",0.5980780173006494,0,0,2
25,Monoatomic Ion Channel Complex (GO:0034702),0.16611955577545587,6.37962962962963,11.451738436678854,['CHRNA2'],0.6069752999487811,0,0,1
26,U1 snRNP (GO:0005685),0.16611955577545587,6.37962962962963,11.451738436678854,['LUC7L2'],0.6069752999487811,0,0,1
27,Heterochromatin (GO:0000792),0.18749729534595178,5.467261904761905,9.15214644958197,['BEND3'],0.6597127058468674,0,0,1
28,SCF Ubiquitin Ligase Complex (GO:0019005),0.28649072327834335,3.1863425925925926,3.9830847629183204,['FBXO39'],0.8932439398480879,0,0,1
29,Dendrite (GO:0030425),0.2871998663611038,1.6442655935613681,2.0513477837067966,"['SCGN', 'HOMER1', 'ELFN1']",0.8932439398480879,0,0,3
30,cullin-RING Ubiquitin Ligase Complex (GO:0031461),0.2923633443248258,1.9153846153846155,2.3554594013262147,"['FBXO39', 'FEM1C']",0.8932439398480879,0,0,2
31,U2-type Precatalytic Spliceosome (GO:0071005),0.34003602748149503,2.5476851851851854,2.748197445387784,['RNF113A'],0.8932439398480879,0,0,1
32,Filopodium (GO:0030175),0.35698212607881735,2.3880208333333335,2.459827582105885,['TBC1D10C'],0.8932439398480879,0,0,1
33,Precatalytic Spliceosome (GO:0071011),0.35698212607881735,2.3880208333333335,2.459827582105885,['RNF113A'],0.8932439398480879,0,0,1
34,Cell-Cell Junction (GO:0005911),0.3577910476863509,1.4360915492957746,1.476023695684671,"['TMEM47', 'MYO1E', 'STARD10']",0.8932439398480879,0,0,3
35,Lytic Vacuole Membrane (GO:0098852),0.3577910476863509,1.4360915492957746,1.476023695684671,"['IFITM3', 'IFITM2', 'PLEKHF1']",0.8932439398480879,0,0,3
36,Vacuolar Lumen (GO:0005775),0.37709591240678536,1.5610104181532753,1.5223843304227829,"['SERPINA3', 'PRELP']",0.8932439398480879,0,0,2
