Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Translation (GO:0006412),8.499963275355113e-93,27.115945006911495,5748.589881003984,"['RPL5', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPL8', 'RPL10A', 'RPL9', 'RPL6', 'RPL7', 'RPS15', 'EEF1B2', 'RPS14', 'RPS17', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL36', 'RPL35', 'RPL38', 'RPL37', 'RPS11', 'RPL39', 'RPS10', 'CHCHD1', 'RPS13', 'RPS9', 'RPL21', 'RPS7', 'RPS8', 'RPS5', 'RPL22', 'RPS6', 'MRPS18B', 'MRPS18A', 'RPSA', 'MRPS18C', 'RPL24', 'RPL27', 'RPL26', 'AURKAIP1', 'RPL29', 'RPL28', 'UBA52', 'MRPL17', 'MRPL14', 'MRPL11', 'MRPL20', 'RPL41', 'MRPL27', 'MRPL21', 'MRPL30', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL27A', 'RPS20', 'RPS21', 'RPS24', 'RPS23', 'MRPS17', 'MRPS15', 'MRPS11', 'RPLP1', 'MRPS12', 'MRPS10', 'MRPL36', 'MRPL34', 'MRPL35', 'MRPL33', 'RPS4X', 'RPL7A', 'MRPL2', 'MRPL40', 'RACK1', 'RPLP2', 'MRPL9', 'TSFM', 'MRPS26', 'MRPS24', 'MRPS23', 'DHPS', 'MRPL49', 'MRPS21', 'RPL13A', 'MRPL47', 'RPS3A', 'MRPS7', 'MRPL46', 'MRPL43', 'MRPL52', 'MRPL53', 'MRPL50', 'MRPL51', 'RPL37A', 'RPL10', 'MRPS33', 'RPL12', 'MRPS34', 'RPL11', 'MRPL57', 'MRPL54', 'MRPL55', 'RPS15A', 'RPL14', 'RPS3', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'GADD45GIP1', 'RWDD1', 'NDUFA7', 'RPL35A', 'RPL23A', 'RPL22L1', 'FAU', 'RPL26L1']",2.1683406315430893e-89,0,0,125
2,Cytoplasmic Translation (GO:0002181),3.6725600949776164e-78,120.48553719008264,21482.661435631973,"['RPL5', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPLP1', 'MRPS12', 'RPL10A', 'RPL8', 'RPL9', 'RPL6', 'RPL7', 'RPS15', 'RPS4X', 'RPL7A', 'RPS14', 'RPS17', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RACK1', 'RPL36', 'RPL35', 'RPLP2', 'RPL38', 'RPL37', 'RPS11', 'RPL39', 'RPS10', 'RPS13', 'RPS9', 'RPL21', 'RPS7', 'RPS8', 'RPS5', 'RPL22', 'RPS6', 'RPL13A', 'RPS3A', 'RPSA', 'RPL37A', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL28', 'UBA52', 'RPL10', 'RPL12', 'RPL11', 'RPS15A', 'RPL14', 'RPS3', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'RWDD1', 'RPL41', 'RPL35A', 'RPL23A', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'EIF3I', 'RPL27A', 'RPL22L1', 'RPS20', 'FAU', 'RPS21', 'RPL26L1', 'RPS24', 'RPS23']",4.68435040114395e-75,0,0,80
3,Peptide Biosynthetic Process (GO:0043043),5.870382708678568e-76,35.15564882826163,6089.891662446972,"['MRPS17', 'RPL5', 'RPL30', 'MRPS15', 'RPL3', 'RPL32', 'RPL34', 'MRPS11', 'RPLP1', 'MRPS12', 'MRPL36', 'RPL10A', 'RPL8', 'MRPL34', 'RPL9', 'MRPL35', 'RPL6', 'RPL7', 'RPS15', 'RPS4X', 'RPS14', 'RPL7A', 'RPS17', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL36', 'RPL35', 'RPLP2', 'RPL38', 'RPL37', 'MRPL9', 'RPS11', 'RPL39', 'RPS10', 'RPS13', 'RPS9', 'RPL21', 'RPS7', 'RPS8', 'RPS5', 'RPL22', 'RPS6', 'DHPS', 'MRPS18B', 'MRPS18A', 'MRPS21', 'RPL13A', 'RPSA', 'RPS3A', 'MRPS7', 'MRPL43', 'MRPS18C', 'MRPL52', 'MRPL51', 'RPL37A', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL28', 'RPL10', 'MRPS33', 'RPL12', 'RPL11', 'MRPL14', 'MRPL11', 'MRPL55', 'RPS15A', 'RPL14', 'RPS3', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'RPL41', 'MRPL27', 'RPL35A', 'RPL23A', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL27A', 'RPS20', 'FAU', 'RPS21', 'RPS24', 'RPS23']",4.9917820966130096e-73,0,0,95
4,Macromolecule Biosynthetic Process (GO:0009059),4.567585348562406e-68,21.396052631578947,3317.6034885264694,"['RPL5', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPL10A', 'RPL8', 'RPL9', 'RPL6', 'RPL7', 'EEF1B2', 'RPS15', 'RPS14', 'RPS17', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL36', 'RPL35', 'RPL38', 'RPL37', 'RPS11', 'RPL39', 'RPS10', 'RPS13', 'RPS9', 'RPL21', 'RPS7', 'RPS8', 'RPS5', 'RPL22', 'RPS6', 'MRPS18B', 'MRPS18A', 'RPSA', 'MRPS18C', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL28', 'MRPL14', 'MRPL11', 'RPL41', 'MRPL27', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL27A', 'RPS20', 'RPS21', 'RPS24', 'RPS23', 'MRPS17', 'MRPS15', 'MRPS11', 'RPLP1', 'MRPS12', 'MRPL36', 'MRPL34', 'MRPL35', 'RPS4X', 'RPL7A', 'RPLP2', 'MRPL9', 'TSFM', 'DHPS', 'MRPS21', 'RPL13A', 'RPS3A', 'MRPS7', 'MRPL43', 'MRPL52', 'MRPL51', 'RPL37A', 'RPL10', 'MRPS33', 'RPL12', 'RPL11', 'MRPL55', 'RPS15A', 'POLD2', 'RPL14', 'RPS3', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'RPL35A', 'RPL23A', 'FAU']",2.9129775560456746e-65,0,0,98
5,Gene Expression (GO:0010467),2.9248699002092373e-58,12.495596543702227,1655.3752121119126,"['RPL5', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPL8', 'RPL10A', 'RPL9', 'RPL6', 'RPL7', 'RPS15', 'RPS14', 'RPS17', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL36', 'RPL35', 'RPL38', 'RPL37', 'RPS11', 'RPL39', 'RPS10', 'RPS13', 'RPS9', 'RPL21', 'RPS7', 'RPS8', 'RPS5', 'RPL22', 'RPS6', 'MRPS18B', 'MRPS18A', 'RPSA', 'THOC7', 'MRPS18C', 'PRPF4', 'RPL24', 'SRSF3', 'RPL27', 'RPL26', 'RPL29', 'RPL28', 'DHX8', 'MRPL14', 'MRPL11', 'RPL41', 'ALYREF', 'MRPL27', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL27A', 'RPS20', 'RPS21', 'RPS24', 'RPS23', 'MRPS17', 'MRPS15', 'MRPS11', 'RPLP1', 'MRPS12', 'MRPL36', 'MRPL34', 'MRPL35', 'SMG6', 'RPS4X', 'RPL7A', 'RPLP2', 'MRPL9', 'DHPS', 'MRPS21', 'RPL13A', 'RPS3A', 'MRPS7', 'MRPL43', 'MRPL52', 'MRPL51', 'RPL37A', 'RNASEL', 'RPL10', 'MRPS33', 'RPL12', 'RPL11', 'MRPL55', 'EXOSC5', 'RPS15A', 'RPL14', 'RPS3', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'RPL35A', 'RPL23A', 'STUB1', 'FAU']",1.4922686230867528e-55,0,0,104
6,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),1.8386973392035878e-39,56.78707392651616,5064.939141085702,"['NDUFB9', 'COX7B', 'NDUFB8', 'NDUFB7', 'NDUFB10', 'NDUFB6', 'UQCRB', 'NDUFA12', 'NDUFB5', 'COX4I1', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX6A1', 'COX5B', 'COX7C', 'COX5A', 'UQCRH', 'UQCRFS1', 'CYC1', 'NDUFV2', 'COX8A', 'NDUFA8', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'UQCC3', 'NDUFA4', 'NDUFA2', 'NDUFA1', 'NDUFC2', 'NDUFC1', 'COX6C', 'COX6B1', 'NDUFS6', 'UQCRQ', 'NDUFS5', 'NDUFAB1', 'NDUFS3', 'CYCS']",7.639511547041477e-37,0,0,44
7,Cellular Respiration (GO:0045333),2.0962987388980925e-39,30.72460710895475,2736.353337014123,"['COX7B', 'NDUFA13', 'NDUFA11', 'NDUFA12', 'COX4I1', 'COX6A1', 'COX7C', 'CHCHD5', 'UQCRFS1', 'COX8A', 'NDUFC2', 'NDUFC1', 'COX6B1', 'NDUFS6', 'NDUFS5', 'NDUFS3', 'NDUFB9', 'NDUFB8', 'NDUFB7', 'NDUFB10', 'NDUFB6', 'UQCRB', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'COX5A', 'MTLN', 'UQCRH', 'BLOC1S1', 'CYC1', 'NDUFV2', 'NDUFA8', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'NDUFA4', 'NDUFA2', 'NDUFA1', 'COX6C', 'UQCRQ', 'LYRM7', 'NDUFAB1', 'CYCS']",7.639511547041477e-37,0,0,50
8,Aerobic Electron Transport Chain (GO:0019646),1.9251305676086108e-38,55.441238253178554,4814.696745158963,"['NDUFB9', 'COX7B', 'NDUFB8', 'NDUFB7', 'NDUFB10', 'NDUFB6', 'UQCRB', 'NDUFB5', 'COX4I1', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX6A1', 'COX5B', 'COX7C', 'COX5A', 'UQCRH', 'UQCRFS1', 'CYC1', 'NDUFV2', 'COX8A', 'NDUFA8', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'UQCC3', 'NDUFA4', 'NDUFA2', 'NDUFA1', 'NDUFC2', 'NDUFC1', 'COX6C', 'COX6B1', 'NDUFS6', 'UQCRQ', 'NDUFS5', 'NDUFAB1', 'NDUFS3', 'CYCS']",6.138760097461957e-36,0,0,43
9,Oxidative Phosphorylation (GO:0006119),2.1448249469757624e-35,51.41975308641975,4104.706242151089,"['NDUFB9', 'NDUFA13', 'NDUFB8', 'NDUFB7', 'NDUFA11', 'NDUFB10', 'NDUFB6', 'UQCRB', 'NDUFA12', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCRH', 'NDUFV2', 'ATP5MG', 'ATP5MF', 'ATP5ME', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA2', 'NDUFA1', 'NDUFC2', 'CHCHD10', 'NDUFC1', 'ATP5F1C', 'ATP5F1D', 'ATP5F1E', 'NDUFS6', 'NDUFS5', 'NDUFAB1', 'NDUFS3', 'ATP5PO']",5.47144843973517e-33,0,0,40
10,Proton Motive Force-Driven ATP Synthesis (GO:0015986),2.1448249469757624e-35,51.41975308641975,4104.706242151089,"['NDUFB9', 'NDUFA13', 'NDUFB8', 'NDUFB7', 'NDUFA11', 'NDUFB10', 'NDUFB6', 'NDUFA12', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'ATP5MC1', 'NDUFV2', 'ATP5MG', 'ATP5MF', 'ATP5ME', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA2', 'NDUFA1', 'NDUFC2', 'NDUFC1', 'ATP5F1C', 'ATP5F1D', 'ATP5F1E', 'NDUFS6', 'NDUFS5', 'NDUFAB1', 'NDUFS3', 'ATP5PO']",5.47144843973517e-33,0,0,40
