Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,MAX mouse,0.0020941451976306293,33.50239234449761,206.66318671446436,"['CCNB1', 'ODC1', 'BAX']",0.48584168585030596,0,0,3
2,MYC human,0.005483220838605084,2.588134838134838,13.47399200114843,"['EBNA1BP2', 'CCNB1', 'LDHA', 'CCND1', 'SURF2', 'ODC1', 'HLA-B', 'PGK1', 'NOL7', 'TNFRSF10B', 'KRAS', 'HNRNPA1']",0.6360536172781898,0,0,12
3,FOS human,0.016960479697924215,3.354414587332054,13.675510068410782,"['PDHA1', 'CCND1', 'STAR', 'DDIT3', 'NEFL', 'CCK']",0.8328550508791472,0,0,6
4,FOXO4 mouse,0.019233647859433222,22.31357552581262,88.16303529551985,"['CCND1', 'GADD45A']",0.8328550508791472,0,0,2
5,ATF3 mouse,0.03637319736152514,11.155831739961759,36.96956863429912,"['CCND1', 'TNFRSF10B']",0.8328550508791472,0,0,2
6,ATF6 human,0.04315306138479085,4.7835953520164045,15.034849358983072,"['XBP1', 'DDIT3', 'NUCB1']",0.8328550508791472,0,0,3
7,AATF mouse,0.057345970599989,7.436583811344805,21.25861037385013,"['BAX', 'TPT1']",0.8328550508791472,0,0,2
8,ASCL1 mouse,0.057345970599989,7.436583811344805,21.25861037385013,"['CDKN2D', 'DLL3']",0.8328550508791472,0,0,2
9,ERCC2 human,0.057345970599989,7.436583811344805,21.25861037385013,"['BAX', 'LAMTOR5']",0.8328550508791472,0,0,2
10,NEUROG2 mouse,0.057345970599989,7.436583811344805,21.25861037385013,"['RND2', 'DLL3']",0.8328550508791472,0,0,2
11,JUN human,0.06296225226677023,1.7836009671152853,4.932048892445418,"['BEX2', 'LDHA', 'PDHA1', 'CCND1', 'STAR', 'DDIT3', 'POLD2', 'NEFL', 'CCK', 'TXN', 'MEF2D']",0.8328550508791472,0,0,11
12,PAX5 human,0.06997291734880066,3.7199362041467303,9.893717190894531,"['XBP1', 'CCND1', 'BAX']",0.8328550508791472,0,0,3
13,FOXO3 mouse,0.08140512477661023,5.576959847036329,13.9887834715524,"['CCND1', 'GADD45A']",0.8328550508791472,0,0,2
14,NPM1 human,0.08140512477661023,5.576959847036329,13.9887834715524,"['RPL3', 'CCND1']",0.8328550508791472,0,0,2
15,NR1I3 mouse,0.08140512477661023,5.576959847036329,13.9887834715524,"['SQLE', 'ATP6V1E1']",0.8328550508791472,0,0,2
16,PPARD human,0.08140512477661023,5.576959847036329,13.9887834715524,"['TXN', 'SOD1']",0.8328550508791472,0,0,2
17,NR4A1 human,0.10790067397642306,4.461185468451243,9.933026453381997,"['STAR', 'RNF7']",0.8328550508791472,0,0,2
18,REST human,0.11592294822790536,2.3496672716273443,5.063132464859679,"['GABRB3', 'CD59', 'SCG3', 'CHGB']",0.8328550508791472,0,0,4
19,ATM human,0.12066067212902458,2.7892344497607655,5.898597804173508,"['GADD45A', 'TNFRSF10B', 'BAX']",0.8328550508791472,0,0,3
20,KLF4 human,0.13053864128487475,2.2319923371647508,4.5445283369723946,"['CCNB1', 'CCND1', 'ODC1', 'SOD1']",0.8328550508791472,0,0,4
21,ATF2 mouse,0.1362686219602194,3.717335882727852,7.409123184461488,"['GABRB3', 'CCND1']",0.8328550508791472,0,0,2
22,CEBPD human,0.1362686219602194,3.717335882727852,7.409123184461488,"['DDIT3', 'SOD1']",0.8328550508791472,0,0,2
23,HOXB7 human,0.1362686219602194,3.717335882727852,7.409123184461488,"['CCND1', 'DAPK1']",0.8328550508791472,0,0,2
24,MYC mouse,0.14401114056739076,1.9244883790127947,3.7293979361850185,"['CCNB1', 'ODC1', 'BAX', 'HNRNPA1', 'PTMA']",0.8328550508791472,0,0,5
25,FOS mouse,0.14586863293790536,2.125524539317643,4.091738541815546,"['POMC', 'STAR', 'CRH', 'NEFL']",0.8328550508791472,0,0,4
26,MAZ human,0.15800926740161292,11.146131805157593,20.565745552100086,['HRAS'],0.8328550508791472,0,0,1
27,MTF1 mouse,0.15800926740161292,11.146131805157593,20.565745552100086,['SELENOW'],0.8328550508791472,0,0,1
28,ATF1 human,0.16000565451359225,2.390362269309638,4.380449110773254,"['LDHA', 'MAP1LC3B', 'FTH1']",0.8328550508791472,0,0,3
29,CEBPB human,0.16185636017996374,2.028735632183908,3.694420913373334,"['XBP1', 'STAR', 'DAPK1', 'DDIT3']",0.8328550508791472,0,0,4
30,DDIT3 human,0.16602122552444135,3.186014750068287,5.720934360350924,"['MAP1LC3B', 'TNFRSF10B']",0.8328550508791472,0,0,2
31,KLF5 human,0.16602122552444135,3.186014750068287,5.720934360350924,"['CCNB1', 'CCND1']",0.8328550508791472,0,0,2
32,BRCA1 human,0.17119367594731275,1.800018556892339,3.176960312098526,"['RNASEL', 'CCNB1', 'CCND1', 'GADD45A', 'DDIT3']",0.8328550508791472,0,0,5
33,CREBBP mouse,0.1809546503084623,2.230813397129187,3.8135952002323275,"['LDHA', 'STAR', 'FTH1']",0.8328550508791472,0,0,3
34,NR5A2 mouse,0.19673827641982866,2.7875239005736137,4.532182090223869,"['CCND1', 'KRAS']",0.8328550508791472,0,0,2
35,SREBF2 mouse,0.19673827641982866,2.7875239005736137,4.532182090223869,"['HMGCS1', 'FABP6']",0.8328550508791472,0,0,2
36,STAT5A human,0.19673827641982866,2.7875239005736137,4.532182090223869,"['SUMO1', 'CCND1']",0.8328550508791472,0,0,2
37,YY1 human,0.20036059764107525,1.5943241020016452,2.5630936951944876,"['STAR', 'SURF2', 'VEGFB', 'TNFRSF10B', 'COX6A1', 'COX7C']",0.8328550508791472,0,0,6
38,ATF4 human,0.20258319995571578,2.091208133971292,3.338832553103313,"['MAP1LC3B', 'DDIT3', 'TNFRSF10B']",0.8328550508791472,0,0,3
39,CREB1 human,0.21365091869820974,1.5571128866669643,2.4032664295077697,"['UXT', 'LAPTM4B', 'ODC1', 'POLD2', 'NOLC1', 'CCK']",0.8328550508791472,0,0,6
40,HIF1A human,0.22723428182455,1.5215930902111325,2.2546566463129505,"['LDHA', 'CCND1', 'APEX1', 'PGK1', 'VEGFB', 'BAX']",0.8328550508791472,0,0,6
41,EOMES mouse,0.22739710556061676,5.5725883476599805,8.253323355190405,['MESP1'],0.8328550508791472,0,0,1
42,JUNB mouse,0.22739710556061676,5.5725883476599805,8.253323355190405,['CCND1'],0.8328550508791472,0,0,1
43,KAT5 mouse,0.22739710556061676,5.5725883476599805,8.253323355190405,['TPT1'],0.8328550508791472,0,0,1
44,MEF2A mouse,0.22739710556061676,5.5725883476599805,8.253323355190405,['COX6A1'],0.8328550508791472,0,0,1
45,PLAG1 mouse,0.22739710556061676,5.5725883476599805,8.253323355190405,['TNFRSF10B'],0.8328550508791472,0,0,1
46,POU4F1 mouse,0.22739710556061676,5.5725883476599805,8.253323355190405,['BAX'],0.8328550508791472,0,0,1
47,SOX17 mouse,0.22739710556061676,5.5725883476599805,8.253323355190405,['CCND1'],0.8328550508791472,0,0,1
48,SPDEF human,0.22739710556061676,5.5725883476599805,8.253323355190405,['SQSTM1'],0.8328550508791472,0,0,1
49,TRP73 mouse,0.22805929993112706,2.4775865731888675,3.662243593272924,"['BAX', 'TPT1']",0.8328550508791472,0,0,2
50,GATA4 human,0.22805929993112706,2.4775865731888675,3.662243593272924,"['SUMO1', 'STAR']",0.8328550508791472,0,0,2
51,ING4 human,0.22805929993112706,2.4775865731888675,3.662243593272924,"['CCND1', 'BAX']",0.8328550508791472,0,0,2
52,NFYA human,0.22805929993112706,2.4775865731888675,3.662243593272924,"['GADD45A', 'DDIT3']",0.8328550508791472,0,0,2
53,NRF1 human,0.22805929993112706,2.4775865731888675,3.662243593272924,"['PRDX5', 'COX6A1']",0.8328550508791472,0,0,2
54,NRF1 mouse,0.22805929993112706,2.4775865731888675,3.662243593272924,"['COX4I1', 'COX17']",0.8328550508791472,0,0,2
55,MYOD1 mouse,0.23118812654626827,1.7160330091364575,2.5131706674057606,"['MYL6', 'CCND1', 'SELENOW', 'ATP6V1E1']",0.8328550508791472,0,0,4
56,BCL6 human,0.2596765788631294,2.2296367112810707,3.006260091065429,"['XBP1', 'SUMO1']",0.8328550508791472,0,0,2
57,XBP1 human,0.2596765788631294,2.2296367112810707,3.006260091065429,"['DDIT3', 'ERP29']",0.8328550508791472,0,0,2
58,FOXM1 human,0.2596765788631294,2.2296367112810707,3.006260091065429,"['CCNB1', 'VEGFB']",0.8328550508791472,0,0,2
59,PTTG1 human,0.2596765788631294,2.2296367112810707,3.006260091065429,"['CCNB1', 'LGALS1']",0.8328550508791472,0,0,2
