Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Oxidative Phosphorylation,3.4378241681567893e-35,12.49692118226601,991.7011721096052,"['ISCA1', 'COX7B', 'SLC25A3', 'COX4I1', 'MRPS12', 'HCCS', 'ETFB', 'MRPL34', 'COX6A1', 'COX7C', 'MRPL35', 'TOMM22', 'IDH3B', 'TIMM17A', 'UQCRFS1', 'ATP6V1E1', 'COX8A', 'ATP6V1G1', 'GPX4', 'NDUFC2', 'NDUFC1', 'COX6B1', 'NDUFS6', 'NDUFS3', 'VDAC2', 'VDAC1', 'SLC25A5', 'SLC25A4', 'ISCU', 'SLC25A6', 'NDUFB8', 'NDUFB7', 'UQCRB', 'NDUFB5', 'NDUFB4', 'COX17', 'NDUFB3', 'TIMM13', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'UQCR11', 'COX7A2', 'MRPL15', 'UQCR10', 'TIMM10', 'COX5B', 'COX5A', 'HSD17B10', 'UQCRH', 'ATP5MC1', 'LDHA', 'ATP5F1A', 'ATP5F1B', 'GRPEL1', 'CYC1', 'ATP6V1D', 'ATP5MF', 'ATP6V1F', 'ATP5ME', 'TIMM8B', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'UQCRQ', 'NDUFAB1', 'ATP5PO', 'CYCS', 'BAX']",1.615777359033691e-33,0,0,81
2,Myc Targets V1,1.1786232487579843e-20,7.169538429406851,328.9911539557549,"['YWHAE', 'HDDC2', 'SLC25A3', 'RPL34', 'RPLP0', 'RPL6', 'PSMD8', 'EEF1B2', 'FBL', 'PSMD7', 'YWHAQ', 'SNRPD1', 'RACK1', 'MRPL9', 'RPS10', 'VBP1', 'NCBP2', 'RPS5', 'RPL22', 'RPS6', 'MRPS18B', 'NME1', 'PSMA2', 'SNRPG', 'NHP2', 'SRSF3', 'VDAC1', 'ERH', 'SET', 'ODC1', 'NOLC1', 'PHB', 'COX5A', 'PSMA7', 'LDHA', 'POLD2', 'RPS3', 'RPL14', 'PGK1', 'EIF4H', 'SNRPB2', 'RPS2', 'CYC1', 'RPL18', 'CCT7', 'HNRNPA1', 'CCT4', 'RANBP1', 'NPM1', 'SF3A1', 'SSB', 'NOP16', 'PA2G4', 'LSM2', 'LSM7', 'APEX1', 'IMPDH2', 'SERBP1', 'NDUFAB1', 'POLE3', 'RAN']",2.769764634581263e-19,0,0,61
3,DNA Repair,4.992185746423099e-11,5.79651376146789,137.49656512780882,"['FEN1', 'GTF2A2', 'GMPR2', 'COX17', 'SUPT4H1', 'SNAPC5', 'POLD4', 'ZNRD1', 'MRPL40', 'GUK1', 'MPC2', 'POLR2E', 'TMED2', 'POLR2G', 'POLR2I', 'POLR2J', 'SAC3D1', 'POLR2K', 'RFC3', 'BRF2', 'GPX4', 'NCBP2', 'TAF13', 'PDE6G', 'ALYREF', 'TAF10', 'RPA2', 'EDF1', 'GTF2H5', 'NME1', 'APRT', 'POLE4', 'DAD1', 'IMPDH2', 'EIF1B']",7.821091002729522e-10,0,0,35
4,Adipogenesis,5.760226101168268e-05,2.7995642217133203,27.329202419306384,"['COX7B', 'NDUFB7', 'UQCR11', 'MRPL15', 'UQCR10', 'ETFB', 'COX6A1', 'GRPEL1', 'DDT', 'SNCG', 'DNAJB9', 'CYC1', 'COX8A', 'JAGN1', 'GPX4', 'NDUFA5', 'GADD45A', 'APLP2', 'VEGFB', 'CHCHD10', 'SOD1', 'ACLY', 'DHRS7', 'UQCRQ', 'NDUFAB1', 'ATP5PO', 'NDUFS3', 'ALDOA']",0.0006768265668872714,0,0,28
5,mTORC1 Signaling,0.00010296854174640324,2.8015899621665628,25.72164128273906,"['IDI1', 'FKBP2', 'ARPC5L', 'TMEM97', 'HSP90B1', 'ATP5MC1', 'LDHA', 'PSMB5', 'PRDX1', 'PGK1', 'ATP6V1D', 'XBP1', 'TPI1', 'SDF2L1', 'GOT1', 'HMGCS1', 'CYP51A1', 'PDAP1', 'DHCR24', 'TUBG1', 'MLLT11', 'ACLY', 'DDIT3', 'PSME3', 'ALDOA', 'GAPDH']",0.0009679042924161904,0,0,26
6,Unfolded Protein Response,0.0007734416251439573,2.9352845528455282,21.03031687892623,"['XBP1', 'NPM1', 'IMP3', 'DCTN1', 'POP4', 'LSM1', 'NOLC1', 'LSM4', 'HSP90B1', 'CKS1B', 'RPS14', 'EXOSC5', 'EXOSC4', 'SPCS1', 'NHP2', 'DNAJB9', 'BANF1', 'ATP6V0D1']",0.006001895450491701,0,0,18
7,Reactive Oxygen Species Pathway,0.0008938993224136576,4.0664869721473496,28.546402668437008,"['CDKN2D', 'NDUFA6', 'GPX4', 'SELENOS', 'NDUFB4', 'PRDX1', 'GLRX2', 'TXN', 'ATOX1', 'FTL', 'SOD1', 'LAMTOR5']",0.006001895450491701,0,0,12
8,Fatty Acid Metabolism,0.004742565154361741,2.2757153494309117,12.177755904613642,"['IDI1', 'GABARAPL1', 'HMGCS1', 'ODC1', 'DHCR24', 'HCCS', 'HSD17B10', 'NSDHL', 'LDHA', 'LGALS1', 'UROD', 'NTHL1', 'APEX1', 'PSME1', 'ERP29', 'IDH3B', 'PCBD1', 'ALDOA', 'YWHAH']",0.027862570281875228,0,0,19
9,Cholesterol Homeostasis,0.008390458897470024,3.121766126250431,14.924102649642604,"['IDI1', 'NSDHL', 'HMGCS1', 'FABP5', 'PMVK', 'CYP51A1', 'MAL2', 'TMEM97', 'PNRC1', 'ACTG1']",0.04381684090901013,0,0,10
10,Protein Secretion,0.009423869576425435,3.31891495601173,15.481110314402404,"['CD63', 'RAB14', 'CLTC', 'AP2S1', 'PPT1', 'TMED2', 'AP2M1', 'COPE', 'SOD1']",0.04429218700919955,0,0,9
