Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,MTF1 mouse,0.008347476053090977,inf,inf,"['DNMT1', 'SELENOW', 'SLC39A10', 'EP300']",0.9998749275644224,0,0,4
2,NRF1 human,0.008736656394109149,4.159349911885647,19.716265774929703,"['PRDX3', 'SLC46A1', 'PRDX5', 'SNRPN', 'FXR2', 'CAPNS1', 'TOMM34', 'IDE', 'COX6A1']",0.9998749275644224,0,0,9
3,MTF1 human,0.01132359441544765,11.548620622187439,51.74782990882348,"['PRNP', 'ACO1', 'SNCB', 'MCAT', 'SOD1']",0.9998749275644224,0,0,5
4,TRP73 mouse,0.02693471735520827,2.9704607121877533,10.73625264311091,"['PDGFRB', 'CASP8AP2', 'ITCH', 'PTEN', 'E2F1', 'BAX', 'NR3C1', 'FOXO3', 'TPT1']",0.9998749275644224,0,0,9
5,MYCN mouse,0.029749900603801616,5.773821170025435,20.294574289219526,"['SMAD4', 'IGFBP2', 'IGFBP6', 'NDRG1', 'NRGN']",0.9998749275644224,0,0,5
6,FOXO3 mouse,0.05975347845397944,3.8488880193047676,10.844349274685753,"['CDKN1B', 'CCND2', 'CCND1', 'GADD45A', 'NOL3']",0.9998749275644224,0,0,5
7,CLOCK human,0.06473137509640321,2.694591244209565,7.37646849123404,"['PER1', 'PER3', 'KAT5', 'STAR', 'CRY2', 'CRY1', 'NR3C1']",0.9998749275644224,0,0,7
8,REST human,0.0687532701398062,1.877204585537919,5.025710268251962,"['CHGA', 'PCSK1', 'STAT1', 'DYRK1A', 'OPRM1', 'CARTPT', 'GLRA1', 'VGF', 'TUBB3', 'KCNQ3', 'CD59', 'SCG3', 'CHGB']",0.9998749275644224,0,0,13
9,ARNTL human,0.07229777377700163,4.618153364632238,12.131713130088587,"['PER1', 'PER3', 'CRY2', 'CRY1']",0.9998749275644224,0,0,4
10,FOXO4 mouse,0.07229777377700163,4.618153364632238,12.131713130088587,"['CCND2', 'CCND1', 'GADD45A', 'PPARGC1A']",0.9998749275644224,0,0,4
11,ATF6 human,0.08082195894409078,2.7712720156555775,6.971152993864299,"['RTN3', 'XBP1', 'WBP1', 'HSPA5', 'DDIT3', 'NUCB1']",0.9998749275644224,0,0,6
12,GATA4 human,0.08082195894409078,2.7712720156555775,6.971152993864299,"['SGPL1', 'CCND2', 'SUMO1', 'STAR', 'NPPA', 'FGF10']",0.9998749275644224,0,0,6
13,POU2F1 mouse,0.08082195894409078,2.7712720156555775,6.971152993864299,"['THRB', 'FAM89B', 'GADD45A', 'LPL', 'GNRH1', 'MAD2L1']",0.9998749275644224,0,0,6
14,IKBKB mouse,0.08544590748744262,6.926461959710542,17.038208200631765,"['NFKBIA', 'RPS6KB1', 'NFKB1']",0.9998749275644224,0,0,3
15,MZF1 human,0.08544590748744262,6.926461959710542,17.038208200631765,"['TERT', 'CDH2', 'PIK3R3']",0.9998749275644224,0,0,3
16,NKX2-1 human,0.08544590748744262,6.926461959710542,17.038208200631765,"['RET', 'SP1', 'LMO3']",0.9998749275644224,0,0,3
17,MAFA mouse,0.09138970430619177,inf,inf,"['PCSK1', 'NRF1']",0.9998749275644224,0,0,2
18,REST mouse,0.0965884129465511,2.3094539048737524,5.3978785143422785,"['SRRM4', 'BRINP1', 'SCN8A', 'DYRK1A', 'OPRM1', 'GRIN2B', 'CELSR3']",0.9998749275644224,0,0,7
19,CITED2 mouse,0.10162797238930503,2.8864214439444336,6.599619236842573,"['CEBPA', 'LDHB', 'LDHD', 'PPARG', 'PDK2']",0.9998749275644224,0,0,5
