Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Mitochondrial Inner Membrane (GO:0005743),4.018782939100249e-28,14.304232804232804,902.3310812604102,"['NDUFA13', 'MRPS33', 'NDUFB3', 'MRPS12', 'NDUFB2', 'MRPL36', 'TMEM160', 'TIMM10', 'UQCR10', 'MTLN', 'MRPL57', 'UQCRH', 'ATP5MC1', 'COA8', 'CHCHD1', 'ATP5MF', 'ATP5ME', 'COA3', 'NDUFA7', 'MRPS26', 'NDUFA6', 'MRPS24', 'NDUFA5', 'UQCC3', 'MRPS18B', 'NDUFA1', 'MRPS21', 'MRPL47', 'COX6C', 'MRPS7', 'MRPL46', 'ATP5F1E', 'MRPL52', 'SMDT1', 'MRPL51', 'NDUFS6', 'UQCRQ', 'TMEM11', 'NDUFS5', 'ATP5PO', 'CYCS']",5.103854332657316e-26,0,0,41
2,Organelle Inner Membrane (GO:0019866),1.9438331376703295e-26,13.198924731182796,781.4100086037937,"['NDUFA13', 'MRPS33', 'NDUFB3', 'MRPS12', 'NDUFB2', 'MRPL36', 'TMEM160', 'TIMM10', 'UQCR10', 'MTLN', 'MRPL57', 'UQCRH', 'ATP5MC1', 'CHCHD1', 'ATP5MF', 'ATP5ME', 'COA3', 'NDUFA7', 'MRPS26', 'NDUFA6', 'MRPS24', 'NDUFA5', 'UQCC3', 'MRPS18B', 'NDUFA1', 'MRPS21', 'MRPL47', 'COX6C', 'MRPS7', 'MRPL46', 'ATP5F1E', 'MRPL52', 'SMDT1', 'MRPL51', 'NDUFS6', 'UQCRQ', 'TMEM11', 'NDUFS5', 'ATP5PO', 'CYCS']",1.2343340424206593e-24,0,0,40
3,Mitochondrial Membrane (GO:0031966),8.344550110612024e-24,10.121689785624213,537.8709838457079,"['NDUFA13', 'MRPS33', 'NDUFB3', 'MRPS12', 'NDUFB2', 'MRPL36', 'TMEM160', 'TIMM10', 'UQCR10', 'MTLN', 'MRPL57', 'UQCRH', 'ATP5MC1', 'CHCHD1', 'ATP5MF', 'ATP5ME', 'COA3', 'NDUFA7', 'MRPS26', 'NDUFA6', 'MRPS24', 'NDUFA5', 'UQCC3', 'MRPS18B', 'NDUFA1', 'MRPS21', 'MRPL47', 'COX6C', 'MRPS7', 'MRPL46', 'ATP5F1E', 'MRPL52', 'SMDT1', 'HAX1', 'MRPL51', 'NDUFS6', 'UQCRQ', 'TMEM11', 'NDUFS5', 'ATP5PO', 'CYCS', 'TOMM5']",3.532526213492424e-22,0,0,42
4,U4/U6 X U5 tri-snRNP Complex (GO:0046540),2.1400870398265878e-08,41.07112526539278,725.3092643574328,"['LSM7', 'SNRPD1', 'SNRPG', 'SNRPE', 'LSM4', 'LSM3', 'LSM2']",5.435821081159533e-07,0,0,7
5,Spliceosomal tri-snRNP Complex (GO:0097526),2.1400870398265878e-08,41.07112526539278,725.3092643574328,"['LSM7', 'SNRPD1', 'SNRPG', 'SNRPE', 'LSM4', 'LSM3', 'LSM2']",5.435821081159533e-07,0,0,7
6,U2-type Precatalytic Spliceosome (GO:0071005),7.643241073581576e-08,30.7921974522293,504.5873981481683,"['LSM7', 'SNRPD1', 'SNRPG', 'SNRPE', 'LSM4', 'LSM3', 'LSM2']",1.4739436783257672e-06,0,0,7
7,Mitochondrial Respiratory Chain Complex I (GO:0005747),9.284684587878848e-08,15.240552995391704,246.7798275570164,"['NDUFA13', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'NDUFS6', 'NDUFS5', 'NDUFB3', 'NDUFB2', 'NDUFA1']",1.4739436783257672e-06,0,0,9
8,Respiratory Chain Complex I (GO:0045271),9.284684587878848e-08,15.240552995391704,246.7798275570164,"['NDUFA13', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'NDUFS6', 'NDUFS5', 'NDUFB3', 'NDUFB2', 'NDUFA1']",1.4739436783257672e-06,0,0,9
9,Precatalytic Spliceosome (GO:0071011),1.326067675415977e-07,27.365888181174807,433.3628590246708,"['LSM7', 'SNRPD1', 'SNRPG', 'SNRPE', 'LSM4', 'LSM3', 'LSM2']",1.8712288308647674e-06,0,0,7
10,U2-type Spliceosomal Complex (GO:0005684),3.994744799886764e-07,15.712250712250713,231.4904116365454,"['LSM7', 'SNRPD1', 'SNRPG', 'SNRPE', 'CWC15', 'LSM4', 'LSM3', 'LSM2']",5.07332589585619e-06,0,0,8
