Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Thermogenesis,2.3490690433158324e-16,13.307716735471578,478.9093585887884,"['COA3', 'NDUFA7', 'NDUFA13', 'NDUFA6', 'NDUFA5', 'NDUFB3', 'COX17', 'NDUFB2', 'NDUFA1', 'COX7A2', 'UQCR10', 'COX6C', 'COX7A1', 'UQCRH', 'ATP5F1E', 'ATP5MC1', 'NDUFS6', 'UQCRQ', 'NDUFS5', 'ATP5PO', 'COX14', 'ATP5MF', 'ATP5ME']",2.3490690433158324e-14,0,0,23
2,Oxidative phosphorylation,2.1627505541438597e-15,13.862430672775501,468.09818020867397,"['NDUFA13', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'COX17', 'NDUFB3', 'NDUFB2', 'NDUFA1', 'COX7A2', 'UQCR10', 'COX6C', 'COX7A1', 'UQCRH', 'ATP5F1E', 'ATP5MC1', 'UQCRQ', 'NDUFS6', 'NDUFS5', 'ATP5PO', 'ATP5MF', 'ATP5ME']",1.0813752770719298e-13,0,0,21
3,Huntington disease,7.278083160302494e-13,8.005418719211823,223.7413558355735,"['NDUFA7', 'NDUFA13', 'NDUFA6', 'NDUFA5', 'NDUFB3', 'NDUFB2', 'NDUFA1', 'COX7A2', 'UQCR10', 'COX6C', 'COX7A1', 'UQCRH', 'ATP5F1E', 'ATP5MC1', 'PSMB6', 'PSMC3', 'NDUFS6', 'UQCRQ', 'NDUFS5', 'ATP5PO', 'CYCS', 'POLR2I', 'AP2M1', 'POLR2K']",2.4260277201008314e-11,0,0,24
4,Parkinson disease,6.812517452150556e-12,7.932102046239702,203.95226535385382,"['NDUFA7', 'NDUFA13', 'NDUFA6', 'NDUFA5', 'NDUFB3', 'NDUFB2', 'NDUFA1', 'COX7A2', 'TXN', 'UQCR10', 'COX6C', 'COX7A1', 'UQCRH', 'ATP5F1E', 'ATP5MC1', 'PSMB6', 'PSMC3', 'NDUFS6', 'UQCRQ', 'NDUFS5', 'ATP5PO', 'CYCS']",1.703129363037639e-10,0,0,22
5,Amyotrophic lateral sclerosis,1.2294741675782665e-11,7.234798279269852,181.75151318010498,"['GABARAPL1', 'NDUFA7', 'NDUFA13', 'NDUFA6', 'NDUFA5', 'NDUFB3', 'NDUFB2', 'NDUFA1', 'CHCHD10', 'COX7A2', 'UQCR10', 'COX6C', 'COX7A1', 'UQCRH', 'ATP5F1E', 'ATP5MC1', 'PSMB6', 'PSMC3', 'NDUFS6', 'UQCRQ', 'NDUFS5', 'ATP5PO', 'CYCS']",2.458948335156533e-10,0,0,23
6,Non-alcoholic fatty liver disease,3.370590247027698e-11,11.620561738208798,280.21065085040556,"['NDUFA13', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'NDUFB3', 'NDUFB2', 'NDUFA1', 'COX7A2', 'UQCR10', 'COX6C', 'COX7A1', 'UQCRH', 'UQCRQ', 'NDUFS6', 'NDUFS5', 'CYCS']",5.61765041171283e-10,0,0,16
7,Diabetic cardiomyopathy,5.580239882523639e-11,9.22124225933571,217.706192010998,"['NDUFA7', 'NDUFA13', 'NDUFA6', 'NDUFA5', 'NDUFB3', 'NDUFB2', 'NDUFA1', 'COX7A2', 'UQCR10', 'COX6C', 'COX7A1', 'UQCRH', 'ATP5F1E', 'ATP5MC1', 'NDUFS6', 'UQCRQ', 'NDUFS5', 'ATP5PO']",7.81001439838609e-10,0,0,18
8,Prion disease,6.248011518708872e-11,7.376651126651127,173.32306931231872,"['NDUFA7', 'NDUFA13', 'NDUFA6', 'NDUFA5', 'NDUFB3', 'NDUFB2', 'NDUFA1', 'COX7A2', 'UQCR10', 'COX6C', 'COX7A1', 'UQCRH', 'ATP5F1E', 'ATP5MC1', 'PSMB6', 'PSMC3', 'NDUFS6', 'UQCRQ', 'NDUFS5', 'ATP5PO', 'CYCS']",7.81001439838609e-10,0,0,21
9,Alzheimer disease,1.1652709772777479e-10,6.702873239436619,153.31413102917142,"['PSENEN', 'NDUFA7', 'NDUFA13', 'NDUFA6', 'NDUFA5', 'NDUFB3', 'NDUFB2', 'NDUFA1', 'COX7A2', 'UQCR10', 'COX6C', 'COX7A1', 'UQCRH', 'ATP5F1E', 'ATP5MC1', 'PSMB6', 'PSMC3', 'NDUFS6', 'UQCRQ', 'NDUFS5', 'ATP5PO', 'CYCS']",1.2947455303086087e-09,0,0,22
10,Pathways of neurodegeneration,1.687497056658e-08,4.947602280348759,88.5493869747061,"['GABARAPL1', 'NDUFA7', 'NDUFA13', 'NDUFA6', 'NDUFA5', 'NDUFB3', 'NDUFB2', 'NDUFA1', 'COX7A2', 'UQCR10', 'COX6C', 'COX7A1', 'UQCRH', 'ATP5F1E', 'ATP5MC1', 'PSMB6', 'PSMC3', 'NDUFS6', 'UQCRQ', 'NDUFS5', 'ATP5PO', 'CYCS']",1.687497056658e-07,0,0,22
